Time	[Glucose in]	[MgATP]	[Glucose 6-phosphate]	[MgADP]	[Fructose 6-phosphate]	[Glyceraldehyde 3-phosphate]	[Dihydroxyacetone phosphate]	[Phosphate]	[NAD]	[NADH]	[3-Phospho-D-glycerate]	[2-Phospho-D-glycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Lactate]	[NADPH]	[NADP]	[AMP]	[ADP]	[Ribulose 5-phosphate]	[Oxidized Glutathione]	[Reduced Glutathione]	[Xylulose 5-phosphate]	[Ribose 5-phosphate]	[Sedoheptulose 7-phosphate]	[Erythrose 4-phosphate]	[MgAMP]	[ATP]	[Mg]	[MgGri23P2]	[Protein1 bound NADP]	[Protein1]	[Protein1 bound NADPH]	[Protein2 bound NADP]	[Protein2]	[Protein2 bound NADPH]	[PRPP]	[External Lactate]	[External Pyruvate]	[Glucose outside]	[Phosphate external]
10	4.56504	1.41861	0.0393929	0.13732	0.0153059	0.00605619	0.14907	0.999117	0.0653436	0.000156423	0.065854	0.00845269	0.01095	0.0839895	1.68031	0.00488917	2.34389e-05	0.0722803	0.186668	0.00471547	0.000186743	3.11403	0.0127263	0.013986	0.0153572	0.00625793	0.00242854	0.182691	0.559086	0.682553	5.73973e-06	4.89762e-05	0.0239453	0.00202425	0.000863629	0.0211121	1	1.68	0.084	5	1
11	4.56533	1.41847	0.0394091	0.137244	0.0153124	0.00605712	0.149093	0.999135	0.0653436	0.000156415	0.0658404	0.00845112	0.0109486	0.0839896	1.68031	0.00488917	2.34382e-05	0.0722767	0.186742	0.00471649	0.000186743	3.11403	0.012729	0.0139891	0.0153667	0.00626013	0.00242612	0.182845	0.558556	0.683307	5.73958e-06	4.89762e-05	0.0239453	0.0020242	0.00086363	0.0211122	1	1.68	0.084	5	1
12	4.56557	1.41834	0.0394225	0.137181	0.0153178	0.00605789	0.149111	0.99915	0.0653436	0.000156408	0.0658291	0.00844982	0.0109474	0.0839896	1.68031	0.00488917	2.34378e-05	0.0722738	0.186804	0.00471735	0.000186743	3.11403	0.0127314	0.0139916	0.0153745	0.00626195	0.00242411	0.182974	0.558115	0.683937	5.73946e-06	4.89762e-05	0.0239453	0.00202416	0.000863632	0.0211122	1	1.68	0.084	5	1
13	4.56577	1.41824	0.0394338	0.137129	0.0153222	0.00605854	0.149127	0.999162	0.0653436	0.000156402	0.0658197	0.00844873	0.0109464	0.0839897	1.68031	0.00488917	2.34374e-05	0.0722714	0.186856	0.00471806	0.000186743	3.11403	0.0127333	0.0139938	0.015381	0.00626348	0.00242242	0.183082	0.557746	0.684464	5.73936e-06	4.89762e-05	0.0239453	0.00202413	0.000863633	0.0211122	1	1.68	0.084	5	1
14	4.56594	1.41815	0.0394432	0.137085	0.015326	0.00605908	0.14914	0.999172	0.0653436	0.000156397	0.0658118	0.00844782	0.0109456	0.0839897	1.68031	0.00488917	2.34371e-05	0.0722694	0.186899	0.00471866	0.000186743	3.11403	0.0127349	0.0139955	0.0153865	0.00626475	0.00242102	0.183172	0.557437	0.684904	5.73929e-06	4.89762e-05	0.0239453	0.0020241	0.000863633	0.0211123	1	1.68	0.084	5	1
15	4.56608	1.41808	0.039451	0.137048	0.0153291	0.00605953	0.149151	0.999181	0.0653436	0.000156393	0.0658052	0.00844705	0.0109449	0.0839898	1.68031	0.00488917	2.34368e-05	0.0722678	0.186936	0.00471916	0.000186743	3.11403	0.0127362	0.013997	0.015391	0.00626581	0.00241984	0.183248	0.557179	0.685272	5.73923e-06	4.89761e-05	0.0239453	0.00202408	0.000863634	0.0211123	1	1.68	0.084	5	1
16	4.56619	1.41802	0.0394576	0.137017	0.0153317	0.00605991	0.149161	0.999188	0.0653436	0.000156389	0.0657996	0.00844642	0.0109443	0.0839898	1.68031	0.00488917	2.34366e-05	0.0722665	0.186966	0.00471957	0.000186743	3.11403	0.0127374	0.0139983	0.0153948	0.0062667	0.00241886	0.183311	0.556963	0.685581	5.73918e-06	4.89761e-05	0.0239453	0.00202407	0.000863635	0.0211123	1	1.68	0.084	5	1
17	4.56629	1.41797	0.0394631	0.136992	0.0153339	0.00606023	0.149168	0.999194	0.0653436	0.000156386	0.065795	0.00844588	0.0109439	0.0839899	1.68031	0.00488917	2.34365e-05	0.0722653	0.186992	0.00471992	0.000186743	3.11403	0.0127383	0.0139993	0.015398	0.00626744	0.00241804	0.183364	0.556782	0.685839	5.73914e-06	4.89761e-05	0.0239453	0.00202406	0.000863635	0.0211123	1	1.68	0.084	5	1
18	4.56637	1.41793	0.0394676	0.13697	0.0153357	0.00606049	0.149175	0.999199	0.0653436	0.000156384	0.0657912	0.00844544	0.0109435	0.0839899	1.68031	0.00488918	2.34363e-05	0.0722644	0.187013	0.00472021	0.000186743	3.11403	0.0127391	0.0140002	0.0154007	0.00626806	0.00241735	0.183408	0.556631	0.686055	5.73911e-06	4.89761e-05	0.0239453	0.00202404	0.000863635	0.0211123	1	1.68	0.084	5	1
19	4.56644	1.41789	0.0394715	0.136952	0.0153372	0.00606071	0.14918	0.999203	0.0653436	0.000156382	0.0657879	0.00844506	0.0109431	0.0839899	1.68031	0.00488918	2.34362e-05	0.0722636	0.187031	0.00472046	0.000186743	3.11403	0.0127397	0.0140009	0.0154029	0.00626858	0.00241677	0.183446	0.556504	0.686236	5.73908e-06	4.89761e-05	0.0239453	0.00202404	0.000863636	0.0211123	1	1.68	0.084	5	1
