Time	[CaI]	[IP3]	[g]	[CaO]	[CaS]	[CaM]
43	0.877911	0.370378	0.869379	1000	1.00139	0.08922
44	0.77036	0.405509	0.966661	1000	1.08195	0.113669
45	0.585293	0.335275	0.973849	1000	1.2441	0.130069
46	0.425847	0.25174	0.965368	1000	1.387	0.138137
47	0.308673	0.183589	0.951709	1000	1.49367	0.140416
48	0.224607	0.133548	0.936106	1000	1.57116	0.140086
49	0.162747	0.0969844	0.919905	1000	1.62971	0.138333
50	0.118711	0.070412	0.903664	1000	1.67334	0.135542
51	0.0905757	0.0523847	0.887604	1000	1.70318	0.132088
52	0.0744704	0.0413569	0.871797	1000	1.72215	0.128316
53	0.0658368	0.0351589	0.856261	1000	1.73421	0.124419
54	0.0613768	0.031856	0.840998	1000	1.74235	0.120481
55	0.0591715	0.0301668	0.826006	1000	1.74834	0.116536
56	0.0581853	0.0293552	0.811282	1000	1.75315	0.112601
57	0.0578688	0.0290221	0.79682	1000	1.75729	0.108683
58	0.0579303	0.0289543	0.782618	1000	1.76103	0.104789
59	0.0582144	0.0290386	0.768669	1000	1.76451	0.100921
60	0.0586378	0.0292143	0.754971	1000	1.7678	0.0970842
61	0.059156	0.0294491	0.741518	1000	1.77095	0.0932797
62	0.0597462	0.0297259	0.728306	1000	1.77396	0.0895108
63	0.0603978	0.0300362	0.715332	1000	1.77686	0.0857802
64	0.0611074	0.0303763	0.702591	1000	1.77963	0.0820907
65	0.0618767	0.030746	0.690079	1000	1.78227	0.0784457
66	0.0627108	0.0311467	0.677792	1000	1.78477	0.0748487
67	0.0636184	0.0315821	0.665727	1000	1.78711	0.0713037
68	0.0646119	0.0320573	0.653879	1000	1.78928	0.0678155
69	0.0657083	0.0325797	0.642246	1000	1.79124	0.0643893
70	0.0669308	0.0331592	0.630824	1000	1.79297	0.0610317
71	0.0683115	0.0338098	0.61961	1000	1.79441	0.0577503
72	0.0698962	0.0345508	0.6086	1000	1.79551	0.0545546
73	0.0717524	0.0354104	0.597793	1000	1.79618	0.0514566
74	0.0739836	0.0364312	0.587186	1000	1.79629	0.0484722
75	0.0767582	0.0376809	0.576778	1000	1.79562	0.0456236
76	0.0803699	0.0392737	0.566569	1000	1.79383	0.0429438
77	0.0853816	0.041421	0.556564	1000	1.79026	0.0404869
78	0.0930212	0.0445609	0.546775	1000	1.78349	0.0383541
79	0.106531	0.0497702	0.537242	1000	1.76989	0.036773
80	0.137461	0.0605003	0.528147	1000	1.7368	0.0364254
81	0.249936	0.0935507	0.521691	1000	1.61557	0.0404308
82	0.695425	0.235809	0.627358	1000	1.13747	0.0649891
83	0.863172	0.400618	0.919319	1000	0.936211	0.0976763
84	0.70794	0.386289	0.970747	1000	1.06863	0.119224
85	0.52664	0.306166	0.971018	1000	1.23038	0.132755
86	0.379705	0.225962	0.960347	1000	1.36389	0.138296
87	0.272904	0.163243	0.945762	1000	1.46224	0.139252
88	0.195437	0.117287	0.929805	1000	1.53482	0.138165
89	0.139333	0.0837809	0.913521	1000	1.58924	0.135812
90	0.101955	0.0603757	0.897322	1000	1.62757	0.132583
91	0.0799436	0.0455743	0.881351	1000	1.65216	0.128883
92	0.068057	0.0371039	0.865647	1000	1.66743	0.12499
93	0.0619008	0.0325611	0.850217	1000	1.67733	0.121032
94	0.0588084	0.0302185	0.83506	1000	1.68432	0.117056
95	0.0573415	0.0290595	0.820173	1000	1.68974	0.113085
96	0.0567471	0.0285338	0.805552	1000	1.6943	0.109129
97	0.0566312	0.0283507	0.791192	1000	1.69836	0.105193
98	0.0567857	0.0283575	0.777089	1000	1.70213	0.101282
99	0.0571002	0.0284732	0.763238	1000	1.70569	0.097399
100	0.0575155	0.0286548	0.749636	1000	1.70911	0.0935458
