Time	[AcanmRNA]	[ADAMTS5]	[AGEprod]	[Alk1]	[Alk1_Alk5]	[Alk5]	[Alk5_dimer]	[Bax]	[Bax_Bcl2]	[Bax_Bcl2_Beclin]	[Bax_Bcl2_Beclin_I]	[Bcl2]	[Bcl2_Beclin]	[Bcl2_Beclin_I]	[Beclin]	[Beclin_I]	[Caspase_A]	[Caspase_I]	[Col2mRNA]	[DamP]	[IkB]	[IkB_NFkB]	[IL1]	[Lys_A]	[Lys_I]	[MMP13]	[MMP2]	[NatP]	[NFkB]	[NFkB_P]	[p38]	[p38_P]	[proMMP13]	[proMMP2]	[RAGE]	[ROS]	[Runx2_A]	[Runx2_I]	[Smad1]	[Smad1_P]	[Smad1_P_Smad4]	[Smad2]	[Smad2_P]	[Smad2_P_Smad4]	[Smad4]	[Smad7]	[SOD]	[Sox9]	[Sox9_A]	[Sox9mRNA]	[Tgfb_A]	[Tgfb_Alk1_Alk5]	[Tgfb_Alk1_Alk5_Smad7]	[Tgfb_Alk5_dimer]	[Tgfb_Alk5_dimer_Smad7]	[AggFrag]	[Aggrecan]	[Aggrecan_Collagen2]	[ColFrag]	[Collagen2]	[Integrin]	[Tgfb_I]	[Sink]	[Source]	[IntegrinCount]
0	0	0	0	500	0	500	0	0	90	10	0	30	25	0	75	0	0	100	0	0	0	100	0	40	360	0	0	1500	0	0	100	0	0	0	0	2	0	100	600	0	0	600	0	0	600	0	2	100	0	10	0	0	0	0	0	0	0	1000	0	0	0	200	0	1	0
1	1.46167e-26	1.66423e-16	1e-06	488.421	11.5792	444.112	22.1542	0.00336274	90.067	9.92965	2.79756e-11	29.7287	25.172	4.1872e-11	74.8984	3.74049e-08	8.25297e-07	100	4.88431e-23	0.00199812	3.31756e-13	99.9998	1.65712e-12	40	360	1.79305e-22	2.80168e-26	1500	0.000199965	1.32459e-09	99.9801	0.019895	1.0651e-17	1.66425e-18	4.99867e-10	1.99934	4.18954e-19	100	600	5.62457e-15	2.85746e-17	600	3.2526e-14	3.31998e-16	600	4.88083e-22	1.998	100	2.44153e-20	9.99901	3.93261e-08	2.32002e-12	5.35536e-35	6.71262e-12	6.20824e-39	2.80166e-23	1.71696e-33	1000	4.49907e-54	2.80166e-23	3.999e-07	200	0	1	4e-07
2	3.32929e-24	5.28037e-15	2e-06	478.419	21.5807	398.823	39.7979	0.00339374	90.1361	9.86052	1.11092e-10	29.457	25.342	1.66222e-10	74.7975	7.46228e-08	3.20789e-06	100	5.65637e-21	0.0039925	5.27754e-12	99.9996	2.63353e-11	39.9999	360	1.13007e-20	1.76579e-24	1500	0.000399856	1.05273e-08	99.9604	0.0395816	3.37938e-16	5.28046e-17	1.99919e-09	1.99867	4.96858e-17	100	600	1.68182e-13	1.70745e-15	600	9.42395e-13	1.9306e-14	600	5.64843e-20	1.996	100	2.82675e-18	9.99802	1.54616e-07	3.45619e-11	1.707e-31	9.70323e-11	1.92505e-35	1.76577e-21	7.58839e-31	1000	3.19496e-50	1.76577e-21	7.996e-07	200	0	1	8e-07
3	7.92591e-23	3.98726e-14	3e-06	469.684	30.3163	361.422	54.1304	0.00342498	90.204	9.79258	2.48156e-10	29.1882	25.51	3.71187e-10	74.6974	1.11658e-07	7.10495e-06	100	8.95351e-20	0.00598314	2.65766e-11	99.9994	1.32488e-10	39.9999	360	1.27924e-19	1.99889e-23	1500	0.000599665	3.52965e-08	99.9409	0.0590618	2.55178e-15	3.98736e-16	4.49816e-09	1.99802	8.0437e-16	100	600	1.19975e-12	1.83559e-14	600	6.5295e-12	2.02335e-13	600	8.93462e-19	1.99401	100	4.47333e-17	9.99703	3.4189e-07	1.63554e-10	1.91138e-29	4.47008e-10	2.10225e-33	1.99886e-20	2.70811e-29	1000	6.04071e-48	1.99886e-20	1.1991e-06	200	0	1	1.2e-06
4	7.42261e-22	1.6714e-13	4e-06	461.984	38.016	330.05	65.9667	0.00345646	90.2707	9.72581	4.37996e-10	28.9223	25.6762	6.54945e-10	74.598	1.48516e-07	1.24753e-05	100	6.25351e-19	0.00797005	8.35522e-11	99.9992	4.16112e-10	39.9998	360	7.1537e-19	1.11783e-22	1500	0.000799384	8.31171e-08	99.9217	0.0783377	1.06966e-14	1.67146e-15	7.99769e-09	1.99736	5.73843e-15	100	600	4.76183e-12	9.76492e-14	600	2.5223e-11	1.05103e-12	600	6.23582e-18	1.99202	100	3.12355e-16	9.99604	5.97273e-07	4.84662e-10	5.32805e-28	1.29307e-09	5.72729e-32	1.1178e-19	3.39428e-28	1000	2.53607e-46	1.1178e-19	1.5984e-06	200	0	1	1.6e-06
5	4.16354e-21	5.07405e-13	5e-06	455.146	44.8545	303.387	75.8789	0.00348818	90.3363	9.66019	6.79468e-10	28.6592	25.8405	1.01572e-09	74.4994	1.85199e-07	1.92787e-05	100	2.78884e-18	0.00995324	2.02909e-10	99.999	1.00955e-09	39.9998	360	2.71657e-18	4.24494e-22	1500	0.000999007	1.61273e-07	99.9026	0.0974116	3.24726e-14	5.07426e-15	1.24995e-08	1.99671	2.61087e-14	100	600	1.37158e-11	3.53319e-13	600	7.0839e-11	3.71877e-12	600	2.77892e-17	1.99002	100	1.39262e-15	9.99505	9.17031e-07	1.11243e-09	6.85937e-27	2.90407e-09	7.22379e-31	4.2448e-19	2.39223e-27	1000	4.55652e-45	4.2448e-19	1.9975e-06	200	0	1	2e-06
6	1.68727e-20	1.256e-12	6e-06	449.033	50.9672	280.472	84.2799	0.00352013	90.4008	9.5957	9.71454e-10	28.399	26.0029	1.45178e-09	74.4014	2.21714e-07	2.7476e-05	100	9.36733e-18	0.0119327	4.18529e-10	99.9988	2.08033e-09	39.9997	360	8.07476e-18	1.26179e-21	1500	0.00119853	2.76851e-07	99.8837	0.116285	8.03802e-14	1.25606e-14	1.80059e-08	1.99606	8.93657e-14	100	600	3.22737e-11	1.00221e-12	600	1.62788e-10	1.03288e-11	600	9.32715e-17	1.98804	100	4.67637e-15	9.99406	1.29758e-06	2.17386e-09	5.4053e-26	5.56412e-09	5.58845e-30	1.26174e-18	1.16781e-26	1000	4.77408e-44	1.26174e-18	2.3964e-06	200	0	1	2.4e-06
7	5.47052e-20	2.70056e-12	7e-06	443.539	56.461	260.589	91.4745	0.00355233	90.4641	9.53231	1.31286e-09	28.1415	26.1634	1.96142e-09	74.3043	2.58063e-07	3.70289e-05	100	2.58912e-17	0.0139085	7.71275e-10	99.9986	3.83e-09	39.9997	360	2.02699e-17	3.16749e-21	1500	0.00139794	4.36744e-07	99.865	0.134961	1.72826e-13	2.70072e-14	2.452e-08	1.99541	2.51468e-13	100	600	6.60751e-11	2.40406e-12	600	3.25953e-10	2.42885e-11	600	2.57609e-16	1.98605	100	1.29219e-14	9.99307	1.73552e-06	3.80352e-09	3.06742e-25	9.56194e-09	3.11754e-29	3.16735e-18	4.43628e-26	1000	3.50695e-43	3.16736e-18	2.79511e-06	200	0	1	2.8e-06
8	1.5066e-19	5.23775e-12	8e-06	438.578	61.4218	243.192	97.6926	0.00358476	90.5264	9.47002	1.70261e-09	27.8868	26.3222	2.543e-09	74.2078	2.94251e-07	4.78999e-05	100	6.2067e-17	0.0158806	1.30879e-09	99.9984	6.49299e-09	39.9996	360	4.49624e-17	7.02617e-21	1500	0.00159723	6.47654e-07	99.8466	0.153441	3.35195e-13	5.23811e-14	3.20455e-08	1.99477	6.1317e-13	100	600	1.22215e-10	5.10214e-12	600	5.90387e-10	5.05856e-11	600	6.17085e-16	1.98406	100	3.09684e-14	9.99208	2.22757e-06	6.13996e-09	1.36337e-24	1.51842e-08	1.36414e-28	7.02582e-18	1.40218e-25	1000	1.96695e-42	7.02583e-18	3.19361e-06	200	0	1	3.2e-06
9	3.66398e-19	9.38942e-12	9e-06	434.081	65.9195	227.859	103.11	0.00361744	90.5876	9.40878	2.13965e-09	27.6347	26.4791	3.19489e-09	74.1121	3.30282e-07	6.00525e-05	99.9999	1.33499e-16	0.0178489	2.08532e-09	99.9982	1.03355e-08	39.9996	360	9.07431e-17	1.41804e-20	1500	0.00179641	9.16094e-07	99.8283	0.171727	6.0088e-13	9.39013e-14	4.0587e-08	1.99412	1.34041e-12	100	600	2.09234e-10	9.86342e-12	600	9.90906e-10	9.60576e-11	600	1.32628e-15	1.98208	100	6.65912e-14	9.99109	2.77067e-06	9.32298e-09	5.03597e-24	2.2711e-08	4.96661e-28	1.41796e-17	3.85231e-25	1000	9.00243e-42	1.41796e-17	3.59191e-06	200	0	1	3.6e-06
