Time	[AS_m]	[ASL_m]	[ASoOH_m]	[ASLpOH_m]	[ASpOH_m]	[ASLoOH_m]	[AS_c]	[ASL_c]	[ASpOH_c]	[ASoOH_c]	[ASLpOH_c]	[ASLoOH_c]	[ASpOH_b]	[ASoOH_b]	[ASLpOH_b]	[ASLoOH_b]	[AS_b]	[ASL_b]
0	8797.15	30.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	8709.69	27.1447	0.00783331	0.00180649	0.00151725	0.00341055	2660.22	104.125	10.9207	27.9353	8.82007	7.04296	38.6006	98.7441	31.1836	24.9009	9416.6	368.679
2	8625.86	25.0384	0.0549594	0.0114723	0.0107695	0.0215449	5124.86	173.953	37.7293	95.0331	26.5283	20.9936	133.573	336.455	93.9386	74.3411	18155.9	616.397
3	8545.44	23.8093	0.166533	0.0318224	0.0329813	0.0594459	7431.67	224.372	75.4997	187.504	47.0028	36.854	267.431	664.181	166.523	130.569	26335.4	795.245
4	8468.24	23.1867	0.359655	0.0634277	0.0719304	0.117865	9601.4	262.685	121.54	297.942	67.8266	52.6874	430.622	1055.64	240.354	186.709	34028.9	931.138
5	8394.09	22.9916	0.646718	0.105931	0.130528	0.195834	11648.6	293.08	174.102	421.658	87.9424	67.6808	616.943	1494.21	311.68	239.874	41287.7	1038.94
6	8322.84	23.1019	1.03699	0.158579	0.21109	0.291689	13584.2	318.123	231.934	555.389	106.89	81.511	821.956	1968.29	378.865	288.915	48151.2	1127.75
7	8254.34	23.4322	1.53748	0.220465	0.315496	0.403536	15417.3	339.448	294.087	696.726	124.496	94.0858	1042.29	2469.36	441.294	333.506	54650.8	1203.38
8	8188.46	23.9219	2.15352	0.290645	0.445281	0.529472	17155.2	358.119	359.811	843.823	140.73	105.425	1275.3	2990.85	498.859	373.717	60813.1	1269.59
9	8125.07	24.5269	2.88912	0.368202	0.60171	0.667689	18804.4	374.844	428.502	995.225	155.634	115.603	1518.82	3527.62	551.71	409.809	66660.6	1328.9
10	8064.05	25.2152	3.74724	0.452269	0.785823	0.816523	20370.4	390.101	499.66	1149.77	169.287	124.716	1771.09	4075.53	600.121	442.122	72213.3	1383
11	8005.3	25.9625	4.73	0.542046	0.998475	0.974468	21858.2	404.22	572.87	1306.5	181.779	132.865	2030.65	4631.21	644.418	471.023	77488.8	1433.06
12	7948.7	26.751	5.83883	0.636799	1.24037	1.14018	23272.4	417.43	647.78	1464.65	193.207	140.154	2296.23	5191.92	684.941	496.871	82503.1	1479.9
13	7894.17	27.5668	7.07458	0.735863	1.51207	1.31246	24617	429.895	724.093	1623.57	203.665	146.679	2566.78	5755.36	722.027	520.006	87270.7	1524.1
14	7841.6	28.3994	8.43765	0.838638	1.81403	1.49025	25895.8	441.733	801.552	1782.73	213.244	152.526	2841.41	6319.64	755.993	540.741	91805	1566.07
15	7790.91	29.2407	9.92802	0.944584	2.14662	1.67264	27112.2	453.029	879.937	1941.67	222.027	157.776	3119.31	6883.16	787.136	559.36	96118.1	1606.13
16	7742.02	30.0845	11.5454	1.05321	2.51011	1.8588	28269.5	463.85	959.058	2100.02	230.09	162.502	3399.83	7444.6	815.729	576.117	100221	1644.5
17	7694.84	30.9257	13.289	1.1641	2.9047	2.04802	29370.5	474.244	1038.75	2257.47	237.505	166.767	3682.36	8002.83	842.021	591.24	104126	1681.35
18	7649.29	31.7607	15.1582	1.27684	3.33054	2.2397	30418.2	484.25	1118.86	2413.75	244.334	170.627	3966.41	8556.9	866.238	604.929	107840	1716.83
19	7605.31	32.5865	17.1519	1.3911	3.7877	2.43328	31415.2	493.898	1199.28	2568.63	250.636	174.134	4251.51	9106.03	888.584	617.363	111375	1751.04
20	7562.82	33.4007	19.2687	1.50656	4.27623	2.62831	32363.8	503.214	1279.88	2721.92	256.463	177.33	4537.28	9649.55	909.245	628.698	114739	1784.07
21	7521.76	34.2016	21.5075	1.62295	4.79612	2.82437	33266.4	512.217	1360.57	2873.48	261.862	180.256	4823.36	10186.9	928.388	639.072	117939	1815.99
