Time	[X]	[Xa]	[Xa_ATIII]	[PL]	[PT]	[Va]	[IIa]	[V]	[II]	[IIa_alpha2M]	[IIa_ATIII]	[RVV]
0	81.25	0	0	10	0	0	0	6.712	509.3	0	0	0.335
1	27.1102	9.47062	39.136	4.4668	5.5332	0.853232	145.949	0.32557	307.005	10.3193	46.0268	0.335
2	2.58585	3.48473	70.2707	5.0913	4.9087	1.80329	208.279	1.04565e-05	54.6661	45.1177	201.237	0.335
3	0.0971457	0.657331	77.6759	7.18038	2.81962	3.89238	107.936	2.29002e-09	0.28435	73.4541	327.625	0.335
4	0.00329812	0.233498	79.4544	8.44126	1.55874	5.15326	41.3525	6.00109e-11	-1.00514e-16	85.7004	382.247	0.335
5	0.000111544	0.11582	80.2024	9.06838	0.931616	5.78038	15.8004	1.4923e-11	-1.0351e-21	90.38	403.119	0.335
6	3.77195e-06	0.0658994	80.6005	9.41646	0.583537	6.12846	6.03716	8.76859e-12	4.08104e-27	92.168	411.095	0.335
7	1.27554e-07	0.0400741	80.8349	9.62495	0.375043	6.33696	2.30674	7.15642e-12	-5.06897e-32	92.8512	414.142	0.335
8	4.31411e-09	0.0252764	80.98	9.75531	0.244687	6.46731	0.88138	6.62189e-12	-7.29712e-35	93.1123	415.306	0.335
9	1.45883e-10	0.0162915	81.0726	9.83888	0.161114	6.55088	0.336765	6.42837e-12	-1.73376e-36	93.212	415.751	0.335
10	4.91903e-12	0.010642	81.1326	9.89329	0.106704	6.60529	0.128674	6.35592e-12	-1.08794e-37	93.2501	415.921	0.335
11	1.65983e-13	0.00701113	81.172	9.92906	0.0709344	6.64106	0.0491649	6.32846e-12	-1.76981e-38	93.2647	415.986	0.335
12	5.62284e-15	0.00464463	81.1981	9.95273	0.0472713	6.66473	0.0187854	6.318e-12	-5.33169e-39	93.2703	416.011	0.335
13	1.90943e-16	0.00308805	81.2153	9.96844	0.0315529	6.68045	0.00717771	6.314e-12	-2.40445e-39	93.2724	416.02	0.335
14	6.48277e-18	0.00205805	81.2268	9.97891	0.0210836	6.69091	0.00274253	6.31248e-12	-1.41502e-39	93.2732	416.024	0.335
15	2.26811e-19	0.00137377	81.2345	9.9859	0.0140981	6.6979	0.0010479	6.3119e-12	-9.93529e-40	93.2735	416.025	0.335
16	7.65949e-21	0.000917972	81.2396	9.99057	0.0094315	6.70257	0.00040039	6.31167e-12	-7.84515e-40	93.2736	416.026	0.335
17	2.63605e-22	0.000613832	81.2431	9.99369	0.00631159	6.70569	0.000152986	6.31159e-12	-6.69931e-40	93.2737	416.026	0.335
18	9.06366e-24	0.000410652	81.2453	9.99577	0.00422463	6.70777	5.84544e-05	6.31156e-12	-6.0279e-40	93.2737	416.026	0.335
19	3.06941e-25	0.000274811	81.2469	9.99717	0.00282814	6.70917	2.23348e-05	6.31154e-12	-5.61666e-40	93.2737	416.026	0.335
20	1.06684e-26	0.000183944	81.2479	9.9981	0.00189344	6.7101	8.53394e-06	6.31154e-12	-5.35721e-40	93.2737	416.026	0.335
21	3.60736e-28	0.00012314	81.2486	9.99873	0.00126775	6.71073	3.26072e-06	6.31154e-12	-5.19027e-40	93.2737	416.026	0.335
22	1.22185e-29	8.24424e-05	81.249	9.99915	0.000848849	6.71115	1.24589e-06	6.31154e-12	-5.08142e-40	93.2737	416.026	0.335
23	4.29032e-31	5.51989e-05	81.2494	9.99943	0.000568383	6.71143	4.76043e-07	6.31154e-12	-5.00982e-40	93.2737	416.026	0.335
24	1.53016e-32	3.69598e-05	81.2496	9.99962	0.000380592	6.71162	1.81893e-07	6.31154e-12	-4.96245e-40	93.2737	416.026	0.335
25	5.17441e-34	2.4748e-05	81.2497	9.99974	0.00025485	6.71174	6.94998e-08	6.31154e-12	-4.93098e-40	93.2737	416.026	0.335
26	1.65155e-35	1.65714e-05	81.2498	9.99983	0.000170652	6.71183	2.65534e-08	6.31154e-12	-4.91002e-40	93.2737	416.026	0.335
