Time	[aca]	[oaa]	[coa]	[cit]	[icit]	[akg]	[ssa]	[suc]	[sca]	[fa]	[mal]	[gly]	[biosyn]
0	0.5	0.0003	0.0001	3.4	0.06	0.96	0.03	2.464	0.04	0.08528	0.408	0.114	0.1
1	0.5	0.0003	0.0001	0.0558264	0.00209111	0.00469627	0.0396404	4.41663	2.04162	0.00395778	0.0102264	7.09047e-06	0.1
2	0.5	0.0003	0.0001	0.0558259	0.00208596	0.0038528	0.0374809	5.01962	1.40287	0.00396912	0.0102408	6.36957e-06	0.1
3	0.5	0.0003	0.0001	0.0558255	0.00208077	0.00302799	0.0334071	5.52344	0.862429	0.00397673	0.0102504	5.86938e-06	0.1
4	0.5	0.0003	0.0001	0.0558252	0.00207602	0.0022866	0.028333	5.91368	0.434651	0.00398176	0.0102567	5.53091e-06	0.1
5	0.5	0.0003	0.0001	0.0558249	0.00207267	0.00177001	0.0239452	6.14445	0.164301	0.00398444	0.0102601	5.34672e-06	0.1
6	0.5	0.0003	0.0001	0.0558248	0.00207171	0.00162632	0.0223254	6.1727	0.0928978	0.00398476	0.0102605	5.32331e-06	0.1
7	0.5	0.0003	0.0001	0.0558248	0.00207162	0.00161633	0.0220506	6.13301	0.0880242	0.00398432	0.01026	5.35207e-06	0.1
8	0.5	0.0003	0.0001	0.0558248	0.00207159	0.00161524	0.0218846	6.08897	0.0875094	0.00398382	0.0102594	5.38455e-06	0.1
9	0.5	0.0003	0.0001	0.0558248	0.00207156	0.00161449	0.0217235	6.04491	0.0871658	0.00398332	0.0102587	5.41747e-06	0.1
10	0.5	0.0003	0.0001	0.0558248	0.00207153	0.00161376	0.0215631	6.00099	0.0868295	0.00398281	0.0102581	5.4507e-06	0.1
11	0.5	0.0003	0.0001	0.0558248	0.0020715	0.00161303	0.0214034	5.95722	0.0864945	0.0039823	0.0102574	5.48425e-06	0.1
12	0.5	0.0003	0.0001	0.0558248	0.00207147	0.0016123	0.0212443	5.9136	0.0861604	0.00398177	0.0102568	5.5181e-06	0.1
13	0.5	0.0003	0.0001	0.0558248	0.00207144	0.00161157	0.0210858	5.87014	0.0858275	0.00398125	0.0102561	5.55227e-06	0.1
14	0.5	0.0003	0.0001	0.0558248	0.00207141	0.00161085	0.020928	5.82682	0.0854956	0.00398072	0.0102554	5.58675e-06	0.1
15	0.5	0.0003	0.0001	0.0558248	0.00207138	0.00161013	0.0207707	5.78367	0.0851647	0.00398018	0.0102547	5.62156e-06	0.1
