Time	[EGF]	[EGFR]	[EGF-EGFR]	[EGF-EGFR^2]	[EGF-EGFR*^2]	[EGFRi]	[EGF-EGFR*^2-GAP-Grb2-Prot]	[EGF-EGFRi*^2]	[Proti]	[EGF-EGFRi]	[EGF-EGFRi^2]	[Prot]	[EGFideg]	[GAP]	[EGF-EGFR*^2-GAP]	[EGFi]	[EGF-EGFRi*^2-GAP]	[EGF-EGFRi*^2-GAP-Grb2]	[EGF-EGFRi*^2-GAP-Grb2-Sos]	[EGF-EGFRi*^2-GAP-Grb2-Sos-Ras-GDP]	[EGF-EGFRi*^2-GAP-Grb2-Sos-Ras-GTP]	[Grb2]	[EGF-EGFR*^2-GAP-Grb2]	[Sos]	[EGF-EGFR*^2-GAP-Grb2-Sos]	[Ras-GDP]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GDP]	[Ras-GTP]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GTP]	[Grb2-Sos]	[Shc]	[EGF-EGFR*^2-GAP-Shc]	[EGF-EGFR*^2-GAP-Shc*]	[EGF-EGFR*^2-GAP-Shc*-Grb2]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GDP]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GTP]	[Shc*-Grb2-Sos]	[Shc*-Grb2]	[Shc*]	[Raf]	[Raf-Ras-GTP]	[Ras-GTP*]	[Phosphotase1]	[Raf*]	[Raf*-P'ase]	[MEK]	[MEK-Raf*]	[MEK-P]	[MEK-P-Raf*]	[MEK-PP]	[MEK-PP-P'ase2]	[Phosphatase2]	[MEK-P-P'ase2]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-P-MEK-PP]	[ERK-PP]	[Phosphotase3]	[ERK-PP-P'ase3]	[ERK-P-P'ase3]	[EGF-EGFRi*^2-GAP-Shc]	[EGF-EGFRi*^2-GAP-Shc*]	[EGF-EGFRi*^2-GAP-Shc*-Grb2]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos-Ras-GDP]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos-Ras-GTP]	[Rasi-GTP]	[Rafi-Rasi-GTP]	[Rasi-GTP*]	[Rafi*]	[Rafi*-P'ase]	[MEKi-Rafi*]	[MEKi-P]	[MEKi-P-Rafi*]	[MEKi-PP]	[MEKi-PP-P'ase2i]	[MEKi-P-P'ase2i]	[ERKi-MEKi-PP]	[ERKi-P]	[ERKi-P-MEKi-PP]	[ERKi-PP]	[ERKi-PP-P'ase3i]	[ERKi-P-P'ase3i]	[EGFRideg]	[EGF-EGFRi*^2deg]	[EGF-EGFR*^2-GAP-Grb2-Sos-Prot]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GDP-Prot]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GTP-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GDP-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GTP-Prot]	[t_Raf*]	[t_Ras_GTP]	[t_MEK_PP]	[t_ERK_PP]	[t_SHC_P_t]	[t_EGF_EGFR*]
0	4962	50000	0	0	0	0	0	0	0	0	0	81000	0	12000	0	0	0	0	0	0	0	11000	0	26300	0	72000	0	0	0	40000	101000	0	0	0	0	0	0	0	0	0	40000	0	0	40000	0	0	2.2e+07	0	0	0	0	0	40000	0	2.1e+07	0	0	0	0	1e+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4962	17.4693	1570.4	816.606	11259.9	1.48066	1288.6	451.41	0.104868	8.04747	29.1162	75471.7	76.6836	366.933	1.54417e+08	0.245183	5.27726	414.914	1230.53	0.541888	7.04064	5995.99	829.443	25099.1	2380.08	6.75676	2.32381	53716.7	126.591	32054.6	81876.9	26.8633	195.098	14.114	164.257	0.18322	9.65032	1012.74	1207.44	15789.2	39193.4	22.3117	16354.7	39586.4	56.1354	405.401	2.09449e+07	260.847	970016	46.8793	2233.02	1.51631	1481	37879.6	7.44973e+06	1023.4	3.52668e+06	26362.1	75191.9	86804.7	1.27119e+06	8.63004e+06	0.641349	11.9437	0.950052	19.1046	0.190674	1.1599	1086.99	0.449235	292.888	1.13361	8.1514	5.26741	16663.2	0.0162565	5.42199	0.00367473	637.876	2.48479	7814.1	0.141116	0.392519	5.28873	11963.5	0.12266	11.4037	3293.71	170.709	105.644	47.6545	526.729	77.1205	18.0145	783.831	54826.5	2238.44	75192.3	19095.6	23373.5
2	4962	9.91421	989.467	721.818	10218.4	2.13775	1164.36	1648.84	0.0970901	74.1177	110.808	75881.8	1346.39	337.174	6.81318e+07	1.56479	8.2356	1105.06	3397.01	0.383714	23.695	5854.03	345.637	25327.3	1069.63	4.23262	0.708569	36552.3	119.945	31250.3	77377.3	10.9132	75.6425	5.32274	60.1698	0.0482857	6.69939	1104.77	1524.66	20430.3	39426.1	15.3487	33238.8	39715.3	38.3636	277.987	1.99899e+07	170.138	1.80986e+06	59.8092	4701.56	1.72984	803.048	38387.3	1.53006e+06	442.555	7.43614e+06	117245	1.86433e+06	15386.2	6.18809e+06	3.76673e+06	0.561163	8.28926	0.63514	11.9955	0.0701926	1.13497	891.992	0.370922	815.778	0.9335	6.74427	4.13985	38356.3	0.0308372	36.845	0.0135548	807.948	3.46819	67023.2	8.27495	129.574	411.278	29385	0.276122	99.769	3288.9	64.1874	219.131	27.5699	308.784	28.3542	16.7916	558.146	37460	4738.41	1.86446e+06	23611.3	23640.9
3	4962	8.60241	864.516	615.892	8725.68	2.92627	883.478	3042.6	0.0770361	214.198	207.352	76939	5007.77	439.717	7.09789e+07	3.30389	9.20141	1360.93	4218.36	0.324926	37.8697	5802.43	301.68	25413.9	948.83	4.17484	0.436608	24815.3	141.279	31051.9	74037.6	10.8547	74.9026	5.22045	58.7303	0.0300648	8.72215	1250.38	1741.89	23549.4	39601.7	10.5015	44635.8	39804.9	26.1244	189.741	1.95041e+07	113.043	2.19154e+06	49.3238	38922.2	11.8226	663.549	38416.4	14990.7	35.8964	1.33022e+06	173751	9.42858e+06	4597.52	9.65825e+06	327841	0.490536	6.2153	0.466907	8.37416	0.0260688	1.18024	702.625	0.293524	1316.67	0.736867	5.33698	3.18841	52053.4	0.0330395	85.453	0.0259803	908.19	0.0788117	56122.1	16.0949	873.834	894.196	8414.86	0.497318	303.503	2635.36	24.275	272.327	17.7781	199.566	10.4367	17.7214	387.527	25528.7	39007.6	9.42946e+06	26951	23535.9
4	4962	7.8332	785.323	503.98	7129.63	3.45156	769.296	4391	0.069794	384.263	301.952	77320.7	11320.7	543.743	7.25938e+07	5.02516	9.34512	1414.27	4408.48	0.319938	50.8369	5749.2	299.272	25500	945.229	4.71621	0.314524	16826.6	165.651	30864.2	70704.7	10.619	73.5392	5.07868	57.2798	0.0201706	10.035	1393.48	1948.3	26584.2	39727	7.15908	52210.3	39866.6	17.7504	129.126	1.9317e+07	76.0707	2.30228e+06	35.209	106022	30.6276	630.479	38348.7	1043.63	6.80697	492794	175335	1.03064e+07	4301.42	9.92901e+06	62373.7	0.44889	5.37817	0.398357	7.01131	0.00991218	1.3778	560.395	0.234874	1796.36	0.588296	4.26535	2.52111	59682.6	0.0302455	140.093	0.0404742	990.192	0.00899445	27913.1	13.1265	784.712	766.719	3550.62	0.776979	627.265	2370.7	9.42554	331.715	14.1668	159.327	3.85738	20.7064	265.561	17394.3	106162	1.03072e+07	30284.2	23278.8
5	4962	7.09403	708.677	394.07	5561.31	3.65613	722.05	5641.3	0.0672853	530.769	390.325	77453	20097.3	675.582	7.13616e+07	6.55277	9.27521	1412.15	4423.19	0.326029	62.314	5701.07	292.8	25587.5	928.987	5.18549	0.231481	11404	179.331	30706	67519.2	9.98498	69.4178	4.75468	53.8262	0.0138144	10.3915	1527.64	2141.8	29471.8	39814.1	4.86963	57184.6	39908.7	12.0459	87.7234	1.93249e+07	51.6448	2.24416e+06	23.2915	152685	45.127	644.948	38240.2	457.865	4.30075	342640	175568	1.04708e+07	4243.66	9.95348e+06	39966	0.419087	4.94339	0.362382	6.36387	0.00397151	1.5347	463.744	0.19481	2273.96	0.487015	3.53204	2.08792	63014.8	0.0264367	189.881	0.0561204	1069.65	0.00534846	14243.2	9.07939	554.31	537.364	1771.36	1.08796	1064.07	2262.41	3.84394	381.059	12.4787	140.749	1.43672	22.9187	180.839	11872.9	152875	1.04713e+07	33470.4	22917.4
6	4962	6.31948	628.798	289.784	4074.36	3.64691	691.916	6788.19	0.065614	637.519	471.453	77541.1	31032.5	866.363	6.81369e+07	7.8906	9.14261	1395.1	4388.11	0.331984	72.1356	5665.21	282.104	25671.7	900.786	5.52064	0.174163	7729.9	184.456	30607.7	64567.6	9.1319	63.728	4.3384	49.3145	0.00967598	10.1039	1652.04	2321.42	32146	39873.6	3.30873	60402.2	39937.4	8.17147	59.5511	1.9462e+07	35.2822	2.07691e+06	14.6229	182540	58.0688	694.145	38092	306.859	3.44592	286759	175664	1.05336e+07	4221.77	9.96197e+06	32540.6	0.392954	4.60927	0.335384	5.89803	0.00176921	1.59867	400.608	0.168555	2751.49	0.420734	3.05114	1.81654	63267.1	0.0229302	232.634	0.0740026	1155.68	0.00439159	7475.84	5.83874	359.456	347.535	919.598	1.40646	1605.09	2189.63	1.70026	412.104	11.3035	127.951	0.542907	23.6942	122.939	8133.99	182772	1.0534e+07	36422.9	22467.6
7	4962	5.50749	545.391	194.634	2719.94	3.54104	661.406	7826.29	0.0635136	713.806	544.777	77651.8	43884.6	1160.17	6.23642e+07	9.09897	8.95799	1369.64	4323.51	0.333506	80.2288	5648.97	266.427	25748.5	858.845	5.73181	0.133624	5243.03	182.537	30603.2	61915.5	8.02871	56.2422	3.81883	43.5951	0.00682846	9.28273	1766.27	2487.72	34548.5	39913.8	2.24781	62442.1	39956.8	5.54494	40.4291	1.96854e+07	24.2164	1.83765e+06	8.77984	200551	71.7223	780.35	37892.4	248.152	3.06162	261075	175711	1.05629e+07	4211.66	9.96583e+06	29242.8	0.366716	4.27026	0.309423	5.43779	0.000932378	1.57173	359.659	0.151494	3223.56	0.377709	2.73872	1.64948	61156.8	0.0198987	268.79	0.0961229	1255.42	0.00410336	4051.8	3.65637	225.827	217.951	494.128	1.71928	2241.14	2111.44	0.845682	425.296	10.1762	115.644	0.210657	23.1034	83.7561	5605.08	200820	1.05631e+07	39076.2	21930.8
8	4962	4.67487	460.181	113.849	1574.15	3.40438	620.955	8747.1	0.0602912	770.942	609.767	77821.7	58494.7	1626.07	5.27285e+07	10.2218	8.69217	1332.92	4220.19	0.32715	86.2559	5663.01	242.636	25813.2	794.245	5.8147	0.10277	3560.34	173.069	30744.4	59654.3	6.55329	46.0911	3.1385	35.9952	0.00466944	7.88361	1869.55	2641.41	36592.9	39940.9	1.52799	63705.8	39970	3.76609	27.4677	1.99665e+07	16.6824	1.55065e+06	5.03205	210692	88.6345	917.951	37617.3	221.767	2.87444	248541	175734	1.05773e+07	4206.71	9.96773e+06	27646.9	0.337854	3.87119	0.280578	4.89793	0.000587373	1.45633	331.889	0.139908	3682.32	0.348545	2.52711	1.54386	57010.6	0.0171176	299.132	0.125835	1375.98	0.00408102	2293.5	2.30327	142.276	137.035	277.037	2.02126	2962.41	2004.15	0.481722	421.347	8.86557	101.167	0.0854102	21.193	57.3849	3893.9	210991	1.05774e+07	41338.8	21305
9	4962	3.86178	377.461	54.2367	735.048	3.26312	561.856	9537.5	0.055252	815.439	665.59	78087.3	74751.2	2349.67	3.85816e+07	11.2798	8.29514	1277.88	4055.3	0.30923	89.4481	5721.1	207.489	25860.9	696.969	5.74746	0.0768039	2421.11	154.741	31100.3	57905.7	4.66584	32.9626	2.26877	26.1601	0.00288415	5.8797	1960.99	2782.81	38161.4	39959.2	1.03976	64475.7	39979	2.56111	18.683	2.02858e+07	11.5262	1.23268e+06	2.72042	215756	112.941	1142.27	37218.9	209.834	2.78514	242723	175745	1.0584e+07	4204.39	9.96865e+06	26895.1	0.304066	3.36997	0.245756	4.21473	0.00041044	1.24656	310.161	0.130824	4117.29	0.325777	2.36234	1.46608	50832.7	0.0142661	323.966	0.169579	1525.74	0.004182	1383.02	1.50414	92.7006	89.0283	164.977	2.31107	3758.17	1843.81	0.307356	398.837	7.21127	82.6508	0.0366775	17.8933	39.6592	2732.45	216080	1.05841e+07	43089.4	20588.5
