Time	[CycBt]	[CycB]	[Cdc20a]	[Trimer]	[Cdh1]	[m]	[Cdc20t]	[IEP]	[Mad]	[CKIt]	[SK]
0	0.001	0.000618034	0.001	0.000381966	0.001	0.5	0.001	0.001	1	0.001	0.001
1	0.0298192	4.79659e-05	1.67253e-06	0.0297712	0.888861	0.50238	0.00566297	0.000982733	1	0.650446	0.0188347
2	0.0355761	5.30776e-05	1.75663e-06	0.035523	0.997889	0.504771	0.00988219	0.000965748	1	0.704789	0.025797
3	0.037494	6.17782e-05	1.77259e-06	0.0374322	0.997621	0.507173	0.0136999	0.000949507	1	0.643345	0.0287412
4	0.0381777	6.76706e-05	1.76783e-06	0.03811	0.997485	0.509586	0.0171543	0.000933974	1	0.601279	0.0302085
5	0.0384223	7.10614e-05	1.75436e-06	0.0383513	0.9974	0.512009	0.02028	0.000918993	1	0.578043	0.0311417
6	0.0385108	7.32505e-05	1.73659e-06	0.0384375	0.997332	0.514444	0.0231082	0.000904462	1	0.563178	0.0318908
7	0.0385437	7.49874e-05	1.71653e-06	0.0384687	0.997269	0.516889	0.0256673	0.000890334	1	0.551471	0.0325863
8	0.0385568	7.65906e-05	1.69526e-06	0.0384803	0.997207	0.519346	0.0279829	0.000876589	1	0.540895	0.0332773
9	0.038563	7.81838e-05	1.67338e-06	0.0384848	0.997144	0.521813	0.0300781	0.000863217	1	0.53072	0.0339829
10	0.0385668	7.98151e-05	1.65129e-06	0.038487	0.997078	0.524291	0.0319739	0.000850212	1	0.520688	0.034711
11	0.0385697	8.15047e-05	1.62922e-06	0.0384882	0.997009	0.526781	0.0336893	0.00083757	1	0.510709	0.0354657
12	0.0385724	8.32628e-05	1.60733e-06	0.0384892	0.996938	0.529282	0.0352415	0.000825288	1	0.500751	0.0362494
13	0.0385752	8.50961e-05	1.58575e-06	0.0384901	0.996863	0.531794	0.0366459	0.000813364	1	0.490803	0.0370642
14	0.038578	8.70106e-05	1.56456e-06	0.038491	0.996786	0.534317	0.0379167	0.000801796	1	0.480862	0.0379123
15	0.0385809	8.9012e-05	1.54381e-06	0.0384919	0.996704	0.536851	0.0390666	0.000790582	1	0.470926	0.0387958
