Time	[pRB_E2F]	[E2F]	[pRB_P]	[i_cyclinE_CDK2]	[a_cyclinE_CDK2]	[pRB]	[CycD_CDK4]	[p27]	[cycE_CDK2_p27]	[p16]	[cycD_CDK4_p27]
44	1.34467	0.474488	0.609484	9.30411	0.00129672	0.677053	0.00143497	12.9299	0.960869	2.03198	0.0310136
45	1.32298	0.48848	0.630882	9.79691	0.00130383	0.688827	0.00143706	12.8829	0.960803	2.02861	0.0316271
46	1.30126	0.502278	0.652304	10.2994	0.00131116	0.700492	0.00143901	12.8358	0.960801	2.02556	0.0322324
47	1.27953	0.515866	0.673728	10.8112	0.00131873	0.712049	0.00144085	12.7886	0.960867	2.02281	0.0328295
48	1.25781	0.52923	0.695137	11.3317	0.00132652	0.723499	0.00144258	12.7414	0.961	2.02031	0.0334184
49	1.23612	0.542355	0.716514	11.8604	0.00133456	0.734843	0.00144421	12.6941	0.961204	2.01805	0.0339992
50	1.21447	0.555229	0.737841	12.3969	0.00134285	0.74608	0.00144575	12.6466	0.961481	2.016	0.0345717
51	1.19288	0.567837	0.759102	12.9405	0.00135139	0.757213	0.00144722	12.5991	0.961832	2.01415	0.0351361
52	1.17137	0.58017	0.78028	13.4909	0.00136019	0.768242	0.00144861	12.5515	0.962259	2.01246	0.0356924
53	1.14996	0.592215	0.801361	14.0475	0.00136926	0.779167	0.00144993	12.5037	0.962764	2.01094	0.0362405
54	1.12865	0.603964	0.82233	14.6096	0.0013786	0.78999	0.00145119	12.4558	0.963349	2.00955	0.0367805
55	1.10745	0.615406	0.843173	15.1769	0.00138821	0.800711	0.00145239	12.4078	0.964016	2.0083	0.0373125
56	1.0864	0.626535	0.863877	15.7487	0.00139811	0.811332	0.00145355	12.3596	0.964767	2.00716	0.0378364
57	1.06549	0.637341	0.884429	16.3245	0.00140831	0.821853	0.00145465	12.3113	0.965604	2.00612	0.0383523
58	1.04473	0.647819	0.904818	16.9038	0.0014188	0.832275	0.00145572	12.2629	0.966528	2.00518	0.0388602
59	1.02415	0.657961	0.925032	17.486	0.0014296	0.842598	0.00145674	12.2143	0.967542	2.00432	0.0393602
60	1.00375	0.667764	0.94506	18.0707	0.00144071	0.852825	0.00145773	12.1655	0.968647	2.00354	0.0398523
61	0.983541	0.677222	0.964893	18.6571	0.00145214	0.862955	0.00145869	12.1166	0.969845	2.00283	0.0403366
62	0.96353	0.686332	0.98452	19.245	0.0014639	0.87299	0.00145961	12.0675	0.971138	2.00218	0.0408131
63	0.943729	0.695089	1.00393	19.8337	0.00147599	0.88293	0.00146051	12.0182	0.972528	2.00159	0.0412817
64	0.924145	0.703492	1.02313	20.4226	0.00148843	0.892776	0.00146139	11.9687	0.974016	2.00105	0.0417427
65	0.904785	0.711539	1.04209	21.0114	0.00150122	0.90253	0.00146224	11.919	0.975605	2.00056	0.042196
66	0.885658	0.719227	1.06081	21.5995	0.00151437	0.912192	0.00146306	11.8691	0.977297	2.00011	0.0426416
67	0.86677	0.726557	1.07929	22.1863	0.00152788	0.921762	0.00146387	11.819	0.979092	1.99969	0.0430797
68	0.848126	0.733529	1.09753	22.7716	0.00154178	0.931243	0.00146466	11.7687	0.980993	1.99932	0.0435102
69	0.829732	0.740141	1.1155	23.3546	0.00155606	0.940634	0.00146544	11.7182	0.983002	1.99897	0.0439332
70	0.811593	0.746396	1.13322	23.9351	0.00157074	0.949937	0.0014662	11.6674	0.985121	1.99865	0.0443488
71	0.793713	0.752294	1.15067	24.5124	0.00158583	0.959153	0.00146694	11.6164	0.98735	1.99835	0.0447569
72	0.776097	0.757837	1.16786	25.0863	0.00160133	0.968282	0.00146767	11.5651	0.989693	1.99808	0.0451577
73	0.758748	0.763028	1.18477	25.6563	0.00161726	0.977325	0.00146839	11.5136	0.99215	1.99783	0.0455512
74	0.741668	0.767868	1.20141	26.2219	0.00163362	0.986283	0.00146909	11.4618	0.994725	1.99759	0.0459374
75	0.724861	0.772362	1.21777	26.7827	0.00165044	0.995158	0.00146979	11.4097	0.997417	1.99738	0.0463163
76	0.708328	0.776512	1.23385	27.3384	0.00166771	1.00395	0.00147047	11.3574	1.00023	1.99718	0.046688
77	0.692072	0.780321	1.24965	27.8886	0.00168546	1.01266	0.00147115	11.3048	1.00317	1.99699	0.0470526
78	0.676094	0.783795	1.26516	28.4328	0.00170369	1.02129	0.00147182	11.2519	1.00622	1.99682	0.0474101
