Time	[R1]	[P1]	[P1_prime]	[R2]	[P2]	[P2_prime]	[P3_prime]	[P4_prime]
0	0.01	0.1	0.1	0.1	1	1	0.1	0.1
1	0.00790405	0.0837186	0.325831	0.0790405	0.837186	1.32671	0.402103	0.0690444
2	0.0062474	0.0699121	0.421993	0.062474	0.699121	1.51642	0.679055	0.047754
3	0.00493797	0.0582496	0.45894	0.0493797	0.582496	1.61695	0.879688	0.0332722
4	0.003903	0.0484322	0.432327	0.03903	0.484322	1.6608	1.02045	0.0232874
5	0.00308495	0.0401932	0.369949	0.0308495	0.401932	1.66971	1.11821	0.0161969
6	0.00243836	0.0332977	0.303377	0.0243836	0.332977	1.65793	1.18563	0.0112068
7	0.00192729	0.0275412	0.245714	0.0192729	0.275412	1.63476	1.23174	0.00774107
8	0.00152334	0.0227461	0.199817	0.0152334	0.227461	1.60622	1.26285	0.00534504
9	0.00120406	0.0187602	0.164896	0.0120406	0.187602	1.57608	1.28337	0.00369033
10	0.000951691	0.0154531	0.139175	0.00951691	0.154531	1.5466	1.29638	0.00254783
11	0.000752221	0.0127138	0.120818	0.00752221	0.127138	1.51907	1.30404	0.00175903
12	0.000594559	0.0104486	0.10821	0.00594559	0.104486	1.49411	1.30788	0.00121444
13	0.000469942	0.00857808	0.100023	0.00469942	0.0857808	1.47197	1.30902	0.000838455
14	0.000371445	0.00703558	0.095183	0.00371445	0.0703558	1.45263	1.30828	0.000578872
15	0.000293592	0.00576519	0.0928385	0.00293592	0.0576519	1.43593	1.30626	0.000399655
16	0.000232056	0.00472014	0.0923147	0.00232056	0.0472014	1.42165	1.30342	0.000275923
17	0.000183418	0.00386139	0.0930807	0.00183418	0.0386139	1.40953	1.30012	0.000190498
18	0.000144975	0.00315646	0.0947222	0.00144975	0.0315646	1.39931	1.29661	0.000131521
19	0.000114589	0.00257836	0.0969194	0.00114589	0.0257836	1.39073	1.29308	9.08026e-05
20	9.05716e-05	0.0021047	0.099429	0.000905716	0.021047	1.38356	1.28966	6.26907e-05
21	7.15882e-05	0.00171693	0.10207	0.000715882	0.0171693	1.37758	1.28644	4.32823e-05
22	5.65837e-05	0.00139975	0.104711	0.000565837	0.0139975	1.37262	1.28347	2.98828e-05
23	4.4724e-05	0.00114049	0.107261	0.00044724	0.0114049	1.36851	1.28078	2.06319e-05
24	3.53501e-05	0.000928728	0.10966	0.000353501	0.00928728	1.36511	1.27839	1.42452e-05
25	2.79409e-05	0.000755885	0.111871	0.000279409	0.00755885	1.36231	1.27628	9.83596e-06
26	2.20846e-05	0.000614898	0.113875	0.000220846	0.00614898	1.36	1.27444	6.79202e-06
27	1.74558e-05	0.000499964	0.115668	0.000174558	0.00499964	1.3581	1.27285	4.69068e-06
28	1.37971e-05	0.000406326	0.117254	0.000137971	0.00406326	1.35655	1.27149	3.24012e-06
29	1.09053e-05	0.000330078	0.118643	0.000109053	0.00330078	1.35527	1.27032	2.23884e-06
30	8.61961e-06	0.000268025	0.119849	8.61961e-05	0.00268025	1.35422	1.26934	1.54775e-06
31	6.81298e-06	0.000217548	0.120888	6.81298e-05	0.00217548	1.35337	1.26851	1.07079e-06
32	5.38502e-06	0.000176509	0.121779	5.38502e-05	0.00176509	1.35267	1.26781	7.41667e-07
33	4.25634e-06	0.000143158	0.122537	4.25634e-05	0.00143158	1.3521	1.26723	5.14587e-07
34	3.36423e-06	0.000116067	0.12318	3.36423e-05	0.00116067	1.35163	1.26674	3.57943e-07
35	2.65911e-06	9.40698e-05	0.123722	2.65911e-05	0.000940698	1.35125	1.26634	2.49912e-07
36	2.10177e-06	7.62163e-05	0.124177	2.10177e-05	0.000762163	1.35094	1.266	1.7543e-07
37	1.66125e-06	6.17313e-05	0.124558	1.66125e-05	0.000617313	1.35069	1.26573	1.24095e-07
38	1.31306e-06	4.99838e-05	0.124876	1.31306e-05	0.000499838	1.35049	1.2655	8.87292e-08
39	1.03785e-06	4.04598e-05	0.125141	1.03785e-05	0.000404598	1.35032	1.26531	6.43766e-08
40	8.20321e-07	3.27411e-05	0.12536	8.20321e-06	0.000327411	1.35018	1.26516	4.76178e-08
41	6.48385e-07	2.64876e-05	0.125542	6.48385e-06	0.000264876	1.35007	1.26503	3.60931e-08
42	5.12487e-07	2.14228e-05	0.125692	5.12487e-06	0.000214228	1.34998	1.26493	2.81745e-08
43	4.05072e-07	1.73219e-05	0.125816	4.05072e-06	0.000173219	1.34991	1.26485	2.27393e-08
44	3.20171e-07	1.40026e-05	0.125917	3.20171e-06	0.000140026	1.34985	1.26478	1.90132e-08
45	2.53065e-07	1.13166e-05	0.126001	2.53065e-06	0.000113166	1.3498	1.26472	1.64625e-08
46	2.00024e-07	9.14366e-06	0.12607	2.00024e-06	9.14366e-05	1.34977	1.26467	1.47196e-08
47	1.581e-07	7.3863e-06	0.126126	1.581e-06	7.3863e-05	1.34973	1.26464	1.3531e-08
48	1.24963e-07	5.96539e-06	0.126172	1.24963e-06	5.96539e-05	1.34971	1.26461	1.27226e-08
49	9.87711e-08	4.81679e-06	0.126209	9.87711e-07	4.81679e-05	1.34969	1.26458	1.21745e-08
50	7.80691e-08	3.88855e-06	0.12624	7.80691e-07	3.88855e-05	1.34967	1.26456	1.18043e-08
51	0.891098	0.203281	0.14468	6.17062e-07	3.13856e-05	1.34966	1.26454	1.34283e-08
52	1.59543	0.700929	0.246664	4.87729e-07	2.53273e-05	1.34965	1.26453	2.95064e-07
53	2.15213	1.36371	0.45951	3.85503e-07	2.04346e-05	1.34959	1.26452	7.91915e-05
54	2.59215	2.10302	0.776726	3.04704e-07	1.64841e-05	1.34351	1.26426	0.0102062
55	2.93995	2.85963	1.18496	2.40839e-07	1.32949e-05	1.2288	1.25352	0.201375
56	3.21485	3.59539	1.71514	1.90361e-07	1.07209e-05	1.02819	1.16744	0.535515
57	3.43213	4.28708	2.40749	1.50462e-07	8.64379e-06	0.871007	0.961004	0.786646
58	3.60387	4.92184	3.20373	1.18926e-07	6.96798e-06	0.725384	0.713338	0.960887
59	3.73961	5.49398	3.9577	9.39995e-08	5.61617e-06	0.574292	0.501654	1.08123
60	3.84691	6.00249	4.61592	7.42977e-08	4.52592e-06	0.43911	0.347355	1.16431
61	3.93171	6.44944	5.1852	5.87253e-08	3.64677e-06	0.331034	0.239901	1.22168
62	3.99874	6.8387	5.67801	4.64167e-08	2.93797e-06	0.249157	0.165635	1.26128
63	4.05172	7.17515	6.10475	3.6688e-08	2.36659e-06	0.188741	0.114355	1.28863
64	4.0936	7.46409	6.47387	2.89984e-08	1.90607e-06	0.14479	0.0789513	1.3075
65	4.1267	7.71088	6.79252	2.29205e-08	1.53496e-06	0.113083	0.0545082	1.32054
66	4.15286	7.92065	7.06686	1.81164e-08	1.23594e-06	0.0903295	0.0376326	1.32953
67	4.17354	8.09821	7.30236	1.43193e-08	9.95047e-07	0.0740603	0.0259817	1.33575
68	4.18988	8.24797	7.5039	1.13181e-08	8.01004e-07	0.0624568	0.0179378	1.34004
69	4.2028	8.37386	7.67583	8.94585e-09	6.44722e-07	0.0541969	0.0123843	1.343
70	4.21301	8.47937	7.82206	7.07084e-09	5.18871e-07	0.0483257	0.00855017	1.34504
71	4.22108	8.56758	7.94605	5.58883e-09	4.17537e-07	0.0441574	0.00590306	1.34645
72	4.22746	8.64114	8.05088	4.41744e-09	3.35956e-07	0.0412012	0.00407549	1.34743
73	4.23251	8.70236	8.13928	3.49156e-09	2.70284e-07	0.0391064	0.00281373	1.3481
74	4.23649	8.75321	8.21363	2.75975e-09	2.17427e-07	0.0376231	0.00194261	1.34856
75	4.23964	8.79536	8.27602	2.18132e-09	1.74888e-07	0.0365736	0.00134118	1.34889
76	4.24213	8.83025	8.32825	1.72413e-09	1.40657e-07	0.0358315	0.000925956	1.34911
77	4.2441	8.85909	8.37187	1.36276e-09	1.13115e-07	0.035307	0.000639283	1.34926
78	4.24565	8.88288	8.40825	1.07713e-09	9.09566e-08	0.0349366	0.000441363	1.34937
79	4.24688	8.90249	8.43852	8.51369e-10	7.3132e-08	0.0346751	0.000304718	1.34944
80	4.24786	8.91863	8.46366	6.72926e-10	5.8795e-08	0.0344906	0.000210378	1.34949
81	4.24862	8.93191	8.48451	5.31884e-10	4.72643e-08	0.0343604	0.000145246	1.34952
82	4.24923	8.94281	8.50178	4.20404e-10	3.79916e-08	0.0342687	0.000100278	1.34955
83	4.24971	8.95175	8.51606	3.32289e-10	3.05354e-08	0.034204	6.92323e-05	1.34956
84	4.25009	8.95909	8.52785	2.62643e-10	2.45404e-08	0.0341585	4.77982e-05	1.34958
85	4.25039	8.96509	8.53758	2.07594e-10	1.97208e-08	0.0341264	3.3e-05	1.34958
86	4.25063	8.97001	8.54559	1.64083e-10	1.58464e-08	0.0341039	2.27833e-05	1.34959
87	4.25081	8.97403	8.55218	1.29692e-10	1.27321e-08	0.034088	1.57296e-05	1.34959
