Time	[S]	[X1]	[E1]	[E2]	[P]	[Etot]
91	-1.1714e-14	-2.34276e-14	0.4	0.6	1	1
92	-1.12262e-14	-2.24521e-14	0.4	0.6	1	1
93	-1.03575e-14	-2.07148e-14	0.4	0.6	1	1
94	-9.10793e-15	-1.82157e-14	0.4	0.6	1	1
95	-7.47747e-15	-1.49548e-14	0.4	0.6	1	1
96	-5.27242e-15	-1.05448e-14	0.4	0.6	1	1
97	-4.79963e-15	-9.59923e-15	0.4	0.6	1	1
98	-4.32684e-15	-8.65366e-15	0.4	0.6	1	1
99	-3.85405e-15	-7.70808e-15	0.4	0.6	1	1
100	-3.38126e-15	-6.7625e-15	0.4	0.6	1	1
