Time	[BasalACh2]	[IntermediateACh]	[ActiveACh]	[Active]	[BasalACh]	[Basal]	[DesensitisedACh2]	[Desensitised]	[IntermediateACh2]	[DesensitisedACh]	[Intermediate]	[ActiveACh2]	[ACh]
0	0	0	0	0	0	1e-06	0	0	0	0	0	0	1e-05
1	8.27468e-10	5.73992e-09	5.13568e-10	1.80309e-12	1.09046e-08	3.59481e-08	3.97366e-08	4.3182e-13	8.70582e-07	2.61985e-10	9.46092e-12	3.54741e-08	8.08934e-06
2	7.89822e-10	5.48703e-09	4.90424e-10	1.72258e-12	1.04129e-08	3.43428e-08	8.22177e-08	8.9428e-13	8.31845e-07	5.42312e-10	9.0482e-12	3.38607e-08	8.08564e-06
3	7.54654e-10	5.24497e-09	4.68788e-10	1.64729e-12	9.95354e-09	3.28417e-08	1.22754e-07	1.33633e-12	7.94808e-07	8.10036e-10	8.65274e-12	3.2353e-08	8.08218e-06
4	7.21099e-10	5.01382e-09	4.48128e-10	1.57533e-12	9.51486e-09	3.14071e-08	1.61433e-07	1.75884e-12	7.59471e-07	1.06571e-09	8.2748e-12	3.09144e-08	8.07888e-06
5	6.89083e-10	4.79311e-09	4.284e-10	1.50657e-12	9.09596e-09	3.00361e-08	1.9834e-07	2.16264e-12	7.25754e-07	1.30987e-09	7.91363e-12	2.95419e-08	8.07572e-06
6	6.58535e-10	4.58236e-09	4.09562e-10	1.44085e-12	8.69597e-09	2.87261e-08	2.33557e-07	2.54854e-12	6.93584e-07	1.54302e-09	7.5685e-12	2.82322e-08	8.07271e-06
7	6.29388e-10	4.38113e-09	3.91575e-10	1.37806e-12	8.31405e-09	2.74742e-08	2.67161e-07	2.91731e-12	6.62888e-07	1.76566e-09	7.23871e-12	2.69827e-08	8.06982e-06
8	6.01576e-10	4.18898e-09	3.744e-10	1.31807e-12	7.94937e-09	2.62781e-08	2.99227e-07	3.26969e-12	6.336e-07	1.97826e-09	6.92361e-12	2.57903e-08	8.06707e-06
9	5.75039e-10	4.00553e-09	3.58002e-10	1.26074e-12	7.60118e-09	2.51353e-08	3.29825e-07	3.60639e-12	6.05654e-07	2.18126e-09	6.62255e-12	2.46527e-08	8.06444e-06
10	5.49718e-10	3.83037e-09	3.42345e-10	1.20598e-12	7.26874e-09	2.40435e-08	3.59022e-07	3.92809e-12	5.78989e-07	2.3751e-09	6.33493e-12	2.35671e-08	8.06193e-06
11	5.25558e-10	3.66314e-09	3.27397e-10	1.15366e-12	6.95135e-09	2.30005e-08	3.86882e-07	4.23543e-12	5.53547e-07	2.56017e-09	6.06016e-12	2.25314e-08	8.05953e-06
