Time	[s-Frq_1]	[l-Frq_1]	[WC-1_1]	[s-Frq_2]	[l-Frq_2]	[WC-1_2]	[Frq mRNA]	[WC-1 mRNA]	[s-Frq]	[l-Frq]	[WC-1]	[WC-1*]	[tot s-Frq]	[tot l-Frq]	[tot Frq]	[tot WC-1]
0	0.43076	0.45583	5.84748	0.10647	0.09872	5.70265	0.6935	1.2689	0.06565	0.07719	26.4393	0	0.60288	0.63174	1.23462	37.9894
1	0.448044	0.479734	5.77079	0.101616	0.0953369	5.71608	0.788934	1.26878	0.0617577	0.0728239	26.4667	0	0.611417	0.647894	1.25931	37.9536
2	0.484147	0.523955	5.67714	0.100554	0.0959262	5.71569	0.908788	1.26865	0.0583679	0.0690671	26.4945	0	0.643068	0.688949	1.33202	37.8873
3	0.537479	0.586583	5.57373	0.103291	0.100393	5.70153	1.04857	1.26854	0.0557034	0.066163	26.5205	0	0.696474	0.753139	1.44961	37.7958
4	0.605646	0.664827	5.46826	0.109684	0.108501	5.67474	1.20094	1.26842	0.0539381	0.0643002	26.5429	0	0.769269	0.837628	1.6069	37.6859
5	0.68503	0.754517	5.36844	0.119413	0.119845	5.63732	1.35539	1.26831	0.0531934	0.063608	26.5599	0	0.857636	0.93797	1.79561	37.5657
6	0.770574	0.849882	5.28156	0.131939	0.133795	5.59207	1.49909	1.2682	0.0535315	0.0641485	26.5704	0	0.956045	1.04783	2.00387	37.444
7	0.855946	0.943759	5.21409	0.146485	0.149473	5.54236	1.61846	1.2681	0.0549473	0.0659074	26.5736	0	1.05738	1.15914	2.21652	37.33
8	0.934089	1.02826	5.17124	0.162037	0.16577	5.49189	1.7014	1.268	0.0573611	0.0687849	26.5692	0	1.15349	1.26281	2.4163	37.2324
9	0.998054	1.09574	5.15654	0.17741	0.181416	5.44448	1.7391	1.2679	0.0606155	0.0725927	26.5577	0	1.23608	1.34975	2.58583	37.1587
10	1.04188	1.1398	5.1715	0.191352	0.195109	5.40373	1.72731	1.2678	0.0644804	0.0770599	26.5398	0	1.29772	1.41197	2.70969	37.1151
11	1.06136	1.15611	5.2154	0.202674	0.205652	5.37283	1.66661	1.26771	0.0686666	0.0818503	26.5171	0	1.3327	1.44361	2.77632	37.1053
12	1.05447	1.14287	5.28525	0.210379	0.212092	5.35424	1.56209	1.26762	0.0728485	0.0865887	26.4911	0	1.33769	1.44155	2.77925	37.1306
