Time	[Total cdc13]	[preMPF]	[ste9]	[slp1T]	[slp1]	[IEP]	[rum1T]	[SK]	[Cell Mass]	[M-phase promoting factor]
0	0.2	0	1	0	2.2	0	0	0	1	0.2
1	0.0760809	0.0479819	0.999875	0.00895865	1.75433	0.000558306	0.0925739	0.0920684	1.00501	0.00133178
2	0.0410462	0.0269057	0.99975	0.0128643	1.34977	1.47148e-05	0.172403	0.17666	1.01005	0.000106587
3	0.031192	0.0182026	0.999514	0.0163982	0.983628	2.00668e-06	0.226499	0.253229	1.01511	6.61153e-05
4	0.0287634	0.0157229	0.99907	0.0195958	0.652415	1.46623e-06	0.253976	0.322538	1.0202	5.76147e-05
5	0.0286097	0.0153646	0.997976	0.0224892	0.352916	1.4081e-06	0.259742	0.385276	1.02532	5.70282e-05
6	0.0292079	0.0157196	0.99122	0.0251072	0.0827282	1.47106e-06	0.251036	0.442067	1.03045	6.04967e-05
7	0.030812	0.0168245	0.909587	0.027476	6.30144e-09	1.63423e-06	0.234728	0.493478	1.03562	6.82096e-05
8	0.0333441	0.0187026	0.813063	0.0296195	7.32364e-09	1.89472e-06	0.215944	0.540019	1.04081	7.96682e-05
9	0.0374662	0.0218179	0.663642	0.0315589	8.82527e-09	2.27903e-06	0.197814	0.582153	1.04603	9.68454e-05
10	0.0448222	0.0275358	0.455172	0.0333138	1.12242e-08	2.8946e-06	0.181843	0.6203	1.05127	0.000124952
11	0.05841	0.038521	0.199219	0.0349017	1.55939e-08	4.01804e-06	0.168469	0.654838	1.05654	0.000178246
12	0.0822723	0.0588718	0.0266717	0.0363385	2.54337e-08	6.55091e-06	0.157548	0.68611	1.06184	0.000302566
13	0.109076	0.0834916	0.0217663	0.0376386	4.81757e-08	1.24048e-05	0.148692	0.714425	1.06716	0.000593016
14	0.135066	0.108092	0.0182179	0.0388149	1.25492e-07	3.23474e-05	0.141387	0.74006	1.07251	0.00170233
15	0.160531	0.132336	0.0138515	0.0398793	4.14085e-07	0.000106519	0.134833	0.763258	1.07788	0.00527633
