Time	[Akt]	[Akt]	[MEK1_minus_2]	[MEK1_minus_2]	[ERK1_minus_2]	[ERK1_minus_2]	[RKIP]	[RKIP]	[PP2A]	[14_minus_3_minus_3]	[Mitogenesis_br_Differentiation]	[Raf_minus_1]	[Raf_minus_1]	[EGF]	[EGFR]	[Ras]	[GDP]	[GTP]	[PKC]	[EGFR]	[erlotinib]	[Complex_br_(EGFR/../_br_GAP)]	[Complex(Grb2/../PLC)]
0	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	0.5	0	2	5	0.5	0	5
1	4.29537	4.29537	4.95242	4.95242	4.99077	4.99077	4.06292	4.06292	5	5	0.972081	4.95157	4.95157	5	1.49054	5	0.297754	0.202246	2	1.49054	0.5	0.331236	4.66876
2	3.17685	3.17685	4.84728	4.84728	4.937	4.937	3.50255	3.50255	5	5	0.99919	4.92783	4.92783	5	1.35875	5	0.250364	0.249636	2	1.35875	0.5	0.63948	4.36052
3	2.64186	2.64186	4.71434	4.71434	4.81675	4.81675	3.15509	3.15509	5	5	1.08403	4.91043	4.91043	5	1.23037	5	0.25	0.25	2	1.23037	0.5	0.918034	4.08197
4	2.51757	2.51757	4.56234	4.56234	4.61761	4.61761	2.93521	2.93521	5	5	1.23942	4.89382	4.89382	5	1.10694	5	0.25	0.25	2	1.10694	0.5	1.16561	3.83439
5	2.50137	2.50137	4.3953	4.3953	4.33043	4.33043	2.79436	2.79436	5	5	1.47544	4.87688	4.87688	5	0.990048	5	0.25	0.25	2	0.990048	0.5	1.38176	3.61824
6	2.50007	2.50007	4.21669	4.21669	3.94824	3.94824	2.70346	2.70346	5	5	1.79984	4.85957	4.85957	5	0.881166	5	0.25	0.25	2	0.881166	0.5	1.56706	3.43294
7	2.5	2.5	4.03012	4.03012	3.46631	3.46631	2.64452	2.64452	5	5	2.21825	4.84202	4.84202	5	0.781463	5	0.25	0.25	2	0.781463	0.5	1.72315	3.27685
8	2.5	2.5	3.83924	3.83924	2.88246	2.88246	2.60618	2.60618	5	5	2.73397	4.82434	4.82434	5	0.691655	5	0.25	0.25	2	0.691655	0.5	1.85263	3.14737
9	2.5	2.5	3.64754	3.64754	2.19768	2.19768	2.5812	2.5812	5	5	3.34755	4.80661	4.80661	5	0.611943	5	0.25	0.25	2	0.611943	0.5	1.95872	3.04128
10	2.5	2.5	3.45816	3.45816	1.41834	1.41834	2.5649	2.5649	5	5	4.0555	4.78887	4.78887	5	0.542048	5	0.25	0.25	2	0.542048	0.5	2.04493	2.95507
11	2.5	2.5	3.27384	3.27384	0.569425	0.569425	2.55425	2.55425	5	5	4.84382	4.77117	4.77117	5	0.481321	5	0.25	0.25	2	0.481321	0.5	2.11467	2.88533
12	2.5	2.5	3.09686	3.09686	0.0138421	0.0138421	2.5473	2.5473	5	5	5.56687	4.75351	4.75351	5	0.428876	5	0.25	0.25	2	0.428876	0.5	2.17104	2.82896
13	2.5	2.5	2.92902	2.92902	0.00730681	0.00730681	2.54275	2.54275	5	5	5.75121	4.73592	4.73592	5	0.383735	5	0.25	0.25	2	0.383735	0.5	2.21671	2.78329
14	2.5	2.5	2.77165	2.77165	0.00651946	0.00651946	2.53978	2.53978	5	5	5.77593	4.7184	4.7184	5	0.344919	5	0.25	0.25	2	0.344919	0.5	2.25387	2.74613
15	2.5	2.5	2.62568	2.62568	0.00641507	0.00641507	2.53784	2.53784	5	5	5.77924	4.70096	4.70096	5	0.311512	5	0.25	0.25	2	0.311512	0.5	2.2843	2.7157
16	2.5	2.5	2.49164	2.49164	0.00640117	0.00640117	2.53657	2.53657	5	5	5.77968	4.68361	4.68361	5	0.282696	5	0.25	0.25	2	0.282696	0.5	2.30939	2.69061
17	2.5	2.5	2.36973	2.36973	0.00639931	0.00639931	2.53574	2.53574	5	5	5.77974	4.66634	4.66634	5	0.25776	5	0.25	0.25	2	0.25776	0.5	2.33025	2.66975
18	2.5	2.5	2.25986	2.25986	0.00639907	0.00639907	2.53519	2.53519	5	5	5.77975	4.64916	4.64916	5	0.236097	5	0.25	0.25	2	0.236097	0.5	2.34773	2.65227
19	2.5	2.5	2.16174	2.16174	0.00639904	0.00639904	2.53484	2.53484	5	5	5.77975	4.63207	4.63207	5	0.217199	5	0.25	0.25	2	0.217199	0.5	2.36249	2.63751
20	2.5	2.5	2.07484	2.07484	0.00639903	0.00639903	2.53461	2.53461	5	5	5.77975	4.61507	4.61507	5	0.200638	5	0.25	0.25	2	0.200638	0.5	2.37505	2.62495
21	2.5	2.5	1.99854	1.99854	0.00639903	0.00639903	2.53445	2.53445	5	5	5.77975	4.59816	4.59816	5	0.186058	5	0.25	0.25	2	0.186058	0.5	2.38582	2.61418
22	2.5	2.5	1.93209	1.93209	0.00639903	0.00639903	2.53435	2.53435	5	5	5.77975	4.58134	4.58134	5	0.173165	5	0.25	0.25	2	0.173165	0.5	2.39512	2.60488
23	2.5	2.5	1.8747	1.8747	0.00639903	0.00639903	2.53429	2.53429	5	5	5.77975	4.56461	4.56461	5	0.161712	5	0.25	0.25	2	0.161712	0.5	2.40321	2.59679
24	2.5	2.5	1.82552	1.82552	0.00639903	0.00639903	2.53425	2.53425	5	5	5.77975	4.54797	4.54797	5	0.151494	5	0.25	0.25	2	0.151494	0.5	2.41028	2.58972
25	2.5	2.5	1.78371	1.78371	0.00639903	0.00639903	2.53422	2.53422	5	5	5.77975	4.53142	4.53142	5	0.142339	5	0.25	0.25	2	0.142339	0.5	2.41651	2.58349
26	2.5	2.5	1.74845	1.74845	0.00639903	0.00639903	2.5342	2.5342	5	5	5.77975	4.51495	4.51495	5	0.134105	5	0.25	0.25	2	0.134105	0.5	2.42202	2.57798
27	2.5	2.5	1.71894	1.71894	0.00639903	0.00639903	2.53419	2.53419	5	5	5.77975	4.49858	4.49858	5	0.12667	5	0.25	0.25	2	0.12667	0.5	2.42692	2.57308
28	2.5	2.5	1.69443	1.69443	0.00639902	0.00639902	2.53418	2.53418	5	5	5.77975	4.4823	4.4823	5	0.119933	5	0.25	0.25	2	0.119933	0.5	2.43131	2.56869
29	2.5	2.5	1.67424	1.67424	0.00639903	0.00639903	2.53418	2.53418	5	5	5.77975	4.4661	4.4661	5	0.113806	5	0.25	0.25	2	0.113806	0.5	2.43525	2.56475
