Time	[Glucose in Cytosol]	[Glucose 6 Phosphate]	[Fructose 6 Phosphate]	[Triose-phosphate]	[3-phosphoglycerate]	[2-phosphoglycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Acetaldehyde]	[High energy phosphates]	[NAD]	[NADH]	[Glycogen]	[Trehalose]	[CO2]	[Succinate]	[Extracellular Glucose]	[Ethanol]	[Glycerol]	[ATP concentration]	[ADP concentration]	[AMP concentration]	[sum of AXP conc]
0	0.087	2.45	0.62	0.96	0.9	0.12	0.07	1.85	0.17	6.31	1.2	0.39	0	0	1	0	50	50	0.15	2.50919	1.29162	0.29919	4.1
1	0.0949711	1.10836	0.125191	0.795585	0.384457	0.0487723	0.0832137	9.5959	0.193613	6.44476	1.5503	0.0396956	0	0	1	0	50	50	0.15	2.60661	1.23155	0.261843	4.1
2	0.0986912	1.03437	0.113	0.777776	0.356996	0.0449151	0.0737871	8.54614	0.170734	6.31121	1.5457	0.0442966	0	0	1	0	50	50	0.15	2.51006	1.2911	0.298846	4.1
3	0.0987575	1.03327	0.112816	0.777528	0.356493	0.044845	0.0736199	8.52356	0.170125	6.30892	1.54556	0.0444377	0	0	1	0	50	50	0.15	2.50842	1.29208	0.299497	4.1
4	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736169	8.52316	0.170115	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
5	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
6	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
7	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
8	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
9	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
10	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
11	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
12	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
13	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
14	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
15	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
16	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
17	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
18	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
19	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
20	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
21	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
22	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
23	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
24	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
25	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
26	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
27	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
28	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
29	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
30	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
31	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
32	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
33	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
34	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
35	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
36	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
37	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
38	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
39	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
40	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
