Time	[b_Methionine]	[b_Serine]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[H2O2]	[c_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathionine]	[Homocysteine]	[c_Serine]	[SAH]	[SAM]	[c_Methionine]	[c_Formate]	[dcSAM]	[Putrescine]	[Spermine]	[Spermidine]	[Acetylspermine]	[Acetylspermidine]	[Ornithine]	[Acetyl-CoA]	[CoA]	[CO2]	[m_THF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[m_Serine]	[m_Glycine]	[m_Formate]	[Folate]	[Formaldehyde]	[Sarcosine]	[Dimethylglycine]
44	30	150	221.447	57.8844	191.26	0.828006	12.59	10	50	50	20	0.015	2.06739	8.07263	0.331593	0.195649	2.7078	0.0249377	0.952174	3016.64	121.568	10.5433	889.681	105.595	6356.73	27.7929	0.920813	582.973	10.7003	41.3916	61.189	21.0121	0.0119523	136.882	64.0745	91.0029	0.0314769	1.13598	300	37.2039	162.296	0	20.5363	1.66342	1.54946	16.4509	2153.97	1968.99	78.7051	20.1	500	5.8035	0.528082
45	30	150	221.463	57.8839	191.269	0.828087	12.5905	10	50	50	20	0.015	2.06703	8.07318	0.331562	0.195633	2.70766	0.0249353	0.952176	3016.55	121.589	10.5437	889.702	105.606	6357.78	27.7903	0.920782	582.985	10.6993	41.3854	61.1884	21.0149	0.0119561	136.914	64.0465	90.9655	0.0314628	1.13554	300	37.2043	162.296	0	20.5361	1.66341	1.54946	16.451	2154.06	1969.03	78.7131	20.1	500	5.80318	0.528076
46	30	150	221.478	57.8836	191.278	0.828166	12.591	10	50	50	20	0.015	2.06669	8.0737	0.331533	0.195619	2.70753	0.0249331	0.952178	3016.48	121.61	10.5441	889.722	105.616	6358.81	27.7879	0.920753	582.996	10.6984	41.3797	61.1879	21.0175	0.0119598	136.943	64.0211	90.9307	0.031449	1.1351	300	37.205	162.295	0	20.536	1.66341	1.54946	16.4511	2154.15	1969.06	78.7207	20.1	500	5.80288	0.52807
47	30	150	221.493	57.8837	191.287	0.828243	12.5915	10	50	50	20	0.015	2.06637	8.07418	0.331506	0.195605	2.70741	0.024931	0.95218	3016.43	121.629	10.5445	889.741	105.626	6359.82	27.7856	0.920726	583.007	10.6975	41.3743	61.1874	21.0199	0.0119632	136.967	63.9981	90.8983	0.0314358	1.13466	300	37.2061	162.294	0	20.5359	1.66341	1.54946	16.4513	2154.23	1969.1	78.7277	20.1	500	5.80261	0.528064
48	30	150	221.507	57.8841	191.296	0.828319	12.592	10	50	50	20	0.015	2.06608	8.07462	0.33148	0.195592	2.7073	0.024929	0.952182	3016.39	121.647	10.5449	889.759	105.636	6360.81	27.7835	0.9207	583.016	10.6967	41.3694	61.187	21.0221	0.0119665	136.987	63.9775	90.8684	0.0314232	1.13422	300	37.2075	162.293	0	20.5358	1.66341	1.54946	16.4514	2154.31	1969.13	78.7341	20.1	500	5.80235	0.528059
49	30	150	221.521	57.8846	191.304	0.828393	12.5925	10	50	50	20	0.015	2.06581	8.07503	0.331457	0.19558	2.70719	0.0249272	0.952183	3016.38	121.664	10.5453	889.776	105.645	6361.78	27.7816	0.920677	583.026	10.696	41.3649	61.1866	21.0241	0.0119695	137.003	63.9591	90.8407	0.0314111	1.13379	300	37.209	162.291	0	20.5356	1.66341	1.54946	16.4515	2154.38	1969.17	78.7401	20.1	500	5.80212	0.528055
50	30	150	221.534	57.8854	191.312	0.828466	12.593	10	50	50	20	0.015	2.06556	8.07541	0.331436	0.195569	2.7071	0.0249256	0.952185	3016.38	121.68	10.5457	889.792	105.655	6362.73	27.7798	0.920655	583.034	10.6953	41.3607	61.1862	21.026	0.0119723	137.015	63.9428	90.8154	0.0313998	1.13337	300	37.2108	162.289	0	20.5355	1.6634	1.54946	16.4516	2154.45	1969.2	78.7455	20.1	500	5.8019	0.52805
51	30	150	221.548	57.8864	191.32	0.828537	12.5935	10	50	50	20	0.015	2.06534	8.07575	0.331417	0.19556	2.70701	0.0249241	0.952186	3016.39	121.695	10.5461	889.807	105.664	6363.66	27.7782	0.920636	583.042	10.6947	41.3569	61.1858	21.0277	0.0119749	137.024	63.9284	90.7922	0.0313891	1.13297	300	37.2126	162.287	0	20.5355	1.6634	1.54946	16.4517	2154.52	1969.23	78.7505	20.1	500	5.8017	0.528046
52	30	150	221.56	57.8874	191.328	0.828607	12.5939	10	50	50	20	0.015	2.06514	8.07605	0.331399	0.195551	2.70694	0.0249228	0.952187	3016.41	121.709	10.5465	889.821	105.673	6364.58	27.7767	0.920618	583.049	10.6942	41.3535	61.1855	21.0293	0.0119774	137.029	63.916	90.771	0.0313792	1.13259	300	37.2146	162.285	0	20.5354	1.6634	1.54946	16.4518	2154.57	1969.25	78.755	20.1	500	5.80152	0.528042
53	30	150	221.573	57.8887	191.336	0.828676	12.5944	10	50	50	20	0.015	2.06495	8.07633	0.331383	0.195543	2.70687	0.0249215	0.952188	3016.44	121.723	10.5469	889.835	105.682	6365.48	27.7754	0.920602	583.056	10.6937	41.3504	61.1852	21.0307	0.0119797	137.03	63.9053	90.7519	0.03137	1.13222	300	37.2166	162.283	0	20.5353	1.6634	1.54946	16.4518	2154.63	1969.28	78.759	20.1	500	5.80136	0.528039
54	30	150	221.585	57.89	191.344	0.828743	12.5948	10	50	50	20	0.015	2.06479	8.07658	0.331369	0.195535	2.7068	0.0249204	0.952189	3016.48	121.737	10.5473	889.847	105.691	6366.36	27.7743	0.920587	583.062	10.6932	41.3476	61.1849	21.0319	0.0119818	137.028	63.8962	90.7345	0.0313615	1.13187	300	37.2186	162.281	0	20.5353	1.6634	1.54946	16.4519	2154.68	1969.3	78.7626	20.1	500	5.80122	0.528036
55	30	150	221.597	57.8915	191.351	0.82881	12.5952	10	50	50	20	0.015	2.06465	8.0768	0.331356	0.195529	2.70675	0.0249195	0.95219	3016.53	121.749	10.5477	889.86	105.699	6367.23	27.7732	0.920574	583.068	10.6928	41.3452	61.1846	21.033	0.0119837	137.024	63.8886	90.719	0.0313537	1.13154	300	37.2207	162.279	0	20.5352	1.6634	1.54945	16.4519	2154.73	1969.33	78.7658	20.1	500	5.80109	0.528033
56	30	150	221.608	57.893	191.359	0.828875	12.5956	10	50	50	20	0.015	2.06452	8.077	0.331345	0.195523	2.7067	0.0249186	0.952191	3016.58	121.762	10.5481	889.871	105.708	6368.08	27.7723	0.920562	583.073	10.6925	41.343	61.1844	21.034	0.0119856	137.016	63.8824	90.705	0.0313467	1.13123	300	37.2227	162.277	0	20.5352	1.6634	1.54945	16.452	2154.77	1969.35	78.7686	20.1	500	5.80098	0.52803
57	30	150	221.619	57.8946	191.366	0.828939	12.5961	10	50	50	20	0.015	2.06441	8.07717	0.331335	0.195518	2.70665	0.0249178	0.952191	3016.64	121.774	10.5485	889.882	105.716	6368.92	27.7715	0.920552	583.078	10.6922	41.3411	61.1842	21.0348	0.0119872	137.006	63.8774	90.6925	0.0313403	1.13093	300	37.2247	162.275	0	20.5351	1.6634	1.54945	16.452	2154.81	1969.37	78.7711	20.1	500	5.80088	0.528028
58	30	150	221.63	57.8962	191.373	0.829002	12.5965	10	50	50	20	0.015	2.06431	8.07732	0.331326	0.195514	2.70661	0.0249171	0.952192	3016.7	121.785	10.5489	889.893	105.724	6369.75	27.7708	0.920543	583.083	10.6919	41.3394	61.184	21.0355	0.0119888	136.993	63.8736	90.6815	0.0313346	1.13066	300	37.2267	162.273	0	20.5351	1.6634	1.54945	16.4521	2154.85	1969.39	78.7732	20.1	500	5.80079	0.528026
59	30	150	221.641	57.8979	191.38	0.829064	12.5969	10	50	50	20	0.015	2.06423	8.07744	0.331319	0.19551	2.70658	0.0249166	0.952192	3016.77	121.796	10.5493	889.903	105.732	6370.56	27.7702	0.920535	583.087	10.6917	41.338	61.1838	21.0362	0.0119902	136.979	63.8708	90.6717	0.0313296	1.13041	300	37.2286	162.271	0	20.5351	1.66339	1.54945	16.4521	2154.89	1969.41	78.775	20.1	500	5.80071	0.528024
60	30	150	221.652	57.8997	191.387	0.829125	12.5973	10	50	50	20	0.015	2.06416	8.07755	0.331312	0.195507	2.70655	0.024916	0.952193	3016.84	121.807	10.5497	889.912	105.74	6371.36	27.7697	0.920528	583.09	10.6915	41.3367	61.1837	21.0367	0.0119915	136.962	63.8689	90.6631	0.0313251	1.13018	300	37.2304	162.27	0	20.535	1.66339	1.54945	16.4521	2154.92	1969.43	78.7765	20.1	500	5.80065	0.528022
61	30	150	221.662	57.9014	191.394	0.829185	12.5977	10	50	50	20	0.015	2.0641	8.07764	0.331306	0.195504	2.70653	0.0249156	0.952193	3016.91	121.818	10.5501	889.921	105.748	6372.15	27.7692	0.920522	583.094	10.6913	41.3357	61.1835	21.0371	0.0119928	136.944	63.8679	90.6556	0.0313212	1.12996	300	37.2322	162.268	0	20.535	1.66339	1.54945	16.4521	2154.95	1969.45	78.7778	20.1	500	5.80059	0.528021
62	30	150	221.672	57.9032	191.401	0.829245	12.598	10	50	50	20	0.015	2.06406	8.07772	0.331302	0.195501	2.70651	0.0249153	0.952193	3016.99	121.828	10.5505	889.93	105.756	6372.93	27.7689	0.920517	583.097	10.6912	41.3348	61.1834	21.0375	0.0119939	136.924	63.8676	90.649	0.0313179	1.12977	300	37.2338	162.266	0	20.535	1.66339	1.54945	16.4522	2154.98	1969.46	78.7789	20.1	500	5.80054	0.528019
63	30	150	221.682	57.905	191.408	0.829303	12.5984	10	50	50	20	0.015	2.06402	8.07778	0.331298	0.195499	2.70649	0.0249149	0.952194	3017.07	121.838	10.5509	889.939	105.763	6373.7	27.7686	0.920512	583.099	10.6911	41.3341	61.1833	21.0378	0.0119949	136.902	63.868	90.6434	0.0313151	1.12959	300	37.2354	162.265	0	20.535	1.66339	1.54945	16.4522	2155.01	1969.48	78.7797	20.1	500	5.8005	0.528018
64	30	150	221.692	57.9069	191.414	0.829361	12.5988	10	50	50	20	0.015	2.06399	8.07783	0.331295	0.195498	2.70648	0.0249147	0.952194	3017.14	121.848	10.5513	889.947	105.771	6374.45	27.7684	0.920509	583.102	10.691	41.3335	61.1832	21.038	0.0119959	136.88	63.8689	90.6385	0.0313127	1.12942	300	37.2369	162.263	0	20.535	1.66339	1.54945	16.4522	2155.03	1969.49	78.7803	20.1	500	5.80047	0.528017
65	30	150	221.701	57.9087	191.421	0.829418	12.5992	10	50	50	20	0.015	2.06397	8.07786	0.331292	0.195496	2.70646	0.0249145	0.952194	3017.22	121.857	10.5517	889.954	105.778	6375.2	27.7682	0.920506	583.104	10.6909	41.3331	61.1831	21.0382	0.0119968	136.856	63.8704	90.6343	0.0313108	1.12927	300	37.2383	162.262	0	20.535	1.66339	1.54945	16.4522	2155.05	1969.51	78.7808	20.1	500	5.80045	0.528016
66	30	150	221.711	57.9105	191.427	0.829474	12.5995	10	50	50	20	0.015	2.06395	8.07789	0.33129	0.195495	2.70646	0.0249143	0.952194	3017.3	121.867	10.5521	889.962	105.786	6375.93	27.7681	0.920503	583.106	10.6909	41.3328	61.183	21.0383	0.0119976	136.832	63.8723	90.6308	0.0313093	1.12914	300	37.2397	162.26	0	20.535	1.66339	1.54945	16.4522	2155.07	1969.52	78.7811	20.1	500	5.80043	0.528015
67	30	150	221.72	57.9123	191.433	0.829529	12.5999	10	50	50	20	0.015	2.06395	8.07791	0.331289	0.195495	2.70645	0.0249142	0.952194	3017.38	121.876	10.5524	889.969	105.793	6376.66	27.768	0.920502	583.108	10.6908	41.3325	61.1829	21.0383	0.0119984	136.807	63.8745	90.6279	0.0313082	1.12902	300	37.2409	162.259	0	20.535	1.66339	1.54945	16.4522	2155.09	1969.54	78.7812	20.1	500	5.80042	0.528014
68	30	150	221.729	57.9142	191.44	0.829583	12.6002	10	50	50	20	0.015	2.06394	8.07792	0.331288	0.195494	2.70645	0.0249142	0.952194	3017.46	121.885	10.5528	889.976	105.8	6377.37	27.768	0.9205	583.11	10.6908	41.3324	61.1828	21.0383	0.0119991	136.781	63.8771	90.6254	0.0313074	1.12891	300	37.242	162.258	0	20.535	1.66339	1.54945	16.4522	2155.11	1969.55	78.7813	20.1	500	5.80041	0.528014
69	30	150	221.738	57.916	191.446	0.829637	12.6006	10	50	50	20	0.015	2.06394	8.07792	0.331287	0.195494	2.70644	0.0249141	0.952194	3017.54	121.894	10.5532	889.983	105.807	6378.08	27.768	0.920499	583.112	10.6908	41.3323	61.1828	21.0383	0.0119998	136.755	63.8799	90.6234	0.0313069	1.12882	300	37.2431	162.257	0	20.535	1.66339	1.54945	16.4522	2155.13	1969.56	78.7812	20.1	500	5.8004	0.528013
70	30	150	221.747	57.9178	191.452	0.82969	12.6009	10	50	50	20	0.015	2.06395	8.07791	0.331287	0.195494	2.70644	0.0249141	0.952194	3017.62	121.903	10.5536	889.989	105.814	6378.78	27.768	0.920499	583.113	10.6908	41.3323	61.1827	21.0383	0.0120004	136.728	63.8829	90.6218	0.0313067	1.12873	300	37.2441	162.256	0	20.535	1.66338	1.54945	16.4522	2155.14	1969.57	78.7811	20.1	500	5.8004	0.528012
71	30	150	221.755	57.9196	191.458	0.829742	12.6013	10	50	50	20	0.015	2.06396	8.0779	0.331287	0.195494	2.70644	0.0249141	0.952194	3017.7	121.911	10.5539	889.996	105.82	6379.46	27.768	0.920498	583.114	10.6908	41.3324	61.1827	21.0382	0.012001	136.702	63.8861	90.6205	0.0313067	1.12865	300	37.245	162.255	0	20.535	1.66338	1.54945	16.4521	2155.16	1969.59	78.7808	20.1	500	5.80041	0.528012
72	30	150	221.764	57.9213	191.463	0.829794	12.6016	10	50	50	20	0.015	2.06397	8.07789	0.331287	0.195494	2.70644	0.0249141	0.952194	3017.78	121.92	10.5543	890.002	105.827	6380.14	27.7681	0.920498	583.115	10.6908	41.3325	61.1826	21.0381	0.0120016	136.675	63.8895	90.6194	0.031307	1.12859	300	37.2458	162.254	0	20.535	1.66338	1.54945	16.4521	2155.17	1969.6	78.7805	20.1	500	5.80041	0.528012
73	30	150	221.772	57.9231	191.469	0.829845	12.6019	10	50	50	20	0.015	2.06399	8.07787	0.331287	0.195494	2.70645	0.0249141	0.952194	3017.86	121.928	10.5546	890.008	105.834	6380.81	27.7682	0.920498	583.117	10.6908	41.3326	61.1826	21.038	0.0120021	136.648	63.8929	90.6186	0.0313075	1.12853	300	37.2465	162.253	0	20.535	1.66338	1.54945	16.4521	2155.18	1969.61	78.7802	20.1	500	5.80042	0.528011
74	30	150	221.781	57.9248	191.475	0.829895	12.6023	10	50	50	20	0.015	2.064	8.07785	0.331288	0.195494	2.70645	0.0249142	0.952194	3017.94	121.937	10.555	890.014	105.84	6381.47	27.7683	0.920499	583.118	10.6909	41.3328	61.1826	21.0378	0.0120026	136.621	63.8964	90.6181	0.0313081	1.12848	300	37.2472	162.253	0	20.5351	1.66338	1.54945	16.4521	2155.2	1969.62	78.7798	20.1	500	5.80043	0.528011
75	30	150	221.789	57.9266	191.481	0.829945	12.6026	10	50	50	20	0.015	2.06402	8.07783	0.331289	0.195495	2.70645	0.0249142	0.952194	3018.02	121.945	10.5553	890.02	105.847	6382.13	27.7684	0.920499	583.119	10.6909	41.333	61.1825	21.0377	0.0120031	136.595	63.8999	90.6176	0.0313089	1.12844	300	37.2478	162.252	0	20.5351	1.66338	1.54945	16.4521	2155.21	1969.63	78.7793	20.1	500	5.80044	0.528011
76	30	150	221.797	57.9283	191.486	0.829994	12.6029	10	50	50	20	0.015	2.06404	8.0778	0.331289	0.195495	2.70646	0.0249143	0.952194	3018.09	121.953	10.5557	890.026	105.853	6382.77	27.7686	0.9205	583.119	10.6909	41.3332	61.1825	21.0375	0.0120036	136.568	63.9035	90.6174	0.0313099	1.1284	300	37.2484	162.252	0	20.5351	1.66338	1.54944	16.4521	2155.22	1969.64	78.7789	20.1	500	5.80045	0.52801
77	30	150	221.805	57.93	191.492	0.830042	12.6032	10	50	50	20	0.015	2.06406	8.07777	0.33129	0.195496	2.70646	0.0249144	0.952194	3018.17	121.961	10.556	890.031	105.859	6383.41	27.7687	0.920501	583.12	10.691	41.3335	61.1825	21.0374	0.012004	136.542	63.907	90.6172	0.0313109	1.12837	300	37.2489	162.251	0	20.5351	1.66338	1.54944	16.4521	2155.23	1969.65	78.7784	20.1	500	5.80046	0.52801
78	30	150	221.813	57.9316	191.497	0.83009	12.6035	10	50	50	20	0.015	2.06408	8.07775	0.331291	0.195496	2.70647	0.0249145	0.952194	3018.25	121.968	10.5564	890.037	105.866	6384.04	27.7688	0.920501	583.121	10.691	41.3338	61.1825	21.0372	0.0120045	136.516	63.9105	90.6171	0.031312	1.12835	300	37.2493	162.251	0	20.5351	1.66338	1.54944	16.4521	2155.24	1969.66	78.7779	20.1	500	5.80047	0.52801
79	30	150	221.82	57.9333	191.502	0.830137	12.6038	10	50	50	20	0.015	2.06411	8.07772	0.331293	0.195497	2.70647	0.0249145	0.952194	3018.32	121.976	10.5567	890.042	105.872	6384.66	27.769	0.920502	583.122	10.6911	41.334	61.1825	21.037	0.0120049	136.491	63.9139	90.617	0.0313133	1.12833	300	37.2497	162.25	0	20.5351	1.66338	1.54944	16.452	2155.25	1969.67	78.7774	20.1	500	5.80048	0.52801
80	30	150	221.828	57.9349	191.508	0.830184	12.6041	10	50	50	20	0.015	2.06413	8.07769	0.331294	0.195497	2.70648	0.0249146	0.952194	3018.4	121.984	10.557	890.047	105.878	6385.27	27.7691	0.920503	583.123	10.6911	41.3343	61.1824	21.0368	0.0120053	136.466	63.9173	90.617	0.0313146	1.12831	300	37.25	162.25	0	20.5352	1.66338	1.54944	16.452	2155.26	1969.68	78.7768	20.1	500	5.8005	0.52801
81	30	150	221.836	57.9365	191.513	0.83023	12.6044	10	50	50	20	0.015	2.06415	8.07766	0.331295	0.195498	2.70648	0.0249147	0.952194	3018.47	121.991	10.5574	890.053	105.884	6385.88	27.7693	0.920504	583.123	10.6912	41.3346	61.1824	21.0366	0.0120057	136.441	63.9206	90.6171	0.0313159	1.1283	300	37.2503	162.25	0	20.5352	1.66338	1.54944	16.452	2155.27	1969.69	78.7763	20.1	500	5.80051	0.528009
82	30	150	221.843	57.9381	191.518	0.830275	12.6047	10	50	50	20	0.015	2.06417	8.07763	0.331296	0.195498	2.70649	0.0249148	0.952194	3018.54	121.999	10.5577	890.058	105.89	6386.47	27.7694	0.920505	583.124	10.6912	41.3348	61.1824	21.0365	0.0120061	136.416	63.9239	90.6171	0.0313173	1.12828	300	37.2506	162.249	0	20.5352	1.66338	1.54944	16.452	2155.28	1969.7	78.7758	20.1	500	5.80053	0.528009
83	30	150	221.85	57.9397	191.523	0.83032	12.605	10	50	50	20	0.015	2.0642	8.0776	0.331297	0.195499	2.70649	0.0249149	0.952194	3018.61	122.006	10.558	890.063	105.895	6387.06	27.7696	0.920506	583.125	10.6913	41.3351	61.1824	21.0363	0.0120064	136.392	63.9271	90.6171	0.0313187	1.12828	300	37.2508	162.249	0	20.5352	1.66338	1.54944	16.452	2155.29	1969.71	78.7753	20.1	500	5.80054	0.528009
84	30	150	221.857	57.9413	191.528	0.830364	12.6053	10	50	50	20	0.015	2.06422	8.07757	0.331298	0.1955	2.7065	0.024915	0.952193	3018.68	122.013	10.5583	890.068	105.901	6387.65	27.7697	0.920507	583.125	10.6913	41.3354	61.1824	21.0361	0.0120068	136.369	63.9301	90.6172	0.0313201	1.12827	300	37.251	162.249	0	20.5352	1.66337	1.54944	16.452	2155.3	1969.72	78.7748	20.1	500	5.80055	0.528009
85	30	150	221.865	57.9428	191.533	0.830408	12.6056	10	50	50	20	0.015	2.06424	8.07754	0.331299	0.1955	2.7065	0.0249151	0.952193	3018.75	122.02	10.5586	890.073	105.907	6388.22	27.7698	0.920508	583.126	10.6914	41.3356	61.1823	21.0359	0.0120072	136.346	63.9331	90.6172	0.0313216	1.12827	300	37.2512	162.249	0	20.5352	1.66337	1.54944	16.4519	2155.31	1969.73	78.7743	20.1	500	5.80057	0.528009
86	30	150	221.872	57.9444	191.538	0.830451	12.6059	10	50	50	20	0.015	2.06426	8.07752	0.3313	0.195501	2.70651	0.0249151	0.952193	3018.82	122.027	10.5589	890.078	105.912	6388.79	27.77	0.920508	583.127	10.6914	41.3359	61.1823	21.0358	0.0120075	136.323	63.936	90.6172	0.031323	1.12826	300	37.2513	162.249	0	20.5353	1.66337	1.54944	16.4519	2155.31	1969.74	78.7738	20.1	500	5.80058	0.528009
87	30	150	221.879	57.9459	191.543	0.830494	12.6061	10	50	50	20	0.015	2.06428	8.07749	0.331301	0.195501	2.70651	0.0249152	0.952193	3018.89	122.034	10.5592	890.082	105.918	6389.35	27.7701	0.920509	583.127	10.6914	41.3361	61.1823	21.0356	0.0120079	136.301	63.9388	90.6172	0.0313245	1.12826	300	37.2515	162.249	0	20.5353	1.66337	1.54944	16.4519	2155.32	1969.75	78.7733	20.1	500	5.80059	0.528008
88	30	150	221.885	57.9474	191.548	0.830536	12.6064	10	50	50	20	0.015	2.0643	8.07747	0.331302	0.195502	2.70652	0.0249153	0.952193	3018.96	122.041	10.5595	890.087	105.923	6389.9	27.7702	0.92051	583.128	10.6915	41.3364	61.1823	21.0355	0.0120082	136.28	63.9415	90.6171	0.0313259	1.12826	300	37.2516	162.248	0	20.5353	1.66337	1.54944	16.4519	2155.33	1969.76	78.7728	20.1	500	5.8006	0.528008
89	30	150	221.892	57.9488	191.552	0.830578	12.6067	10	50	50	20	0.015	2.06432	8.07744	0.331303	0.195502	2.70652	0.0249153	0.952193	3019.03	122.048	10.5598	890.092	105.929	6390.45	27.7704	0.920511	583.128	10.6915	41.3366	61.1823	21.0353	0.0120086	136.259	63.9441	90.617	0.0313273	1.12827	300	37.2517	162.248	0	20.5353	1.66337	1.54944	16.4519	2155.34	1969.77	78.7724	20.1	500	5.80061	0.528008
90	30	150	221.899	57.9503	191.557	0.830619	12.6069	10	50	50	20	0.015	2.06434	8.07742	0.331304	0.195502	2.70652	0.0249154	0.952193	3019.09	122.055	10.5601	890.096	105.934	6390.99	27.7705	0.920511	583.129	10.6916	41.3368	61.1823	21.0352	0.0120089	136.238	63.9466	90.6168	0.0313287	1.12827	300	37.2517	162.248	0	20.5353	1.66337	1.54944	16.4519	2155.35	1969.77	78.772	20.1	500	5.80062	0.528008
91	30	150	221.906	57.9517	191.562	0.830659	12.6072	10	50	50	20	0.015	2.06435	8.0774	0.331305	0.195503	2.70653	0.0249155	0.952193	3019.16	122.061	10.5604	890.101	105.939	6391.53	27.7706	0.920512	583.13	10.6916	41.337	61.1823	21.035	0.0120093	136.218	63.949	90.6167	0.03133	1.12827	300	37.2518	162.248	0	20.5353	1.66337	1.54944	16.4519	2155.36	1969.78	78.7716	20.1	500	5.80063	0.528008
92	30	150	221.912	57.9531	191.566	0.830699	12.6075	10	50	50	20	0.015	2.06437	8.07737	0.331305	0.195503	2.70653	0.0249155	0.952193	3019.22	122.068	10.5607	890.105	105.945	6392.05	27.7707	0.920513	583.13	10.6916	41.3372	61.1822	21.0349	0.0120096	136.199	63.9513	90.6165	0.0313314	1.12827	300	37.2518	162.248	0	20.5353	1.66337	1.54944	16.4519	2155.37	1969.79	78.7712	20.1	500	5.80064	0.528008
93	30	150	221.919	57.9545	191.571	0.830739	12.6077	10	50	50	20	0.015	2.06439	8.07735	0.331306	0.195504	2.70653	0.0249156	0.952193	3019.29	122.074	10.5609	890.11	105.95	6392.57	27.7708	0.920513	583.131	10.6916	41.3373	61.1822	21.0348	0.0120099	136.18	63.9536	90.6162	0.0313327	1.12828	300	37.2519	162.248	0	20.5354	1.66337	1.54944	16.4518	2155.37	1969.8	78.7708	20.1	500	5.80065	0.528007
94	30	150	221.925	57.9559	191.575	0.830778	12.608	10	50	50	20	0.015	2.0644	8.07734	0.331307	0.195504	2.70654	0.0249156	0.952193	3019.35	122.08	10.5612	890.114	105.955	6393.09	27.7709	0.920514	583.132	10.6917	41.3375	61.1822	21.0346	0.0120103	136.161	63.9557	90.6159	0.031334	1.12828	300	37.2519	162.248	0	20.5354	1.66337	1.54944	16.4518	2155.38	1969.81	78.7704	20.1	500	5.80066	0.528007
95	30	150	221.931	57.9573	191.579	0.830816	12.6082	10	50	50	20	0.015	2.06442	8.07732	0.331307	0.195504	2.70654	0.0249157	0.952193	3019.41	122.087	10.5615	890.119	105.96	6393.59	27.771	0.920514	583.132	10.6917	41.3377	61.1822	21.0345	0.0120106	136.143	63.9578	90.6156	0.0313352	1.12828	300	37.2519	162.248	0	20.5354	1.66337	1.54944	16.4518	2155.39	1969.82	78.7701	20.1	500	5.80067	0.528007
96	30	150	221.937	57.9587	191.584	0.830854	12.6084	10	50	50	20	0.015	2.06443	8.0773	0.331308	0.195504	2.70654	0.0249157	0.952193	3019.47	122.093	10.5618	890.123	105.965	6394.1	27.7711	0.920515	583.133	10.6917	41.3378	61.1822	21.0344	0.0120109	136.125	63.9597	90.6152	0.0313365	1.12828	300	37.2519	162.248	0	20.5354	1.66337	1.54944	16.4518	2155.4	1969.82	78.7697	20.1	500	5.80067	0.528007
97	30	150	221.943	57.96	191.588	0.830892	12.6087	10	50	50	20	0.015	2.06444	8.07728	0.331308	0.195505	2.70655	0.0249157	0.952193	3019.54	122.099	10.562	890.127	105.97	6394.59	27.7711	0.920515	583.133	10.6918	41.3379	61.1821	21.0343	0.0120112	136.108	63.9616	90.6148	0.0313376	1.12829	300	37.2519	162.248	0	20.5354	1.66337	1.54944	16.4518	2155.41	1969.83	78.7694	20.1	500	5.80068	0.528007
98	30	150	221.95	57.9613	191.592	0.830929	12.6089	10	50	50	20	0.015	2.06445	8.07727	0.331309	0.195505	2.70655	0.0249158	0.952193	3019.6	122.105	10.5623	890.131	105.974	6395.08	27.7712	0.920515	583.134	10.6918	41.3381	61.1821	21.0342	0.0120116	136.091	63.9634	90.6144	0.0313388	1.12829	300	37.2519	162.248	0	20.5354	1.66337	1.54944	16.4518	2155.41	1969.84	78.7691	20.1	500	5.80069	0.528007
99	30	150	221.956	57.9626	191.596	0.830965	12.6092	10	50	50	20	0.015	2.06447	8.07725	0.331309	0.195505	2.70655	0.0249158	0.952193	3019.66	122.111	10.5625	890.136	105.979	6395.56	27.7713	0.920516	583.135	10.6918	41.3382	61.1821	21.0341	0.0120119	136.074	63.9652	90.6139	0.0313399	1.12829	300	37.2519	162.248	0	20.5354	1.66337	1.54944	16.4518	2155.42	1969.85	78.7688	20.1	500	5.80069	0.528006
100	30	150	221.961	57.9639	191.6	0.831001	12.6094	10	50	50	20	0.015	2.06448	8.07724	0.331309	0.195505	2.70655	0.0249158	0.952193	3019.72	122.116	10.5628	890.14	105.984	6396.04	27.7714	0.920516	583.135	10.6918	41.3383	61.1821	21.034	0.0120122	136.058	63.9668	90.6135	0.031341	1.12829	300	37.2519	162.248	0	20.5354	1.66336	1.54944	16.4518	2155.43	1969.86	78.7686	20.1	500	5.8007	0.528006
