Time	[b_Methionine]	[b_Serine]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[H2O2]	[c_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathionine]	[Homocysteine]	[c_Serine]	[SAH]	[SAM]	[c_Methionine]	[c_Formate]	[dcSAM]	[Putrescine]	[Spermine]	[Spermidine]	[Acetylspermine]	[Acetylspermidine]	[Ornithine]	[Acetyl-CoA]	[CoA]	[CO2]	[m_THF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[m_Serine]	[m_Glycine]	[m_Formate]	[Folate]	[Formaldehyde]	[Sarcosine]	[Dimethylglycine]
10	30	150	220.494	58.6794	190.756	0.823635	12.5613	10	50	50	20	0.015	2.04302	8.10729	0.329893	0.194787	2.7002	0.0248066	0.952286	3071.85	118.044	10.5227	888.032	105.028	6299.96	27.6096	0.919279	582.922	10.6411	41.0364	61.1826	21.2063	0.012078	143.801	64.205	88.2148	0.029415	1.02572	300	38.2714	161.229	0	20.5236	1.66358	1.54959	16.4632	2151.09	1965.61	79.2726	20.1	500	5.78517	0.527953
11	30	150	220.552	58.6092	190.776	0.823808	12.5624	10	50	50	20	0.015	2.04804	8.09984	0.330287	0.194987	2.702	0.024837	0.95226	3067.13	118.304	10.5236	888.191	105.05	6302.21	27.6481	0.919586	582.952	10.6541	41.118	61.182	21.1671	0.0120311	142.85	64.4172	88.8975	0.0296586	1.03859	300	38.1869	161.313	0	20.5257	1.6636	1.5496	16.4611	2151.85	1966.03	79.1588	20.1	500	5.78916	0.527974
12	30	150	220.601	58.5438	190.797	0.82398	12.5636	10	50	50	20	0.015	2.05272	8.09294	0.330651	0.195171	2.70365	0.024865	0.952235	3062.73	118.549	10.5247	888.305	105.072	6304.46	27.6835	0.919892	582.947	10.6661	41.1927	61.1831	21.1306	0.0119924	141.887	64.5961	89.4793	0.0298867	1.05036	300	38.1058	161.394	0	20.5277	1.66361	1.5496	16.4591	2152.23	1966.33	79.0525	20.1	500	5.79289	0.528004
13	30	150	220.643	58.4831	190.816	0.824151	12.5647	10	50	50	20	0.015	2.05692	8.08677	0.330974	0.195335	2.70511	0.02489	0.952214	3058.64	118.78	10.5257	888.392	105.095	6306.69	27.7149	0.920179	582.923	10.6768	41.2589	61.185	21.0979	0.0119607	140.975	64.7444	89.9711	0.0300988	1.06108	300	38.0283	161.472	0	20.5296	1.66361	1.54959	16.4572	2152.35	1966.54	78.957	20.1	500	5.79624	0.528038
14	30	150	220.682	58.4267	190.836	0.824321	12.5658	10	50	50	20	0.015	2.06058	8.08141	0.331254	0.195478	2.70636	0.0249116	0.952196	3054.83	118.998	10.5268	888.462	105.117	6308.9	27.7421	0.920438	582.889	10.6861	41.3161	61.1874	21.0693	0.011935	140.148	64.8647	90.3835	0.0302945	1.07081	300	37.9549	161.545	0	20.5313	1.66361	1.54958	16.4555	2152.34	1966.7	78.8736	20.1	500	5.79918	0.528072
15	30	150	220.718	58.3745	190.856	0.824489	12.567	10	50	50	20	0.015	2.06372	8.07683	0.331493	0.195599	2.70743	0.02493	0.95218	3051.29	119.202	10.5279	888.522	105.139	6311.08	27.7653	0.920664	582.853	10.694	41.3647	61.1897	21.0448	0.0119142	139.417	64.9596	90.7263	0.0304738	1.0796	300	37.8855	161.614	0	20.5327	1.6636	1.54958	16.4541	2152.24	1966.83	78.8021	20.1	500	5.80169	0.528103
16	30	150	220.753	58.3262	190.875	0.824655	12.5681	10	50	50	20	0.015	2.06637	8.07298	0.331692	0.1957	2.70831	0.0249454	0.952167	3048	119.393	10.5289	888.576	105.16	6313.24	27.7846	0.920858	582.817	10.7007	41.4053	61.192	21.0241	0.0118977	138.785	65.0316	91.0083	0.030637	1.08753	300	37.8203	161.68	0	20.534	1.66359	1.54957	16.4528	2152.12	1966.94	78.7417	20.1	500	5.8038	0.528131
17	30	150	220.786	58.2816	190.894	0.824819	12.5691	10	50	50	20	0.015	2.06858	8.06979	0.331856	0.195783	2.70904	0.024958	0.952156	3044.97	119.572	10.5298	888.627	105.181	6315.36	27.8006	0.92102	582.786	10.7062	41.4386	61.194	21.0069	0.0118847	138.245	65.0829	91.2375	0.0307844	1.09465	300	37.7592	161.741	0	20.5351	1.66358	1.54956	16.4517	2151.99	1967.04	78.6915	20.1	500	5.80555	0.528155
18	30	150	220.819	58.2406	190.912	0.824979	12.5702	10	50	50	20	0.015	2.07038	8.0672	0.331988	0.195849	2.70962	0.0249682	0.952148	3042.16	119.738	10.5306	888.677	105.202	6317.44	27.8137	0.921153	582.759	10.7107	41.4655	61.1957	20.9928	0.0118749	137.79	65.1157	91.421	0.0309165	1.10102	300	37.7022	161.798	0	20.536	1.66357	1.54955	16.4509	2151.88	1967.14	78.6504	20.1	500	5.80697	0.528174
19	30	150	220.851	58.2029	190.931	0.825137	12.5712	10	50	50	20	0.015	2.07182	8.06513	0.332092	0.195902	2.71008	0.0249762	0.952141	3039.58	119.894	10.5314	888.727	105.223	6319.48	27.8241	0.92126	582.738	10.7143	41.4868	61.1971	20.9815	0.0118676	137.411	65.1323	91.5647	0.031034	1.1067	300	37.6492	161.851	0	20.5368	1.66356	1.54954	16.4501	2151.8	1967.23	78.6173	20.1	500	5.8081	0.52819
