Time	[HCO3-{plasma}]	[CL-{plasma}]	[Na+{plasma}]	[HCO3-{cell}]	[CL-{cell}]	[Na+{cell}]	[HCO3-{lumen}]	[CL-{lumen}]
0	22	130	140	15	60	14	32	128
1	22	130	140	14.9973	59.9944	13.5079	31.9785	128.022
2	22	130	140	14.9969	59.9895	13.2805	31.9654	128.035
3	22	130	140	14.9966	59.9852	13.1726	31.9579	128.042
4	22	130	140	14.9964	59.9811	13.1206	31.9538	128.046
5	22	130	140	14.9963	59.9773	13.0954	31.9519	128.048
6	22	130	140	14.9962	59.9735	13.0832	31.9513	128.049
7	22	130	140	14.9962	59.9699	13.0772	31.9514	128.049
8	22	130	140	14.9962	59.9663	13.0742	31.9521	128.048
9	22	130	140	14.9961	59.9627	13.0728	31.9531	128.047
10	22	130	140	14.9961	59.9592	13.0721	31.9542	128.046
11	22	130	140	14.9961	59.9557	13.0717	31.9555	128.045
12	22	130	140	14.9961	59.9522	13.0716	31.9568	128.043
13	22	130	140	14.9961	59.9487	13.0715	31.9582	128.042
14	22	130	140	14.9961	59.9452	13.0714	31.9597	128.04
15	22	130	140	14.9961	59.9417	13.0714	31.9611	128.039
16	22	130	140	14.9961	59.9382	13.0714	31.9625	128.037
17	22	130	140	14.9961	59.9347	13.0714	31.964	128.036
18	22	130	140	14.9961	59.9313	13.0714	31.9654	128.035
19	22	130	140	14.9961	59.9278	13.0714	31.9669	128.033
20	22	130	140	14.9961	59.9243	13.0714	31.9683	128.032
21	22	130	140	14.9961	59.9209	13.0714	31.9698	128.03
22	22	130	140	14.9961	59.9174	13.0714	31.9712	128.029
23	22	130	140	14.9961	59.914	13.0714	31.9727	128.027
24	22	130	140	14.9961	59.9105	13.0714	31.9741	128.026
25	22	130	140	14.9961	59.9071	13.0714	31.9755	128.024
26	22	130	140	14.9961	59.9036	13.0714	31.977	128.023
27	22	130	140	14.9961	59.9002	13.0714	31.9784	128.022
28	22	130	140	14.9961	59.8968	13.0714	31.9799	128.02
29	22	130	140	14.9961	59.8933	13.0714	31.9813	128.019
30	22	130	140	14.9961	59.8899	13.0714	31.9827	128.017
31	22	130	140	14.9961	59.8865	13.0714	31.9842	128.016
32	22	130	140	14.9961	59.883	13.0714	31.9856	128.014
33	22	130	140	14.9961	59.8796	13.0714	31.987	128.013
34	22	130	140	14.9961	59.8762	13.0714	31.9885	128.012
