Time	[APC]	[Va]	[Va_APC]	[Va3]	[Va3_APC]	[Va5]	[Va5_APC]	[Va53]	[Va53_APC]	[Va56]	[Va56_APC]	[Va36]	[Va36_APC]	[Va536]	[Va536_APC]	[HC]	[LC]	[HC5]	[HC3]	[HC56]	[HC36]	[HC536]	[LC_APC]	[HC53]	[VaA3]	[VaA53]	[VaA36]	[VaA536]	[VaLCA1]	[VaLCA1_APC]
0	1e-08	2e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.54691e-10	1.88377e-07	4.90266e-09	8.82067e-11	1.8203e-10	1.81955e-09	4.32312e-09	6.32413e-11	2.31304e-10	2.83321e-13	1.05975e-12	1.17714e-14	3.76701e-14	1.4941e-14	7.54402e-14	3.2701e-12	3.23188e-12	1.12743e-14	5.85844e-16	1.30725e-18	5.93971e-20	5.56284e-20	5.03753e-14	2.97373e-16	4.56937e-12	3.05774e-12	5.76341e-16	6.96416e-16	2.65611e-12	4.97228e-12
2	3.54691e-10	1.84763e-07	3.94098e-09	2.00423e-10	1.62236e-10	5.06321e-09	5.06672e-09	3.01833e-10	4.58967e-10	1.45414e-12	2.27874e-12	4.22736e-14	4.94101e-14	1.35374e-13	2.89168e-13	6.47984e-12	6.40345e-12	6.99265e-14	3.10013e-15	1.50818e-17	5.15915e-19	1.14201e-18	1.52672e-13	3.23046e-15	1.35223e-11	1.78092e-11	2.607e-15	7.44264e-15	1.77105e-11	1.3631e-11
3	3.54691e-10	1.80939e-07	3.71311e-09	2.92574e-10	1.48203e-10	8.42179e-09	5.18223e-09	6.39361e-10	5.76514e-10	3.24183e-12	2.99284e-12	7.2675e-14	4.75002e-14	3.97948e-13	5.00586e-13	9.62491e-12	9.54562e-12	1.85959e-13	7.36228e-15	5.48444e-17	1.50934e-18	5.53955e-18	2.83912e-13	1.12383e-14	2.4776e-11	4.55288e-11	5.58693e-15	2.57537e-14	4.89148e-11	2.14213e-11
4	3.54691e-10	1.77146e-07	3.61033e-09	3.73069e-10	1.43103e-10	1.1706e-08	5.22041e-09	1.01442e-09	6.39101e-10	5.33848e-12	3.39575e-12	9.97359e-14	4.57423e-14	7.71728e-13	6.63811e-13	1.27043e-11	1.26732e-11	3.59188e-13	1.30991e-14	1.28343e-16	2.99631e-18	1.54694e-17	4.29001e-13	2.54332e-14	3.81817e-11	8.5735e-11	9.30956e-15	5.83358e-14	9.61596e-11	2.78247e-11
5	3.54691e-10	1.73425e-07	3.53037e-09	4.46344e-10	1.40866e-10	1.49005e-08	5.25738e-09	1.39973e-09	6.78304e-10	7.58128e-12	3.65081e-12	1.24366e-13	4.51153e-14	1.21776e-12	7.84182e-13	1.57192e-11	1.57932e-11	5.8813e-13	2.01548e-14	2.39314e-16	4.92642e-18	3.24993e-17	5.80712e-13	4.61913e-14	5.36405e-11	1.38004e-10	1.37217e-14	1.06414e-13	1.58436e-10	3.33292e-11
6	3.54691e-10	1.69781e-07	3.45552e-09	5.13889e-10	1.39322e-10	1.80108e-08	5.29902e-09	1.78403e-09	7.07476e-10	9.89572e-12	3.84077e-12	1.47253e-13	4.49741e-14	1.70741e-12	8.75878e-13	1.86706e-11	1.89088e-11	8.71284e-13	2.84205e-14	3.89546e-16	7.26454e-18	5.76083e-17	7.35568e-13	7.35776e-14	7.10184e-11	2.02002e-10	1.87887e-14	1.70583e-13	2.34727e-10	3.84822e-11
7	3.54691e-10	1.66213e-07	3.38283e-09	5.76282e-10	1.37902e-10	2.10423e-08	5.34297e-09	2.16277e-09	7.32034e-10	1.22494e-11	4.00257e-12	1.6869e-13	4.49634e-14	2.22287e-12	9.50332e-13	2.156e-11	2.20214e-11	1.20725e-12	3.78032e-14	5.79943e-16	9.98367e-18	9.13749e-17	8.91912e-13	1.07529e-13	9.01736e-11	2.77434e-10	2.44741e-14	2.51155e-13	3.24207e-10	4.36761e-11
8	3.54691e-10	1.62719e-07	3.31173e-09	6.33871e-10	1.36469e-10	2.39984e-08	5.38739e-09	2.53404e-09	7.5431e-10	1.46279e-11	4.15267e-12	1.88804e-13	4.4957e-14	2.75356e-12	1.01501e-12	2.43887e-11	2.51316e-11	1.59471e-12	4.82176e-14	8.11047e-16	1.30601e-17	1.34146e-16	1.04892e-12	1.47931e-13	1.10968e-10	3.6402e-10	3.07409e-14	3.48325e-13	4.26213e-10	4.91544e-11
9	3.54691e-10	1.593e-07	3.24213e-09	6.86932e-10	1.35002e-10	2.68819e-08	5.43127e-09	2.89712e-09	7.75237e-10	1.7025e-11	4.29763e-12	2.07668e-13	4.4923e-14	3.29369e-12	1.07419e-12	2.7158e-11	2.82397e-11	2.03239e-12	5.95837e-14	1.08322e-15	1.64717e-17	1.86124e-16	1.20621e-12	1.94649e-13	1.33272e-10	4.61493e-10	3.75529e-14	4.62219e-13	5.40217e-10	5.50474e-11
10	3.54691e-10	1.55952e-07	3.17398e-09	7.35723e-10	1.33498e-10	2.96947e-08	5.47413e-09	3.25173e-09	7.95293e-10	1.94373e-11	4.4407e-12	2.25337e-13	4.48521e-14	3.83963e-12	1.1305e-12	2.98691e-11	3.13456e-11	2.51906e-12	7.18256e-14	1.39676e-15	2.01975e-17	2.47446e-16	1.36356e-12	2.4754e-13	1.56959e-10	5.69586e-10	4.48749e-14	5.92937e-13	6.65754e-10	6.14292e-11
11	3.54691e-10	1.52675e-07	3.10728e-09	7.80482e-10	1.31962e-10	3.24385e-08	5.51575e-09	3.59784e-09	8.14659e-10	2.18632e-11	4.58296e-12	2.4186e-13	4.47463e-14	4.38942e-12	1.18528e-12	3.25231e-11	3.44492e-11	3.05351e-12	8.48717e-14	1.75191e-15	2.42172e-17	3.18199e-16	1.52088e-12	3.06458e-13	1.81913e-10	6.88041e-10	5.2673e-14	7.40552e-13	8.02418e-10	6.83293e-11
12	3.54691e-10	1.49466e-07	3.04197e-09	8.21437e-10	1.30399e-10	3.51149e-08	5.55611e-09	3.93554e-09	8.33391e-10	2.4302e-11	4.72466e-12	2.57286e-13	4.46092e-14	4.94203e-12	1.2391e-12	3.51214e-11	3.75504e-11	3.63457e-12	9.86548e-14	2.14891e-15	2.85117e-17	3.98438e-16	1.67812e-12	3.71257e-13	2.08023e-10	8.16601e-10	6.0915e-14	9.05123e-13	9.49839e-10	7.57515e-11
13	3.54691e-10	1.46325e-07	2.97804e-09	8.58797e-10	1.28811e-10	3.77252e-08	5.59523e-09	4.26496e-09	8.51507e-10	2.67529e-11	4.86577e-12	2.71659e-13	4.44424e-14	5.49694e-12	1.29208e-12	3.76651e-11	4.0649e-11	4.26112e-12	1.13114e-13	2.58795e-15	3.30629e-17	4.88197e-16	1.83528e-12	4.41795e-13	2.35189e-10	9.55019e-10	6.95706e-14	1.08669e-12	1.10768e-09	8.36839e-11
14	3.54691e-10	1.4325e-07	2.91546e-09	8.92777e-10	1.27203e-10	4.02711e-08	5.63309e-09	4.58619e-09	8.69049e-10	2.92153e-11	5.00645e-12	2.85026e-13	4.42486e-14	6.05337e-12	1.3446e-12	4.01553e-11	4.37448e-11	4.932e-12	1.28185e-13	3.06925e-15	3.78525e-17	5.87518e-16	1.99232e-12	5.17928e-13	2.63308e-10	1.10304e-09	7.86091e-14	1.28529e-12	1.27559e-09	9.21231e-11
15	3.54691e-10	1.40239e-07	2.85419e-09	9.23564e-10	1.25576e-10	4.27538e-08	5.66972e-09	4.89937e-09	8.86033e-10	3.16884e-11	5.14672e-12	2.97429e-13	4.40285e-14	6.61102e-12	1.39659e-12	4.25932e-11	4.68378e-11	5.64613e-12	1.43815e-13	3.59299e-15	4.2864e-17	6.96417e-16	2.14923e-12	5.99518e-13	2.9229e-10	1.26043e-09	8.80031e-14	1.50095e-12	1.45326e-09	1.01052e-10
16	3.54691e-10	1.37292e-07	2.79421e-09	9.51351e-10	1.23934e-10	4.51747e-08	5.70514e-09	5.20462e-09	9.02481e-10	3.41716e-11	5.28661e-12	3.08911e-13	4.3784e-14	7.16941e-12	1.44818e-12	4.49798e-11	4.99277e-11	6.40244e-12	1.59947e-13	4.15936e-15	4.80807e-17	8.14918e-16	2.306e-12	6.86426e-13	3.22044e-10	1.42695e-09	9.77246e-14	1.73368e-12	1.64036e-09	1.10459e-10
17	3.54691e-10	1.34407e-07	2.73548e-09	9.76311e-10	1.22279e-10	4.75352e-08	5.73938e-09	5.50207e-09	9.18408e-10	3.66643e-11	5.42614e-12	3.19514e-13	4.35164e-14	7.72826e-12	1.49932e-12	4.73163e-11	5.30144e-11	7.19985e-12	1.76533e-13	4.76852e-15	5.34872e-17	9.43029e-16	2.46262e-12	7.78517e-13	3.52489e-10	1.60235e-09	1.07748e-13	1.98349e-12	1.8366e-09	1.20327e-10
18	3.54691e-10	1.31582e-07	2.678e-09	9.98607e-10	1.20613e-10	4.98365e-08	5.77245e-09	5.79185e-09	9.33826e-10	3.91659e-11	5.56528e-12	3.29275e-13	4.32274e-14	8.28724e-12	1.55004e-12	4.96037e-11	5.60977e-11	8.03737e-12	1.93525e-13	5.42063e-15	5.90691e-17	1.08075e-15	2.61908e-12	8.75659e-13	3.8355e-10	1.78641e-09	1.18048e-13	2.25038e-12	2.04169e-09	1.30643e-10
19	3.54691e-10	1.28817e-07	2.62172e-09	1.0184e-09	1.18939e-10	5.20799e-08	5.80439e-09	6.07409e-09	9.48749e-10	4.16758e-11	5.70406e-12	3.38233e-13	4.29186e-14	8.84606e-12	1.60032e-12	5.1843e-11	5.91776e-11	8.91395e-12	2.10878e-13	6.11585e-15	6.48114e-17	1.22809e-15	2.77538e-12	9.77719e-13	4.1515e-10	1.9789e-09	1.28602e-13	2.53433e-12	2.25532e-09	1.41392e-10
20	3.54691e-10	1.2611e-07	2.56662e-09	1.03584e-09	1.1726e-10	5.42667e-08	5.83521e-09	6.34892e-09	9.6319e-10	4.41936e-11	5.84245e-12	3.46424e-13	4.25915e-14	9.40445e-12	1.65017e-12	5.40353e-11	6.22538e-11	9.82864e-12	2.28552e-13	6.8543e-15	7.07015e-17	1.38504e-15	2.93151e-12	1.08457e-12	4.47226e-10	2.1796e-09	1.39387e-13	2.83532e-12	2.47724e-09	1.52561e-10
21	3.54691e-10	1.2346e-07	2.51268e-09	1.05108e-09	1.15577e-10	5.63981e-08	5.86495e-09	6.61648e-09	9.7716e-10	4.67186e-11	5.98045e-12	3.53885e-13	4.22475e-14	9.96213e-12	1.69958e-12	5.61815e-11	6.53263e-11	1.07805e-11	2.46504e-13	7.63612e-15	7.67256e-17	1.55159e-15	3.08745e-12	1.19609e-12	4.79707e-10	2.38829e-09	1.5038e-13	3.15332e-12	2.70716e-09	1.64134e-10
22	3.54691e-10	1.20865e-07	2.45988e-09	1.06424e-09	1.13892e-10	5.84753e-08	5.89362e-09	6.8769e-09	9.9067e-10	4.92503e-11	6.11804e-12	3.6065e-13	4.1888e-14	1.05189e-11	1.74856e-12	5.82826e-11	6.83949e-11	1.17684e-11	2.64697e-13	8.46145e-15	8.28714e-17	1.72773e-15	3.24321e-12	1.31214e-12	5.12533e-10	2.60474e-09	1.61562e-13	3.48831e-12	2.94483e-09	1.761e-10
23	3.54691e-10	1.18325e-07	2.40818e-09	1.07546e-09	1.12208e-10	6.04994e-08	5.92125e-09	7.13032e-09	1.00373e-09	5.17882e-11	6.25522e-12	3.66751e-13	4.15143e-14	1.10744e-11	1.7971e-12	6.03395e-11	7.14595e-11	1.27917e-11	2.83098e-13	9.33038e-15	8.91272e-17	1.91344e-15	3.39877e-12	1.43261e-12	5.45648e-10	2.82876e-09	1.72912e-13	3.84025e-12	3.18997e-09	1.88445e-10
24	3.54691e-10	1.15838e-07	2.35757e-09	1.08484e-09	1.10525e-10	6.24717e-08	5.94788e-09	7.37686e-09	1.01635e-09	5.43318e-11	6.39194e-12	3.72218e-13	4.11279e-14	1.16286e-11	1.84517e-12	6.23533e-11	7.45199e-11	1.38493e-11	3.01677e-13	1.0243e-14	9.54828e-17	2.1087e-15	3.55414e-12	1.55738e-12	5.79006e-10	3.06013e-09	1.84414e-13	4.20906e-12	3.44237e-09	2.01156e-10
25	3.54691e-10	1.13404e-07	2.30802e-09	1.09252e-09	1.08846e-10	6.43931e-08	5.9735e-09	7.61665e-09	1.02854e-09	5.68807e-11	6.52825e-12	3.77084e-13	4.07293e-14	1.21812e-11	1.89281e-12	6.43247e-11	7.75761e-11	1.49404e-11	3.204e-13	1.11994e-14	1.01927e-16	2.31347e-15	3.7093e-12	1.68633e-12	6.1255e-10	3.29865e-09	1.96047e-13	4.5947e-12	3.70177e-09	2.14222e-10
26	3.54691e-10	1.1102e-07	2.25952e-09	1.09858e-09	1.07172e-10	6.62648e-08	5.99816e-09	7.84983e-09	1.04032e-09	5.94343e-11	6.66412e-12	3.81375e-13	4.03199e-14	1.2732e-11	1.94e-12	6.62547e-11	8.06279e-11	1.60641e-11	3.39242e-13	1.21998e-14	1.08449e-16	2.52773e-15	3.86424e-12	1.81935e-12	6.46241e-10	3.54412e-09	2.07798e-13	4.99712e-12	3.96793e-09	2.27631e-10
27	3.54691e-10	1.08687e-07	2.21203e-09	1.10313e-09	1.05503e-10	6.80879e-08	6.02186e-09	8.07652e-09	1.05169e-09	6.19922e-11	6.79955e-12	3.85122e-13	3.99004e-14	1.32808e-11	1.98676e-12	6.81441e-11	8.36753e-11	1.72195e-11	3.58177e-13	1.3244e-14	1.15041e-16	2.75144e-15	4.01897e-12	1.95632e-12	6.80036e-10	3.79635e-09	2.19651e-13	5.41622e-12	4.24065e-09	2.41372e-10
28	3.54691e-10	1.06403e-07	2.16554e-09	1.10627e-09	1.03842e-10	6.98634e-08	6.04463e-09	8.29686e-09	1.06268e-09	6.45539e-11	6.93455e-12	3.8835e-13	3.94716e-14	1.38274e-11	2.0331e-12	6.99938e-11	8.6718e-11	1.8406e-11	3.77177e-13	1.43323e-14	1.21693e-16	2.98458e-15	4.17347e-12	2.09714e-12	7.13889e-10	4.05514e-09	2.31588e-13	5.85197e-12	4.51968e-09	2.55434e-10
29	3.54691e-10	1.04167e-07	2.12003e-09	1.1081e-09	1.02189e-10	7.15923e-08	6.06649e-09	8.51096e-09	1.07328e-09	6.7119e-11	7.06913e-12	3.91086e-13	3.90343e-14	1.43717e-11	2.07904e-12	7.18046e-11	8.97561e-11	1.96225e-11	3.96222e-13	1.54647e-14	1.28397e-16	3.22709e-15	4.32775e-12	2.24169e-12	7.47768e-10	4.32032e-09	2.43597e-13	6.30426e-12	4.80482e-09	2.69807e-10
30	3.54691e-10	1.01978e-07	2.07548e-09	1.10869e-09	1.00545e-10	7.32757e-08	6.08746e-09	8.71895e-09	1.0835e-09	6.9687e-11	7.20326e-12	3.93355e-13	3.85898e-14	1.49135e-11	2.12455e-12	7.35774e-11	9.27895e-11	2.08685e-11	4.15288e-13	1.66412e-14	1.35144e-16	3.47894e-15	4.48178e-12	2.38988e-12	7.81633e-10	4.59168e-09	2.55663e-13	6.77303e-12	5.09587e-09	2.8448e-10
31	3.54691e-10	9.98346e-08	2.03186e-09	1.10814e-09	9.89116e-11	7.49145e-08	6.10755e-09	8.92096e-09	1.09337e-09	7.22576e-11	7.33694e-12	3.95181e-13	3.81389e-14	1.54526e-11	2.16964e-12	7.53129e-11	9.58179e-11	2.2143e-11	4.34354e-13	1.78619e-14	1.41926e-16	3.7401e-15	4.63558e-12	2.54159e-12	8.15452e-10	4.86907e-09	2.67774e-13	7.25818e-12	5.3926e-09	2.99442e-10
32	3.54691e-10	9.77365e-08	1.98916e-09	1.10651e-09	9.729e-11	7.65097e-08	6.12679e-09	9.11711e-09	1.10287e-09	7.48303e-11	7.47015e-12	3.96588e-13	3.76824e-14	1.5989e-11	2.21429e-12	7.70119e-11	9.88415e-11	2.34453e-11	4.53401e-13	1.91269e-14	1.48735e-16	4.0105e-15	4.78913e-12	2.69672e-12	8.49194e-10	5.15229e-09	2.79917e-13	7.75964e-12	5.69484e-09	3.14683e-10
33	3.54691e-10	9.56825e-08	1.94735e-09	1.1039e-09	9.5681e-11	7.80623e-08	6.14521e-09	9.30753e-09	1.11203e-09	7.74047e-11	7.60287e-12	3.97598e-13	3.72212e-14	1.65225e-11	2.25849e-12	7.86752e-11	1.0186e-10	2.47746e-11	4.72412e-13	2.04361e-14	1.55566e-16	4.2901e-15	4.94243e-12	2.85518e-12	8.82829e-10	5.44117e-09	2.92081e-13	8.27731e-12	6.00237e-09	3.30193e-10
34	3.54691e-10	9.36716e-08	1.90643e-09	1.10035e-09	9.40855e-11	7.9573e-08	6.16282e-09	9.49234e-09	1.12085e-09	7.99804e-11	7.73508e-12	3.98232e-13	3.67565e-14	1.70531e-11	2.30224e-12	8.03036e-11	1.04873e-10	2.61304e-11	4.91369e-13	2.17896e-14	1.62411e-16	4.57886e-15	5.09548e-12	3.01687e-12	9.16332e-10	5.73555e-09	3.04254e-13	8.81109e-12	6.31503e-09	3.45962e-10
