Time	[Anthranilate synthase]	[Synthesized tryptophan]	[Total tryptophan]	[exog. Trp]
0	0	0	13.4615	13.4615
1	0.0151708	0.00300431	13.4645	13.4615
2	0.0301846	0.00609288	13.4676	13.4615
3	0.0450428	0.00924331	13.4707	13.4615
4	0.0597467	0.0124573	13.4739	13.4615
5	0.0742979	0.0157365	13.4772	13.4615
6	0.0886976	0.0190827	13.4805	13.4614
7	0.102947	0.0224978	13.4839	13.4614
8	0.117048	0.0259836	13.4874	13.4614
9	0.131002	0.0295422	13.4909	13.4614
10	0.14481	0.0331755	13.4946	13.4614
11	0.158473	0.0368856	13.4982	13.4614
12	0.171993	0.0406749	13.502	13.4613
13	0.18537	0.0445454	13.5059	13.4613
14	0.198607	0.0484996	13.5098	13.4613
15	0.211704	0.0525398	13.5138	13.4613
16	0.224663	0.0566687	13.5179	13.4613
17	0.237484	0.0608888	13.5221	13.4612
18	0.25017	0.0652028	13.5264	13.4612
19	0.26272	0.0696135	13.5308	13.4612
20	0.275137	0.074124	13.5353	13.4612
21	0.287422	0.0787371	13.5399	13.4612
22	0.299575	0.083456	13.5446	13.4611
23	0.311597	0.0882841	13.5494	13.4611
24	0.323491	0.0932247	13.5543	13.4611
25	0.335256	0.0982814	13.5594	13.4611
26	0.346894	0.103458	13.5645	13.461
27	0.358406	0.108758	13.5698	13.461
28	0.369793	0.114185	13.5752	13.461
29	0.381056	0.119744	13.5807	13.461
30	0.392196	0.125439	13.5864	13.4609
31	0.403214	0.131274	13.5922	13.4609
32	0.41411	0.137254	13.5981	13.4609
33	0.424887	0.143385	13.6042	13.4609
34	0.435544	0.14967	13.6105	13.4608
35	0.446083	0.156115	13.6169	13.4608
36	0.456504	0.162726	13.6235	13.4608
37	0.466808	0.169508	13.6302	13.4607
38	0.476997	0.176468	13.6372	13.4607
39	0.487071	0.183611	13.6443	13.4607
40	0.49703	0.190945	13.6516	13.4606
41	0.506876	0.198474	13.6591	13.4606
42	0.516609	0.206208	13.6668	13.4606
43	0.526231	0.214153	13.6747	13.4605
44	0.535741	0.222317	13.6828	13.4605
45	0.545141	0.230707	13.6911	13.4604
46	0.554431	0.239333	13.6997	13.4604
47	0.563612	0.248202	13.7086	13.4604
48	0.572684	0.257325	13.7176	13.4603
49	0.581649	0.26671	13.727	13.4603
50	0.590506	0.276367	13.7366	13.4602
51	0.599256	0.286308	13.7465	13.4602
52	0.6079	0.296542	13.7567	13.4601
53	0.616439	0.307082	13.7672	13.4601
54	0.624873	0.317938	13.778	13.46
55	0.633202	0.329124	13.7891	13.46
56	0.641426	0.340652	13.8006	13.4599
57	0.649547	0.352536	13.8124	13.4599
58	0.657565	0.364791	13.8246	13.4598
59	0.665479	0.37743	13.8372	13.4597
60	0.673291	0.390469	13.8501	13.4597
61	0.681001	0.403925	13.8635	13.4596
62	0.688609	0.417814	13.8774	13.4595
63	0.696115	0.432154	13.8916	13.4595
64	0.703519	0.446964	13.9064	13.4594
65	0.710822	0.462262	13.9216	13.4593
66	0.718024	0.478068	13.9373	13.4593
67	0.725125	0.494403	13.9536	13.4592
68	0.732125	0.51129	13.9704	13.4591
69	0.739025	0.52875	13.9878	13.459
70	0.745823	0.546806	14.0057	13.4589
71	0.752521	0.565484	14.0243	13.4588
72	0.759118	0.584809	14.0436	13.4588
73	0.765615	0.604806	14.0635	13.4587
74	0.77201	0.625503	14.0841	13.4586
75	0.778305	0.646928	14.1054	13.4585
76	0.784498	0.669109	14.1275	13.4583
77	0.79059	0.692077	14.1503	13.4582
78	0.79658	0.715862	14.174	13.4581
79	0.802469	0.740494	14.1985	13.458
80	0.808255	0.766007	14.2239	13.4579
81	0.813939	0.792432	14.2502	13.4578
82	0.819521	0.819802	14.2774	13.4576
83	0.824999	0.848151	14.3056	13.4575
84	0.830373	0.877511	14.3349	13.4574
85	0.835643	0.907917	14.3651	13.4572
86	0.840809	0.939401	14.3965	13.4571
87	0.84587	0.971995	14.4289	13.4569
88	0.850825	1.00573	14.4625	13.4567
89	0.855675	1.04064	14.4972	13.4566
90	0.860418	1.07675	14.5332	13.4564
91	0.865053	1.11409	14.5703	13.4562
92	0.869581	1.15268	14.6087	13.456
93	0.874001	1.19255	14.6484	13.4559
94	0.878312	1.23371	14.6894	13.4557
95	0.882514	1.27618	14.7316	13.4555
96	0.886607	1.31996	14.7752	13.4552
97	0.890589	1.36507	14.8201	13.455
98	0.894461	1.4115	14.8663	13.4548
99	0.898222	1.45924	14.9138	13.4546
100	0.901872	1.50828	14.9626	13.4543
