Time	[3-phosphoglycerate]	[phosphohydroxypyruvate]	[phosphoserine]	[serine]	[serA]	[serC]	[serB]
0	2.36	0.6	0.09	4.9	1.15	0.1	0.25
1	2.36	0.442479	0.0487219	4.9	1.15	0.1	0.25
2	2.36	0.285	0.0405264	4.9	1.15	0.1	0.25
3	2.36	0.135941	0.0355711	4.9	1.15	0.1	0.25
4	2.36	0.0167416	0.0215485	4.9	1.15	0.1	0.25
5	2.36	3.06794e-06	0.000161582	4.9	1.15	0.1	0.25
6	2.36	2.86487e-06	4.60255e-05	4.9	1.15	0.1	0.25
7	2.36	2.8647e-06	4.59254e-05	4.9	1.15	0.1	0.25
8	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
9	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
10	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
11	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
12	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
13	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
14	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
15	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
16	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
17	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
18	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
19	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
20	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
21	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
22	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
23	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
24	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
25	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
26	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
27	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
28	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
29	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
30	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
31	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
32	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
33	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
34	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
35	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
36	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
37	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
38	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
39	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
40	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
41	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
42	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
43	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
44	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
45	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
46	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
47	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
48	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
49	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
50	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
51	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
52	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
53	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
54	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
55	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
56	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
57	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
58	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
59	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
60	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
61	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
62	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
63	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
64	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
65	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
66	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
67	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
68	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
69	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
70	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
71	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
72	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
73	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
74	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
75	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
76	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
77	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
78	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
79	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
80	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
81	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
82	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
83	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
84	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
85	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
86	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
87	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
88	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
89	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
90	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
91	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
92	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
93	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
94	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
95	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
96	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
97	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
98	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
99	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
100	2.36	2.8647e-06	4.59253e-05	4.9	1.15	0.1	0.25
