Time	[X1p]	[X2p]	[X3p]	[Y1p]	[Y2p]	[Y3p]
0	1.02367	2.15423	6.27179	3.20369	8.23219	9.31202
1	1.02367	2.15424	6.27179	3.2037	8.23218	9.31202
2	1.02367	2.15424	6.27179	3.2037	8.23217	9.31202
3	1.02367	2.15424	6.27179	3.2037	8.23217	9.31202
4	1.02367	2.15424	6.2718	3.20369	8.23217	9.31202
5	1.02367	2.15424	6.2718	3.20369	8.23217	9.31202
6	1.02367	2.15424	6.2718	3.20369	8.23216	9.31202
7	1.02367	2.15425	6.2718	3.20369	8.23216	9.31202
8	1.02367	2.15425	6.27181	3.20368	8.23216	9.31202
9	1.02367	2.15425	6.27181	3.20368	8.23216	9.31201
10	1.02367	2.15425	6.27181	3.20368	8.23216	9.31201
11	1.02367	2.15425	6.27181	3.20368	8.23215	9.31201
12	1.02367	2.15425	6.27181	3.20367	8.23215	9.31201
13	1.02367	2.15425	6.27181	3.20367	8.23215	9.31201
14	1.02367	2.15425	6.27182	3.20367	8.23215	9.31201
15	1.02367	2.15425	6.27182	3.20367	8.23215	9.31201
16	1.02367	2.15426	6.27182	3.20367	8.23215	9.31201
17	1.02367	2.15426	6.27182	3.20367	8.23215	9.31201
18	1.02367	2.15426	6.27182	3.20366	8.23214	9.31201
19	1.02367	2.15426	6.27182	3.20366	8.23214	9.31201
20	1.02367	2.15426	6.27182	3.20366	8.23214	9.31201
21	1.02367	2.15426	6.27183	3.20366	8.23214	9.31201
22	1.02367	2.15426	6.27183	3.20366	8.23214	9.31201
23	1.02367	2.15426	6.27183	3.20366	8.23214	9.31201
24	1.02367	2.15426	6.27183	3.20366	8.23214	9.31201
25	1.02367	2.15426	6.27183	3.20365	8.23214	9.31201
26	1.02367	2.15426	6.27183	3.20365	8.23214	9.31201
27	1.02367	2.15426	6.27183	3.20365	8.23213	9.31201
28	1.02367	2.15426	6.27183	3.20365	8.23213	9.31201
29	1.02367	2.15426	6.27183	3.20365	8.23213	9.31201
30	1.02367	2.15426	6.27183	3.20365	8.23213	9.31201
31	1.02367	2.15426	6.27184	3.20365	8.23213	9.31201
32	1.02367	2.15426	6.27184	3.20365	8.23213	9.31201
33	1.02367	2.15426	6.27184	3.20365	8.23213	9.31201
34	1.02367	2.15427	6.27184	3.20365	8.23213	9.31201
35	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
36	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
37	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
38	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
39	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
40	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
41	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
42	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
43	1.02367	2.15427	6.27184	3.20364	8.23213	9.31201
44	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
45	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
46	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
47	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
48	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
49	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
50	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
51	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
52	1.02367	2.15427	6.27184	3.20364	8.23212	9.31201
53	1.02367	2.15427	6.27185	3.20364	8.23212	9.31201
54	1.02367	2.15427	6.27185	3.20364	8.23212	9.31201
55	1.02367	2.15427	6.27185	3.20364	8.23212	9.31201
56	1.02367	2.15427	6.27185	3.20364	8.23212	9.31201
57	1.02367	2.15427	6.27185	3.20364	8.23212	9.31201
58	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
59	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
60	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
61	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
62	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
63	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
64	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
65	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
66	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
67	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
68	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
69	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
70	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
71	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
72	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
73	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
74	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
75	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
76	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
77	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
78	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
79	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
80	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
81	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
82	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
83	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
84	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
85	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
86	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
87	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
88	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
89	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
90	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
91	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
92	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
93	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
94	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
95	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
96	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
97	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
98	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
99	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
100	1.02367	2.15427	6.27185	3.20363	8.23212	9.31201
