Time	[BCK2]	[BUB2]	[BUD]	[C2]	[C2P]	[C5]	[C5P]	[CDC14]	[CDC14T]	[CDC15]	[CDC15i]	[CDC20]	[CDC20i]	[CDC6]	[CDC6P]	[CDC6T]	[CDH1]	[CDH1i]	[CKIT]	[CLB2]	[CLB2T]	[CLB5]	[CLB5T]	[CLN2]	[CLN3]	[ESP1]	[F2]	[F2P]	[F5]	[F5P]	[IE]	[IEP]	[LTE1]	[MAD2]	[MASS]	[MCM1]	[NET1]	[NET1P]	[NET1T]	[ORI]	[PDS1]	[PE]	[PPX]	[RENT]	[RENTP]	[SBF]	[SIC1]	[SIC1P]	[SIC1T]	[SPN]	[SWI5]	[SWI5P]	[TEM1GDP]	[TEM1GTP]
34	0.0846195	0.2	1.07977	0.000443159	0.000331103	0.0761219	0.0575846	0.025929	2.00393	0.143794	0.856206	0.00287654	0.0177364	0.350062	0.0979601	0.454004	0.3806	0.6194	0.598451	0.000822622	0.00654152	0.136997	0.271741	1.79234	0.0828345	0.395605	0.00412699	0.000817642	0.000866795	0.000170702	0.999957	4.29287e-05	0.1	0.01	1.56703	0.000501034	0.448438	0.315304	2.74175	0.517526	0.0167238	0.604395	0.255068	1.87915	0.0988544	0.996002	0.00450525	0.0054608	0.144447	0.0103552	0.122888	1.54195e-05	0.917891	0.0821092
35	0.0852737	0.2	1.13537	0.000280079	0.000266942	0.0519479	0.0513849	0.0258437	2.00356	0.143794	0.856206	0.00287548	0.0178757	0.294555	0.0964956	0.39798	0.27036	0.729639	0.509224	0.00105978	0.00723161	0.173322	0.277959	1.81115	0.0833415	0.381526	0.0045446	0.00108021	0.00105029	0.000253778	0.999945	5.49457e-05	0.1	0.01	1.57914	0.000646402	0.449969	0.315785	2.74347	0.760329	0.0177016	0.618474	0.256833	1.87834	0.0993789	0.996105	0.00322529	0.0041391	0.111244	0.0103965	0.118284	1.88011e-05	0.917891	0.0821092
36	0.085933	1	1.19514	0.000197244	0.000224952	0.0350406	0.0439305	0.0257437	2.00322	0.140676	0.859324	0.000864027	0.0200816	0.241496	0.0937637	0.343112	0.149092	0.850907	0.428563	0.00140488	0.00819591	0.203736	0.284192	1.82957	0.0838508	0.365044	0.00494802	0.00142083	0.00114023	0.000344079	0.999928	7.17459e-05	0.1	8	1.59135	0.000858684	0.451747	0.315917	2.74514	1.04771	0.01894	0.634956	0.258971	1.87787	0.0996041	0.996183	0.00253922	0.0035182	0.0854507	0.0106313	0.114047	2.31378e-05	0.961056	0.0389439
37	0.0865974	1	1.25759	0.000164657	0.000208756	0.0245025	0.0368059	0.0243258	2.00291	0.0958875	0.904113	0.0001271	0.0211004	0.192274	0.0896776	0.290702	0.0406543	0.959345	0.357753	0.0019267	0.00951229	0.227696	0.290543	1.84765	0.0843623	0.345795	0.00534097	0.00187121	0.00111331	0.000425409	0.999903	9.66247e-05	0.1	8	1.60365	0.00118136	0.474913	0.29326	2.74676	1.36613	0.0205346	0.654205	0.262227	1.89878	0.0798076	0.996233	0.00214054	0.00322871	0.067051	0.0111428	0.110154	2.89845e-05	0.99	0.00999953
38	0.0872669	1	1.32135	0.000161996	0.000217574	0.0183816	0.0310941	0.0218992	2.00264	0.066852	0.933148	0.000129333	0.0215159	0.148109	0.0843583	0.241961	0.00681198	0.993187	0.296826	0.00269944	0.0111139	0.245972	0.296907	1.86544	0.0848762	0.325097	0.00560514	0.00242976	0.000977614	0.000481245	0.999866	0.000133918	0.1	8	1.61605	0.00166298	0.523861	0.243736	2.74834	1.70323	0.0224636	0.674903	0.265777	1.92121	0.0595309	0.996255	0.00189356	0.00311634	0.0548652	0.0120584	0.106588	3.72346e-05	0.99001	0.00998992
39	0.0879416	1	1.38537	0.000178407	0.000248488	0.0149534	0.0270208	0.0199719	2.00239	0.0494488	0.950551	0.000132862	0.0221227	0.110626	0.0776898	0.198185	0.00551738	0.994482	0.245392	0.00377261	0.0128005	0.260035	0.303279	1.88296	0.0853923	0.30455	0.00557954	0.00302146	0.000772153	0.000496983	0.999813	0.00018729	0.1	8	1.62855	0.00233942	0.571828	0.19562	2.74986	2.04949	0.0246391	0.69545	0.269661	1.93588	0.0465306	0.996249	0.00172974	0.00307598	0.0472068	0.0135338	0.103337	4.88563e-05	0.99001	0.00998992
40	0.0886215	1	1.44895	0.000209888	0.000302376	0.0129937	0.0243386	0.0186858	2.00216	0.0390179	0.960982	0.000137887	0.0229834	0.0809404	0.0699318	0.160725	0.00509595	0.994903	0.203234	0.00519968	0.0145467	0.271309	0.309659	1.90027	0.0859107	0.284431	0.00526328	0.00357143	0.000550564	0.000467271	0.99974	0.000260121	0.1	8	1.64114	0.00325287	0.609481	0.158389	2.75134	2.39859	0.0270715	0.715569	0.273883	1.94491	0.0385609	0.996215	0.00161202	0.00305267	0.0425093	0.015743	0.100391	6.48363e-05	0.99001	0.00998992
41	0.0893066	1	1.51167	0.00025312	0.00037948	0.0117848	0.022631	0.0178637	2.00195	0.0327658	0.967234	0.000144793	0.0241605	0.0591921	0.0617977	0.1305	0.00480812	0.995191	0.170094	0.00698589	0.0163684	0.280872	0.316047	1.91739	0.0864314	0.264775	0.00474569	0.00400422	0.000359489	0.00040032	0.999645	0.000354556	0.1	8	1.65383	0.0044192	0.636444	0.132248	2.75278	2.74684	0.029802	0.735225	0.278452	1.95035	0.033738	0.996156	0.00152048	0.00302596	0.0395948	0.0188608	0.0977456	8.61165e-05	0.99001	0.00998992
42	0.0899971	1	1.57331	0.000303502	0.000477107	0.0109599	0.0215258	0.0173402	2.00177	0.0290184	0.970982	0.000153854	0.0256951	0.0444645	0.0541938	0.107643	0.00459649	0.995403	0.145346	0.00905507	0.0182822	0.28942	0.322444	1.93435	0.0869543	0.245619	0.00417416	0.00427239	0.000222619	0.000315604	0.999531	0.000469047	0.1	8	1.66661	0.00580333	0.65498	0.11477	2.75418	3.09223	0.0328792	0.754381	0.283382	1.95359	0.0308411	0.996076	0.00144493	0.00299214	0.0377034	0.0230151	0.0953945	0.000113302	0.99001	0.00998992
43	0.0906929	1	1.63379	0.00035545	0.000588828	0.0103435	0.0207706	0.0170017	2.0016	0.0267723	0.973228	0.000165103	0.0275868	0.0351143	0.0478591	0.0914304	0.00443045	0.995569	0.127823	0.0112732	0.0203011	0.297362	0.32885	1.95117	0.0874796	0.22701	0.00368974	0.00439387	0.000138638	0.000234779	0.999402	0.000597827	0.1	8	1.6795	0.007328	0.667598	0.103335	2.75553	3.43374	0.0363598	0.77299	0.288691	1.95549	0.0291112	0.995987	0.00138033	0.00295347	0.0363923	0.0282455	0.0933286	0.000146407	0.99001	0.00998992
