Time	[BCK2]	[BUB2]	[BUD]	[C2]	[C2P]	[C5]	[C5P]	[CDC14]	[CDC14T]	[CDC15]	[CDC15i]	[CDC20]	[CDC20i]	[CDC6]	[CDC6P]	[CDC6T]	[CDH1]	[CDH1i]	[CKIT]	[CLB2]	[CLB2T]	[CLB5]	[CLB5T]	[CLN2]	[CLN3]	[ESP1]	[F2]	[F2P]	[F5]	[F5P]	[IE]	[IEP]	[LTE1]	[MAD2]	[MASS]	[MCM1]	[NET1]	[NET1P]	[NET1T]	[ORI]	[PDS1]	[PE]	[PPX]	[RENT]	[RENTP]	[SBF]	[SIC1]	[SIC1P]	[SIC1T]	[SPN]	[SWI5]	[SWI5P]	[TEM1GDP]	[TEM1GTP]
44	0.0913941	1	1.69307	0.000404262	0.000706014	0.00985261	0.0202188	0.016776	2.00145	0.025426	0.974574	0.000178311	0.0297936	0.0293752	0.0430915	0.080536	0.00429274	0.995707	0.115955	0.0135174	0.0224328	0.304929	0.335265	1.9679	0.0880071	0.209009	0.00336247	0.0044427	9.24848e-05	0.000171572	0.999267	0.000733369	0.1	8	1.69248	0.00891544	0.676323	0.095852	2.75685	3.77084	0.0403087	0.790991	0.294397	1.95659	0.0280832	0.995895	0.00132406	0.00291312	0.0354189	0.0345008	0.0915336	0.000184873	0.99001	0.00998992
45	0.0921007	1	1.75115	0.000447635	0.000821052	0.00944535	0.0197919	0.0166181	2.00131	0.024619	0.975381	0.000193107	0.0322528	0.0258344	0.0397574	0.0734747	0.00417339	0.995826	0.108129	0.0157268	0.0246813	0.312254	0.341689	1.98455	0.0885369	0.191685	0.0031884	0.00449741	6.83832e-05	0.000128766	0.99913	0.000869909	0.1	8	1.70557	0.0105243	0.68259	0.0908393	2.75812	4.10326	0.044799	0.808315	0.300517	1.95722	0.0274744	0.995806	0.00127443	0.0028735	0.0346538	0.0416771	0.0899923	0.000227859	0.99001	0.00998992
46	0.0928128	1	1.80807	0.000485561	0.000929684	0.00909787	0.0194482	0.0165006	2.00118	0.0241352	0.975865	0.000209142	0.0349087	0.0235583	0.0375091	0.0689581	0.00406647	0.995933	0.102986	0.0179011	0.0270489	0.319419	0.348123	2.00114	0.089069	0.175118	0.00312947	0.00460318	5.56812e-05	0.00010239	0.998995	0.00100512	0.1	8	1.71875	0.0121541	0.687355	0.0873194	2.75936	4.43087	0.0499115	0.824882	0.307062	1.95757	0.0271137	0.995719	0.00123015	0.00283602	0.0340275	0.0496625	0.0886868	0.000274564	0.99001	0.00998992
47	0.0935303	1	1.86386	0.000519238	0.00103113	0.00879478	0.0191645	0.0164069	2.00107	0.0238453	0.976155	0.000226194	0.0377268	0.0219952	0.0359901	0.0660382	0.00396839	0.996031	0.0995394	0.0200717	0.0295395	0.326472	0.354567	2.0177	0.0896034	0.159391	0.00314634	0.00477106	4.85987e-05	8.69373e-05	0.998861	0.00113949	0.1	8	1.73204	0.0138293	0.691221	0.0846743	2.76056	4.75371	0.0557323	0.840609	0.314038	1.95777	0.0268982	0.995633	0.00119024	0.00280131	0.0335012	0.0583651	0.0876018	0.000324423	0.99001	0.00998992
48	0.0942534	1	1.91857	0.000550106	0.00112679	0.00852565	0.0189262	0.0163273	2.00097	0.0236714	0.976329	0.00024419	0.0406975	0.0208356	0.0349267	0.0640884	0.0038769	0.996122	0.0971406	0.0222779	0.0321586	0.333448	0.361022	2.03424	0.09014	0.144588	0.00320984	0.00499393	4.42937e-05	7.79991e-05	0.998725	0.00127493	0.1	8	1.74543	0.0155834	0.694556	0.0825272	2.76173	5.07191	0.0623496	0.855412	0.321438	1.95788	0.0267661	0.995545	0.00115396	0.00276957	0.0330522	0.0677197	0.0867252	0.000377143	0.99001	0.00998992
49	0.0949822	1	1.97226	0.000579395	0.00121892	0.00828331	0.0187234	0.016256	2.00088	0.0235672	0.976433	0.000263183	0.0438312	0.0199094	0.0341371	0.0627214	0.00379061	0.996209	0.0953879	0.0245554	0.0349145	0.340367	0.367488	2.05078	0.090679	0.130786	0.00330108	0.00525964	4.14013e-05	7.27229e-05	0.998586	0.00141366	0.1	8	1.75893	0.017451	0.697579	0.0806562	2.76286	5.38567	0.0698474	0.869214	0.329243	1.95794	0.0266808	0.995453	0.00112076	0.0027408	0.0326666	0.0776848	0.0860481	0.000432672	0.99001	0.00998992
50	0.0957165	1	2.02496	0.00060803	0.00130974	0.00806283	0.0185495	0.0161899	2.00079	0.0235046	0.976495	0.000283323	0.0471535	0.0191234	0.0335096	0.0617076	0.00370862	0.996291	0.0940428	0.0269343	0.0378179	0.347244	0.373965	2.06734	0.0912201	0.118051	0.00340857	0.00555734	3.92556e-05	6.9447e-05	0.998442	0.00155776	0.1	8	1.77253	0.0194663	0.700414	0.0789363	2.76395	5.69524	0.0782981	0.881949	0.33742	1.95798	0.0266208	0.995355	0.00109022	0.00271492	0.0323352	0.0882365	0.0855651	0.00049115	0.99001	0.00998992
51	0.0964565	1	2.07673	0.00063668	0.00140118	0.00786073	0.0183998	0.0161273	2.00072	0.0234671	0.976533	0.000304831	0.0507009	0.018426	0.0329788	0.0609144	0.00363035	0.996369	0.0929667	0.0294398	0.0408825	0.354088	0.380454	2.08391	0.0917636	0.106426	0.00352563	0.0058792	3.75224e-05	6.72523e-05	0.998291	0.00170905	0.1	8	1.78623	0.021664	0.703126	0.0773026	2.76502	6.0009	0.0877546	0.893574	0.345917	1.95802	0.0265742	0.995248	0.00106205	0.00269184	0.0320523	0.0993635	0.0852732	0.000552863	0.99001	0.00998992
52	0.0972023	1	2.12763	0.000665847	0.00149482	0.00767454	0.0182713	0.0160674	2.00065	0.0234446	0.976555	0.000327982	0.054519	0.0177885	0.0325071	0.0602662	0.00355539	0.996444	0.0920802	0.0320947	0.0441243	0.360907	0.386954	2.10052	0.0923093	0.0959261	0.00364857	0.00622037	3.60297e-05	6.56429e-05	0.998131	0.00186912	0.1	8	1.80004	0.0240815	0.705745	0.0757263	2.76605	6.30294	0.0982436	0.904074	0.354668	1.95805	0.0265347	0.995132	0.001036	0.00267148	0.031814	0.111063	0.0851727	0.000618227	0.99001	0.00998992
53	0.0979538	1	2.17769	0.000695936	0.00159194	0.00750245	0.0181619	0.0160098	2.00059	0.023431	0.976569	0.000353107	0.058662	0.0171944	0.0320731	0.0597203	0.00348346	0.996516	0.0913382	0.0349211	0.0475628	0.367704	0.393467	2.11718	0.0928573	0.0865346	0.00377551	0.00657833	3.46864e-05	6.43532e-05	0.997961	0.00203947	0.1	8	1.81396	0.0267612	0.708279	0.0741999	2.76706	6.60168	0.109762	0.913465	0.363595	1.95808	0.0264996	0.995005	0.00101191	0.00265376	0.0316179	0.123337	0.0852665	0.000687769	0.99001	0.00998992
54	0.0987111	1	2.22698	0.000727314	0.00169372	0.00734308	0.0180701	0.0159547	2.00053	0.0234229	0.976577	0.000380599	0.0631943	0.0166338	0.0316645	0.0592529	0.00341431	0.996585	0.0907155	0.0379422	0.0512212	0.374482	0.399992	2.13387	0.0934076	0.0782046	0.00390574	0.00695223	3.34426e-05	6.32409e-05	0.997778	0.00222162	0.1	8	1.82798	0.0297544	0.710725	0.0727275	2.76803	6.89744	0.122278	0.921795	0.372611	1.95811	0.0264681	0.994864	0.00098962	0.00263867	0.0314625	0.136193	0.0855608	0.000762136	0.99001	0.00998992
55	0.0994743	1	2.27552	0.000760344	0.00180128	0.00719539	0.0179952	0.0159021	2.00048	0.0234179	0.976582	0.000410926	0.0681929	0.0161005	0.0312741	0.0588508	0.00334778	0.996652	0.0901983	0.0411838	0.0551271	0.381244	0.406529	2.15063	0.0939601	0.0708633	0.0040392	0.00734248	3.227e-05	6.22292e-05	0.997583	0.00241721	0.1	8	1.84212	0.0331245	0.713077	0.0713186	2.76898	7.19053	0.135736	0.929137	0.381631	1.95814	0.0264408	0.994709	0.000969025	0.00262621	0.0313475	0.149643	0.0860655	0.000842109	0.99001	0.00998992
56	0.100243	1	2.32337	0.000795429	0.00191583	0.00705859	0.0179368	0.0158522	2.00044	0.0234149	0.976585	0.000444665	0.0737525	0.0155901	0.0308977	0.0585071	0.00328369	0.996716	0.0897802	0.044676	0.059314	0.387991	0.413079	2.16744	0.0945149	0.0644204	0.00417635	0.00775045	3.11516e-05	6.12753e-05	0.997372	0.00262811	0.1	8	1.85636	0.036953	0.715325	0.0699837	2.76989	7.4813	0.15007	0.93558	0.390569	1.95817	0.0264187	0.994535	0.00095004	0.0026164	0.0312731	0.163702	0.0867951	0.000928627	0.99001	0.00998992
57	0.101018	1	2.37056	0.000833032	0.00203871	0.00693209	0.017895	0.0158051	2.00039	0.0234131	0.976587	0.000482535	0.0799913	0.0150995	0.0305323	0.0582185	0.0032219	0.996778	0.0894593	0.0484552	0.0638232	0.394724	0.419641	2.18431	0.095072	0.0587769	0.00431798	0.00817831	3.00761e-05	6.03551e-05	0.997143	0.00285655	0.1	8	1.87071	0.0413469	0.717461	0.0687322	2.77078	7.77008	0.165205	0.941223	0.399351	1.95819	0.026403	0.994339	0.000932608	0.00260935	0.0312408	0.178389	0.0877698	0.00102283	0.99001	0.00998992
58	0.101799	1	2.41713	0.000873724	0.00217155	0.00681552	0.0178701	0.0157609	2.00036	0.023412	0.976588	0.000525462	0.0870619	0.0146261	0.030176	0.0579848	0.00316225	0.996837	0.0892376	0.0525661	0.0687057	0.401442	0.426216	2.20124	0.0956313	0.0538329	0.00446521	0.00862909	2.90352e-05	5.94537e-05	0.996895	0.00310521	0.1	8	1.88517	0.0464511	0.719479	0.0675707	2.77165	8.05723	0.181076	0.946167	0.407914	1.9582	0.0263946	0.994119	0.000916702	0.0026052	0.0312528	0.193728	0.0890176	0.00112612	0.99001	0.00998992
59	0.102586	1	2.46313	0.000918224	0.00231637	0.00670869	0.0178631	0.0157196	2.00032	0.0234112	0.976589	0.000574667	0.0951661	0.0141676	0.0298272	0.0578077	0.00310461	0.996895	0.0891205	0.0570657	0.0740266	0.408144	0.432802	2.21823	0.0961928	0.0494928	0.00461957	0.00910676	2.80226e-05	5.85612e-05	0.996622	0.00337751	0.1	8	1.89975	0.052467	0.721377	0.0665033	2.77248	8.34315	0.197626	0.950507	0.416208	1.95821	0.0263947	0.993867	0.000902324	0.00260416	0.0313128	0.209748	0.0905772	0.00124024	0.99001	0.00998992
60	0.10338	1	2.50857	0.000967477	0.00247576	0.00661166	0.0178753	0.0156812	2.00029	0.0234108	0.976589	0.000631817	0.10458	0.0137219	0.0294848	0.057691	0.00304882	0.996951	0.0891173	0.0620278	0.0798707	0.414829	0.4394	2.23529	0.0967567	0.0456689	0.00478305	0.00961655	2.70323e-05	5.76701e-05	0.996322	0.00367778	0.1	8	1.91444	0.0596856	0.723155	0.0655308	2.7733	8.62824	0.214824	0.954331	0.424196	1.95821	0.0264037	0.993575	0.000889521	0.00260657	0.0314263	0.226488	0.0925022	0.00136742	0.99001	0.00998992
61	0.104179	1	2.5535	0.00102277	0.00265317	0.0065248	0.0179092	0.0156456	2.00026	0.0234105	0.97659	0.000699262	0.115693	0.0132869	0.0291479	0.0576414	0.00299473	0.997005	0.0892426	0.0675518	0.0863515	0.421493	0.446009	2.2524	0.0973227	0.0422827	0.00495835	0.0101654	2.60585e-05	5.67738e-05	0.995988	0.00401178	0.1	8	1.92924	0.0685443	0.724816	0.0646518	2.77409	8.91296	0.23266	0.957717	0.431855	1.9582	0.026422	0.993234	0.000878391	0.00261289	0.0316012	0.243993	0.0948688	0.00151056	0.99001	0.00998992
62	0.104984	1	2.59795	0.00108591	0.00285335	0.00644891	0.0179679	0.0156126	2.00024	0.0234103	0.97659	0.000780465	0.129085	0.0128606	0.0288157	0.0576694	0.0029422	0.997057	0.0895185	0.0737763	0.0936278	0.428131	0.452629	2.26957	0.097891	0.0392643	0.00514925	0.0107629	2.5095e-05	5.58659e-05	0.995613	0.00438738	0.1	8	1.94415	0.079738	0.726363	0.0638629	2.77485	9.19784	0.251167	0.960736	0.439173	1.95818	0.0264497	0.992827	0.000869121	0.00262384	0.0318491	0.262326	0.0977891	0.00167356	0.99001	0.00998992
63	0.105796	1	2.64193	0.00115961	0.00308311	0.00638547	0.0180568	0.0155822	2.00022	0.0234101	0.97659	0.00088081	0.145658	0.0124404	0.0284877	0.0577912	0.00289102	0.997108	0.0899787	0.0809052	0.101932	0.434735	0.459256	2.28676	0.0984615	0.036551	0.00536131	0.0114227	2.41345e-05	5.49396e-05	0.995184	0.00481585	0.1	8	1.95918	0.0944499	0.727802	0.0631593	2.7756	9.48352	0.270428	0.963449	0.446149	1.95815	0.0264867	0.992329	0.000862027	0.00264046	0.0321875	0.281567	0.101435	0.00186188	0.99001	0.00998992
64	0.106614	1	2.68546	0.00124819	0.00335286	0.00633705	0.018184	0.015554	2.0002	0.02341	0.97659	0.00100929	0.166936	0.0120231	0.028164	0.0580327	0.00284097	0.997158	0.0906769	0.089259	0.111628	0.441291	0.465889	2.30398	0.0990343	0.034085	0.00560321	0.0121652	2.3167e-05	5.39865e-05	0.994686	0.00531425	0.1	8	1.97433	0.114894	0.72914	0.062535	2.77632	9.7708	0.290617	0.965915	0.452791	1.95811	0.0265328	0.991697	0.000857668	0.00266444	0.0326442	0.301831	0.106087	0.00208353	0.99001	0.00998992
65	0.107438	1	2.72857	0.00135912	0.00367974	0.00630828	0.0183633	0.015528	2.00018	0.0234099	0.97659	0.00118253	0.195767	0.011604	0.0278456	0.0584387	0.00279174	0.997208	0.0917049	0.0993953	0.123348	0.447778	0.472524	2.32118	0.0996093	0.0318074	0.00588982	0.0130241	2.21771e-05	5.29956e-05	0.994089	0.00591073	0.1	8	1.9896	0.145815	0.730384	0.0619834	2.77702	10.0608	0.312079	0.968193	0.459118	1.95806	0.0265874	0.990853	0.000857082	0.00269865	0.0332662	0.323283	0.112254	0.00235114	0.99001	0.00998992
66	0.108269	1	2.77125	0.00150739	0.00409549	0.0063083	0.0186206	0.015504	2.00016	0.0234099	0.97659	0.00143624	0.2384	0.0111745	0.027536	0.0590945	0.00274272	0.997257	0.0932374	0.112444	0.138358	0.454152	0.479154	2.33829	0.100187	0.029646	0.00625014	0.0140608	2.11363e-05	5.19512e-05	0.993342	0.00665791	0.1	8	2.00498	0.199727	0.731543	0.0614966	2.7777	10.3551	0.335561	0.970354	0.465162	1.95801	0.0266498	0.989617	0.000862464	0.00274869	0.0341429	0.34619	0.121	0.00268698	0.99001	0.00998992
67	0.109106	1	2.8135	0.00173057	0.0046714	0.00635811	0.0190138	0.0154816	2.00015	0.0234098	0.97659	0.00186921	0.312687	0.010713	0.027248	0.0601982	0.00269245	0.997307	0.0956796	0.131379	0.159947	0.46032	0.485763	2.35516	0.100766	0.0274719	0.00675453	0.0154118	1.9975e-05	5.08293e-05	0.992323	0.00767741	0.1	8	2.02048	0.322349	0.732626	0.061065	2.77835	10.6569	0.363078	0.972528	0.470979	1.95794	0.0267188	0.987454	0.000879635	0.00282781	0.0354813	0.371059	0.135208	0.00313829	0.99001	0.00998992
68	0.109949	1	2.85526	0.0021569	0.00562719	0.00651832	0.0197144	0.0154606	2.00013	0.0234097	0.97659	0.0028355	0.481474	0.0101549	0.0270325	0.0623618	0.002636	0.997363	0.100284	0.166167	0.199057	0.466007	0.492308	2.37129	0.101348	0.0249473	0.00762127	0.017485	1.84724e-05	4.95832e-05	0.99065	0.00935036	0.1	8	2.0361	0.642953	0.73365	0.0606736	2.77899	10.974	0.401457	0.975053	0.476703	1.95788	0.0267919	0.9818	0.000927248	0.00297801	0.0379221	0.399093	0.164705	0.00384469	0.99001	0.00998992
69	0.110799	1	2.89633	0.00299072	0.00750939	0.00687659	0.0210111	0.0154404	2.00012	0.0234097	0.97659	0.00457539	0.759237	0.00955666	0.0269376	0.0667132	0.00257207	0.997427	0.109371	0.222062	0.262717	0.4707	0.498652	2.38455	0.101932	0.0220966	0.00905681	0.0210977	1.65907e-05	4.79077e-05	0.987647	0.0123528	0.1	8	2.05184	0.847357	0.734641	0.0602958	2.77962	11.3223	0.454766	0.977903	0.482541	1.95781	0.0268646	0.962446	0.00100872	0.00326158	0.0426581	0.432049	0.214239	0.00518384	0.99001	0.00998992
70	0.111656	1	2.93621	0.00411621	0.0105049	0.00734368	0.0227198	0.0154205	2.00011	0.0234097	0.97659	0.0063688	1.02343	0.00906882	0.0268624	0.0728337	0.00251388	0.997486	0.122209	0.284663	0.336125	0.474188	0.504312	2.38222	0.102518	0.01966	0.0107082	0.0261335	1.50619e-05	4.57591e-05	0.983486	0.0165138	0.1	8	2.06771	0.909615	0.735615	0.0599161	2.78022	11.7099	0.512124	0.98034	0.488462	1.95775	0.0269357	0.801139	0.00108512	0.00360552	0.0493752	0.469336	0.267764	0.0075535	0.99001	0.00998992
71	0.112519	1	2.96953	0.00553071	0.0142227	0.00791711	0.024287	0.0154015	2.0001	0.0234096	0.97659	0.00793574	1.23985	0.00834645	0.0260591	0.0776953	0.00252177	0.997478	0.134692	0.350092	0.413078	0.470606	0.502866	2.18182	0.103106	0.0182607	0.011993	0.0312403	1.34644e-05	4.29523e-05	0.978552	0.0214483	0.1	8	2.08369	0.936832	0.736554	0.0595525	2.7808	12.1317	0.551397	0.981739	0.494156	1.95769	0.0270105	0.0471589	0.00115305	0.00388617	0.0569967	0.509312	0.31887	0.0111976	0.99001	0.00998992
72	0.113389	1	2.98838	0.00717774	0.0184577	0.00847962	0.0255313	0.0153841	2.00009	0.0234096	0.97659	0.00926607	1.41027	0.0081163	0.0252851	0.0835286	0.00255338	0.997446	0.148437	0.416115	0.491824	0.46509	0.499154	1.94395	0.103696	0.0172365	0.01376	0.0363144	1.26537e-05	4.00598e-05	0.972992	0.0270084	0.1	8	2.0998	0.951588	0.737418	0.0592476	2.78137	12.5775	0.58491	0.982764	0.499335	1.95761	0.0270966	0.0202235	0.0012045	0.00405786	0.0649087	0.550717	0.36588	0.0162681	0.99001	0.00998992
73	0.114266	1	2.9941	0.0088571	0.0229788	0.00886982	0.0264575	0.0153687	2.00008	0.0234095	0.97659	0.0103963	1.54234	0.0079001	0.0247084	0.0900211	0.00257959	0.99742	0.162585	0.482456	0.571655	0.459873	0.495251	1.7288	0.104289	0.0163334	0.0155639	0.0417986	1.20918e-05	3.79815e-05	0.966878	0.0331223	0.1	8	2.11604	0.960802	0.738194	0.0590153	2.78192	13.0456	0.617957	0.983667	0.504039	1.95752	0.0271945	0.0124018	0.00123713	0.00416318	0.0725635	0.592632	0.408285	0.0228318	0.99001	0.00998992
74	0.115149	1	2.98864	0.0104613	0.0275728	0.00905494	0.0270399	0.0153551	2.00007	0.0234095	0.97659	0.0113717	1.64397	0.00764667	0.0241893	0.0963251	0.00259857	0.997401	0.175939	0.549756	0.652231	0.455125	0.491268	1.5364	0.104884	0.0155294	0.0171524	0.0472889	1.14944e-05	3.63281e-05	0.960159	0.0398415	0.1	8	2.1324	0.967148	0.738887	0.0588506	2.78245	13.5361	0.650613	0.984471	0.508318	1.95741	0.027303	0.0087065	0.00125256	0.0042321	0.0796136	0.634458	0.445995	0.0309115	0.99001	0.00998992
75	0.11604	1	2.97382	0.0119062	0.0320984	0.00903794	0.0272906	0.0153431	2.00007	0.0234095	0.976591	0.0122354	1.72192	0.00735189	0.0236977	0.102005	0.00260988	0.99739	0.187874	0.61845	0.733365	0.45087	0.487244	1.36495	0.105481	0.0148096	0.0184143	0.0524956	1.07989e-05	3.47852e-05	0.95273	0.0472701	0.1	8	2.14888	0.971809	0.739506	0.0587457	2.78297	14.0495	0.682857	0.98519	0.51222	1.9573	0.0274211	0.00657017	0.00125316	0.00428226	0.0858685	0.675795	0.479095	0.040499	0.99001	0.00998992
76	0.116937	1	2.95124	0.0131312	0.0364547	0.00884213	0.0272424	0.0153326	2.00006	0.0234095	0.976591	0.0130247	1.78161	0.00702455	0.0232373	0.106867	0.00261374	0.997386	0.198102	0.688791	0.814938	0.447072	0.483199	1.21237	0.10608	0.0141623	0.019305	0.0572564	1.00144e-05	3.32101e-05	0.944466	0.0555338	0.1	8	2.1655	0.975386	0.740057	0.0586934	2.78348	14.5868	0.714661	0.985838	0.515782	1.95718	0.027548	0.00518973	0.00124144	0.00432359	0.0912354	0.71637	0.507752	0.0515603	0.99001	0.00998992
77	0.117841	1	2.92229	0.014101	0.0405659	0.00850159	0.0269374	0.0153233	2.00005	0.0234094	0.976591	0.0137714	1.82731	0.00667648	0.022815	0.110848	0.00261071	0.997389	0.206535	0.760888	0.896871	0.443666	0.479146	1.07672	0.106682	0.0135778	0.0198257	0.0614902	9.17506e-06	3.15648e-05	0.935229	0.0647714	0.1	8	2.18224	0.978219	0.740547	0.0586875	2.78396	15.1487	0.745999	0.986422	0.519037	1.95705	0.0276828	0.00423273	0.00121988	0.0043614	0.0956871	0.755994	0.532183	0.0640378	0.99001	0.00998992
78	0.118752	1	2.88821	0.0148035	0.0443757	0.0080541	0.0264201	0.0153153	2.00005	0.0234094	0.976591	0.0145023	1.86231	0.00631892	0.0224342	0.113964	0.00260158	0.997398	0.213207	0.83475	0.979102	0.440578	0.475091	0.956157	0.107285	0.013048	0.0200068	0.0651661	8.31889e-06	2.98616e-05	0.924866	0.0751342	0.1	8	2.19911	0.980517	0.740983	0.058723	2.78444	15.7359	0.776846	0.986952	0.522015	1.95691	0.0278249	0.00353638	0.00119074	0.00439835	0.0992425	0.794534	0.552635	0.0778528	0.99001	0.00998992
79	0.11967	1	2.85002	0.0152467	0.0478447	0.00753616	0.0257337	0.0153084	2.00004	0.0234094	0.976591	0.0152405	1.88911	0.0059612	0.0220942	0.116272	0.00258721	0.997412	0.218225	0.91031	1.06158	0.437731	0.471037	0.849051	0.107891	0.0125664	0.0198959	0.0682852	7.47876e-06	2.81315e-05	0.913215	0.0867852	0.1	8	2.21611	0.982414	0.741368	0.0587956	2.7849	16.3491	0.807175	0.987434	0.52474	1.95676	0.0279737	0.00301149	0.00115599	0.00443552	0.101953	0.8319	0.569373	0.0929077	0.99001	0.00998992
80	0.120595	1	2.80864	0.0154523	0.0509497	0.00697991	0.0249185	0.0153024	2.00004	0.0234094	0.976591	0.0160063	1.90965	0.00561047	0.0217917	0.117851	0.00256851	0.997431	0.221742	0.987453	1.14427	0.435054	0.466985	0.75392	0.108499	0.0121272	0.0195473	0.0708689	6.67908e-06	2.64086e-05	0.9001	0.0999005	0.1	8	2.23324	0.984005	0.741706	0.0589017	2.78535	16.9885	0.836959	0.987873	0.527234	1.95661	0.0281289	0.002605	0.00111731	0.00447315	0.103891	0.868032	0.582674	0.109089	0.99001	0.00998992
81	0.121528	1	2.7648	0.0154512	0.0536812	0.00641157	0.0240102	0.0152974	2.00004	0.0234094	0.976591	0.0168175	1.92538	0.00527184	0.021522	0.118791	0.00254633	0.997453	0.223932	1.06603	1.22713	0.432483	0.462936	0.669439	0.109109	0.0117259	0.0190153	0.0729512	5.9356e-06	2.47226e-05	0.885332	0.114668	0.1	8	2.25051	0.985355	0.742002	0.0590382	2.78578	17.6541	0.866167	0.988274	0.529517	1.95645	0.02829	0.0022834	0.0010761	0.00451103	0.105141	0.902893	0.592822	0.126268	0.99001	0.00998992
82	0.122467	1	2.71918	0.015278	0.0560418	0.00585112	0.02304	0.0152933	2.00003	0.0234094	0.976591	0.0176906	1.9374	0.00494867	0.0212802	0.119181	0.00252144	0.997478	0.224974	1.14587	1.31011	0.429967	0.458886	0.594425	0.109721	0.0113584	0.0183497	0.0745737	5.25672e-06	2.30967e-05	0.868713	0.131287	0.1	8	2.26791	0.986511	0.742257	0.0592026	2.7862	18.3457	0.894764	0.988642	0.531607	1.95628	0.0284566	0.00202446	0.00103349	0.00454874	0.105793	0.936464	0.600105	0.144309	0.99001	0.00998992
83	0.123414	1	2.67229	0.0149678	0.0580435	0.00531268	0.0220339	0.0152899	2.00003	0.0234093	0.976591	0.0186406	1.94656	0.00464299	0.0210614	0.119106	0.00249453	0.997505	0.22504	1.22679	1.39318	0.427461	0.454834	0.527823	0.110335	0.0110216	0.0175938	0.0757813	4.64519e-06	2.15467e-05	0.850037	0.149963	0.1	8	2.28544	0.987511	0.742474	0.0593926	2.78661	19.0629	0.922712	0.988978	0.533517	1.95611	0.0286285	0.00181288	0.000990364	0.00458581	0.105934	0.968742	0.604806	0.163066	0.99001	0.00998992
84	0.124368	1	2.62461	0.0145532	0.0597054	0.0048055	0.0210132	0.0152873	2.00003	0.0234093	0.976591	0.0196815	1.95349	0.00435578	0.0208614	0.118645	0.0024662	0.997533	0.224291	1.30862	1.47629	0.42493	0.450773	0.468695	0.110952	0.0107124	0.0167831	0.0766201	4.09992e-06	2.00825e-05	0.829094	0.170906	0.1	8	2.30311	0.988381	0.742657	0.0596062	2.787	19.805	0.94997	0.989288	0.535262	1.95593	0.0288054	0.00163782	0.000947428	0.0046218	0.105647	0.999733	0.607205	0.182393	0.99001	0.00998992
85	0.12533	0.2	2.5762	0.0142733	0.0604436	0.00439892	0.0197805	0.018738	2.00002	0.279356	0.720644	0.153591	1.82588	0.00415815	0.0212236	0.117945	0.00264371	0.997356	0.223024	1.37627	1.54353	0.417573	0.441775	0.416207	0.11157	0.0112369	0.0161891	0.0763524	3.67383e-06	1.8506e-05	0.806097	0.193903	1	0.01	2.32092	0.989014	0.632539	0.173561	2.78739	20.564	0.950446	0.988763	0.533984	1.83726	0.144026	0.00150491	0.00092081	0.00526191	0.105079	1.02942	0.608069	0.201644	0.293032	0.706968
86	0.126299	0.2	2.52596	0.0148736	0.0603023	0.00429916	0.0183887	0.0339077	2.00002	0.556787	0.443213	0.251828	1.73256	0.0041277	0.021678	0.117782	0.00367474	0.996325	0.222766	1.41605	1.58318	0.402379	0.425087	0.369622	0.112191	0.0121756	0.0167161	0.0752394	3.55761e-06	1.69299e-05	0.782791	0.217209	1	0.01	2.33886	0.989355	0.37048	0.451165	2.78776	21.3052	0.907635	0.987824	0.528102	1.64123	0.324885	0.0014145	0.000920315	0.00619988	0.104984	1.0577	0.611571	0.216748	0.0250572	0.974943
87	0.127275	0.2	2.47303	0.016147	0.0605774	0.00438993	0.0172616	0.0497761	2.00002	0.637705	0.362295	0.324256	1.66389	0.00421991	0.0217545	0.118966	0.00506164	0.994938	0.225158	1.43186	1.60156	0.381956	0.403627	0.328284	0.112814	0.0135223	0.0180059	0.0749661	3.61727e-06	1.57648e-05	0.760877	0.239123	1	0.01	2.35695	0.989485	0.256188	0.58169	2.78812	21.9955	0.836705	0.986478	0.518879	1.56327	0.386971	0.00135415	0.000944145	0.00687173	0.106192	1.08448	0.621352	0.224159	0.02217	0.97783
88	0.128259	0.2	2.41701	0.0174666	0.0617003	0.0044668	0.0164748	0.0577206	2.00002	0.656219	0.343781	0.378331	1.61262	0.0043581	0.0218623	0.121218	0.00604488	0.993955	0.229691	1.43019	1.60434	0.358576	0.379536	0.291607	0.113439	0.0153415	0.0192563	0.075723	3.65269e-06	1.49625e-05	0.741503	0.258497	1	0.01	2.37517	0.989472	0.221599	0.624575	2.78847	22.6126	0.74938	0.984659	0.50688	1.53725	0.405048	0.00131409	0.000981857	0.00738228	0.108473	1.10975	0.634786	0.2266	0.0221664	0.977834
89	0.129251	0.2	2.3579	0.0188721	0.0632046	0.00453986	0.0158429	0.0626101	2.00002	0.660443	0.339557	0.419048	1.57395	0.00453208	0.022093	0.124011	0.00687867	0.993121	0.235323	1.41673	1.59618	0.333937	0.354338	0.259071	0.114066	0.0177529	0.0205469	0.0768213	3.68042e-06	1.43005e-05	0.72528	0.27472	1	0.01	2.39353	0.989361	0.204293	0.647113	2.78881	23.1446	0.654287	0.982247	0.492256	1.52336	0.414044	0.00128795	0.00102866	0.00782326	0.111311	1.13349	0.649202	0.226834	0.0221664	0.977834
