Time	[TNFR_E]	[TNF_E]	[TNF:TNFR_E]	[TNFR]	[RIP]	[TRADD]	[TRAF2]	[FADD]	[TNF:TNFR:TRADD]	[TNFRC1]	[TNFRCint1]	[TNFRCint2]	[TNFRCint3]	[TNFRC2]	[FLIP]	[TNFRC2:FLIP]	[TNFRC2:pCasp8]	[TNFRC2:FLIP:FLIP]	[TNFRC2:pCasp8:pCasp8]	[TNFRC2:FLIP:pCasp8]	[TNFRC2:FLIP:pCasp8:RIP:TRAF2]	[IKK]	[IKKa]	[A20]	[NFkB]	[IkBa]	[IkBa:NFkB]	[PIkBa]	[NFkB_N]	[IkBa_N]	[IkBa:NFkB_N]	[A20_mRNA]	[IkBa_mRNA]	[XIAP_mRNA]	[FLIP_mRNA]	[BAR]	[XIAP]	[pCasp8]	[pCasp3]	[pCasp6]	[Casp8]	[Casp3]	[Casp6]	[BAR:Casp8]	[XIAP:Casp3]	[PARP]	[cPARP]
10	3.62618e-06	0.000199906	9.34661e-08	8.75e-05	0.0633	0.0916998	0.1033	0.0967	2.24896e-07	5.01623e-09	1.4453e-11	3.31464e-14	5.42499e-17	7.94736e-18	0.0100147	4.61407e-20	9.12178e-19	5.63711e-22	7.12848e-20	5.02022e-20	3.62477e-23	0.199999	6.33432e-07	0.0326356	3.60536e-05	0.000317244	0.00471975	2.03962e-09	0.000654764	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	4.44383e-20	9.37332e-23	5.56049e-26	6.55659e-21	4.53327e-22	0.520834	2.89623e-23
11	3.61692e-06	0.000199897	1.02608e-07	8.75e-05	0.0633	0.0916997	0.1033	0.0967	2.69177e-07	6.61899e-09	2.10089e-11	5.30516e-14	9.421e-17	1.50428e-17	0.0100147	9.09921e-20	1.88175e-18	1.2289e-21	1.56825e-19	1.07362e-19	8.57219e-23	0.199999	9.04648e-07	0.0326356	3.60548e-05	0.000317244	0.00471975	3.21055e-09	0.000654764	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.05611e-19	2.01055e-22	1.51479e-25	1.72082e-20	1.23486e-21	0.520834	7.88991e-23
12	3.60768e-06	0.000199887	1.11714e-07	8.75e-05	0.0633	0.0916996	0.1033	0.0967	3.16887e-07	8.51935e-09	2.95422e-11	8.14609e-14	1.55689e-16	2.68813e-17	0.0100147	1.68464e-19	3.63532e-18	2.49436e-21	3.20767e-19	2.13817e-19	1.87293e-22	0.199999	1.25007e-06	0.0326356	3.60564e-05	0.000317244	0.00471975	4.84907e-09	0.000654765	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	2.3169e-19	1.46202e-22	4.05512e-25	4.13658e-20	3.30583e-21	0.520834	2.11215e-22
13	3.59846e-06	0.000199878	1.20783e-07	8.75e-05	0.0633	0.0916996	0.1033	0.0967	3.67905e-07	1.07388e-08	4.04006e-11	1.20803e-13	2.46796e-16	4.57708e-17	0.0100147	2.95827e-19	6.64602e-18	4.76866e-21	6.17125e-19	4.01162e-19	3.82908e-22	0.199998	1.68025e-06	0.0326356	3.60586e-05	0.000317244	0.00471974	7.07409e-09	0.000654765	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	4.75208e-19	-2.96421e-21	1.30935e-24	9.24168e-20	1.06773e-20	0.520834	6.81978e-22
14	3.58927e-06	0.000199869	1.29815e-07	8.75e-05	0.0633	0.0916995	0.1033	0.0967	4.22115e-07	1.32979e-08	5.3955e-11	1.73911e-13	3.77593e-16	7.47951e-17	0.0100147	4.9669e-19	1.15926e-17	8.66405e-21	1.12697e-18	7.15491e-19	7.3963e-22	0.199998	2.20593e-06	0.0326356	3.60615e-05	0.000317244	0.00471974	1.00199e-08	0.000654765	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	9.20183e-19	-6.57898e-20	1.0045e-23	1.93777e-19	8.19644e-20	0.520834	5.2318e-21
15	3.58011e-06	0.00019986	1.38811e-07	8.75e-05	0.0633	0.0916994	0.1033	0.0967	4.79404e-07	1.62165e-08	7.05992e-11	2.44048e-13	5.60335e-16	1.17974e-16	0.0100147	8.02445e-19	1.94186e-17	1.50661e-20	1.96757e-18	1.22174e-18	1.3604e-21	0.199997	2.83799e-06	0.0326356	3.60653e-05	0.000317244	0.00471974	1.3836e-08	0.000654766	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.69549e-18	-8.57933e-19	1.09054e-22	3.84497e-19	8.90037e-19	0.520834	5.67986e-20
16	3.57097e-06	0.000199851	1.47771e-07	8.75e-05	0.0633	0.0916994	0.1033	0.0967	5.39662e-07	1.95139e-08	9.07483e-11	3.34935e-13	8.09712e-16	1.80437e-16	0.0100147	1.25386e-18	3.1402e-17	2.52208e-20	3.30376e-18	2.00883e-18	2.39836e-21	0.199996	3.58738e-06	0.0326356	3.60702e-05	0.000317244	0.00471973	1.86875e-08	0.000654766	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	2.99249e-18	-9.20805e-18	1.13564e-21	7.27462e-19	9.26887e-18	0.520834	5.91476e-19
17	3.56185e-06	0.000199842	1.56695e-07	8.75e-05	0.0633	0.0916993	0.1033	0.0967	6.02782e-07	2.32082e-08	1.14838e-10	4.50768e-13	1.14309e-15	2.68616e-16	0.0100147	1.90283e-18	4.92347e-17	4.08361e-20	5.3609e-18	3.19554e-18	4.07424e-21	0.199996	4.46508e-06	0.0326356	3.60762e-05	0.000317244	0.00471972	2.47546e-08	0.000654767	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	5.08615e-18	-1.56175e-16	1.91484e-20	1.32009e-18	1.56287e-16	0.520834	9.97306e-18
18	3.55276e-06	0.000199832	1.65582e-07	8.75e-05	0.0633	0.0916992	0.1033	0.0967	6.68661e-07	2.73171e-08	1.43325e-10	5.96247e-13	1.58074e-15	3.90444e-16	0.0100147	2.81418e-18	7.5112e-17	6.42026e-20	8.43999e-18	4.93724e-18	6.69785e-21	0.199995	5.48204e-06	0.0326356	3.60836e-05	0.000317244	0.00471972	3.22325e-08	0.000654768	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	8.36086e-18	-2.02532e-15	2.48171e-19	2.30878e-18	2.02553e-15	0.520834	1.29254e-16
19	3.5437e-06	0.000199823	1.74434e-07	8.75e-05	0.0633	0.0916991	0.1033	0.0967	7.372e-07	3.18576e-08	1.76684e-10	7.76593e-13	2.1461e-15	5.55577e-16	0.0100147	4.06768e-18	1.11833e-16	9.83345e-20	1.29352e-17	7.43333e-18	1.06946e-20	0.199993	6.64915e-06	0.0326356	3.60926e-05	0.000317244	0.00471971	4.13315e-08	0.000654769	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.33405e-17	-2.06666e-14	2.53216e-18	3.90772e-18	2.06671e-14	0.520834	1.31882e-15
20	3.53466e-06	0.000199814	1.8325e-07	8.75e-05	0.0633	0.091699	0.1033	0.0967	8.083e-07	3.68458e-08	2.15408e-10	9.97571e-13	2.86597e-15	7.75621e-16	0.0100147	5.76033e-18	1.62911e-16	1.47128e-19	1.93533e-17	1.09353e-17	1.66367e-20	0.199992	7.97724e-06	0.0326356	3.61035e-05	0.000317244	0.0047197	5.22764e-08	0.000654771	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	2.07313e-17	-3.60089e-14	4.41195e-18	6.42202e-18	3.60098e-14	0.520834	2.29787e-15
21	3.52564e-06	0.000199805	1.92031e-07	8.75e-05	0.0633	0.0916989	0.1033	0.0967	8.81868e-07	4.22975e-08	2.60008e-10	1.26551e-12	3.77078e-15	1.06437e-15	0.0100147	8.00857e-18	2.32696e-16	2.15547e-19	2.83358e-17	1.57557e-17	2.52804e-20	0.199991	9.47697e-06	0.0326356	3.61164e-05	0.000317244	0.00471968	6.53059e-08	0.000654773	0.00131051	8.52452e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	3.15082e-17	3.43074e-13	-4.20342e-17	1.02769e-17	-3.43077e-13	0.520834	-2.18926e-14
22	3.51665e-06	0.000199796	2.00776e-07	8.75e-05	0.0633	0.0916988	0.1033	0.0967	9.57813e-07	4.82276e-08	3.11012e-10	1.58732e-12	4.89479e-15	1.43808e-15	0.0100147	1.09507e-17	3.26508e-16	3.09825e-19	4.06829e-17	2.22782e-17	3.76091e-20	0.199989	1.11589e-05	0.0326356	3.61316e-05	0.000317243	0.00471967	8.06731e-08	0.000654776	0.00131051	8.52452e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	4.67326e-17	8.68254e-14	-1.06379e-17	1.60605e-17	-8.6825e-14	0.520834	-5.54052e-15
23	3.50768e-06	0.000199787	2.09485e-07	8.75e-05	0.0632999	0.0916987	0.1033	0.0967	1.03605e-06	5.46504e-08	3.68963e-10	1.97051e-12	6.27635e-15	1.91569e-15	0.0100147	1.47492e-17	4.50778e-16	4.37704e-19	5.73805e-17	3.0968e-17	5.48828e-20	0.199987	1.30334e-05	0.0326356	3.61493e-05	0.000317243	0.00471965	9.8644e-08	0.000654779	0.00131051	8.52452e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	6.80283e-17	9.34057e-16	-1.14191e-19	2.4556e-17	-9.32016e-16	0.520834	-5.94739e-17
24	3.49874e-06	0.000199778	2.18159e-07	8.75e-05	0.0632999	0.0916986	0.1033	0.0967	1.11648e-06	6.15797e-08	4.3442e-10	2.42323e-12	7.9582e-15	2.51926e-15	0.0100147	1.95945e-17	6.13253e-16	6.08752e-19	7.96369e-17	4.23868e-17	7.87093e-20	0.199985	1.51106e-05	0.0326356	3.617e-05	0.000317243	0.00471963	1.19498e-07	0.000654783	0.00131051	8.52452e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	9.73109e-17	1.62542e-14	-1.99113e-18	3.68166e-17	-1.62513e-14	0.520834	-1.03704e-15
25	3.48982e-06	0.000199769	2.26798e-07	8.75e-05	0.0632999	0.0916985	0.1033	0.0967	1.19903e-06	6.90287e-08	5.07958e-10	2.95423e-12	9.98747e-15	3.27402e-15	0.0100147	2.57062e-17	8.23072e-16	8.34535e-19	1.089e-16	5.71984e-17	1.11086e-19	0.199983	1.74005e-05	0.0326356	3.61937e-05	0.000317243	0.0047196	1.43528e-07	0.000654788	0.00131051	8.52453e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.36936e-16	1.8103e-15	-2.21246e-19	5.42078e-17	-1.80579e-15	0.520834	-1.15231e-16
