Time	[UFPT]	[BiUFP]	[BiRE1]	[BiATF]	[BiPER]	[IRE1A]	[PERKA]	[mXbp1u]	[mXbp1s]	[Xbp1s]	[mBiPT]	[BiPT]	[ATF6T]	[ATF6GB]	[ATF6p50]	[mWFS1]	[WFS1]	[ATF4]	[mCHOP]	[CHOP]	[mGADD34]	[GADD34]	[BCL2T]	[BAXmT]	[BH3T]	[BAXmBCL2]	[BH3BCL2]
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12.3711	0.0570622	0.00180159	0.0143706	0.00180159	0.160564	0.160564	0.182515	0.14306	0.047479	0.161093	0.0756042	3.00541	0.279043	1.43784	0.204121	0.0611825	0.951578	0.0497351	0.0146098	0.000141004	2.66134e-05	9.51527	36.0574	0.0999044	9.49823	0.0051194
2	23.565	0.29331	0.0046763	0.0459367	0.0046763	0.159936	0.159936	0.278357	0.384112	0.30148	0.395608	0.350011	3.51819	0.345917	4.43439	0.547558	0.426047	1.81265	0.192859	0.126357	0.0022115	0.000881213	18.1089	42.1939	0.205505	18.0606	0.0275247
3	33.6936	0.758741	0.0084055	0.066929	0.0084055	0.159119	0.159119	0.303144	0.524372	0.714115	0.593316	0.844957	2.81124	0.280308	7.03771	0.742566	1.01166	2.59178	0.333876	0.368924	0.00885595	0.00570069	25.8339	45.759	0.331388	25.7165	0.0842051
4	42.8584	1.39619	0.0121752	0.0700671	0.0121752	0.158292	0.158292	0.311234	0.588659	1.18045	0.717335	1.49414	2.04906	0.202242	8.63812	0.835246	1.67253	3.29676	0.431361	0.702291	0.0203953	0.0188281	32.742	48.0772	0.490942	32.4934	0.196577
5	51.151	2.12827	0.0156052	0.0681687	0.0156052	0.157539	0.157539	0.314781	0.616043	1.64342	0.789271	2.23214	1.57962	0.153272	9.48227	0.877238	2.33116	3.93466	0.489906	1.07679	0.0352454	0.0434458	38.8948	48.7062	0.691603	38.4079	0.396094
6	58.6545	2.90889	0.0186784	0.0664375	0.0186784	0.156864	0.156864	0.316726	0.62727	2.0795	0.831372	3.01804	1.30307	0.124647	9.88879	0.896004	2.95439	4.51185	0.52346	1.45825	0.051509	0.0806723	44.3603	44.8572	0.935653	43.0245	0.794874
7	65.4439	3.7147	0.021472	0.0652804	0.021472	0.156252	0.156252	0.317951	0.631609	2.48098	0.857169	3.82908	1.12535	0.10643	10.04	0.904238	3.53044	5.03412	0.542522	1.82769	0.0677778	0.129922	49.207	34.259	1.22223	34.2044	1.21982
8	71.5872	4.53319	0.0240606	0.0645902	0.0240606	0.155684	0.155684	0.31878	0.632976	2.84675	0.873934	4.65278	1.00227	0.0938865	10.0333	0.907546	4.05683	5.50669	0.553267	2.17573	0.0832288	0.189617	53.5003	33.5124	1.54886	33.4712	1.54682
9	77.1459	5.35728	0.0265027	0.0642854	0.0265027	0.155149	0.155149	0.319362	0.633009	3.17829	0.885483	5.48215	0.912476	0.0847589	9.92565	0.908403	4.53497	5.93428	0.559097	2.49831	0.0974689	0.257768	57.3007	33.4648	1.91229	33.4301	1.91038
10	82.1757	6.18282	0.0288415	0.0643047	0.0288415	0.154637	0.154637	0.319776	0.632396	3.47796	0.893851	6.31305	0.844459	0.0778439	9.75281	0.90793	4.96772	6.32118	0.561893	2.79416	0.110364	0.332338	60.6631	33.4572	2.30902	33.4266	2.30719
11	86.7268	7.00721	0.0311087	0.0645991	0.0311087	0.154141	0.154141	0.320071	0.63144	3.74835	0.900166	7.14292	0.791467	0.0724428	9.53836	0.906666	5.35843	6.67126	0.562729	3.0635	0.121921	0.411432	63.6368	33.454	2.73554	33.4263	2.73374
12	90.8448	7.82876	0.0333273	0.0651297	0.0333273	0.153656	0.153656	0.320277	0.630278	3.99199	0.905084	7.97007	0.749276	0.0681218	9.29842	0.904882	5.71048	6.98803	0.562248	3.30733	0.132211	0.493376	66.2662	33.4523	3.18844	33.4267	3.18666
13	94.5709	8.64631	0.0355142	0.0658647	0.0355142	0.153178	0.153178	0.320417	0.62898	4.21127	0.909005	8.79336	0.715111	0.0645981	9.04424	0.902735	6.02715	7.27465	0.560858	3.52703	0.141336	0.576743	68.5907	33.4517	3.66449	33.4275	3.66271
14	97.9424	9.45906	0.0376821	0.0667789	0.0376821	0.152704	0.152704	0.320506	0.627582	4.4084	0.912187	9.61198	0.687072	0.061679	8.78376	0.900318	6.31151	7.53399	0.558832	3.72418	0.149403	0.66034	70.6454	33.4517	4.16067	33.4287	4.15889
15	100.993	10.2664	0.0398402	0.0678514	0.0398402	0.152232	0.152232	0.320556	0.626108	4.5854	0.914806	10.4253	0.663814	0.0592291	8.52265	0.897696	6.5664	7.76865	0.556359	3.90041	0.15652	0.74319	72.4615	33.4522	4.67419	33.43	4.6724
16	103.753	11.0679	0.0419958	0.0690654	0.0419958	0.151761	0.151761	0.320576	0.624574	4.74413	0.916983	11.233	0.64436	0.05715	8.26493	0.894914	6.79446	7.98098	0.553574	4.05735	0.162784	0.824509	74.0667	33.453	5.20247	33.4315	5.20066
17	106.251	11.8632	0.0441542	0.0704065	0.0441542	0.15129	0.15129	0.320575	0.622991	4.88626	0.918807	12.0345	0.627979	0.0553688	8.01344	0.89201	6.99811	8.17309	0.550581	4.19661	0.168287	0.903675	75.4856	33.4541	5.74315	33.4331	5.74133
18	108.511	12.652	0.0463195	0.071863	0.0463195	0.150817	0.150817	0.320558	0.621368	5.01334	0.920345	12.8298	0.614116	0.0538303	7.77015	0.889012	7.17957	8.34692	0.547456	4.31969	0.173111	0.980209	76.74	33.4554	6.29411	33.4348	6.29227
19	110.556	13.4342	0.0484947	0.0734246	0.0484947	0.150342	0.150342	0.320531	0.619714	5.12677	0.921647	13.6186	0.60234	0.0524917	7.53637	0.885947	7.34087	8.5042	0.544259	4.42805	0.17733	1.05375	77.8492	33.4568	6.85338	33.4365	6.85152
20	112.406	14.2097	0.0506822	0.0750826	0.0506822	0.149865	0.149865	0.320499	0.618035	5.22782	0.922752	14.4007	0.592312	0.0513195	7.31292	0.882834	7.48388	8.6465	0.541035	4.52304	0.18101	1.12405	78.8302	33.4584	7.41921	33.4383	7.41733
21	114.081	14.9782	0.0528836	0.0768293	0.0528836	0.149385	0.149385	0.320467	0.616338	5.31765	0.923692	15.176	0.583759	0.0502871	7.10028	0.879695	7.61031	8.77525	0.537821	4.60592	0.18421	1.19092	79.6983	33.4601	7.99002	33.4402	7.98811
22	115.596	15.7398	0.0551002	0.078658	0.0551002	0.148902	0.148902	0.320437	0.614627	5.3973	0.924493	15.9445	0.576463	0.0493729	6.89864	0.876545	7.72171	8.89174	0.534645	4.67787	0.186982	1.25426	80.4667	33.4619	8.56438	33.4421	8.56244
23	116.966	16.4944	0.0573329	0.0805625	0.0573329	0.148415	0.148415	0.320413	0.612908	5.46775	0.925173	16.7061	0.570244	0.0485593	6.70798	0.873401	7.81951	8.99714	0.531528	4.73998	0.189375	1.31402	81.1474	33.4638	9.14102	33.4441	9.13905
24	118.207	17.2419	0.0595822	0.0825373	0.0595822	0.147925	0.147925	0.3204	0.611186	5.52985	0.925751	17.4607	0.564952	0.047832	6.52816	0.870276	7.90502	9.09249	0.528488	4.79325	0.19143	1.37021	81.7506	33.4658	9.7188	33.4461	9.7168
25	119.329	17.9823	0.0618484	0.0845772	0.0618484	0.147431	0.147431	0.320398	0.609466	5.5844	0.92624	18.2084	0.560464	0.0471788	6.35889	0.867183	7.97944	9.17875	0.525537	4.8386	0.193185	1.42286	82.2857	33.4679	10.2967	33.4481	10.2947
26	120.344	18.7156	0.0641316	0.0866776	0.0641316	0.146934	0.146934	0.320411	0.60775	5.63213	0.926653	18.949	0.556675	0.0465898	6.19983	0.864133	8.04385	9.25678	0.522684	4.87687	0.194674	1.47203	82.7609	33.47	10.8739	33.4502	10.8718
27	121.263	19.4419	0.0664318	0.0888341	0.0664318	0.146433	0.146433	0.32044	0.606042	5.67368	0.926998	19.6827	0.553495	0.0460563	6.05058	0.861136	8.09925	9.32737	0.519935	4.90884	0.195927	1.51783	83.1831	33.4722	11.4494	33.4523	11.4473
28	122.095	20.161	0.0687487	0.0910423	0.0687487	0.145929	0.145929	0.320488	0.604346	5.70966	0.927284	20.4094	0.550848	0.0455711	5.91069	0.8582	8.14656	9.39123	0.517296	4.9352	0.196972	1.56036	83.559	33.4745	12.0228	33.4545	12.0206
29	122.847	20.8731	0.0710822	0.0932985	0.0710822	0.145422	0.145422	0.320557	0.602664	5.74061	0.927519	21.1291	0.548668	0.0451281	5.7797	0.855332	8.18661	9.44898	0.514767	4.95659	0.197833	1.59975	83.8939	33.4768	12.5932	33.4567	12.5911
30	123.528	21.5782	0.0734317	0.0955986	0.0734317	0.144911	0.144911	0.320647	0.600999	5.76703	0.927709	21.8419	0.546899	0.0447218	5.65715	0.852539	8.22015	9.50122	0.512351	4.9736	0.198531	1.63612	84.1927	33.4792	13.1603	33.4589	13.1581
