Time	[NAg]	[GLCg]	[G6Pg]	[F6Pg]	[GAPg]	[PEPg]	[PYRg]	[LACg]	[NADHg]	[ATPg]	[PCrg]	[O2g]	[GLYg]	[GLUg]	[NADg]	[ADPg]	[CRg]	[NADH_g_tot]	[PCrg_tot]	[AMPg]	[O2c]	[GLCc]	[LACc]	[CO2c]	[GLCe]	[LACe]	[GLUe]	[NAe]	[O2a]	[CO2a]	[GLCa]	[LACa]	[NAn]	[GLCn]	[G6Pn]	[F6Pn]	[GAPn]	[PEPn]	[PYRn]	[LACn]	[NADHn]	[ATPn]	[PCrn]	[O2n]	[GLUn]	[ADPn]	[CRn]	[NADn]	[NADH_n_tot]	[PCrn_tot]	[AMPn]	Values[Vv]	Values[dHb]
10	13.3601	0.165597	0.732577	0.111614	0.0697305	0.0253468	0.171121	0.465189	0.0444674	2.24068	4.68141	0.158958	2.50056	0	0.175533	0.130111	0.318593	0.22	5	0.00821218	7.42017	4.64012	0.325151	2.11981	0.333839	0.398606	0	150	8.34	1.2	4.8	0.313	15.533	0.263268	0.727511	0.109106	0.0418099	0.00369184	0.0388346	0.385609	0.0319264	2.25918	4.25262	0.0975443	3	0.113612	0.747381	0.188074	0.22	5	0.00621023	0.0236581	0.0217618
11	13.3601	0.165595	0.732578	0.111614	0.0697329	0.0253473	0.17112	0.465184	0.0444668	2.24069	4.6814	0.158958	2.50061	0	0.175533	0.130097	0.318595	0.22	5	0.0082104	7.42018	4.64012	0.325151	2.11981	0.333835	0.398607	0	150	8.34	1.2	4.8	0.313	15.533	0.263265	0.727512	0.109107	0.041811	0.00369188	0.038835	0.385612	0.0319268	2.25918	4.2526	0.0975447	3	0.113612	0.747403	0.188073	0.22	5	0.00621022	0.023655	0.0217588
12	13.3601	0.165594	0.732579	0.111614	0.0697355	0.025348	0.171118	0.465179	0.0444663	2.24071	4.6814	0.158959	2.50067	0	0.175534	0.130085	0.318596	0.22	5	0.00820889	7.42018	4.64012	0.325151	2.11981	0.333831	0.398608	0	150	8.34	1.2	4.8	0.313	15.533	0.263262	0.727512	0.109107	0.0418119	0.00369191	0.0388353	0.385614	0.0319272	2.25918	4.25258	0.097545	3	0.113612	0.747425	0.188073	0.22	5	0.00621022	0.0236521	0.021756
13	13.3601	0.165593	0.732579	0.111614	0.0697382	0.0253489	0.171117	0.465173	0.044466	2.24072	4.68141	0.158959	2.50072	0	0.175534	0.130076	0.318595	0.22	5	0.00820762	7.42018	4.64012	0.325151	2.11981	0.333828	0.398609	0	150	8.34	1.2	4.8	0.313	15.533	0.263259	0.727513	0.109107	0.0418127	0.00369194	0.0388356	0.385616	0.0319275	2.25918	4.25255	0.0975451	3	0.113612	0.747445	0.188072	0.22	5	0.00621022	0.0236494	0.0217533
14	13.3602	0.165592	0.73258	0.111614	0.069741	0.02535	0.171116	0.465168	0.0444657	2.24073	4.68141	0.158959	2.50078	0	0.175534	0.130067	0.318593	0.22	5	0.00820652	7.42018	4.64012	0.325151	2.11982	0.333824	0.39861	0	150	8.34	1.2	4.8	0.313	15.533	0.263256	0.727514	0.109107	0.0418134	0.00369196	0.0388359	0.385619	0.0319278	2.25918	4.25253	0.0975451	3	0.113612	0.747465	0.188072	0.22	5	0.00621022	0.0236468	0.0217508
15	13.3602	0.165591	0.732581	0.111615	0.0697439	0.025351	0.171114	0.465162	0.0444655	2.24073	4.68141	0.158959	2.50083	0	0.175535	0.13006	0.31859	0.22	5	0.00820556	7.42018	4.64012	0.325151	2.11982	0.333821	0.39861	0	150	8.34	1.2	4.8	0.313	15.533	0.263253	0.727514	0.109107	0.0418141	0.00369199	0.0388361	0.385621	0.0319281	2.25918	4.25252	0.0975451	3	0.113612	0.747484	0.188072	0.22	5	0.00621022	0.0236443	0.0217485
16	13.3602	0.16559	0.732582	0.111615	0.0697467	0.0253521	0.171113	0.465157	0.0444653	2.24074	4.68141	0.158959	2.50089	0	0.175535	0.130053	0.318586	0.22	5	0.00820471	7.42018	4.64012	0.325151	2.11982	0.333817	0.398611	0	150	8.34	1.2	4.8	0.313	15.5331	0.26325	0.727514	0.109107	0.0418147	0.00369201	0.0388363	0.385623	0.0319283	2.25918	4.2525	0.097545	3	0.113612	0.747502	0.188072	0.22	5	0.00621022	0.023642	0.0217463
17	13.3602	0.16559	0.732582	0.111615	0.0697495	0.0253532	0.171112	0.465152	0.0444651	2.24075	4.68142	0.158959	2.50095	0	0.175535	0.130047	0.318582	0.22	5	0.00820395	7.42018	4.64012	0.325151	2.11982	0.333814	0.398612	0	150	8.34	1.2	4.8	0.313	15.5331	0.263247	0.727515	0.109107	0.0418153	0.00369203	0.0388365	0.385625	0.0319286	2.25918	4.25248	0.0975448	3	0.113612	0.74752	0.188071	0.22	5	0.00621022	0.0236398	0.0217443
18	13.3602	0.165589	0.732583	0.111615	0.0697522	0.0253543	0.171111	0.465147	0.044465	2.24075	4.68142	0.158959	2.501	0	0.175535	0.130042	0.318577	0.22	5	0.00820325	7.42018	4.64012	0.325152	2.11982	0.333811	0.398612	0	150	8.34	1.2	4.8	0.313	15.5331	0.263244	0.727515	0.109107	0.0418158	0.00369205	0.0388367	0.385627	0.0319288	2.25918	4.25246	0.0975446	3	0.113612	0.747537	0.188071	0.22	5	0.00621022	0.0236377	0.0217423
19	13.3602	0.165588	0.732584	0.111615	0.0697548	0.0253554	0.17111	0.465142	0.044465	2.24076	4.68143	0.158959	2.50106	0	0.175535	0.130037	0.318573	0.22	5	0.00820261	7.42018	4.64012	0.325152	2.11982	0.333808	0.398613	0	150	8.34	1.2	4.8	0.313	15.5331	0.263241	0.727515	0.109107	0.0418162	0.00369206	0.0388369	0.385629	0.0319289	2.25918	4.25245	0.0975443	3	0.113612	0.747553	0.188071	0.22	5	0.00621022	0.0236357	0.0217405
