Time	[NAg]	[GLCg]	[G6Pg]	[F6Pg]	[GAPg]	[PEPg]	[PYRg]	[LACg]	[NADHg]	[ATPg]	[PCrg]	[O2g]	[GLYg]	[GLUg]	[NADg]	[ADPg]	[CRg]	[NADH_g_tot]	[PCrg_tot]	[AMPg]	[O2c]	[GLCc]	[LACc]	[CO2c]	[GLCe]	[LACe]	[GLUe]	[NAe]	[O2a]	[CO2a]	[GLCa]	[LACa]	[NAn]	[GLCn]	[G6Pn]	[F6Pn]	[GAPn]	[PEPn]	[PYRn]	[LACn]	[NADHn]	[ATPn]	[PCrn]	[O2n]	[GLUn]	[ADPn]	[CRn]	[NADn]	[NADH_n_tot]	[PCrn_tot]	[AMPn]	Values[Vv]	Values[dHb]
42	13.3603	0.165576	0.732595	0.111618	0.0697974	0.0253727	0.171092	0.465083	0.0444647	2.24084	4.68158	0.158958	2.50234	0	0.175535	0.129962	0.318423	0.22	5	0.00819287	7.42015	4.64012	0.325153	2.11985	0.333749	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263183	0.727515	0.109107	0.0418196	0.00369219	0.038838	0.385655	0.0319302	2.25918	4.25221	0.0975389	3	0.113612	0.747793	0.18807	0.22	5	0.00621023	0.0236103	0.0217178
43	13.3603	0.165576	0.732595	0.111618	0.0697987	0.0253732	0.171092	0.465081	0.0444647	2.24085	4.68158	0.158958	2.50239	0	0.175535	0.12996	0.318416	0.22	5	0.00819255	7.42015	4.64012	0.325153	2.11985	0.333746	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.26318	0.727515	0.109107	0.0418197	0.0036922	0.038838	0.385655	0.0319302	2.25918	4.2522	0.0975387	3	0.113612	0.7478	0.18807	0.22	5	0.00621023	0.0236097	0.0217173
44	13.3603	0.165575	0.732595	0.111618	0.0698	0.0253737	0.171091	0.46508	0.0444647	2.24085	4.68159	0.158958	2.50245	0	0.175535	0.129957	0.318409	0.22	5	0.00819222	7.42015	4.64012	0.325153	2.11985	0.333744	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263178	0.727515	0.109107	0.0418197	0.0036922	0.038838	0.385656	0.0319302	2.25918	4.25219	0.0975386	3	0.113612	0.747806	0.18807	0.22	5	0.00621023	0.0236092	0.0217168
45	13.3603	0.165575	0.732595	0.111618	0.0698013	0.0253742	0.171091	0.465079	0.0444647	2.24085	4.6816	0.158958	2.5025	0	0.175535	0.129955	0.318403	0.22	5	0.0081919	7.42015	4.64012	0.325153	2.11985	0.333742	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263176	0.727515	0.109107	0.0418197	0.0036922	0.038838	0.385656	0.0319302	2.25918	4.25219	0.0975384	3	0.113612	0.747811	0.18807	0.22	5	0.00621023	0.0236087	0.0217164
46	13.3603	0.165575	0.732596	0.111618	0.0698026	0.0253746	0.17109	0.465078	0.0444648	2.24086	4.6816	0.158958	2.50256	0	0.175535	0.129953	0.318396	0.22	5	0.00819159	7.42015	4.64012	0.325153	2.11985	0.333739	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263173	0.727515	0.109107	0.0418197	0.0036922	0.038838	0.385656	0.0319302	2.25918	4.25218	0.0975382	3	0.113612	0.747817	0.18807	0.22	5	0.00621023	0.0236083	0.021716
47	13.3603	0.165574	0.732596	0.111618	0.0698039	0.0253751	0.17109	0.465077	0.0444648	2.24086	4.68161	0.158958	2.50262	0	0.175535	0.12995	0.318389	0.22	5	0.00819128	7.42015	4.64012	0.325153	2.11985	0.333737	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263171	0.727515	0.109107	0.0418196	0.0036922	0.038838	0.385657	0.0319302	2.25918	4.25218	0.0975381	3	0.113612	0.747822	0.18807	0.22	5	0.00621023	0.0236078	0.0217156
48	13.3603	0.165574	0.732596	0.111618	0.0698051	0.0253756	0.171089	0.465076	0.0444648	2.24086	4.68162	0.158958	2.50267	0	0.175535	0.129948	0.318383	0.22	5	0.00819097	7.42015	4.64012	0.325153	2.11985	0.333735	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263169	0.727515	0.109107	0.0418196	0.0036922	0.038838	0.385657	0.0319302	2.25918	4.25217	0.097538	3	0.113612	0.747827	0.18807	0.22	5	0.00621023	0.0236074	0.0217153
49	13.3603	0.165574	0.732597	0.111618	0.0698063	0.025376	0.171089	0.465075	0.0444648	2.24086	4.68162	0.158958	2.50273	0	0.175535	0.129945	0.318376	0.22	5	0.00819066	7.42015	4.64012	0.325153	2.11985	0.333733	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263167	0.727515	0.109107	0.0418196	0.0036922	0.038838	0.385657	0.0319302	2.25918	4.25217	0.0975378	3	0.113612	0.747832	0.18807	0.22	5	0.00621023	0.023607	0.0217149
50	13.3603	0.165574	0.732597	0.111618	0.0698075	0.0253765	0.171088	0.465074	0.0444648	2.24087	4.68163	0.158958	2.50278	0	0.175535	0.129943	0.31837	0.22	5	0.00819036	7.42015	4.64012	0.325153	2.11985	0.333731	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263164	0.727514	0.109107	0.0418196	0.0036922	0.038838	0.385658	0.0319302	2.25918	4.25216	0.0975377	3	0.113612	0.747837	0.18807	0.22	5	0.00621024	0.0236067	0.0217146
51	13.3603	0.165573	0.732597	0.111618	0.0698087	0.0253769	0.171088	0.465073	0.0444648	2.24087	4.68164	0.158958	2.50284	0	0.175535	0.129941	0.318363	0.22	5	0.00819007	7.42015	4.64012	0.325153	2.11986	0.333728	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263162	0.727514	0.109107	0.0418196	0.0036922	0.038838	0.385658	0.0319302	2.25918	4.25216	0.0975376	3	0.113612	0.747842	0.18807	0.22	5	0.00621024	0.0236063	0.0217143
52	13.3603	0.165573	0.732597	0.111619	0.0698098	0.0253773	0.171088	0.465072	0.0444649	2.24087	4.68164	0.158958	2.50289	0	0.175535	0.129939	0.318357	0.22	5	0.00818978	7.42015	4.64012	0.325153	2.11986	0.333726	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.26316	0.727514	0.109107	0.0418196	0.0036922	0.038838	0.385658	0.0319302	2.25918	4.25215	0.0975374	3	0.113612	0.747846	0.18807	0.22	5	0.00621024	0.023606	0.021714
53	13.3603	0.165573	0.732598	0.111619	0.069811	0.0253777	0.171087	0.465071	0.0444649	2.24087	4.68165	0.158958	2.50295	0	0.175535	0.129936	0.318351	0.22	5	0.00818949	7.42015	4.64012	0.325153	2.11986	0.333724	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263158	0.727514	0.109107	0.0418195	0.0036922	0.0388379	0.385658	0.0319301	2.25918	4.25215	0.0975373	3	0.113612	0.74785	0.18807	0.22	5	0.00621024	0.0236057	0.0217137
54	13.3603	0.165572	0.732598	0.111619	0.0698121	0.0253782	0.171087	0.46507	0.0444649	2.24088	4.68166	0.158958	2.50301	0	0.175535	0.129934	0.318344	0.22	5	0.0081892	7.42015	4.64012	0.325153	2.11986	0.333722	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263155	0.727514	0.109107	0.0418195	0.0036922	0.0388379	0.385658	0.0319301	2.25918	4.25215	0.0975372	3	0.113612	0.747854	0.18807	0.22	5	0.00621024	0.0236054	0.0217135
55	13.3603	0.165572	0.732598	0.111619	0.0698132	0.0253786	0.171086	0.46507	0.0444649	2.24088	4.68166	0.158958	2.50306	0	0.175535	0.129932	0.318338	0.22	5	0.00818891	7.42014	4.64012	0.325153	2.11986	0.33372	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263153	0.727514	0.109107	0.0418195	0.0036922	0.0388379	0.385658	0.0319301	2.25918	4.25214	0.0975371	3	0.113612	0.747858	0.18807	0.22	5	0.00621024	0.0236051	0.0217132
56	13.3603	0.165572	0.732598	0.111619	0.0698143	0.025379	0.171086	0.465069	0.0444649	2.24088	4.68167	0.158958	2.50312	0	0.175535	0.12993	0.318332	0.22	5	0.00818863	7.42014	4.64012	0.325153	2.11986	0.333717	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263151	0.727514	0.109107	0.0418195	0.0036922	0.0388379	0.385659	0.0319301	2.25918	4.25214	0.097537	3	0.113612	0.747862	0.18807	0.22	5	0.00621024	0.0236048	0.021713
57	13.3603	0.165572	0.732599	0.111619	0.0698154	0.0253794	0.171086	0.465068	0.044465	2.24088	4.68167	0.158958	2.50317	0	0.175535	0.129928	0.318326	0.22	5	0.00818836	7.42014	4.64012	0.325153	2.11986	0.333715	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263149	0.727514	0.109107	0.0418194	0.0036922	0.0388379	0.385659	0.0319301	2.25918	4.25213	0.0975369	3	0.113612	0.747866	0.18807	0.22	5	0.00621024	0.0236046	0.0217128
58	13.3603	0.165571	0.732599	0.111619	0.0698165	0.0253798	0.171085	0.465067	0.044465	2.24089	4.68168	0.158958	2.50323	0	0.175535	0.129926	0.318319	0.22	5	0.00818808	7.42014	4.64012	0.325153	2.11986	0.333713	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263147	0.727514	0.109107	0.0418194	0.0036922	0.0388378	0.385659	0.03193	2.25918	4.25213	0.0975368	3	0.113612	0.747869	0.18807	0.22	5	0.00621024	0.0236043	0.0217126
59	13.3603	0.165571	0.732599	0.111619	0.0698176	0.0253802	0.171085	0.465067	0.044465	2.24089	4.68169	0.158958	2.50328	0	0.175535	0.129924	0.318313	0.22	5	0.00818781	7.42014	4.64012	0.325153	2.11986	0.333711	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263144	0.727513	0.109107	0.0418194	0.0036922	0.0388378	0.385659	0.03193	2.25918	4.25213	0.0975367	3	0.113612	0.747872	0.18807	0.22	5	0.00621024	0.0236041	0.0217124
60	13.3603	0.165571	0.732599	0.111619	0.0698186	0.0253805	0.171084	0.465066	0.044465	2.24089	4.68169	0.158958	2.50334	0	0.175535	0.129921	0.318307	0.22	5	0.00818754	7.42014	4.64012	0.325153	2.11986	0.333709	0.398622	0	150	8.34	1.2	4.8	0.313	15.5331	0.263142	0.727513	0.109107	0.0418193	0.0036922	0.0388378	0.385659	0.03193	2.25918	4.25212	0.0975366	3	0.113612	0.747876	0.18807	0.22	5	0.00621024	0.0236039	0.0217122
61	13.3603	0.165571	0.7326	0.111619	0.0698196	0.0253809	0.171084	0.465065	0.044465	2.24089	4.6817	0.158958	2.50339	0	0.175535	0.129919	0.318301	0.22	5	0.00818727	7.42014	4.64012	0.325153	2.11986	0.333707	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.26314	0.727513	0.109107	0.0418193	0.0036922	0.0388378	0.385659	0.03193	2.25918	4.25212	0.0975365	3	0.113612	0.747879	0.18807	0.22	5	0.00621024	0.0236037	0.021712
62	13.3603	0.16557	0.7326	0.111619	0.0698207	0.0253813	0.171084	0.465064	0.044465	2.2409	4.6817	0.158958	2.50345	0	0.175535	0.129917	0.318295	0.22	5	0.00818701	7.42014	4.64012	0.325153	2.11986	0.333705	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263138	0.727513	0.109107	0.0418193	0.0036922	0.0388378	0.385659	0.03193	2.25918	4.25212	0.0975365	3	0.113612	0.747882	0.18807	0.22	5	0.00621024	0.0236035	0.0217118
63	13.3603	0.16557	0.7326	0.111619	0.0698217	0.0253817	0.171083	0.465064	0.0444651	2.2409	4.68171	0.158958	2.50351	0	0.175535	0.129915	0.318289	0.22	5	0.00818674	7.42014	4.64012	0.325153	2.11986	0.333703	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263136	0.727513	0.109107	0.0418192	0.0036922	0.0388378	0.385659	0.0319299	2.25918	4.25212	0.0975364	3	0.113612	0.747884	0.18807	0.22	5	0.00621024	0.0236033	0.0217117
64	13.3603	0.16557	0.7326	0.111619	0.0698227	0.025382	0.171083	0.465063	0.0444651	2.2409	4.68172	0.158958	2.50356	0	0.175535	0.129913	0.318284	0.22	5	0.00818649	7.42014	4.64012	0.325153	2.11986	0.333701	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263134	0.727513	0.109107	0.0418192	0.0036922	0.0388377	0.385659	0.0319299	2.25918	4.25211	0.0975363	3	0.113612	0.747887	0.18807	0.22	5	0.00621024	0.0236031	0.0217115
65	13.3603	0.16557	0.7326	0.111619	0.0698237	0.0253824	0.171083	0.465063	0.0444651	2.2409	4.68172	0.158958	2.50362	0	0.175535	0.129911	0.318278	0.22	5	0.00818623	7.42014	4.64011	0.325153	2.11986	0.333699	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263132	0.727513	0.109107	0.0418192	0.0036922	0.0388377	0.385659	0.0319299	2.25918	4.25211	0.0975362	3	0.113612	0.74789	0.18807	0.22	5	0.00621024	0.0236029	0.0217114
66	13.3603	0.165569	0.732601	0.111619	0.0698247	0.0253827	0.171082	0.465062	0.0444651	2.2409	4.68173	0.158958	2.50367	0	0.175535	0.129909	0.318272	0.22	5	0.00818597	7.42014	4.64011	0.325153	2.11986	0.333697	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263129	0.727513	0.109107	0.0418191	0.0036922	0.0388377	0.385659	0.0319299	2.25918	4.25211	0.0975362	3	0.113612	0.747892	0.18807	0.22	5	0.00621024	0.0236028	0.0217112
67	13.3603	0.165569	0.732601	0.111619	0.0698256	0.0253831	0.171082	0.465061	0.0444651	2.24091	4.68173	0.158958	2.50373	0	0.175535	0.129908	0.318266	0.22	5	0.00818572	7.42014	4.64011	0.325153	2.11986	0.333695	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263127	0.727512	0.109107	0.0418191	0.0036922	0.0388377	0.385659	0.0319299	2.25918	4.25211	0.0975361	3	0.113612	0.747895	0.18807	0.22	5	0.00621024	0.0236026	0.0217111
68	13.3603	0.165569	0.732601	0.111619	0.0698266	0.0253834	0.171082	0.465061	0.0444652	2.24091	4.68174	0.158958	2.50378	0	0.175535	0.129906	0.318261	0.22	5	0.00818547	7.42014	4.64011	0.325153	2.11986	0.333692	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263125	0.727512	0.109107	0.0418191	0.0036922	0.0388376	0.385659	0.0319298	2.25918	4.2521	0.097536	3	0.113612	0.747897	0.18807	0.22	5	0.00621024	0.0236025	0.021711
69	13.3604	0.165568	0.732601	0.111619	0.0698276	0.0253838	0.171081	0.46506	0.0444652	2.24091	4.68174	0.158958	2.50384	0	0.175535	0.129904	0.318255	0.22	5	0.00818523	7.42014	4.64011	0.325153	2.11986	0.33369	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263123	0.727512	0.109107	0.041819	0.0036922	0.0388376	0.385658	0.0319298	2.25918	4.2521	0.097536	3	0.113612	0.747899	0.18807	0.22	5	0.00621024	0.0236024	0.0217109
70	13.3604	0.165568	0.732601	0.11162	0.0698285	0.0253841	0.171081	0.465059	0.0444652	2.24091	4.68175	0.158958	2.5039	0	0.175535	0.129902	0.31825	0.22	5	0.00818498	7.42014	4.64011	0.325153	2.11986	0.333688	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263121	0.727512	0.109107	0.041819	0.0036922	0.0388376	0.385658	0.0319298	2.25918	4.2521	0.0975359	3	0.113612	0.747901	0.18807	0.22	5	0.00621024	0.0236022	0.0217108
71	13.3604	0.165568	0.732602	0.11162	0.0698294	0.0253845	0.171081	0.465059	0.0444652	2.24092	4.68176	0.158958	2.50395	0	0.175535	0.1299	0.318244	0.22	5	0.00818474	7.42014	4.64011	0.325153	2.11986	0.333686	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263119	0.727512	0.109107	0.0418189	0.0036922	0.0388376	0.385658	0.0319298	2.25918	4.2521	0.0975358	3	0.113612	0.747903	0.18807	0.22	5	0.00621024	0.0236021	0.0217107
72	13.3604	0.165568	0.732602	0.11162	0.0698304	0.0253848	0.17108	0.465058	0.0444652	2.24092	4.68176	0.158958	2.50401	0	0.175535	0.129898	0.318239	0.22	5	0.0081845	7.42014	4.64011	0.325153	2.11986	0.333684	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263117	0.727512	0.109107	0.0418189	0.00369219	0.0388376	0.385658	0.0319298	2.25918	4.25209	0.0975358	3	0.113612	0.747905	0.18807	0.22	5	0.00621024	0.023602	0.0217106
73	13.3604	0.165567	0.732602	0.11162	0.0698313	0.0253851	0.17108	0.465058	0.0444652	2.24092	4.68177	0.158958	2.50406	0	0.175535	0.129896	0.318233	0.22	5	0.00818426	7.42014	4.64011	0.325152	2.11986	0.333682	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263115	0.727512	0.109107	0.0418189	0.00369219	0.0388375	0.385658	0.0319297	2.25918	4.25209	0.0975357	3	0.113612	0.747907	0.18807	0.22	5	0.00621024	0.0236019	0.0217105
74	13.3604	0.165567	0.732602	0.11162	0.0698322	0.0253854	0.17108	0.465057	0.0444653	2.24092	4.68177	0.158958	2.50412	0	0.175535	0.129894	0.318228	0.22	5	0.00818402	7.42014	4.64011	0.325152	2.11986	0.333681	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263113	0.727512	0.109107	0.0418188	0.00369219	0.0388375	0.385658	0.0319297	2.25918	4.25209	0.0975357	3	0.113612	0.747909	0.18807	0.22	5	0.00621024	0.0236018	0.0217104
75	13.3604	0.165567	0.732602	0.11162	0.0698331	0.0253858	0.17108	0.465057	0.0444653	2.24092	4.68178	0.158958	2.50417	0	0.175535	0.129893	0.318223	0.22	5	0.00818379	7.42014	4.64011	0.325152	2.11986	0.333679	0.398619	0	150	8.34	1.2	4.8	0.313	15.5331	0.263111	0.727512	0.109107	0.0418188	0.00369219	0.0388375	0.385658	0.0319297	2.25918	4.25209	0.0975356	3	0.113612	0.747911	0.18807	0.22	5	0.00621024	0.0236017	0.0217103
76	13.3604	0.165567	0.732603	0.11162	0.069834	0.0253861	0.171079	0.465056	0.0444653	2.24093	4.68178	0.158958	2.50423	0	0.175535	0.129891	0.318217	0.22	5	0.00818356	7.42014	4.64011	0.325152	2.11986	0.333677	0.398619	0	150	8.34	1.2	4.8	0.313	15.5331	0.263109	0.727511	0.109107	0.0418187	0.00369219	0.0388375	0.385658	0.0319297	2.25918	4.25209	0.0975356	3	0.113612	0.747913	0.18807	0.22	5	0.00621024	0.0236016	0.0217102
77	13.3604	0.165566	0.732603	0.11162	0.0698349	0.0253864	0.171079	0.465055	0.0444653	2.24093	4.68179	0.158958	2.50429	0	0.175535	0.129889	0.318212	0.22	5	0.00818333	7.42014	4.64011	0.325152	2.11986	0.333675	0.398619	0	150	8.34	1.2	4.8	0.313	15.5331	0.263107	0.727511	0.109107	0.0418187	0.00369219	0.0388375	0.385657	0.0319296	2.25918	4.25209	0.0975355	3	0.113612	0.747914	0.18807	0.22	5	0.00621024	0.0236015	0.0217102
78	13.3604	0.165566	0.732603	0.11162	0.0698357	0.0253867	0.171079	0.465055	0.0444653	2.24093	4.68179	0.158958	2.50434	0	0.175535	0.129887	0.318207	0.22	5	0.0081831	7.42014	4.64011	0.325152	2.11986	0.333673	0.398619	0	150	8.34	1.2	4.8	0.313	15.5331	0.263105	0.727511	0.109107	0.0418187	0.00369219	0.0388374	0.385657	0.0319296	2.25918	4.25208	0.0975355	3	0.113612	0.747916	0.18807	0.22	5	0.00621024	0.0236015	0.0217101
79	13.3604	0.165566	0.732603	0.11162	0.0698366	0.025387	0.171078	0.465054	0.0444653	2.24093	4.6818	0.158958	2.5044	0	0.175535	0.129886	0.318202	0.22	5	0.00818287	7.42014	4.64011	0.325152	2.11986	0.333671	0.398619	0	150	8.34	1.2	4.8	0.313	15.5331	0.263103	0.727511	0.109107	0.0418186	0.00369219	0.0388374	0.385657	0.0319296	2.25918	4.25208	0.0975355	3	0.113612	0.747917	0.18807	0.22	5	0.00621024	0.0236014	0.02171
80	13.3604	0.165566	0.732603	0.11162	0.0698374	0.0253873	0.171078	0.465054	0.0444654	2.24093	4.6818	0.158958	2.50445	0	0.175535	0.129884	0.318197	0.22	5	0.00818265	7.42014	4.64011	0.325152	2.11986	0.333669	0.398618	0	150	8.34	1.2	4.8	0.313	15.5331	0.263101	0.727511	0.109107	0.0418186	0.00369219	0.0388374	0.385657	0.0319296	2.25918	4.25208	0.0975354	3	0.113612	0.747919	0.18807	0.22	5	0.00621024	0.0236013	0.02171
81	13.3604	0.165565	0.732603	0.11162	0.0698383	0.0253876	0.171078	0.465053	0.0444654	2.24094	4.68181	0.158958	2.50451	0	0.175535	0.129882	0.318192	0.22	5	0.00818243	7.42014	4.64011	0.325152	2.11986	0.333667	0.398618	0	150	8.34	1.2	4.8	0.313	15.5331	0.263099	0.727511	0.109107	0.0418185	0.00369219	0.0388374	0.385657	0.0319296	2.25918	4.25208	0.0975354	3	0.113612	0.74792	0.18807	0.22	5	0.00621024	0.0236012	0.0217099
82	13.3604	0.165565	0.732604	0.11162	0.0698391	0.0253879	0.171077	0.465053	0.0444654	2.24094	4.68181	0.158958	2.50456	0	0.175535	0.129881	0.318187	0.22	5	0.00818221	7.42014	4.64011	0.325152	2.11986	0.333665	0.398618	0	150	8.34	1.2	4.8	0.313	15.5331	0.263097	0.727511	0.109107	0.0418185	0.00369219	0.0388373	0.385656	0.0319295	2.25918	4.25208	0.0975354	3	0.113612	0.747921	0.18807	0.22	5	0.00621024	0.0236012	0.0217098
83	13.3604	0.165565	0.732604	0.11162	0.06984	0.0253882	0.171077	0.465052	0.0444654	2.24094	4.68182	0.158958	2.50462	0	0.175535	0.129879	0.318182	0.22	5	0.00818199	7.42014	4.64011	0.325152	2.11986	0.333663	0.398618	0	150	8.34	1.2	4.8	0.313	15.5331	0.263095	0.727511	0.109106	0.0418185	0.00369219	0.0388373	0.385656	0.0319295	2.25918	4.25208	0.0975353	3	0.113612	0.747923	0.18807	0.22	5	0.00621024	0.0236011	0.0217098
84	13.3604	0.165564	0.732604	0.11162	0.0698408	0.0253885	0.171077	0.465052	0.0444654	2.24094	4.68182	0.158958	2.50467	0	0.175535	0.129877	0.318177	0.22	5	0.00818177	7.42014	4.64011	0.325152	2.11986	0.333661	0.398617	0	150	8.34	1.2	4.8	0.313	15.5331	0.263093	0.72751	0.109106	0.0418184	0.00369219	0.0388373	0.385656	0.0319295	2.25918	4.25208	0.0975353	3	0.113612	0.747924	0.188071	0.22	5	0.00621025	0.023601	0.0217097
85	13.3604	0.165564	0.732604	0.11162	0.0698416	0.0253888	0.171077	0.465051	0.0444654	2.24094	4.68183	0.158958	2.50473	0	0.175535	0.129876	0.318172	0.22	5	0.00818156	7.42014	4.64011	0.325152	2.11986	0.333659	0.398617	0	150	8.34	1.2	4.8	0.313	15.5331	0.263091	0.72751	0.109106	0.0418184	0.00369219	0.0388373	0.385656	0.0319295	2.25918	4.25207	0.0975353	3	0.113612	0.747925	0.188071	0.22	5	0.00621025	0.023601	0.0217097
86	13.3604	0.165564	0.732604	0.11162	0.0698424	0.0253891	0.171076	0.465051	0.0444654	2.24094	4.68183	0.158958	2.50479	0	0.175535	0.129874	0.318167	0.22	5	0.00818135	7.42014	4.64011	0.325152	2.11986	0.333658	0.398617	0	150	8.34	1.2	4.8	0.313	15.5331	0.263089	0.72751	0.109106	0.0418184	0.00369219	0.0388373	0.385655	0.0319294	2.25918	4.25207	0.0975352	3	0.113612	0.747926	0.188071	0.22	5	0.00621025	0.0236009	0.0217096
87	13.3604	0.165564	0.732604	0.11162	0.0698432	0.0253894	0.171076	0.46505	0.0444655	2.24095	4.68184	0.158958	2.50484	0	0.175535	0.129872	0.318162	0.22	5	0.00818114	7.42014	4.64011	0.325152	2.11986	0.333656	0.398617	0	150	8.34	1.2	4.8	0.313	15.5331	0.263087	0.72751	0.109106	0.0418183	0.00369219	0.0388372	0.385655	0.0319294	2.25918	4.25207	0.0975352	3	0.113612	0.747927	0.188071	0.22	5	0.00621025	0.0236009	0.0217096
88	13.3604	0.165563	0.732605	0.11162	0.069844	0.0253897	0.171076	0.465049	0.0444655	2.24095	4.68184	0.158958	2.5049	0	0.175535	0.129871	0.318157	0.22	5	0.00818093	7.42014	4.64011	0.325152	2.11986	0.333654	0.398616	0	150	8.34	1.2	4.8	0.313	15.5331	0.263085	0.72751	0.109106	0.0418183	0.00369219	0.0388372	0.385655	0.0319294	2.25918	4.25207	0.0975352	3	0.113612	0.747928	0.188071	0.22	5	0.00621025	0.0236008	0.0217096
89	13.3604	0.165563	0.732605	0.11162	0.0698448	0.02539	0.171075	0.465049	0.0444655	2.24095	4.68185	0.158958	2.50495	0	0.175535	0.129869	0.318153	0.22	5	0.00818072	7.42014	4.64011	0.325152	2.11986	0.333652	0.398616	0	150	8.34	1.2	4.8	0.313	15.5331	0.263084	0.72751	0.109106	0.0418182	0.00369219	0.0388372	0.385655	0.0319294	2.25918	4.25207	0.0975351	3	0.113612	0.747929	0.188071	0.22	5	0.00621025	0.0236008	0.0217095
90	13.3604	0.165563	0.732605	0.11162	0.0698456	0.0253903	0.171075	0.465048	0.0444655	2.24095	4.68185	0.158958	2.50501	0	0.175535	0.129868	0.318148	0.22	5	0.00818052	7.42014	4.64011	0.325152	2.11986	0.33365	0.398616	0	150	8.34	1.2	4.8	0.313	15.5331	0.263082	0.72751	0.109106	0.0418182	0.00369219	0.0388372	0.385654	0.0319294	2.25918	4.25207	0.0975351	3	0.113612	0.74793	0.188071	0.22	5	0.00621025	0.0236008	0.0217095
91	13.3604	0.165562	0.732605	0.11162	0.0698463	0.0253906	0.171075	0.465048	0.0444655	2.24095	4.68186	0.158958	2.50506	0	0.175535	0.129866	0.318143	0.22	5	0.00818031	7.42014	4.64011	0.325152	2.11986	0.333648	0.398615	0	150	8.34	1.2	4.8	0.313	15.5331	0.26308	0.72751	0.109106	0.0418182	0.00369219	0.0388371	0.385654	0.0319293	2.25918	4.25207	0.0975351	3	0.113612	0.747931	0.188071	0.22	5	0.00621025	0.0236007	0.0217095
92	13.3604	0.165562	0.732605	0.11162	0.0698471	0.0253908	0.171075	0.465047	0.0444655	2.24096	4.68186	0.158958	2.50512	0	0.175534	0.129864	0.318139	0.22	5	0.00818011	7.42014	4.64011	0.325152	2.11986	0.333646	0.398615	0	150	8.34	1.2	4.8	0.313	15.5331	0.263078	0.72751	0.109106	0.0418181	0.00369219	0.0388371	0.385654	0.0319293	2.25918	4.25207	0.0975351	3	0.113612	0.747932	0.188071	0.22	5	0.00621025	0.0236007	0.0217094
93	13.3604	0.165562	0.732605	0.11162	0.0698478	0.0253911	0.171074	0.465047	0.0444655	2.24096	4.68187	0.158958	2.50518	0	0.175534	0.129863	0.318134	0.22	5	0.00817991	7.42014	4.64011	0.325152	2.11986	0.333645	0.398615	0	150	8.34	1.2	4.8	0.313	15.5331	0.263076	0.727509	0.109106	0.0418181	0.00369219	0.0388371	0.385654	0.0319293	2.25918	4.25207	0.097535	3	0.113612	0.747933	0.188071	0.22	5	0.00621025	0.0236006	0.0217094
94	13.3604	0.165562	0.732605	0.111621	0.0698486	0.0253914	0.171074	0.465046	0.0444655	2.24096	4.68187	0.158958	2.50523	0	0.175534	0.129861	0.31813	0.22	5	0.00817971	7.42014	4.64011	0.325152	2.11986	0.333643	0.398615	0	150	8.34	1.2	4.8	0.313	15.5331	0.263074	0.727509	0.109106	0.041818	0.00369218	0.0388371	0.385653	0.0319293	2.25918	4.25207	0.097535	3	0.113612	0.747934	0.188071	0.22	5	0.00621025	0.0236006	0.0217094
