Time	[Aspartyl phosphate]	[Aspartate beta-semialdehyde]	[Homoserine]	[O-Phospho-homoserine]	[Phos]	[Threonine]	[Aspartate]	[NADP]	[NADPH]	[ADP]	[ATP]
0	0	0	0	0	0	2	2	0	2	0	10
1	0.00482204	0.0188469	0.00535934	0.000153092	0.0326516	2.00001	1.97081	0.0320487	1.96795	0.0376267	9.96237
2	0.00524515	0.0318644	0.0190227	0.00114808	0.0687654	2.00008	1.94264	0.0766616	1.92334	0.0751586	9.92484
3	0.00542673	0.0395759	0.0359739	0.00331759	0.104472	2.00038	1.91533	0.125279	1.87472	0.113217	9.88678
4	0.00548004	0.0442214	0.0537553	0.00663266	0.139842	2.00105	1.88886	0.175481	1.82452	0.151955	9.84804
5	0.00546033	0.0470076	0.0711588	0.0109283	0.17498	2.00224	1.86321	0.225998	1.774	0.191368	9.80863
6	0.00539894	0.0486296	0.0875815	0.0160034	0.209979	2.00404	1.83835	0.276121	1.72388	0.231381	9.76862
7	0.00531425	0.0495056	0.102737	0.0216634	0.244911	2.00652	1.81426	0.32544	1.67456	0.271889	9.72811
8	0.00521735	0.0498954	0.116509	0.0277363	0.279825	2.00971	1.79093	0.373717	1.62628	0.312778	9.68722
9	0.00511499	0.0499636	0.12888	0.0340765	0.314749	2.01365	1.76832	0.420817	1.57918	0.35394	9.64606
10	0.00501131	0.0498165	0.13988	0.0405639	0.349695	2.01831	1.74642	0.466667	1.53333	0.39527	9.60473
11	0.00490886	0.0495234	0.149573	0.0471006	0.384663	2.02368	1.72521	0.511231	1.48877	0.436673	9.56333
12	0.00480919	0.0491301	0.158032	0.0536073	0.419646	2.02975	1.70467	0.554498	1.4455	0.478063	9.52194
13	0.00471321	0.0486671	0.165339	0.0600202	0.454629	2.03647	1.68479	0.596472	1.40353	0.519362	9.48064
14	0.00462142	0.0481548	0.171575	0.0662875	0.489593	2.04381	1.66555	0.637166	1.36283	0.560502	9.4395
15	0.00453407	0.0476069	0.176819	0.0723681	0.524518	2.05175	1.64692	0.676599	1.3234	0.60142	9.39858
16	0.00445123	0.0470327	0.181149	0.0782288	0.559381	2.06023	1.62891	0.714794	1.28521	0.642061	9.35794
17	0.00437287	0.0464384	0.184637	0.0838428	0.594161	2.06922	1.61148	0.751775	1.24823	0.682377	9.31762
18	0.00429886	0.045828	0.18735	0.0891892	0.628834	2.0787	1.59464	0.787567	1.21243	0.722322	9.27768
19	0.00422905	0.0452045	0.189353	0.0942513	0.663378	2.08861	1.57836	0.822198	1.1778	0.761859	9.23814
20	0.00416326	0.0445695	0.190704	0.0990161	0.697772	2.09892	1.56263	0.855692	1.14431	0.800951	9.19905
21	0.00410127	0.0439242	0.191459	0.103474	0.731995	2.10961	1.54743	0.888076	1.11192	0.83957	9.16043
22	0.00404286	0.0432693	0.19167	0.107617	0.766026	2.12063	1.53277	0.919376	1.08062	0.877686	9.12231
23	0.00398781	0.0426052	0.191385	0.111441	0.799848	2.13197	1.51862	0.949617	1.05038	0.915277	9.08472
24	0.00393589	0.0419322	0.190648	0.114943	0.833441	2.14358	1.50497	0.978822	1.02118	0.95232	9.04768
25	0.00388689	0.0412506	0.1895	0.118121	0.86679	2.15543	1.49181	1.00702	0.992981	0.988799	9.0112
26	0.00384058	0.0405604	0.187981	0.120976	0.899879	2.16751	1.47913	1.03423	0.965771	1.0247	8.9753
27	0.00379674	0.0398619	0.186126	0.12351	0.932693	2.17979	1.46692	1.06048	0.939522	1.06	8.94
28	0.00375517	0.0391554	0.183969	0.125724	0.965217	2.19224	1.45516	1.08579	0.914211	1.0947	8.9053
29	0.00371567	0.0384412	0.181542	0.127623	0.99744	2.20483	1.44385	1.11019	0.889814	1.12878	8.87122
30	0.00367804	0.0377198	0.178874	0.129212	1.02935	2.21754	1.43297	1.13369	0.866307	1.16224	8.83776
31	0.00364211	0.0369919	0.175993	0.130497	1.06094	2.23036	1.42252	1.15633	0.843667	1.19508	8.80492
32	0.00360769	0.0362581	0.172923	0.131485	1.09219	2.24325	1.41248	1.17813	0.82187	1.22728	8.77272
33	0.00357464	0.0355193	0.16969	0.132182	1.1231	2.2562	1.40283	1.19911	0.800892	1.25886	8.74114
34	0.00354279	0.0347763	0.166316	0.132598	1.15366	2.26919	1.39358	1.21929	0.780711	1.2898	8.7102
35	0.003512	0.0340304	0.162822	0.132741	1.18386	2.2822	1.3847	1.2387	0.761302	1.32011	8.67989
36	0.00348216	0.0332826	0.159226	0.132621	1.2137	2.29521	1.37618	1.25736	0.742641	1.3498	8.6502
37	0.00345313	0.0325341	0.155549	0.132248	1.24317	2.3082	1.36802	1.27529	0.724705	1.37887	8.62113
38	0.00342483	0.0317863	0.151806	0.131633	1.27226	2.32116	1.36019	1.29253	0.707471	1.40732	8.59268
39	0.00339714	0.0310406	0.148015	0.130787	1.30097	2.33407	1.35269	1.30909	0.690913	1.43516	8.56484
40	0.00337	0.0302982	0.144189	0.129722	1.32931	2.34691	1.34551	1.32499	0.675009	1.4624	8.5376
41	0.00334332	0.0295605	0.140342	0.12845	1.35725	2.35967	1.33864	1.34026	0.659736	1.48904	8.51096
42	0.00331706	0.028829	0.136488	0.126983	1.38481	2.37233	1.33205	1.35493	0.645069	1.51511	8.48489
43	0.00329116	0.028105	0.132637	0.125335	1.41198	2.38489	1.32574	1.36901	0.630986	1.5406	8.4594
44	0.00326557	0.0273896	0.128801	0.123518	1.43875	2.39732	1.31971	1.38254	0.617465	1.56554	8.43446
45	0.00324026	0.0266842	0.12499	0.121544	1.46514	2.40961	1.31393	1.39552	0.604481	1.58992	8.41008
46	0.00321522	0.0259899	0.121213	0.119429	1.49113	2.42176	1.30839	1.40799	0.592014	1.61377	8.38623
47	0.00319041	0.0253077	0.117477	0.117183	1.51672	2.43375	1.30309	1.41996	0.580041	1.6371	8.3629
48	0.00316584	0.0246386	0.113791	0.114822	1.54193	2.44557	1.29801	1.43146	0.568543	1.65991	8.34009
49	0.00314148	0.0239833	0.11016	0.112357	1.56673	2.45721	1.29315	1.4425	0.557497	1.68223	8.31777
50	0.00311734	0.0233427	0.106592	0.109803	1.59115	2.46866	1.28849	1.45312	0.546884	1.70407	8.29593
51	0.00309341	0.0227173	0.10309	0.10717	1.61518	2.47991	1.28402	1.46332	0.536684	1.72544	8.27456
52	0.0030697	0.0221076	0.0996588	0.104473	1.63881	2.49095	1.27974	1.47312	0.526879	1.74635	8.25365
53	0.00304622	0.0215139	0.096303	0.101724	1.66206	2.50178	1.27563	1.48255	0.51745	1.76683	8.23317
54	0.00302296	0.0209367	0.0930256	0.098933	1.68492	2.5124	1.27169	1.49162	0.508381	1.78687	8.21313
55	0.00299994	0.020376	0.0898291	0.0961127	1.70739	2.52278	1.2679	1.50035	0.499654	1.80651	8.19349
56	0.00297717	0.019832	0.0867157	0.0932736	1.72949	2.53294	1.26426	1.50875	0.491253	1.82574	8.17426
57	0.00295464	0.0193045	0.0836868	0.0904259	1.75121	2.54286	1.26077	1.51684	0.483162	1.84459	8.15541
58	0.00293238	0.0187936	0.0807436	0.0875796	1.77255	2.55254	1.25741	1.52463	0.475368	1.86306	8.13694
59	0.00291038	0.0182991	0.0778869	0.0847436	1.79352	2.56198	1.25418	1.53214	0.467856	1.88118	8.11882
60	0.00288865	0.0178208	0.075117	0.0819267	1.81413	2.57117	1.25108	1.53939	0.460612	1.89894	8.10106
61	0.0028672	0.0173584	0.0724338	0.0791367	1.83437	2.58012	1.24808	1.54638	0.453624	1.91638	8.08362
62	0.00284602	0.0169116	0.069837	0.0763807	1.85426	2.58882	1.2452	1.55312	0.446879	1.93349	8.06651
63	0.00282514	0.01648	0.067326	0.0736656	1.8738	2.59728	1.24242	1.55963	0.440367	1.95029	8.04971
64	0.00280454	0.0160632	0.0648998	0.0709971	1.89299	2.60549	1.23975	1.56592	0.434076	1.96679	8.03321
65	0.00278423	0.0156609	0.0625573	0.0683805	1.91184	2.61345	1.23716	1.572	0.427996	1.983	8.017
66	0.00276421	0.0152727	0.0602972	0.0658206	1.93036	2.62118	1.23467	1.57788	0.422117	1.99894	8.00106
67	0.00274448	0.0148979	0.058118	0.0633212	1.94855	2.62866	1.23226	1.58357	0.41643	2.01461	7.98539
68	0.00272504	0.0145364	0.056018	0.0608858	1.96642	2.6359	1.22993	1.58907	0.410925	2.03003	7.96997
69	0.00270589	0.0141875	0.0539955	0.0585173	1.98397	2.64291	1.22769	1.5944	0.405596	2.0452	7.9548
70	0.00268702	0.0138508	0.0520486	0.0562177	2.00123	2.64968	1.22551	1.59957	0.400432	2.06013	7.93987
71	0.00266844	0.0135259	0.0501753	0.053989	2.01818	2.65623	1.22341	1.60457	0.395428	2.07484	7.92516
72	0.00265014	0.0132123	0.0483737	0.0518323	2.03484	2.66256	1.22137	1.60942	0.390577	2.08933	7.91067
73	0.00263211	0.0129095	0.0466415	0.0497484	2.05122	2.66867	1.2194	1.61413	0.38587	2.10361	7.89639
74	0.00261436	0.0126173	0.0449768	0.0477376	2.06733	2.67457	1.21749	1.6187	0.381303	2.11768	7.88232
75	0.00259687	0.012335	0.0433774	0.0458	2.08317	2.68025	1.21564	1.62313	0.376869	2.13157	7.86843
76	0.00257965	0.0120624	0.0418411	0.0439351	2.09875	2.68574	1.21384	1.62744	0.372562	2.14527	7.85473
77	0.00256269	0.0117991	0.0403659	0.0421422	2.11408	2.69103	1.2121	1.63162	0.368377	2.15879	7.84121
78	0.00254598	0.0115445	0.0389495	0.0404204	2.12917	2.69613	1.21041	1.63569	0.364309	2.17214	7.82786
79	0.00252952	0.0112985	0.03759	0.0387686	2.14403	2.70105	1.20877	1.63965	0.360354	2.18532	7.81468
80	0.0025133	0.0110606	0.0362852	0.0371852	2.15865	2.70578	1.20717	1.64349	0.356505	2.19835	7.80165
81	0.00249732	0.0108304	0.0350331	0.0356686	2.17306	2.71034	1.20563	1.64724	0.35276	2.21123	7.78877
82	0.00248157	0.0106077	0.0338316	0.0342172	2.18726	2.71474	1.20412	1.65089	0.349114	2.22396	7.77604
83	0.00246605	0.0103922	0.0326789	0.0328291	2.20125	2.71897	1.20266	1.65444	0.345563	2.23655	7.76345
84	0.00245076	0.0101835	0.031573	0.0315023	2.21505	2.72305	1.20124	1.6579	0.342104	2.24901	7.75099
85	0.00243568	0.00998131	0.030512	0.0302348	2.22866	2.72698	1.19985	1.66127	0.338733	2.26133	7.73867
86	0.00242081	0.00978544	0.0294942	0.0290245	2.24209	2.73077	1.19851	1.66455	0.335446	2.27354	7.72646
87	0.00240615	0.0095956	0.0285176	0.0278694	2.25535	2.73442	1.1972	1.66776	0.33224	2.28562	7.71438
88	0.00239169	0.00941152	0.0275808	0.0267672	2.26844	2.73793	1.19592	1.67089	0.329113	2.2976	7.7024
89	0.00237742	0.00923297	0.0266819	0.025716	2.28136	2.74132	1.19467	1.67394	0.326061	2.30946	7.69054
90	0.00236335	0.00905974	0.0258194	0.0247135	2.29413	2.74458	1.19346	1.67692	0.323082	2.32121	7.67879
91	0.00234947	0.00889159	0.0249917	0.0237577	2.30676	2.74773	1.19228	1.67983	0.320174	2.33287	7.66713
92	0.00233577	0.00872833	0.0241974	0.0228466	2.31924	2.75076	1.19113	1.68267	0.317333	2.34442	7.65558
93	0.00232225	0.00856975	0.023435	0.0219782	2.33158	2.75369	1.19001	1.68544	0.314557	2.35588	7.64412
94	0.0023089	0.00841568	0.0227032	0.0211504	2.3438	2.75651	1.18891	1.68816	0.311844	2.36725	7.63275
95	0.00229572	0.00826593	0.0220006	0.0203615	2.35588	2.75923	1.18784	1.69081	0.309192	2.37854	7.62146
96	0.0022827	0.00812034	0.0213259	0.0196096	2.36785	2.76186	1.1868	1.6934	0.306599	2.38974	7.61026
97	0.00226985	0.00797875	0.0206779	0.0188928	2.3797	2.7644	1.18578	1.69594	0.304062	2.40086	7.59914
98	0.00225715	0.007841	0.0200555	0.0182095	2.39144	2.76685	1.18479	1.69842	0.301581	2.4119	7.5881
99	0.00224461	0.00770694	0.0194575	0.0175581	2.40307	2.76921	1.18382	1.70085	0.299152	2.42287	7.57713
100	0.00223222	0.00757644	0.0188829	0.0169369	2.4146	2.7715	1.18287	1.70322	0.296775	2.43377	7.56623
