Time	[MP]	[CN]	[C]	[T2]	[T1]	[T0]	[MT]	[P0]	[P1]	[P2]
64	1.78144	0.59748	0.254903	0.816199	1.22222	1.39117	3.40826	0.568478	0.522095	0.3116
65	1.80216	0.694258	0.32637	1.00332	1.36587	1.53276	3.56456	0.590779	0.550609	0.330277
66	1.71219	0.827062	0.403191	1.2132	1.49378	1.63437	3.61638	0.576779	0.551492	0.327832
67	1.46551	0.986562	0.466397	1.44134	1.57971	1.65496	3.51602	0.506701	0.505364	0.293425
68	1.06815	1.14754	0.487559	1.67797	1.59017	1.5624	3.25656	0.378625	0.400404	0.223039
69	0.604017	1.27046	0.446746	1.8891	1.50052	1.36544	2.8848	0.223991	0.254848	0.134995
70	0.228283	1.3216	0.361188	1.98492	1.31492	1.11403	2.46469	0.0941893	0.118253	0.0639851
71	0.0943942	1.29925	0.277692	1.83543	1.07144	0.865813	2.0496	0.0334806	0.0420748	0.0284084
72	0.0922215	1.23196	0.2248	1.36987	0.820629	0.657166	1.67843	0.0238204	0.0240675	0.0190982
73	0.11686	1.14824	0.193084	0.698872	0.593826	0.49892	1.37739	0.0280677	0.0258019	0.0189712
74	0.155612	1.06084	0.169279	0.224434	0.412458	0.388453	1.16292	0.0369437	0.0330379	0.0213507
75	0.210137	0.975113	0.151637	0.125867	0.316715	0.323909	1.043	0.0499352	0.043996	0.0247971
76	0.282668	0.894638	0.138185	0.10347	0.280051	0.299281	1.015	0.0677304	0.0591973	0.0300843
77	0.374356	0.820586	0.126941	0.0991727	0.276869	0.30546	1.06749	0.0909628	0.0792604	0.0376911
78	0.48491	0.75308	0.117365	0.105971	0.298071	0.336316	1.18554	0.12002	0.104593	0.0480392
79	0.612342	0.692072	0.109485	0.12198	0.338847	0.387794	1.35449	0.154933	0.135313	0.0615739
80	0.753221	0.63766	0.103621	0.147056	0.396176	0.457149	1.56137	0.195343	0.171205	0.078721
81	0.903293	0.590254	0.100374	0.182125	0.468112	0.542498	1.79512	0.240569	0.211768	0.0998502
82	1.05809	0.550751	0.100707	0.228985	0.553426	0.642523	2.04654	0.289711	0.256298	0.125218
83	1.21331	0.520745	0.106074	0.290219	0.651386	0.756251	2.308	0.341723	0.303954	0.154851
84	1.36474	0.502799	0.118528	0.369046	0.761552	0.882836	2.57297	0.395406	0.353742	0.188338
85	1.50779	0.500704	0.140729	0.468959	0.883507	1.02122	2.83523	0.449259	0.404405	0.224527
86	1.63607	0.519595	0.17563	0.593086	1.01638	1.16946	3.08735	0.501079	0.454109	0.261175
87	1.73853	0.565621	0.225605	0.743397	1.15801	1.32326	3.31781	0.547025	0.499803	0.29463
88	1.79373	0.64477	0.290768	0.920066	1.30326	1.47289	3.50551	0.57971	0.53587	0.319505
89	1.76285	0.760318	0.366271	1.12126	1.44117	1.59769	3.61278	0.585362	0.551788	0.328094
90	1.59472	0.908409	0.438545	1.34338	1.55099	1.66189	3.58882	0.543949	0.530346	0.310116
91	1.26462	1.07194	0.482917	1.58021	1.60155	1.62511	3.40251	0.442173	0.453714	0.256792
92	0.819681	1.21719	0.472128	1.81299	1.5615	1.4739	3.07745	0.295483	0.323723	0.174383
93	0.380855	1.30438	0.40343	1.98131	1.41928	1.24122	2.67423	0.14827	0.176919	0.0926624
94	0.129227	1.31465	0.313734	1.96704	1.19756	0.985532	2.2525	0.0528335	0.0685885	0.0405847
95	0.0880623	1.26473	0.246016	1.65509	0.945003	0.755377	1.85778	0.0253883	0.0283207	0.0215199
96	0.104099	1.18679	0.206696	1.05361	0.704993	0.572987	1.52195	0.02549	0.0241091	0.0185074
97	0.136261	1.10077	0.179982	0.408557	0.497142	0.440206	1.26556	0.0324602	0.0293215	0.0201143
98	0.183057	1.01402	0.159288	0.155697	0.357219	0.353681	1.10069	0.0434522	0.0385213	0.0230516
99	0.246964	0.930987	0.144143	0.112928	0.296611	0.311017	1.03	0.0589134	0.0516512	0.027396
100	0.329674	0.853983	0.131975	0.101312	0.278868	0.303343	1.04582	0.0795491	0.0693842	0.0338719
