Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[sgpFc{serum}]	[sR_IL6_sgpFc{serum}]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[sR_IL6_sgpFc{liver}]	[sgpFc{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[sgpFc{gut}]	[sR_IL6_sgpFc{gut}]	[sgpFc{peripheral}]	[CRP Suppression (%)]
66	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.8688e-26	-6.26981e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.83609e-28	-3.49482e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-9.54716e-27	-2.48339e-28	-6.66236e-27	-3.85704e-14
67	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.86668e-26	-6.26532e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.79898e-28	-3.47582e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-9.62767e-27	-2.50444e-28	-6.66075e-27	-6.4284e-14
68	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.86441e-26	-6.2605e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.76261e-28	-3.45719e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-9.70614e-27	-2.52496e-28	-6.65913e-27	-7.71408e-14
69	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.862e-26	-6.25536e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.72696e-28	-3.43894e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-9.78263e-27	-2.54496e-28	-6.65752e-27	-3.85704e-14
70	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.85944e-26	-6.24992e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.69201e-28	-3.42104e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-9.85714e-27	-2.56445e-28	-6.65589e-27	-0
71	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.85677e-26	-6.2442e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.65773e-28	-3.40349e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-9.92972e-27	-2.58343e-28	-6.65426e-27	2.57136e-14
72	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.85397e-26	-6.23821e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.62411e-28	-3.38627e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.00004e-26	-2.60191e-28	-6.65263e-27	2.57136e-14
73	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.85105e-26	-6.23197e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.59113e-28	-3.36938e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.00692e-26	-2.61991e-28	-6.65098e-27	-0
74	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.84803e-26	-6.2255e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.55876e-28	-3.35281e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.01361e-26	-2.63742e-28	-6.64933e-27	-1.28568e-14
75	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.84491e-26	-6.2188e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.52699e-28	-3.33654e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.02013e-26	-2.65446e-28	-6.64767e-27	-3.85704e-14
76	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.8417e-26	-6.21189e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.49581e-28	-3.32057e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.02647e-26	-2.67103e-28	-6.64601e-27	-6.4284e-14
77	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.83839e-26	-6.20478e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.46519e-28	-3.3049e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.03263e-26	-2.68715e-28	-6.64433e-27	-6.4284e-14
78	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.835e-26	-6.19748e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.43512e-28	-3.2895e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.03861e-26	-2.70282e-28	-6.64265e-27	-6.4284e-14
79	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.83154e-26	-6.19e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.40559e-28	-3.27438e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.04443e-26	-2.71804e-28	-6.64095e-27	-7.71408e-14
80	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.82799e-26	-6.18236e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.37657e-28	-3.25952e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.05009e-26	-2.73283e-28	-6.63925e-27	-6.4284e-14
81	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.82438e-26	-6.17457e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.34806e-28	-3.24493e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.05558e-26	-2.7472e-28	-6.63754e-27	-3.85704e-14
82	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.8207e-26	-6.16662e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.32004e-28	-3.23058e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.06091e-26	-2.76114e-28	-6.63582e-27	-2.57136e-14
83	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.81696e-26	-6.15854e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.29249e-28	-3.21648e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.06608e-26	-2.77468e-28	-6.63409e-27	-0
84	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.81316e-26	-6.15033e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.26541e-28	-3.20262e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.0711e-26	-2.78781e-28	-6.63234e-27	-0
85	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.8093e-26	-6.14199e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.23878e-28	-3.18899e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.07596e-26	-2.80054e-28	-6.63059e-27	-1.28568e-14
86	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.80539e-26	-6.13354e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.21259e-28	-3.17558e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.08068e-26	-2.81289e-28	-6.62883e-27	-1.28568e-14
87	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.80144e-26	-6.12498e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.18683e-28	-3.16239e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.08525e-26	-2.82486e-28	-6.62706e-27	-2.57136e-14
88	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.79744e-26	-6.11633e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.16148e-28	-3.14942e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.08968e-26	-2.83645e-28	-6.62527e-27	-3.85704e-14
89	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.7934e-26	-6.10757e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.13653e-28	-3.13665e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.09397e-26	-2.84767e-28	-6.62348e-27	-5.14272e-14
90	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.78931e-26	-6.09873e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.11198e-28	-3.12408e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.09812e-26	-2.85854e-28	-6.62167e-27	-6.4284e-14
91	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.78519e-26	-6.0898e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.08782e-28	-3.11171e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.10214e-26	-2.86905e-28	-6.61986e-27	-6.4284e-14
92	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.78104e-26	-6.0808e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.06403e-28	-3.09953e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.10602e-26	-2.87922e-28	-6.61803e-27	-6.4284e-14
93	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.77685e-26	-6.07172e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.0406e-28	-3.08754e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.10977e-26	-2.88905e-28	-6.61619e-27	-6.4284e-14
94	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.77264e-26	-6.06258e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-6.01752e-28	-3.07573e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.1134e-26	-2.89855e-28	-6.61434e-27	-6.4284e-14
95	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.76839e-26	-6.05337e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-5.99479e-28	-3.0641e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.1169e-26	-2.90772e-28	-6.61248e-27	-6.4284e-14
96	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.76412e-26	-6.0441e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-5.9724e-28	-3.05264e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.12028e-26	-2.91657e-28	-6.61061e-27	-8.99976e-14
97	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.75983e-26	-6.03478e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-5.95034e-28	-3.04135e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.12354e-26	-2.92511e-28	-6.60872e-27	-1.15711e-13
98	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.75551e-26	-6.0254e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-5.92859e-28	-3.03022e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.12668e-26	-2.93334e-28	-6.60683e-27	-1.41425e-13
99	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.75117e-26	-6.01598e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-5.90716e-28	-3.01925e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.12971e-26	-2.94128e-28	-6.60492e-27	-1.28568e-13
100	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.74681e-26	-6.00652e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-5.88603e-28	-3.00844e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.13263e-26	-2.94892e-28	-6.603e-27	-1.02854e-13
