Time	[M]	[Mp]	[Mpp]	[MAPKK1]	[MAPKK2]	[MKP3]
0	500	0	0	100	1	100
1	499.111	0.876791	0.012341	100	1	100
2	498.26	1.69558	0.044851	100	1	100
3	497.443	2.46467	0.0920365	100	1	100
4	496.66	3.19063	0.149766	100	1	100
5	495.906	3.87869	0.214934	100	1	100
6	495.182	4.53309	0.285205	100	1	100
7	494.484	5.15725	0.358826	100	1	100
8	493.812	5.75399	0.43448	100	1	100
9	493.163	6.32567	0.511182	100	1	100
10	492.538	6.87426	0.588195	100	1	100
11	491.934	7.40144	0.664969	100	1	100
12	491.35	7.90867	0.741101	100	1	100
13	490.787	8.3972	0.816293	100	1	100
14	490.242	8.86815	0.890329	100	1	100
15	489.714	9.3225	0.963055	100	1	100
16	489.205	9.76113	1.03437	100	1	100
17	488.711	10.1848	1.10419	100	1	100
18	488.233	10.5944	1.17249	100	1	100
19	487.77	10.9904	1.23924	100	1	100
20	487.322	11.3734	1.30443	100	1	100
21	486.888	11.7442	1.36806	100	1	100
22	486.467	12.1031	1.43016	100	1	100
23	486.059	12.4507	1.49073	100	1	100
24	485.663	12.7874	1.54981	100	1	100
25	485.279	13.1137	1.60742	100	1	100
26	484.906	13.43	1.66358	100	1	100
27	484.545	13.7367	1.71834	100	1	100
28	484.194	14.0341	1.77173	100	1	100
29	483.854	14.3226	1.82376	100	1	100
30	483.523	14.6025	1.87449	100	1	100
31	483.202	14.8741	1.92394	100	1	100
32	482.89	15.1378	1.97214	100	1	100
33	482.587	15.3937	2.01913	100	1	100
34	482.293	15.6423	2.06494	100	1	100
35	482.007	15.8836	2.1096	100	1	100
36	481.729	16.118	2.15313	100	1	100
37	481.459	16.3458	2.19558	100	1	100
38	481.196	16.5671	2.23696	100	1	100
39	480.941	16.7821	2.2773	100	1	100
40	480.692	16.9912	2.31664	100	1	100
41	480.451	17.1943	2.355	100	1	100
42	480.216	17.3919	2.3924	100	1	100
43	479.987	17.5839	2.42888	100	1	100
44	479.765	17.7707	2.46445	100	1	100
45	479.549	17.9523	2.49914	100	1	100
46	479.338	18.129	2.53297	100	1	100
47	479.133	18.3009	2.56596	100	1	100
48	478.934	18.4681	2.59814	100	1	100
49	478.74	18.6308	2.62953	100	1	100
50	478.551	18.7892	2.66014	100	1	100
51	478.367	18.9433	2.69	100	1	100
52	478.188	19.0933	2.71913	100	1	100
53	478.013	19.2393	2.74755	100	1	100
54	477.843	19.3814	2.77527	100	1	100
55	477.678	19.5198	2.80231	100	1	100
56	477.517	19.6545	2.82869	100	1	100
57	477.36	19.7857	2.85443	100	1	100
58	477.207	19.9134	2.87955	100	1	100
59	477.058	20.0379	2.90405	100	1	100
60	476.913	20.1591	2.92796	100	1	100
61	476.772	20.2771	2.95128	100	1	100
62	476.634	20.3921	2.97405	100	1	100
63	476.5	20.5041	2.99626	100	1	100
64	476.369	20.6133	3.01793	100	1	100
65	476.241	20.7196	3.03908	100	1	100
66	476.117	20.8233	3.05972	100	1	100
67	475.996	20.9242	3.07986	100	1	100
68	475.878	21.0226	3.09952	100	1	100
69	475.763	21.1185	3.1187	100	1	100
70	475.651	21.212	3.13742	100	1	100
71	475.541	21.3031	3.1557	100	1	100
72	475.435	21.3919	3.17353	100	1	100
73	475.331	21.4785	3.19094	100	1	100
74	475.229	21.5629	3.20793	100	1	100
75	475.13	21.6452	3.22451	100	1	100
76	475.034	21.7254	3.2407	100	1	100
77	474.94	21.8036	3.2565	100	1	100
78	474.848	21.8799	3.27192	100	1	100
79	474.759	21.9543	3.28698	100	1	100
80	474.672	22.0268	3.30167	100	1	100
81	474.586	22.0975	3.31602	100	1	100
82	474.503	22.1665	3.33002	100	1	100
83	474.423	22.2337	3.34369	100	1	100
84	474.344	22.2993	3.35704	100	1	100
85	474.267	22.3633	3.37007	100	1	100
86	474.191	22.4257	3.38279	100	1	100
87	474.118	22.4866	3.3952	100	1	100
88	474.047	22.546	3.40733	100	1	100
89	473.977	22.6039	3.41916	100	1	100
90	473.909	22.6604	3.43071	100	1	100
91	473.842	22.7155	3.442	100	1	100
92	473.778	22.7693	3.45301	100	1	100
93	473.714	22.8218	3.46376	100	1	100
94	473.653	22.873	3.47426	100	1	100
95	473.593	22.9229	3.48451	100	1	100
96	473.534	22.9716	3.49452	100	1	100
97	473.477	23.0192	3.50429	100	1	100
98	473.421	23.0656	3.51383	100	1	100
99	473.366	23.1109	3.52315	100	1	100
100	473.313	23.155	3.53224	100	1	100
