Time	[CDK2cycA]	[CyclinA]	[Cdk2]	[CDK2cycA_star_]
33	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
34	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
35	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
36	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
37	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
38	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
39	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
40	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
41	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
42	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
43	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
44	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
45	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
46	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
47	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
48	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
49	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
50	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
51	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
52	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
53	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
54	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
55	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
56	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
57	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
58	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
59	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
60	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
61	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
62	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
63	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
64	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
65	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
66	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
67	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
68	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
69	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
70	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
71	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
72	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
73	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
74	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
75	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
76	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
77	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
78	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
79	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
80	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
81	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
82	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
83	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
84	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
85	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
86	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
87	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
88	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
89	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
90	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
91	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
92	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
93	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
94	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
95	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
96	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
97	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
98	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
99	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
100	1.63486e-08	3.59789e-07	5.97888e-08	2.38625e-08
