Time	[LHY mRNA]	[LHY protein in cytoplasm]	[LHY protein in nucleus]	[TOC1 mRNA]	[TOC1 protein  in cytoplasm]	[TOC1 protein in nucleus]	[X mRNA]	[X protein in cytoplasm]	[X protein in nucleus]	[Y mRNA]	[Y protein in the cytoplasm]	[Y protein in nucleus]	[light sensitive protein P]	[PPR7/9 mRNA]	[PPR7/9 protein in cytoplasm]	[PPR7/9 protein in nucleus]
28	0.396452	0.0115892	0.0750279	0.69799	5.59894	0.204292	0.0370708	1.3298	0.403328	0.0450801	0.00664509	0.0233829	5.56385e-25	17.162	2.13587	1.32882
29	0.263671	0.00774405	0.0519174	0.808628	5.42276	0.191954	0.0312377	1.21781	0.370425	0.0534219	0.00756758	0.0258913	7.55078e-26	17.5246	2.58412	1.59187
30	0.157407	0.00463843	0.0318534	0.953386	5.76075	0.204394	0.0304266	1.1093	0.337786	0.0650766	0.00895465	0.029394	1.02421e-26	17.8092	3.05368	1.90656
31	0.0873551	0.00257943	0.0179748	1.13214	6.59811	0.242122	0.0341263	1.01191	0.307825	0.0776615	0.0106618	0.0341793	1.3914e-27	18.0046	3.53263	2.26622
32	0.0464721	0.00137365	0.00964402	1.33601	7.93	0.310207	0.042397	0.932392	0.282606	0.0882825	0.0123893	0.04001	1.89126e-28	18.0779	4.00342	2.66219
33	0.024282	0.000717857	0.00504772	1.55016	9.74109	0.417395	0.0552442	0.876968	0.264021	0.0950031	0.0138389	0.046214	2.56186e-29	17.9602	4.43678	3.08234
34	0.0127215	0.000375821	0.00263076	1.75841	11.9954	0.574717	0.07177	0.850411	0.253637	0.0963721	0.0147727	0.0519455	3.47823e-30	17.5293	4.78212	3.50802
35	0.00683042	0.000201414	0.00139276	1.94586	14.6371	0.792523	0.0898177	0.854299	0.252222	0.0893488	0.0148611	0.0562355	4.71819e-31	16.6108	4.95655	3.90915
36	0.00386933	0.000113701	0.000767955	2.09632	17.5858	1.07549	0.106737	0.885945	0.25934	0.0705101	0.0136083	0.0577487	6.38857e-32	15.0448	4.84341	4.2387
37	0.00241703	7.05996e-05	0.000457785	2.18755	20.7095	1.41646	0.120643	0.939294	0.273446	0.0450491	0.0110208	0.05515	8.64526e-33	12.8351	4.31958	4.43087
38	0.00178202	5.15526e-05	0.000312992	2.1941	23.7898	1.79134	0.130957	1.00714	0.29246	0.0247801	0.00812671	0.0486734	1.17025e-33	10.2772	3.31812	4.41018
39	0.00170413	4.86162e-05	0.000268153	2.10027	26.5249	2.15911	0.13804	1.083	0.314379	0.0134047	0.00582788	0.0403302	1.58437e-34	7.90598	1.89896	4.11472
40	0.00235177	6.59144e-05	0.000321939	1.91054	28.5869	2.46928	0.142603	1.16196	0.337609	0.00798135	0.00424444	0.0321218	2.14425e-35	6.30461	0.372109	3.53229
41	0.00483548	0.0001337	0.000587165	1.64991	29.7014	2.67405	0.145308	1.24062	0.361017	0.00557093	0.00318082	0.0250683	2.90192e-36	5.9503	0.0782621	2.84781
42	0.0117283	0.0003234	0.00137838	1.35656	29.7132	2.73985	0.146617	1.31667	0.383835	0.00466975	0.00246379	0.0194299	3.92737e-37	6.89366	0.0874204	2.28974
43	0.0285895	0.00078926	0.003376	1.07068	28.6166	2.6546	0.146764	1.38848	0.405531	0.00470654	0.00199497	0.0151265	5.31437e-38	8.51791	0.12041	1.84785
44	0.0658677	0.00182454	0.00795483	0.822992	26.5411	2.42874	0.145757	1.45465	0.425676	0.00562645	0.00173252	0.0119921	7.18295e-39	10.2221	0.177624	1.50446
45	0.136543	0.00380377	0.0171684	0.629023	23.7048	2.09088	0.143329	1.51362	0.443826	0.00779732	0.00168261	0.00989858	9.72041e-40	11.7428	0.264896	1.24615
46	0.244274	0.0068563	0.0325168	0.492586	20.3662	1.68156	0.138806	1.56309	0.459374	0.012239	0.00191749	0.00883538	1.31622e-40	13.0245	0.391471	1.06385
47	0.371482	0.0105112	0.0528108	0.414628	16.8068	1.25003	0.130831	1.59922	0.471331	0.0207257	0.00260998	0.00901153	1.78204e-41	14.0868	0.567074	0.95247
48	0.485802	0.0138501	0.0737246	0.39809	13.3437	0.854008	0.117247	1.61541	0.477994	0.0321833	0.00384563	0.0108316	2.41218e-42	14.9662	0.798263	0.909738
49	0.554854	0.0159278	0.0895187	0.438053	10.3215	0.549763	0.0966352	1.60215	0.476745	0.0390555	0.00506416	0.0141198	3.26517e-43	15.6972	1.0862	0.934648
50	0.554445	0.0160209	0.0948074	0.511006	8.00765	0.358926	0.0724196	1.5521	0.465055	0.0406447	0.00575073	0.0176457	4.42061e-44	16.3071	1.42704	1.02604
51	0.479779	0.0139522	0.0867303	0.597325	6.48162	0.256416	0.0517725	1.46838	0.442882	0.0424431	0.00620424	0.0206081	5.98697e-45	16.8168	1.81384	1.18175
52	0.357869	0.0104669	0.067967	0.69816	5.68065	0.208587	0.0384432	1.36337	0.413263	0.0474552	0.00683904	0.0232525	8.11782e-46	17.2407	2.2383	1.39839
53	0.233716	0.00686665	0.0461156	0.824255	5.51167	0.195946	0.0320735	1.25063	0.380242	0.0564062	0.00787757	0.0262581	1.10347e-46	17.5864	2.69151	1.67134
54	0.137955	0.00406576	0.0279303	0.982584	5.90787	0.210965	0.0313644	1.14105	0.347292	0.0682502	0.00934876	0.030229	1.49457e-47	17.8529	3.16357	1.99484
55	0.0761937	0.00224974	0.015665	1.17149	6.8335	0.253552	0.0356167	1.04314	0.317118	0.0804063	0.0110739	0.0353778	2.02672e-48	18.0254	3.64171	2.36178
56	0.0405462	0.00119824	0.00839801	1.38098	8.26663	0.328823	0.0447231	0.964199	0.291967	0.0901608	0.0127493	0.0413882	2.74735e-49	18.0653	4.10662	2.76287
57	0.0212779	0.000628823	0.00440977	1.59609	10.1787	0.445775	0.0584408	0.910599	0.273818	0.095813	0.0140982	0.0475629	3.7203e-50	17.8948	4.52568	3.1849
58	0.0112402	0.000331879	0.00231405	1.80139	12.5248	0.615428	0.0755273	0.886794	0.264182	0.095717	0.0148819	0.053063	5.03627e-51	17.3817	4.84296	3.60735
59	0.00611446	0.000180157	0.00123869	1.98245	15.2434	0.847315	0.093578	0.893582	0.263631	0.0863366	0.0147237	0.0568753	6.81266e-52	16.3496	4.96924	3.9973
60	0.00353358	0.000103712	0.000694655	2.12229	18.2458	1.14406	0.10999	0.927436	0.271475	0.065201	0.0131463	0.0575869	9.23881e-53	14.6604	4.78481	4.30424
61	0.00227501	6.63361e-05	0.000424939	2.19737	21.3839	1.49518	0.123149	0.981836	0.285995	0.0399636	0.0103853	0.0540541	1.25064e-53	12.3691	4.17358	4.45997
62	0.0017535	5.06057e-05	0.000302108	2.1831	24.4194	1.87271	0.132726	1.04956	0.305071	0.0216455	0.0075704	0.046974	1.69311e-54	9.82231	3.08884	4.39027
63	0.00178185	5.0681e-05	0.000273728	2.06752	27.0389	2.23272	0.13921	1.12439	0.326758	0.0118557	0.00543365	0.0385167	2.29471e-55	7.5714	1.62074	4.04001
64	0.00264814	7.39863e-05	0.000353358	1.85983	28.9189	2.52419	0.143326	1.20171	0.349548	0.00727519	0.00397949	0.0304995	3.10547e-56	6.18165	0.197572	3.41423
65	0.00570436	0.000157586	0.000685856	1.58865	29.8062	2.7015	0.145701	1.27835	0.372387	0.00527535	0.00300197	0.0237423	4.20281e-57	6.08552	0.0790616	2.74634
66	0.0139	0.000383336	0.00163371	1.29364	29.5766	2.73527	0.146749	1.35215	0.394559	0.0046029	0.00234417	0.0184009	5.68844e-58	7.20239	0.0928725	2.20923
67	0.0335867	0.000927704	0.00397988	1.01386	28.2561	2.61838	0.146657	1.42156	0.415556	0.00482197	0.00192157	0.0143613	7.69872e-59	8.8669	0.130242	1.78515
68	0.0760787	0.00210929	0.00924631	0.777007	25.9981	2.36572	0.145381	1.48514	0.434949	0.00596876	0.00170283	0.011458	1.04215e-59	10.5412	0.192728	1.45712
69	0.153853	0.00429145	0.0195277	0.595497	23.033	2.00894	0.142583	1.54121	0.452269	0.00852449	0.0017061	0.00958188	1.41058e-60	12.0135	0.28697	1.2125
70	0.2673	0.00751359	0.0359969	0.47171	19.6247	1.59061	0.137473	1.58723	0.466848	0.0137005	0.00202355	0.00876111	1.90728e-61	13.2488	0.422563	1.04298
71	0.395052	0.0111941	0.0568468	0.406891	16.0605	1.16177	0.128518	1.61887	0.477572	0.0231866	0.00284224	0.00926336	2.58118e-62	14.272	0.608865	0.944076
72	0.503488	0.0143733	0.0773063	0.403681	12.666	0.781311	0.113493	1.62882	0.482544	0.0343379	0.00414667	0.0114645	3.49368e-63	15.1199	0.851442	0.913832
73	0.560897	0.0161218	0.0915189	0.453065	9.78059	0.501253	0.0916598	1.6074	0.479023	0.0396921	0.00526275	0.0149268	4.72918e-64	15.8252	1.15034	0.951258
74	0.545542	0.0157837	0.0943254	0.529536	7.63536	0.332127	0.0676713	1.54892	0.464803	0.0408516	0.00585457	0.018358	6.40216e-65	16.4141	1.50094	1.055
75	0.458459	0.0133482	0.0837403	0.617683	6.26983	0.243432	0.048458	1.45896	0.440561	0.0431153	0.00631089	0.0211957	8.6734e-66	16.9061	1.89591	1.22262
76	0.332565	0.00973649	0.0636978	0.722165	5.60637	0.20396	0.0366864	1.3507	0.409728	0.048892	0.00701036	0.0238359	1.1771e-66	17.3143	2.32681	1.45044
77	0.212393	0.00624456	0.0421561	0.853875	5.55562	0.197225	0.0315733	1.23722	0.376287	0.0585466	0.00813609	0.0269771	1.59997e-67	17.645	2.78461	1.73361
78	0.12347	0.00364043	0.0250875	1.01826	6.05873	0.217551	0.0318937	1.12878	0.343526	0.0706803	0.0096755	0.031167	2.16683e-68	17.8949	3.25906	2.06611
79	0.0675865	0.00199604	0.0139209	1.2119	7.08531	0.266046	0.0371082	1.03356	0.31402	0.0825502	0.0114145	0.0365159	2.93969e-69	18.0456	3.7365	2.44046
80	0.035824	0.00105873	0.00742324	1.4235	8.61418	0.348711	0.0471591	0.95864	0.289954	0.0916046	0.0130444	0.0426131	3.98707e-70	18.0524	4.19568	2.84682
81	0.0188024	0.000555594	0.00389325	1.63767	10.6142	0.47513	0.0616679	0.910158	0.273237	0.0962952	0.0143018	0.0487184	5.40368e-71	17.828	4.60039	3.27086
82	0.00997433	0.000294408	0.00204834	1.83922	13.0375	0.656365	0.0791424	0.891969	0.265239	0.0947188	0.0149372	0.0539733	7.34438e-72	17.2294	4.88897	3.69011
83	0.00547673	0.000161269	0.00110425	2.01359	15.8187	0.901059	0.0970399	0.904017	0.266294	0.0830123	0.0145301	0.0572952	9.98015e-73	16.0789	4.96553	4.06864
84	0.00321882	9.43753e-05	0.000627662	2.14266	18.8605	1.20973	0.112881	0.942036	0.275475	0.0601052	0.012662	0.0572205	1.35003e-73	14.2629	4.70737	4.35232
85	0.00213201	6.20631e-05	0.000393062	2.20183	21.9986	1.56867	0.125316	0.999198	0.290934	0.0356062	0.00979601	0.0528636	1.82751e-74	11.8891	4.00623	4.47051
86	0.00171854	4.94758e-05	0.000290426	2.16789	24.9766	1.94639	0.134225	1.06838	0.31055	0.0191346	0.00708709	0.0453322	2.47573e-75	9.35515	2.83677	4.35044
87	0.00186222	5.27984e-05	0.000278979	2.03275	27.4731	2.29671	0.140183	1.14368	0.332453	0.0106523	0.00509893	0.0368539	3.35232e-76	7.22832	1.32299	3.94436
88	0.00299682	8.34603e-05	0.000389443	1.80983	29.1726	2.56869	0.14391	1.22076	0.35523	0.00673806	0.00375524	0.0290512	4.53685e-77	6.05842	0.10709	3.28185
89	0.00672832	0.000185736	0.000802165	1.53075	29.8436	2.71918	0.145997	1.29671	0.3779	0.0050655	0.00285083	0.0225762	6.14001e-78	6.22269	0.0798086	2.63782
90	0.0164591	0.000453972	0.00193477	1.23601	29.3915	2.72296	0.146812	1.36951	0.399799	0.00458635	0.0022444	0.017506	8.31054e-79	7.49793	0.0982508	2.12307
91	0.0394259	0.00108958	0.00468843	0.963136	27.8707	2.57745	0.146498	1.43765	0.420443	0.00497529	0.00186331	0.0137044	1.12482e-79	9.19359	0.140065	1.71792
92	0.0877317	0.00243473	0.010735	0.736806	25.454	2.30137	0.144958	1.49968	0.439404	0.00635045	0.00168572	0.0110108	1.52239e-80	10.8379	0.20793	1.40617
93	0.17282	0.00482704	0.0221578	0.566814	22.3811	1.92896	0.141784	1.55382	0.456186	0.00930826	0.00174167	0.00933687	2.06057e-81	12.2649	0.309228	1.176
94	0.291237	0.00819889	0.0397016	0.454649	18.9202	1.50447	0.136062	1.59723	0.470056	0.015242	0.00214336	0.00875096	2.78928e-82	13.4574	0.453788	1.01988
95	0.418082	0.011864	0.0609145	0.402036	15.3648	1.08067	0.126092	1.62511	0.479775	0.0255597	0.00308047	0.00957269	3.77518e-83	14.4447	0.650495	0.933901
96	0.519179	0.0148409	0.080658	0.410752	12.0481	0.717025	0.109664	1.62949	0.483255	0.0360199	0.0044143	0.0121072	5.10929e-84	15.2633	0.903916	0.916407
97	0.564043	0.0162326	0.0930639	0.46763	9.29918	0.460009	0.086872	1.60078	0.477695	0.0400729	0.00541891	0.0156651	6.91471e-85	15.9448	1.21309	0.966417
98	0.534022	0.0154694	0.0933311	0.546728	7.31198	0.309804	0.0633848	1.53521	0.461306	0.0410879	0.00594279	0.0189818	9.36206e-86	16.5141	1.57271	1.0824
99	0.43619	0.0127142	0.0804545	0.636982	6.09289	0.232807	0.0456018	1.44048	0.435429	0.0439044	0.00642001	0.0217235	1.26579e-86	16.9894	1.97516	1.26168
100	0.308207	0.0090316	0.0594913	0.745634	5.55531	0.200598	0.0352486	1.3302	0.40377	0.0504393	0.00719071	0.0243959	1.71664e-87	17.3827	2.41187	1.50034
