Time	[alpha]	[beta]	[gamma]
0	29.1999	188.8	0.3367
1	29.0663	185.339	0.327819
2	28.9576	181.724	0.317035
3	28.8729	178.046	0.305672
4	28.811	174.354	0.294356
5	28.7708	170.677	0.283363
6	28.751	167.03	0.272806
7	28.7504	163.426	0.262723
8	28.7679	159.872	0.253117
9	28.8024	156.376	0.243977
10	28.853	152.941	0.235284
11	28.9187	149.573	0.227017
12	28.9987	146.274	0.219157
13	29.0921	143.046	0.211681
14	29.1982	139.893	0.20457
15	29.3162	136.814	0.197804
16	29.4455	133.811	0.191364
17	29.5855	130.884	0.185233
18	29.7356	128.033	0.179394
19	29.8952	125.26	0.173831
20	30.0638	122.562	0.16853
21	30.241	119.94	0.163476
22	30.4263	117.393	0.158657
23	30.6192	114.921	0.154061
24	30.8194	112.522	0.149677
25	31.0264	110.197	0.145493
26	31.2399	107.942	0.1415
27	31.4596	105.759	0.137689
28	31.6852	103.646	0.134051
29	31.9163	101.602	0.130578
30	32.1526	99.6254	0.127263
31	32.3938	97.7161	0.124099
32	32.6398	95.8731	0.12108
33	32.8902	94.0954	0.118199
34	33.1447	92.3822	0.115451
35	33.4032	90.733	0.112831
36	33.6654	89.1471	0.110336
37	33.931	87.6239	0.107959
38	34.1999	86.163	0.105698
39	34.4719	84.7642	0.10355
40	34.7466	83.4272	0.101511
41	35.024	82.1521	0.0995791
42	35.3037	80.939	0.0977515
43	35.5857	79.7881	0.0960268
44	35.8696	78.7001	0.0944034
45	36.1553	77.6755	0.0928805
46	36.4425	76.7154	0.0914575
47	36.7311	75.8211	0.0901343
48	37.0207	74.994	0.0889113
49	37.3112	74.2362	0.0877897
50	37.6022	73.55	0.0867709
51	37.8936	72.938	0.0858574
52	38.1851	72.4038	0.0850521
53	38.4763	71.951	0.0843589
54	38.7669	71.5846	0.0837827
55	39.0566	71.3099	0.0833299
56	39.345	71.1336	0.0830078
57	39.6316	71.0635	0.0828255
58	39.9159	71.1086	0.0827944
59	40.1975	71.28	0.0829277
60	40.4757	71.5908	0.0832419
61	40.7497	72.0566	0.0837571
62	41.0188	72.6965	0.0844979
63	41.282	73.5333	0.0854944
64	41.5381	74.5951	0.0867842
65	41.7858	75.9166	0.0884142
66	42.0234	77.5406	0.0904434
67	42.2489	79.5207	0.0929476
68	42.4598	81.925	0.0960245
69	42.653	84.8403	0.0998021
70	42.8245	88.3788	0.104451
71	42.9692	92.6875	0.110202
72	43.0804	97.9608	0.117375
73	43.1492	104.459	0.126422
74	43.1635	112.532	0.137996
75	43.107	122.657	0.153073
76	42.9571	135.468	0.173145
77	42.6828	151.792	0.200573
78	42.2428	172.599	0.239199
79	41.5854	198.739	0.29542
80	40.6579	230.084	0.379955
81	39.4332	263.515	0.509925
82	37.9642	289.739	0.706481
83	36.444	292.657	0.962199
84	35.1758	263.809	1.13496
85	34.3331	225.359	1.01048
86	33.805	202.438	0.722058
87	33.4168	194.538	0.511512
88	33.0725	194.086	0.411316
89	32.7336	196.546	0.375372
90	32.3878	199.8	0.368708
91	32.0342	202.845	0.373744
92	31.6771	205.174	0.382231
93	31.3231	206.543	0.390122
94	30.9791	206.878	0.395329
95	30.6517	206.225	0.396883
96	30.3461	204.711	0.394583
97	30.0661	202.501	0.388788
98	29.8139	199.765	0.38019
99	29.5904	196.654	0.369602
100	29.3957	193.289	0.357786
