Time	[glucose{cell}]	[glucose 1-phosphate]	[glucose 6-phosphate]	[trehalose]	[trehalose 6-phosphate]	[UDP glucose]	[ADP]	[ATP]	[diphosphate]	[fructose 6-phosphate]	[H+]	[phosphate]	[UDP]	[UTP]	[water]	[glucose{medium}]
0	0.09765	0.1	2.675	0.05	0.02	0.7	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
1	0.0976264	0.0999954	2.6749	0.0499972	0.0199989	0.700031	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
2	0.0976268	0.0999976	2.6749	0.0499979	0.0199992	0.70005	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
3	0.0976272	0.0999995	2.6749	0.0499986	0.0199995	0.700064	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
4	0.0976274	0.100001	2.6749	0.0499991	0.0199996	0.700075	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
5	0.0976276	0.100002	2.6749	0.0499994	0.0199998	0.700084	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
6	0.0976278	0.100003	2.6749	0.0499997	0.0199999	0.70009	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
7	0.0976279	0.100004	2.6749	0.0499999	0.02	0.700095	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
8	0.097628	0.100004	2.6749	0.0500001	0.02	0.700098	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
9	0.097628	0.100004	2.6749	0.0500002	0.0200001	0.7001	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
10	0.0976281	0.100005	2.6749	0.0500002	0.0200001	0.700102	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
11	0.0976281	0.100005	2.6749	0.0500003	0.0200001	0.700103	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
12	0.0976281	0.100005	2.6749	0.0500003	0.0200001	0.700104	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
13	0.0976281	0.100005	2.6749	0.0500004	0.0200002	0.700105	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
14	0.0976281	0.100005	2.6749	0.0500004	0.0200002	0.700106	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
15	0.0976282	0.100005	2.6749	0.0500004	0.0200002	0.700106	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
16	0.0976282	0.100005	2.6749	0.0500004	0.0200002	0.700107	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
17	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700107	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
18	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700107	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
19	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
20	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
21	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
22	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
23	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
24	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
25	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
26	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
27	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
28	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
29	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
30	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
31	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
32	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
33	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
34	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
35	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
36	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
37	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
38	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
39	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
40	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
41	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
42	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
43	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
44	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
45	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
46	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
47	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
48	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
49	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
50	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
51	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
52	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
53	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
54	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
55	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
56	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
57	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
58	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
59	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
60	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
61	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
62	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
63	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
64	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
65	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
66	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
67	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
68	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
69	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
70	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
71	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
72	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
73	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
74	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
75	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
76	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
77	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
78	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
79	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
80	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
81	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
82	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
83	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
84	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
85	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
86	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
87	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
88	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
89	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
90	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
91	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
92	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
93	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
94	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
95	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
96	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
97	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
98	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
99	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
100	0.0976282	0.100005	2.6749	0.0500005	0.0200002	0.700108	1.282	2.525	1	0.625	1	1	0.2815	0.6491	1	100
