Time	[GP]	[pGP]	[mRNA]	[PEPCK]	[IRS]	[p1IRS]	[p2IRS]	[p1p2IRS]	[Akt]	[pAkt]	[mTOR]	[pmTOR]	[Foxo]	[pFoxo]	[PYRout]	[GLCex]	[F16P]	[PYRin]	[LAC]	[OAA]	[GLY]	[G1P]	[G6P]
11	0.643633	0.00126721	2.80203	0.756449	21.5017	42578.9	2907.72	7502.8	0.179499	0.938701	880.051	0.198544	4.38544e-06	6.30456e-06	34375.1	28896.4	327432	37297.5	3.79167e+07	692.805	182809	199631	29449
12	0.643634	0.00126628	2.79115	0.75535	21.5614	44370.2	3320.27	9748.39	0.172463	0.945737	880.027	0.222553	3.93662e-06	6.75338e-06	34375.1	28917.6	324251	37288.7	3.79167e+07	747.894	182813	199520	29470.5
13	0.643635	0.00126536	2.78013	0.754252	21.5984	45767.5	3732.39	12300.8	0.167278	0.950922	880.004	0.246499	3.53586e-06	7.15414e-06	34375.2	28938.8	321070	37280	3.79167e+07	803.004	182818	199409	29492.1
14	0.643636	0.00126444	2.76897	0.753154	21.6129	46783.3	4141.66	15141.3	0.163606	0.954594	879.98	0.270337	3.17892e-06	7.51108e-06	34375.2	28960.1	317890	37271.3	3.79167e+07	858.142	182822	199298	29513.6
15	0.643636	0.00126352	2.7577	0.752058	21.6054	47436.8	4546.01	18245	0.1612	0.957	879.956	0.294029	2.86163e-06	7.82837e-06	34375.2	28981.3	314710	37262.6	3.79167e+07	913.31	182827	199188	29535.1
16	0.643637	0.0012626	2.74633	0.750962	21.5774	47752.8	4943.69	21582.1	0.159877	0.958323	879.932	0.317546	2.58006e-06	8.10994e-06	34375.2	29002.5	311531	37253.8	3.79167e+07	968.511	182832	199077	29556.6
17	0.643638	0.00126169	2.73489	0.749867	21.5302	47760.3	5333.25	25118.8	0.159498	0.958702	879.909	0.34086	2.33051e-06	8.35949e-06	34375.2	29023.7	308352	37245.1	3.79167e+07	1023.75	182836	198967	29578.1
18	0.643639	0.00126077	2.72338	0.748773	21.4658	47491.6	5713.54	28819.4	0.159951	0.958249	879.886	0.36395	2.10958e-06	8.58042e-06	34375.2	29044.9	305174	37236.4	3.79167e+07	1079.02	182841	198856	29599.6
19	0.64364	0.00125986	2.71183	0.74768	21.3862	46980.6	6083.65	32646.9	0.161149	0.957051	879.863	0.386796	1.91418e-06	8.77582e-06	34375.2	29066.1	301997	37227.7	3.79167e+07	1134.34	182846	198746	29621.1
20	0.643641	0.00125895	2.70025	0.746587	21.2935	46262.4	6442.95	36564.2	0.163018	0.955182	879.841	0.40938	1.74148e-06	8.94852e-06	34375.2	29087.3	298819	37219	3.79167e+07	1189.69	182850	198636	29642.6
21	0.643642	0.00125804	2.68863	0.745496	21.1898	45371.7	6791.03	40535.6	0.165496	0.952704	879.818	0.431689	1.58896e-06	9.10104e-06	34375.2	29108.5	295643	37210.3	3.79167e+07	1245.08	182855	198526	29664.1
22	0.643643	0.00125713	2.67701	0.744405	21.0772	44342	7127.69	44527.1	0.168527	0.949673	879.796	0.453707	1.45434e-06	9.23566e-06	34375.3	29129.7	292466	37201.6	3.79167e+07	1300.52	182859	198416	29685.6
23	0.643644	0.00125622	2.66537	0.743314	20.9577	43205	7452.93	48507.4	0.172062	0.946138	879.775	0.475425	1.33557e-06	9.35443e-06	34375.3	29150.9	289291	37193	3.79167e+07	1356.01	182864	198306	29707.1
24	0.643645	0.00125531	2.65373	0.742225	20.8331	41990	7766.87	52448.3	0.176052	0.942148	879.753	0.496831	1.23084e-06	9.45916e-06	34375.3	29172.1	286115	37184.3	3.79167e+07	1411.53	182869	198197	29728.6
25	0.643646	0.00125441	2.6421	0.741136	20.7052	40723.6	8069.79	56325.1	0.180453	0.937747	879.732	0.517917	1.13853e-06	9.55147e-06	34375.3	29193.3	282940	37175.6	3.79167e+07	1467.1	182873	198087	29750
