Time	[DFG]	[E1]	[E2]	[Cn]	[Gly]	[_3DG]	[FA]	[_1DG]	[AA]	[Man]	[Glu]	[MG]	[Mel]	[Fru]
36	2.39271	0.060223	0.197171	1.61608	5.723	0.0600428	0.78785	0.0223826	3.15726	0.254746	0.400538	0.730344	0.626899	0.15445
37	2.30625	0.0580505	0.190083	1.60082	5.78724	0.0586188	0.815052	0.0215785	3.22478	0.258721	0.406544	0.75592	0.658376	0.157044
38	2.22293	0.0559556	0.183244	1.58434	5.84799	0.0572058	0.841962	0.0208025	3.29054	0.262542	0.412298	0.781244	0.68988	0.159545
39	2.14261	0.0539359	0.176646	1.56676	5.90544	0.0558078	0.868563	0.0200538	3.35458	0.266215	0.41781	0.806296	0.721364	0.161956
40	2.0652	0.0519887	0.170282	1.54818	5.95975	0.0544283	0.894838	0.0193315	3.41692	0.269744	0.423088	0.831061	0.752782	0.16428
41	1.99058	0.0501115	0.164144	1.52871	6.01107	0.0530701	0.920773	0.0186349	3.47761	0.273136	0.428142	0.855524	0.784092	0.166521
42	1.91866	0.0483018	0.158225	1.50845	6.05956	0.0517354	0.946355	0.0179631	3.53668	0.276395	0.43298	0.87967	0.815256	0.16868
43	1.84933	0.0465573	0.152518	1.48748	6.10536	0.0504262	0.971573	0.0173152	3.59416	0.279525	0.437608	0.903489	0.846236	0.170762
44	1.78251	0.0448757	0.147015	1.46589	6.14859	0.049144	0.996418	0.0166906	3.65008	0.282532	0.442035	0.926969	0.877	0.172769
45	1.71811	0.0432547	0.141709	1.44377	6.18941	0.0478899	1.02088	0.0160883	3.70449	0.28542	0.446268	0.950102	0.907517	0.174703
46	1.65603	0.0416922	0.136593	1.42119	6.22792	0.046665	1.04495	0.0155076	3.75741	0.288193	0.450315	0.972879	0.937757	0.176567
47	1.5962	0.040186	0.131662	1.39822	6.26426	0.0454699	1.06863	0.0149478	3.80889	0.290855	0.454181	0.995293	0.967696	0.178364
48	1.53853	0.0387343	0.126908	1.37492	6.29852	0.0443051	1.09191	0.0144081	3.85894	0.293411	0.457874	1.01734	0.997309	0.180097
49	1.48294	0.0373349	0.122325	1.35136	6.33083	0.0431708	1.11478	0.0138878	3.90762	0.295864	0.461399	1.03901	1.02658	0.181766
50	1.42936	0.035986	0.117907	1.32759	6.36127	0.0420671	1.13724	0.0133862	3.95494	0.298218	0.464764	1.06031	1.05548	0.183376
51	1.37771	0.0346859	0.113649	1.30367	6.38995	0.040994	1.1593	0.0129028	4.00094	0.300477	0.467974	1.08123	1.084	0.184927
52	1.32794	0.0334327	0.109543	1.27965	6.41697	0.0399514	1.18095	0.0124367	4.04565	0.302643	0.471034	1.10177	1.11212	0.186422
53	1.27996	0.0322248	0.105587	1.25557	6.4424	0.0389391	1.20218	0.0119875	4.08911	0.304721	0.47395	1.12192	1.13983	0.187863
54	1.23371	0.0310606	0.101772	1.23147	6.46634	0.0379566	1.22301	0.0115545	4.13135	0.306713	0.476727	1.1417	1.16712	0.189253
55	1.18914	0.0299384	0.0980959	1.2074	6.48885	0.0370036	1.24342	0.0111371	4.17239	0.308623	0.47937	1.16108	1.19398	0.190592
56	1.14617	0.0288567	0.0945521	1.18339	6.51003	0.0360796	1.26343	0.0107348	4.21226	0.310454	0.481885	1.18009	1.22039	0.191882
57	1.10476	0.0278141	0.0911363	1.15947	6.52993	0.0351841	1.28303	0.010347	4.251	0.312208	0.484276	1.19872	1.24636	0.193126
58	1.06484	0.0268091	0.0878437	1.13567	6.54863	0.0343166	1.30223	0.00997316	4.28864	0.313888	0.486547	1.21696	1.27188	0.194325
59	1.02637	0.0258405	0.0846701	1.11202	6.56619	0.0334764	1.32103	0.00961286	4.32519	0.315497	0.488703	1.23483	1.29693	0.195481
60	0.989285	0.0249069	0.0816111	1.08855	6.58267	0.032663	1.33943	0.00926555	4.3607	0.317038	0.490748	1.25233	1.32153	0.196595
61	0.953541	0.024007	0.0786625	1.06528	6.59813	0.0318757	1.35744	0.0089308	4.39519	0.318512	0.492686	1.26945	1.34566	0.197668
62	0.919088	0.0231396	0.0758205	1.04223	6.61263	0.0311139	1.37505	0.00860814	4.42868	0.319924	0.494521	1.2862	1.36933	0.198703
63	0.885881	0.0223035	0.0730812	1.01942	6.62621	0.0303769	1.39229	0.00829713	4.4612	0.321273	0.496257	1.30259	1.39252	0.199701
64	0.853873	0.0214977	0.0704407	0.996858	6.63893	0.029664	1.40914	0.00799735	4.49277	0.322564	0.497898	1.31862	1.41526	0.200662
65	0.823022	0.0207209	0.0678957	0.97457	6.65083	0.0289746	1.42561	0.00770841	4.52343	0.323798	0.499446	1.33429	1.43753	0.201589
66	0.793284	0.0199722	0.0654425	0.952565	6.66197	0.028308	1.44172	0.00742989	4.55319	0.324977	0.500907	1.34962	1.45933	0.202482
67	0.764623	0.0192507	0.0630781	0.930856	6.67237	0.0276636	1.45746	0.00716146	4.58209	0.326102	0.502281	1.36459	1.48068	0.203343
68	0.736996	0.0185551	0.0607991	0.909454	6.68208	0.0270407	1.47284	0.00690271	4.61014	0.327177	0.503574	1.37922	1.50157	0.204173
69	0.710368	0.0178847	0.0586024	0.888367	6.69114	0.0264387	1.48786	0.00665331	4.63736	0.328203	0.504787	1.39351	1.52201	0.204973
70	0.684701	0.0172385	0.056485	0.867603	6.69958	0.0258568	1.50254	0.00641292	4.66379	0.329182	0.505924	1.40747	1.54199	0.205744
71	0.659962	0.0166157	0.0544442	0.847169	6.70744	0.0252946	1.51687	0.00618122	4.68944	0.330115	0.506988	1.4211	1.56153	0.206487
72	0.636117	0.0160153	0.0524771	0.827072	6.71476	0.0247514	1.53087	0.00595789	4.71433	0.331004	0.507981	1.43441	1.58063	0.207204
73	0.613134	0.0154367	0.050581	0.807315	6.72155	0.0242265	1.54453	0.00574262	4.73849	0.33185	0.508906	1.4474	1.5993	0.207894
74	0.590981	0.0148789	0.0487535	0.787903	6.72785	0.0237194	1.55787	0.00553514	4.76193	0.332656	0.509765	1.46009	1.61754	0.208559
75	0.569628	0.0143413	0.046992	0.768837	6.73369	0.0232295	1.57089	0.00533515	4.78468	0.333422	0.510562	1.47246	1.63535	0.209201
76	0.549047	0.0138232	0.0452942	0.750122	6.73909	0.0227563	1.58359	0.00514239	4.80675	0.334151	0.511297	1.48454	1.65274	0.209819
77	0.52921	0.0133237	0.0436577	0.731757	6.74408	0.0222991	1.59599	0.00495659	4.82817	0.334843	0.511974	1.49632	1.66973	0.210415
78	0.510089	0.0128423	0.0420803	0.713744	6.74869	0.0218576	1.60809	0.00477751	4.84895	0.335499	0.512595	1.50781	1.6863	0.210989
79	0.491659	0.0123783	0.0405599	0.696083	6.75292	0.021431	1.61989	0.00460489	4.86911	0.336122	0.513161	1.51902	1.70248	0.211543
80	0.473895	0.0119311	0.0390944	0.678773	6.75681	0.021019	1.6314	0.00443851	4.88866	0.336712	0.513675	1.52995	1.71827	0.212077
81	0.456772	0.0115	0.0376819	0.661814	6.76038	0.020621	1.64263	0.00427814	4.90764	0.337271	0.514139	1.5406	1.73367	0.212591
82	0.440268	0.0110845	0.0363204	0.645204	6.76363	0.0202365	1.65358	0.00412357	4.92604	0.337799	0.514555	1.55099	1.7487	0.213087
83	0.424361	0.010684	0.0350081	0.628941	6.7666	0.0198652	1.66425	0.00397457	4.9439	0.338298	0.514923	1.56112	1.76335	0.213565
84	0.409028	0.010298	0.0337432	0.613022	6.76929	0.0195065	1.67467	0.00383097	4.96122	0.338769	0.515248	1.571	1.77764	0.214025
85	0.394249	0.00992589	0.032524	0.597446	6.77173	0.01916	1.68482	0.00369255	4.97802	0.339212	0.515528	1.58062	1.79157	0.214469
86	0.380005	0.00956725	0.0313489	0.582209	6.77393	0.0188253	1.69472	0.00355914	4.99432	0.33963	0.515768	1.59	1.80515	0.214897
87	0.366275	0.00922158	0.0302162	0.567308	6.7759	0.018502	1.70437	0.00343054	5.01013	0.340022	0.515967	1.59913	1.81839	0.21531
88	0.353041	0.00888839	0.0291245	0.552739	6.77765	0.0181897	1.71377	0.00330659	5.02546	0.34039	0.516128	1.60804	1.83129	0.215707
89	0.340285	0.00856724	0.0280721	0.538499	6.77921	0.0178879	1.72294	0.00318712	5.04033	0.340735	0.516252	1.61671	1.84387	0.21609
90	0.32799	0.0082577	0.0270579	0.524583	6.78058	0.0175964	1.73188	0.00307197	5.05475	0.341057	0.51634	1.62516	1.85612	0.21646
91	0.316139	0.00795934	0.0260802	0.510988	6.78177	0.0173148	1.74059	0.00296097	5.06874	0.341357	0.516394	1.6334	1.86806	0.216816
92	0.304717	0.00767176	0.0251379	0.497709	6.78279	0.0170426	1.74908	0.00285399	5.08231	0.341636	0.516415	1.64142	1.87969	0.217159
93	0.293707	0.00739457	0.0242297	0.484741	6.78366	0.0167797	1.75735	0.00275087	5.09547	0.341895	0.516404	1.64923	1.89101	0.217489
94	0.283095	0.00712739	0.0233542	0.472081	6.78438	0.0165256	1.76542	0.00265148	5.10823	0.342135	0.516363	1.65683	1.90205	0.217808
95	0.272866	0.00686987	0.0225104	0.459722	6.78496	0.0162801	1.77327	0.00255568	5.1206	0.342356	0.516292	1.66424	1.91279	0.218115
96	0.263007	0.00662165	0.0216971	0.447661	6.78541	0.0160428	1.78093	0.00246334	5.13261	0.342559	0.516193	1.67145	1.92326	0.218412
97	0.253505	0.00638241	0.0209131	0.435893	6.78575	0.0158134	1.78839	0.00237433	5.14425	0.342744	0.516067	1.67848	1.93345	0.218697
98	0.244345	0.0061518	0.0201575	0.424412	6.78597	0.0155918	1.79566	0.00228855	5.15553	0.342913	0.515915	1.68532	1.94338	0.218972
99	0.235517	0.00592953	0.0194292	0.413214	6.78609	0.0153775	1.80274	0.00220586	5.16648	0.343066	0.515738	1.69197	1.95304	0.219237
100	0.227007	0.00571529	0.0187272	0.402293	6.7861	0.0151704	1.80964	0.00212616	5.1771	0.343203	0.515536	1.69846	1.96245	0.219493
