Time	[RuBP]	[E]	[ER]	[EPP]	[EPG]	[EP]	[EOP]	[PGA]	[TP]	[GAP]	[DHAP]	[FBP]	[HeP]	[F6P]	[G6P]	[G1P]	[E4P]	[SBP]	[S7P]	[PeP]	[X5P]	[R5P]	[Ru5P]	[ADPG]	[ATP]	[ADP]	[Pi]	[PiPi]	[H]	[CO2]	[O2]	[NADPH]	[NADP]	[PGAc]	[TPc]	[GAPc]	[DHAPc]	[FBPc]	[F26BPc]	[HePc]	[F6Pc]	[G6Pc]	[G1Pc]	[UDPGc]	[UTPc]	[UDPc]	[ATPc]	[ADPc]	[SucPc]	[Succ]	[Pic]	[PiPic]	[Hc]
0	0.002	9.2303e-06	0.001201	0.0002711	0.0003206	0.0007045	0.0002966	0.0024	0.0005	0.000249909	0.000250091	0.00067	0.0022	0.000733423	0.000733542	0.000733035	5e-05	0.0003	0.002	0.00025	8.33233e-05	8.33492e-05	8.33275e-05	6.295e-06	0.00068	0.00082	0.0109929	1e-06	0.0891251	4.36233e-06	0.00026	0.00021	0.00029	0	0.0023	0.00114958	0.00115042	0.002	7.8e-09	0.0058	0.00193357	0.00193388	0.00193255	0.00057	0.00036	0.00064	0.00036	0.00064	0	0	0.00157545	4e-05	0.158489
1	0.00476823	1.35427e-05	0.00100677	0.000236146	0.000254334	0.000629794	0.000662442	0.00164121	0.00491198	0.00245509	0.00245688	7.10808e-06	0.00075371	0.000251267	0.000251308	0.000251134	0.00171739	4.8656e-06	5.66092e-05	0.00104882	0.000349564	0.000349672	0.000349581	0.00012347	0.00139463	0.000105369	0.00408812	1e-06	0.0891251	4.76082e-06	0.00026	0.00021	0.00029	0.000688247	0.00399347	0.00199601	0.00199747	3.99458e-06	2.08498e-07	0.00368974	0.00123006	0.00123026	0.00122941	0.00255861	0.00036	0.00064	0.00036	0.00064	3.56667e-06	0	0.00330383	4e-05	0.158489
2	0.00424677	1.41425e-05	0.000977285	0.000237291	0.000260623	0.000649142	0.000664547	0.0017418	0.00630116	0.00314943	0.00315173	1.15433e-05	0.000469944	0.000156667	0.000156693	0.000156584	0.0018195	6.42531e-06	3.11527e-05	0.000792305	0.00026407	0.000264152	0.000264083	9.32363e-05	0.00140937	9.06291e-05	0.00407417	1e-06	0.0891251	4.8306e-06	0.00026	0.00021	0.00029	0.000738429	0.00453951	0.00226893	0.00227058	5.16156e-06	2.95534e-07	0.0022303	0.000743525	0.000743646	0.000743132	0.00389584	0.00036	0.00064	0.00036	0.00064	3.18715e-06	0	0.00282786	4e-05	0.158489
3	0.00389285	1.50009e-05	0.000930074	0.000230882	0.000247776	0.000677684	0.000701614	0.00186601	0.0070802	0.00353881	0.00354139	1.44345e-05	0.000394884	0.000131644	0.000131666	0.000131575	0.00178635	7.02083e-06	2.77081e-05	0.000754891	0.0002516	0.000251678	0.000251613	9.6066e-05	0.00140622	9.37825e-05	0.00403114	1e-06	0.0891251	4.94841e-06	0.00026	0.00021	0.00029	0.000748196	0.00483723	0.00241773	0.0024195	5.85983e-06	3.33453e-07	0.00145231	0.000484163	0.000484242	0.000483907	0.00457209	0.00036	0.00064	0.00036	0.00064	2.52771e-06	0	0.00262138	4e-05	0.158489
4	0.00373816	1.54981e-05	0.00091164	0.000228001	0.000240738	0.000694901	0.000712253	0.00192896	0.00745305	0.00372517	0.00372789	1.59128e-05	0.000372374	0.00012414	0.00012416	0.000124074	0.00178161	7.33818e-06	2.68805e-05	0.000747072	0.000248994	0.000249071	0.000249006	9.89381e-05	0.00140365	9.6354e-05	0.00393936	1e-06	0.0891251	4.99659e-06	0.00026	0.00021	0.00029	0.000758923	0.0050176	0.00250789	0.00250972	6.30382e-06	3.49028e-07	0.00113687	0.000379004	0.000379066	0.000378803	0.00480749	0.00036	0.00064	0.00036	0.00064	2.04878e-06	0	0.00250991	4e-05	0.158489
5	0.00367981	1.57662e-05	0.000909052	0.000227406	0.000238839	0.000706145	0.000705822	0.00196213	0.00762557	0.0038114	0.00381418	1.66189e-05	0.000369535	0.000123193	0.000123213	0.000123128	0.0017954	7.54842e-06	2.69629e-05	0.000751091	0.000250334	0.000250411	0.000250346	0.000101162	0.00140178	9.82196e-05	0.00382686	1e-06	0.0891251	5.00345e-06	0.00026	0.00021	0.00029	0.00077158	0.00514472	0.00257142	0.0025733	6.62639e-06	3.55015e-07	0.00102733	0.000342484	0.00034254	0.000342303	0.00484902	0.00036	0.00064	0.00036	0.00064	1.84706e-06	0	0.00243771	4e-05	0.158489
6	0.00366306	1.59218e-05	0.0009135	0.00022787	0.000239469	0.00071476	0.000691509	0.00198366	0.00771126	0.00385423	0.00385704	1.69763e-05	0.00037397	0.000124672	0.000124692	0.000124606	0.00181417	7.70248e-06	2.73963e-05	0.000760382	0.00025343	0.000253509	0.000253443	0.000103087	0.00140025	9.97526e-05	0.003708	1e-06	0.0891251	4.99167e-06	0.00026	0.00021	0.00029	0.000785841	0.00524952	0.0026238	0.00262572	6.89838e-06	3.56844e-07	0.000987904	0.000329342	0.000329395	0.000329167	0.00482528	0.00036	0.00064	0.00036	0.00064	1.7747e-06	0	0.00238134	4e-05	0.158489
7	0.00366328	1.60266e-05	0.000920725	0.000228759	0.000241156	0.000722274	0.000674088	0.00200099	0.00776149	0.00387933	0.00388216	1.71882e-05	0.00038088	0.000126975	0.000126996	0.000126908	0.00183229	7.82312e-06	2.79627e-05	0.000771959	0.000257289	0.000257369	0.000257302	0.000104916	0.00139885	0.000101151	0.00358905	1e-06	0.0891251	4.97268e-06	0.00026	0.00021	0.00029	0.000801228	0.00534495	0.0026715	0.00267345	7.15077e-06	3.5647e-07	0.000969721	0.00032328	0.000323333	0.000323109	0.00478238	0.00036	0.00064	0.00036	0.00064	1.74499e-06	0	0.00233112	4e-05	0.158489
8	0.00366996	1.61087e-05	0.000928871	0.00022979	0.000243229	0.000729293	0.000655738	0.00201683	0.00779754	0.00389735	0.00390019	1.73411e-05	0.000388462	0.000129503	0.000129524	0.000129435	0.00184837	7.92328e-06	2.85758e-05	0.000784463	0.000261456	0.000261537	0.000261469	0.000106734	0.0013975	0.000102497	0.00347284	1e-06	0.0891251	4.95152e-06	0.00026	0.00021	0.00029	0.000817273	0.00543599	0.002717	0.00271898	7.39569e-06	3.54577e-07	0.000957746	0.000319288	0.00031934	0.000319119	0.00473451	0.00036	0.00064	0.00036	0.00064	1.72792e-06	0	0.00228342	4e-05	0.158489
9	0.00367869	1.61804e-05	0.000937152	0.000230845	0.000245398	0.000736025	0.000637429	0.002032	0.00782779	0.00391247	0.00391532	1.74696e-05	0.000396066	0.000132038	0.00013206	0.000131968	0.00186244	8.01048e-06	2.92004e-05	0.000797251	0.000265718	0.000265801	0.000265732	0.000108572	0.00139618	0.000103819	0.00336074	1e-06	0.0891251	4.93025e-06	0.00026	0.00021	0.00029	0.000833603	0.00552436	0.00276117	0.00276319	7.63733e-06	3.5145e-07	0.000947631	0.000315916	0.000315967	0.000315749	0.00468579	0.00036	0.00064	0.00036	0.00064	1.71448e-06	0	0.00223708	4e-05	0.158489
