Time	[w]	[IFNb_mRNA]	[IFNb_env]	[STATP2n]	[SOCS1m]	[IRF7m]	[IRF7Pn]	[IFNa_mRNA]	[IFNa_env]	[TNFam]	[TNFenv]	[STATm]	[STAT]
29	0	0.000123759	3.36407e-11	2.46127e-15	7.24276e-10	1.40531e-19	1.6699e-15	4.85707e-12	2.24152e-12	5.82481e-05	0.00011929	1.57445e-08	0.0268199
30	0	0.000122385	3.37428e-11	2.44784e-15	7.24072e-10	1.39845e-19	1.72037e-15	5.01962e-12	2.3891e-12	5.88921e-05	0.000121144	1.57445e-08	0.0256143
31	0	0.000121343	3.38439e-11	2.4336e-15	7.24299e-10	1.39109e-19	1.77059e-15	5.18159e-12	2.54154e-12	5.95459e-05	0.000123019	1.57445e-08	0.0244631
32	0	0.000120554	3.39443e-11	2.41855e-15	7.24282e-10	1.38326e-19	1.82053e-15	5.34291e-12	2.69881e-12	6.02078e-05	0.000124914	1.57445e-08	0.0233639
33	0	0.000119956	3.40441e-11	2.4027e-15	7.23956e-10	1.37498e-19	1.87019e-15	5.5035e-12	2.86088e-12	6.08765e-05	0.00012683	1.57445e-08	0.0223144
34	0	0.000119502	3.41435e-11	2.38606e-15	7.24186e-10	1.36622e-19	1.91953e-15	5.6633e-12	3.02775e-12	6.15512e-05	0.000128767	1.57445e-08	0.0213123
35	0	0.000119159	3.42426e-11	2.36863e-15	7.24222e-10	1.35702e-19	1.96856e-15	5.82223e-12	3.19937e-12	6.22311e-05	0.000130726	1.57445e-08	0.0203554
36	0	0.000118899	3.43414e-11	2.35041e-15	7.24241e-10	1.34737e-19	2.01724e-15	5.98026e-12	3.37574e-12	6.2916e-05	0.000132705	1.57445e-08	0.0194417
37	0	0.000118701	3.444e-11	2.33141e-15	7.24245e-10	1.33726e-19	2.06557e-15	6.13731e-12	3.55681e-12	6.36054e-05	0.000134706	1.57445e-08	0.0185693
38	0	0.000118552	3.45385e-11	2.31163e-15	7.24245e-10	1.32672e-19	2.11353e-15	6.29334e-12	3.74256e-12	6.42991e-05	0.000136728	1.57445e-08	0.0177363
