Time	[DC]	[IC]	[ICS]	[HBS]	[IBS]	[EBS]	[HFC]	[EC]	[INHDLS]	[NHDL]	[PFC]	[HCS]	[HCE]	[ACAT]	[CEH]	[HNHDLS]	[VLDLC]	[HLDLRs]	[HLDLRsS]	[HLDLRD]	[IDLC]	[LPL]	[LDLC]	[HSL]	[PLDLRs]	[PLDLRsS]	[PLDLRD]	[PCE]	[PSS]	[HDLC]	[LCAT]	[PCS]	[CETP]	[SRB1]
0	304	3150	0	400	467	0	60000	0	0	100	57516	0	10000	100	100	0	20	100	600	0	20	100	100	100	100	575.16	0	9363	0	45	100	0	100	100
1	304	3148.08	0	399.93	466.374	399.394	59913.5	776.682	0	3.66667	57576.7	0	9988.95	100	100	0	23.48	100.001	600	1	26.5342	100	135.624	100	100	575.16	1	9370.73	28.7523	52.1095	100	0	100	100
2	304	3144.51	0	399.57	465.964	798.438	59794.9	1552.02	0	3.66667	57719.1	0	9969.17	100	100	0	23.433	100.003	600	2.00002	26.4798	100	135.247	100	99.9979	575.16	2	9393.94	57.5763	52.0213	100	0	100	100
3	304	3139.88	0	399.194	465.527	1197.12	59680	2325.62	0	3.66667	57859.9	0	9950.02	100	100	0	23.3932	100.007	600	3.00007	26.4348	100	135.014	100	99.9932	575.16	2.99995	9416.88	86.4711	52.148	100	0	100	100
4	304	3134.75	0	398.818	465.088	1595.42	59568.9	3097.29	0	3.66667	57999.1	0	9931.48	100	100	0	23.3548	100.014	600	4.00017	26.3914	100	134.788	100	99.9862	575.16	3.99985	9439.57	115.436	52.2738	100	0	100	100
5	304	3129.41	0	398.45	464.657	1993.35	59461.2	3866.94	0	3.66667	58136.8	0	9913.53	100	100	0	23.3176	100.022	600	5.00035	26.3494	100	134.566	100	99.9769	575.16	4.99967	9462.01	144.47	52.3981	100	0	100	100
6	304	3124.03	0	398.09	464.236	2390.92	59356.9	4634.57	0	3.66667	58272.9	0	9896.14	100	100	0	23.2817	100.031	600	6.00061	26.3087	100	134.351	100	99.9653	575.16	5.99938	9484.19	173.572	52.5211	100	0	100	100
7	304	3118.67	0	397.742	463.827	2788.13	59255.8	5400.19	0	3.66667	58407.5	0	9879.29	100	100	0	23.2469	100.043	600	7.00098	26.2694	100	134.14	100	99.9516	575.16	6.99897	9506.13	202.743	52.6427	100	0	100	100
8	304	3113.39	0	397.403	463.43	3184.99	59157.9	6163.85	0	3.66667	58540.6	0	9862.96	100	100	0	23.2133	100.055	600	8.00146	26.2314	100	133.934	100	99.9358	575.16	7.99841	9527.82	231.98	52.7629	100	0	100	100
9	304	3108.21	0	397.074	463.044	3581.52	59063	6925.58	0	3.66667	58672.2	0	9847.14	100	100	0	23.1807	100.07	600	9.00209	26.1946	100	133.732	100	99.9179	575.16	8.99768	9549.27	261.283	52.8818	100	0	100	100
