Time	[Extracellular glucose]	[Cytosolic glucose]	[ATP]	[Glucose-6-Phosphate]	[ADP]	[Fructose-6-Phosphate]	[Glyceraldehyde 3-phosphate]	[Dihydroxyacetone phosphate]	[NAD]	[NADH]	[Phosphoenolpyruvate]	[Pyruvate]	[Acetaldehyde]	[EtOH]	[Extracellular ethanol]	[Glycerol]	[Extracellular glycerol]	[Extracellular acetaldehyde]	[Extracellular cyanide]	[AMP]	[P]	[Mixed flow cyanide]	[Mixed flow glucose]
0	6.7	0.573074	2.1	4.2	1.5	0.49	0.115	2.95	0.65	0.33	0.04	8.7	1.48153	19.2379	16.4514	4.196	1.68478	1.28836	5.20358	0.33	0	5.6	24
1	6.66447	2.76329	1.97831	4.13018	1.56846	0.476199	0.127062	3.23187	0.619014	0.360986	0.0410527	9.48342	1.45576	19.2807	16.4576	4.39772	1.68812	1.283	5.20362	0.383231	0	5.6	24
2	6.66571	2.69862	2.19214	4.43347	1.44473	0.52094	0.123805	3.17265	0.637129	0.342871	0.040808	10.3232	1.46906	19.2733	16.4658	4.48655	1.69584	1.2783	5.20373	0.29313	0	5.6	24
3	6.66522	2.75455	1.97995	4.15448	1.5676	0.478948	0.127517	3.2431	0.618355	0.361645	0.0411075	11.0439	1.45689	19.2976	16.4729	4.48913	1.70398	1.27621	5.20388	0.382459	0	5.6	24
4	6.66627	2.69764	2.20245	4.44248	1.43835	0.522566	0.123638	3.17017	0.638191	0.341809	0.0408102	11.7073	1.47221	19.2889	16.4807	4.51409	1.71206	1.27481	5.20406	0.289202	0	5.6	24
5	6.66572	2.75477	1.97214	4.15102	1.57182	0.478229	0.12726	3.23695	0.618693	0.361307	0.0411147	12.2706	1.46049	19.3134	16.4873	4.49895	1.71946	1.27525	5.20422	0.386039	0	5.6	24
6	6.66677	2.69667	2.2115	4.45115	1.43272	0.524088	0.123247	3.16247	0.639713	0.340287	0.0408043	12.8143	1.47709	19.3038	16.4948	4.52156	1.72661	1.27559	5.20438	0.285776	0	5.6	24
7	6.66617	2.75571	1.96535	4.14581	1.57547	0.477364	0.126961	3.23012	0.619219	0.360781	0.0411249	13.272	1.46514	19.3288	16.5011	4.50194	1.73304	1.27738	5.20451	0.38918	0	5.6	24
8	6.66725	2.69464	2.21938	4.46261	1.42782	0.525858	0.122714	3.15131	0.641512	0.338488	0.0407928	13.7311	1.48295	19.3179	16.5083	4.52407	1.73923	1.27861	5.20461	0.282806	0	5.6	24
9	6.66659	2.75768	1.96019	4.13819	1.57822	0.476302	0.126701	3.22445	0.619767	0.360233	0.0411395	14.1143	1.47017	19.344	16.5142	4.50215	1.74471	1.28108	5.20468	0.391592	0	5.6	24
10	6.66772	2.69123	2.22552	4.47762	1.42399	0.527927	0.122054	3.13694	0.643504	0.336496	0.0407744	14.5079	1.48934	19.3313	16.5212	4.52319	1.75001	1.28275	5.20472	0.280489	0	5.6	24
