Time	[EpoRJAK2]	[EpoRpJAK2]	[p1EpoRpJAK2]	[p2EpoRpJAK2]	[p12EpoRpJAK2]	[EpoRJAK2_CIS]	[SHP1]	[SHP1Act]	[STAT5]	[pSTAT5]	[npSTAT5]	[CISnRNA1]	[CISnRNA2]	[CISnRNA3]	[CISnRNA4]	[CISnRNA5]	[CISRNA]	[CIS]	[SOCS3nRNA1]	[SOCS3nRNA2]	[SOCS3nRNA3]	[SOCS3nRNA4]	[SOCS3nRNA5]	[SOCS3RNA]	[SOCS3]	[Epo]
11	3.04455	0.169887	0.0408122	0.256607	0.464361	-2.05735e-27	26.6606	0.0644607	19.4834	52.316	11.5696	406.659	124.733	30.7475	6.35383	1.13407	0.000112802	0.000513893	0.00101179	0.000880938	0.000742763	0.000603104	0.000469488	0.000696595	0.12096	1.24997e-07
12	3.12268	0.170437	0.0395593	0.237857	0.405686	-1.17107e-27	26.6552	0.0698921	19.7566	51.272	12.6907	493.725	168.725	46.3813	10.6745	2.11741	0.000210628	0.0010808	0.00113345	0.00101414	0.000885183	0.000749911	0.000613752	0.00108554	0.188499	1.24997e-07
13	3.19213	0.170977	0.0385851	0.223223	0.351304	1.11895e-27	26.6503	0.0747843	20.1139	50.2264	13.6919	581.418	218.583	66.2507	16.8098	3.67186	0.000365281	0.00209471	0.00124271	0.00113498	0.00101681	0.00088978	0.000757229	0.00157653	0.27376	1.24997e-07
14	3.25173	0.171285	0.0377499	0.211583	0.303871	1.21787e-27	26.6459	0.0792051	20.5423	49.1862	14.5818	668.305	273.5	90.5207	25.0988	5.98871	0.000595798	0.00379147	0.00134035	0.00124372	0.00113668	0.00101975	0.000894638	0.00216607	0.376134	1.24997e-07
15	3.30192	0.171284	0.0369739	0.201995	0.26405	8.83182e-28	26.6419	0.0832234	21.0314	48.156	15.3689	753.247	332.603	119.22	35.8479	9.2771	0.000922993	0.00647734	0.00142715	0.00134097	0.00124481	0.00113857	0.00102292	0.00284769	0.494498	1.24997e-07
16	3.3439	0.170978	0.036218	0.193773	0.23135	8.20897e-28	26.6382	0.0869016	21.5725	47.1392	16.0608	835.352	395.001	152.255	49.3173	13.7562	0.00136868	0.0105334	0.00150392	0.00142748	0.00134164	0.001246	0.00114061	0.00361337	0.627458	1.24997e-07
17	3.37912	0.170409	0.0354669	0.186468	0.20476	1.01315e-28	26.6348	0.0902927	22.1578	46.1384	16.665	913.936	459.819	189.424	65.7119	19.6469	0.00195485	0.016417	0.00157141	0.001504	0.00142782	0.00134236	0.0012473	0.00445449	0.77352	1.24997e-07
18	3.40893	0.169631	0.0347181	0.179804	0.183142	-1.02559e-27	26.6317	0.0934395	22.781	45.1554	17.1885	988.492	526.22	230.439	85.1757	27.164	0.00270288	0.0246607	0.00163035	0.00157127	0.00150408	0.00142819	0.00134314	0.00536243	0.931186	1.24997e-07
19	3.43449	0.168696	0.0339742	0.173619	0.165443	-1.61944e-27	26.6287	0.0963763	23.4363	44.1914	17.6377	1058.66	593.42	274.938	107.789	36.5081	0.00363273	0.0358672	0.0016814	0.00163002	0.00157114	0.00150418	0.0014286	0.0063289	1.09901	1.24997e-07
20	3.45673	0.167648	0.0332396	0.167821	0.150783	-1.44024e-27	26.626	0.0991298	24.1186	43.2471	18.0186	1124.2	660.703	322.511	133.569	47.8594	0.00476235	0.0507033	0.0017252	0.0016809	0.00162969	0.001571	0.00150429	0.00734605	1.27565	1.24997e-07
21	3.47635	0.166523	0.0325187	0.162357	0.138467	-1.6376e-27	26.6234	0.101721	24.8238	42.323	18.337	1184.97	727.423	372.708	162.473	61.3719	0.00610706	0.0698905	0.00176235	0.00172456	0.0016804	0.00162936	0.00157088	0.0084066	1.45981	1.24997e-07
22	3.4939	0.165346	0.0318146	0.157192	0.127966	-1.46987e-27	26.6209	0.104168	25.548	41.4193	18.5981	1240.93	793.009	425.059	194.401	77.1689	0.00767915	0.0941943	0.00179339	0.00176157	0.00172391	0.0016799	0.00162903	0.0095038	1.65034	1.24997e-07
23	3.50976	0.164138	0.0311297	0.152306	0.118887	-1.16146e-27	26.6186	0.106483	26.2878	40.536	18.8068	1292.07	856.964	479.088	229.202	95.3404	0.00948757	0.124412	0.00181883	0.00179249	0.00176078	0.00172325	0.0016794	0.0106314	1.84616	1.24997e-07
24	3.52422	0.162913	0.0304656	0.147679	0.110938	-9.67271e-28	26.6164	0.108678	27.0403	39.673	18.9676	1338.46	918.863	534.316	266.683	115.941	0.0115377	0.161362	0.00183916	0.00181783	0.00179159	0.00176	0.00172261	0.0117838	2.04627	1.24997e-07
25	3.53751	0.161682	0.0298232	0.143297	0.103904	-7.93952e-28	26.6143	0.110763	27.8027	38.8301	19.0847	1380.21	978.351	590.281	306.613	138.988	0.0138315	0.205865	0.00185481	0.00183806	0.00181682	0.00179069	0.00175922	0.0129557	2.24977	1.24997e-07
26	3.54979	0.160453	0.0292027	0.139146	0.0976253	-6.31497e-28	26.6124	0.112745	28.5727	38.0069	19.162	1417.46	1035.14	646.537	348.728	164.465	0.016367	0.25874	0.0018662	0.00185363	0.00183696	0.00181582	0.00178978	0.0141423	2.45583	1.24997e-07
27	3.56119	0.159231	0.0286043	0.135212	0.0919807	-5.23338e-28	26.6105	0.114632	29.3481	37.2032	19.2031	1450.38	1088.99	702.664	392.745	192.319	0.0191391	0.320783	0.0018737	0.00186495	0.00185245	0.00183587	0.00181481	0.0153393	2.6637	1.24997e-07
28	3.57181	0.158022	0.0280277	0.131483	0.0868767	-4.39903e-28	26.6087	0.11643	30.127	36.4187	19.2113	1479.13	1139.73	758.272	438.363	222.465	0.0221394	0.392759	0.00187767	0.00187239	0.0018637	0.00185128	0.00183477	0.0165428	2.87269	1.24997e-07
29	3.58173	0.156828	0.0274726	0.127948	0.0822398	-3.24409e-28	26.607	0.118145	30.9076	35.6529	19.1898	1503.93	1187.23	813	485.27	254.789	0.0253565	0.475391	0.00187843	0.0018763	0.00187108	0.00186245	0.0018501	0.0177492	3.08218	1.24997e-07
30	3.59102	0.155653	0.0269385	0.124596	0.078011	-2.60716e-28	26.6053	0.119782	31.6884	34.9055	19.1412	1524.97	1231.41	866.527	533.152	289.149	0.0287763	0.569352	0.00187628	0.00187701	0.00187494	0.00186977	0.0018612	0.0189552	3.29161	1.24997e-07
31	3.59974	0.154499	0.026425	0.121415	0.0741418	-2.40581e-28	26.6038	0.121346	32.4679	34.1761	19.0684	1542.45	1272.22	918.561	581.695	325.381	0.0323824	0.675249	0.00187149	0.00187482	0.0018756	0.00187357	0.00186846	0.0201579	3.50046	1.24997e-07
