Time	[EpoRJAK2]	[EpoRpJAK2]	[p1EpoRpJAK2]	[p2EpoRpJAK2]	[p12EpoRpJAK2]	[EpoRJAK2_CIS]	[SHP1]	[SHP1Act]	[STAT5]	[pSTAT5]	[npSTAT5]	[CISnRNA1]	[CISnRNA2]	[CISnRNA3]	[CISnRNA4]	[CISnRNA5]	[CISRNA]	[CIS]	[SOCS3nRNA1]	[SOCS3nRNA2]	[SOCS3nRNA3]	[SOCS3nRNA4]	[SOCS3nRNA5]	[SOCS3RNA]	[SOCS3]	[Epo]
74	3.74262	0.126556	0.0163501	0.0662098	0.0244818	-2.9573e-29	26.5724	0.152725	57.4383	15.2229	10.3161	1009.43	1130.96	1244.99	1332.52	1372.58	0.136617	14.6078	0.00102567	0.0010422	0.00105904	0.00107617	0.00109361	0.0541165	9.39749	1.24997e-07
75	3.74362	0.126287	0.0162698	0.0658178	0.0242297	-5.01271e-29	26.5721	0.153034	57.7938	14.9853	10.1445	992.765	1113.42	1228.41	1319.58	1366.29	0.135992	14.9791	0.00100856	0.00102477	0.00104128	0.0010581	0.00107522	0.0544592	9.45699	1.24997e-07
76	3.74457	0.126028	0.016193	0.0654432	0.02399	-9.71344e-29	26.5718	0.153335	58.1407	14.754	9.97642	976.368	1096.03	1211.71	1306.14	1359.08	0.135273	15.3449	0.000991787	0.00100768	0.00102387	0.00104037	0.00105716	0.0547857	9.5137	1.24997e-07
77	3.74547	0.125779	0.0161194	0.0650853	0.023762	-1.45671e-28	26.5715	0.153627	58.4791	14.5288	9.8118	960.24	1078.78	1194.92	1292.26	1350.99	0.134469	15.7048	0.00097536	0.000990931	0.0010068	0.00102298	0.00103945	0.0550965	9.56767	1.24997e-07
78	3.74634	0.125541	0.0160491	0.0647434	0.0235452	-1.8544e-28	26.5712	0.15391	58.8092	14.3095	9.65063	944.385	1061.71	1178.09	1277.98	1342.09	0.133583	16.0587	0.000959271	0.000974523	0.000990075	0.00100593	0.00102208	0.055392	9.61898	1.24997e-07
79	3.74717	0.125312	0.0159818	0.0644168	0.0233389	-2.57058e-28	26.5709	0.154186	59.1311	14.0961	9.49287	928.806	1044.82	1161.24	1263.35	1332.44	0.132623	16.4063	0.00094352	0.000958454	0.000973687	0.00098922	0.00100505	0.0556724	9.66768	1.24997e-07
80	3.74796	0.125093	0.0159174	0.0641049	0.0231428	-3.78778e-28	26.5706	0.154454	59.445	13.8883	9.33851	913.505	1028.12	1144.39	1248.42	1322.1	0.131594	16.7474	0.000928102	0.000942722	0.000957638	0.000972853	0.000988367	0.0559383	9.71384	1.24997e-07
81	3.74872	0.124883	0.0158559	0.0638071	0.0229562	-5.31603e-28	26.5704	0.154715	59.7511	13.686	9.18751	898.485	1011.63	1127.58	1233.24	1311.13	0.130501	17.0817	0.000913017	0.000927324	0.000941925	0.000956823	0.000972019	0.0561899	9.75754	1.24997e-07
82	3.74944	0.124681	0.0157971	0.0635228	0.0227787	-7.18253e-28	26.5701	0.154969	60.0495	13.4892	9.03983	883.747	995.362	1110.83	1217.84	1299.57	0.129351	17.4093	0.000898259	0.000912257	0.000926546	0.00094113	0.000956009	0.0564276	9.79882	1.24997e-07
83	3.75013	0.124488	0.0157408	0.0632514	0.0226099	-8.25717e-28	26.5699	0.155216	60.3403	13.2976	8.89543	869.291	979.317	1094.15	1202.27	1287.48	0.128148	17.7298	0.000883827	0.000897518	0.000911498	0.00092577	0.000940335	0.0566519	9.83776	1.24997e-07
84	3.75079	0.124304	0.0156872	0.0629925	0.0224494	-7.34913e-28	26.5696	0.155456	60.6238	13.1111	8.75428	855.117	963.506	1077.58	1186.55	1274.91	0.126897	18.0432	0.000869715	0.000883103	0.000896777	0.00091074	0.000924994	0.0568629	9.87441	1.24997e-07
85	3.75141	0.124127	0.0156359	0.0627456	0.0222968	-6.10838e-28	26.5694	0.15569	60.9001	12.9297	8.61634	841.225	947.935	1061.13	1170.73	1261.91	0.125603	18.3493	0.000855921	0.00086901	0.000882381	0.000896038	0.000909983	0.0570612	9.90884	1.24997e-07
86	3.75201	0.123958	0.015587	0.0625101	0.0221517	-5.34001e-28	26.5692	0.155918	61.1693	12.7532	8.48156	827.614	932.61	1044.81	1154.83	1248.53	0.124271	18.6482	0.000842441	0.000855233	0.000868305	0.000881659	0.000895299	0.057247	9.94111	1.24997e-07
87	3.75258	0.123796	0.0155403	0.0622856	0.0220137	-4.17591e-28	26.569	0.156141	61.4315	12.5814	8.34989	814.283	917.535	1028.65	1138.88	1234.8	0.122904	18.9396	0.000829269	0.000841769	0.000854545	0.000867601	0.000880938	0.0574206	9.97127	1.24997e-07
88	3.75313	0.123642	0.0154957	0.0620716	0.0218826	-3.18387e-28	26.5687	0.156358	61.687	12.4143	8.22129	801.23	902.714	1012.64	1122.92	1220.77	0.121508	19.2236	0.000816402	0.000828614	0.000841099	0.000853859	0.000866898	0.0575825	9.99938	1.24997e-07
89	3.75365	0.123495	0.0154533	0.0618678	0.021758	-2.62915e-28	26.5685	0.156569	61.9359	12.2518	8.09572	788.454	888.151	996.819	1106.96	1206.48	0.120085	19.5002	0.000803834	0.000815763	0.00082796	0.000840429	0.000853173	0.057733	10.0255	1.24997e-07
90	3.75414	0.123354	0.0154128	0.0616738	0.0216397	-2.42684e-28	26.5683	0.156776	62.1783	12.0937	7.97312	775.951	873.847	981.182	1091.03	1191.96	0.118641	19.7692	0.000791563	0.000803212	0.000815126	0.000827308	0.000839761	0.0578723	10.0497	1.24997e-07
91	3.75461	0.12322	0.0153743	0.0614892	0.0215274	-2.52084e-28	26.5681	0.156977	62.4144	11.9399	7.85346	763.72	859.805	965.743	1075.16	1177.26	0.117178	20.0307	0.000779582	0.000790957	0.000802591	0.00081449	0.000826656	0.0580007	10.072	1.24997e-07
92	3.75506	0.123092	0.0153376	0.0613135	0.0214207	-2.78151e-28	26.5679	0.157174	62.6442	11.7903	7.73666	751.758	846.026	950.511	1059.36	1162.41	0.1157	20.2848	0.000767888	0.000778991	0.000790351	0.000801971	0.000813854	0.0581187	10.0925	1.24997e-07
93	3.75548	0.12297	0.0153027	0.0611465	0.0213195	-2.84536e-28	26.5677	0.157367	62.868	11.6449	7.6227	740.062	832.51	935.492	1043.65	1147.44	0.114209	20.5313	0.000756474	0.000767312	0.000778401	0.000789746	0.000801351	0.0582265	10.1112	1.24997e-07
94	3.75589	0.122854	0.0152695	0.0609878	0.0212235	-2.84771e-28	26.5675	0.157555	63.0858	11.5035	7.51152	728.629	819.258	920.694	1028.05	1132.37	0.112709	20.7703	0.000745338	0.000755913	0.000766737	0.000777812	0.000789142	0.0583244	10.1282	1.24997e-07
95	3.75627	0.122744	0.015238	0.0608371	0.0211325	-2.72631e-28	26.5674	0.157738	63.2979	11.366	7.40306	717.455	806.268	906.123	1012.57	1117.24	0.111203	21.0019	0.000734473	0.000744791	0.000755353	0.000766163	0.000777223	0.0584126	10.1435	1.24997e-07
96	3.75663	0.122639	0.015208	0.0606941	0.0210463	-2.51059e-28	26.5672	0.157918	63.5043	11.2323	7.29729	706.537	793.541	891.783	997.23	1102.07	0.109694	21.2261	0.000723874	0.00073394	0.000744246	0.000754794	0.000765589	0.0584916	10.1572	1.24997e-07
97	3.75698	0.122539	0.0151796	0.0605585	0.0209647	-2.33158e-28	26.567	0.158094	63.7051	11.1024	7.19414	695.872	781.076	877.678	982.041	1086.89	0.108183	21.443	0.000713538	0.000723356	0.000733409	0.000743701	0.000754235	0.0585615	10.1694	1.24997e-07
98	3.75731	0.122445	0.0151527	0.06043	0.0208874	-2.12887e-28	26.5668	0.158267	63.9005	10.9761	7.09358	685.456	768.87	863.813	967.015	1071.72	0.106673	21.6525	0.000703458	0.000713033	0.000722838	0.000732878	0.000743156	0.0586227	10.18	1.24997e-07
99	3.75762	0.122355	0.0151272	0.0603083	0.0208144	-2.00106e-28	26.5667	0.158436	64.0907	10.8534	6.99554	675.285	756.922	850.188	952.162	1056.58	0.105166	21.8549	0.000693631	0.000702967	0.000712529	0.000722321	0.000732348	0.0586754	10.1892	1.24997e-07
100	3.75791	0.12227	0.0151031	0.0601932	0.0207453	-2.02911e-28	26.5665	0.158601	64.2756	10.7341	6.89999	665.355	745.231	836.808	937.492	1041.49	0.103664	22.0501	0.000684051	0.000693152	0.000702476	0.000712025	0.000721805	0.0587199	10.1969	1.24997e-07
