Time	[TNF{cytoplasm}]	[TNFR1]	[TRADD_TRAF2_RIP]	[IkB]	[NIK]	[IkK_NFkB]	[NFkB{cytoplasm}]	[MEKK1]	[MKK4/7]	[JNK{cytoplasm}]	[ASK]	[p38{cytoplasm}]	[LPG]	[CD14-TLR]	[MyD88]	[IRAK1/4]	[TRAF6]	[TAB2_TAK1_TAB1]	[MKK1/2]	[ERK1/2{cytoplasm}]	[MKK3/6]	[EGF]	[EGFR]	[PLC gamma]	[PIP2]	[DAG]	[PKC]	[PI3K]	[Akt{cytoplasm}]	[Shc/Grb2/Sos1]	[Ras]	[Raf]	[JAK]	[STAT1/3{cytoplasm}]	[NFkB{nucleus}]	[JNK{nucleus}]	[cjun]	[p38{nucleus}]	[cfos]	[ERK1/2{nucleus}]	[Akt{nucleus}]	[STAT1/3{nucleus}]	[TNF{nucleus}]
0	1.5	1.3	1.3	0.8	1.5	1.4	1.2	1.4	1.2	1.2	1.5	0.9	1.5	1.5	0.85	1	1.1	1.3	1.1	0.8	1.5	1.6	1.3	1.6	1.45	0.9	1.5	1.6	1.2	0.3	1.2	1.2	1.6	1.1	0.2	0.6	0.91	0.8	0.5	0	0	0	0
1	0.770746	1.05328	1.26146	1.14184	1.16314	1.07848	1.39035	1.01632	1.32298	1.30808	1.25021	1.25923	0.823217	0.468809	1.54931	1.36792	1.19649	0.830354	0.877828	1.13531	1.31317	0.878099	1.46411	1.2484	1.07542	1.24603	0.203335	1.33322	1.33971	0.657567	1.3795	1.35964	1.13044	1.34008	0.786441	0.770028	1.50781	0.73071	1.67869	0.412323	0.255043	0.233897	0.800998
2	0.938169	0.921189	0.957813	1.36856	0.805444	0.453159	1.36976	0.653003	1.40618	1.37213	0.994697	1.38834	0.451791	0.209324	1.18274	1.54685	1.39351	0.481573	0.683593	1.32924	1.12659	0.481911	1.30927	0.936329	0.715626	1.44336	0.0820039	1.10273	1.42058	0.979334	1.28878	1.22408	0.752458	1.45504	1.11571	0.9301	2.1669	0.868304	2.87591	0.934003	0.531966	0.501296	1.26064
3	1.17834	1.04887	0.754268	1.47484	0.435971	0.168474	1.15961	0.331309	1.41524	1.40905	0.725446	1.4317	0.247948	0.108388	0.784593	1.42306	1.51662	0.278862	0.510018	1.42113	0.938882	0.264478	1.04973	0.670536	0.40176	1.5034	0.0871966	0.902155	1.45231	1.218	1.20979	1.08882	0.470552	1.46223	1.18234	1.075	2.87137	1.04269	4.11573	1.51467	0.820001	0.779968	1.46465
4	1.31563	1.21698	0.774118	1.3842	0.183174	0.142617	0.994346	0.121067	1.29826	1.4265	0.459729	1.44157	0.136077	0.0586062	0.49298	1.16235	1.50093	0.17367	0.369831	1.43506	0.746297	0.145149	0.785263	0.456151	0.184684	1.41931	0.0831918	0.727777	1.44308	1.367	1.14979	0.97137	0.27789	1.38655	0.985578	1.20247	3.60967	1.2075	5.3893	2.11686	1.11016	1.05168	1.50559
5	1.34106	1.31703	0.922927	1.10864	0.114145	0.120549	0.914269	0.0544244	1.04693	1.42493	0.232472	1.43488	0.0746806	0.0320449	0.300437	0.881542	1.36964	0.104657	0.270794	1.3907	0.537935	0.0796593	0.557591	0.294414	0.0833216	1.21863	0.0700363	0.576789	1.4	1.43704	1.0942	0.863094	0.156945	1.25834	0.751364	1.30966	4.37319	1.34967	6.68655	2.71194	1.39498	1.30353	1.44438
6	1.28691	1.3302	1.08736	0.820306	0.0952032	0.0923642	0.825915	0.0480426	0.756576	1.40107	0.0954754	1.40718	0.0409856	0.0175705	0.179364	0.63575	1.17285	0.0513714	0.205817	1.30932	0.283815	0.043718	0.379338	0.181063	0.0447963	0.985074	0.0543841	0.447168	1.3295	1.44472	1.03473	0.759087	0.0860905	1.10641	0.558936	1.39116	5.15488	1.46018	7.99993	3.27988	1.66833	1.52837	1.32881
7	1.18376	1.27417	1.18927	0.582876	0.0824282	0.0677083	0.716974	0.0506682	0.481253	1.34709	0.0693709	1.28398	0.0224934	0.00964073	0.105477	0.442102	0.955842	0.0237366	0.158043	1.20725	0.0755709	0.0239929	0.248954	0.107068	0.0261047	0.771345	0.0408527	0.337743	1.23765	1.40709	0.970024	0.659848	0.0464901	0.952011	0.405072	1.43808	5.94806	1.49796	9.32236	3.80893	1.92535	1.72383	1.18148
8	1.0497	1.17052	1.1836	0.420994	0.0752746	0.0496389	0.601305	0.0519599	0.258504	1.24287	0.0682368	1.1073	0.0123446	0.00529065	0.0613125	0.299088	0.749151	0.0127897	0.120104	1.09148	0.0577565	0.0131676	0.158637	0.0615437	0.0151238	0.590577	0.0301941	0.247855	1.13055	1.33899	0.901726	0.56775	0.0249501	0.807608	0.287173	1.43415	6.74517	1.36708	10.64	4.29205	2.16238	1.89078	1.01332
9	0.899218	1.03638	1.05172	0.326718	0.0686045	0.038124	0.498892	0.0498061	0.135357	1.07387	0.0666008	1.02493	0.00677487	0.00290353	0.0353162	0.198025	0.569042	0.00757571	0.0912322	0.968138	0.0547797	0.00722653	0.0987795	0.0347255	0.00859384	0.443902	0.0220621	0.176661	1.01441	1.2522	0.831918	0.484748	0.0133836	0.678883	0.206364	1.35324	7.53543	1.13457	11.9334	4.7247	2.37697	2.03172	0.842152
