Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p53_P]	[Mdm2_P]	[IR]	[ROS]	[basalROS]	[damDNA]	[E1]	[E2]	[E1_Ub]	[E2_Ub]	[Proteasome]	[Ub]	[p53DUB]	[Mdm2DUB]	[DUB]	[Mdm2_p53_Ub]	[Mdm2_p53_Ub2]	[Mdm2_p53_Ub3]	[Mdm2_p53_Ub4]	[Mdm2_P1_p53_Ub4]	[Mdm2_Ub]	[Mdm2_Ub2]	[Mdm2_Ub3]	[Mdm2_Ub4]	[Mdm2_P_Ub]	[Mdm2_P_Ub2]	[Mdm2_P_Ub3]	[Mdm2_P_Ub4]	[p53_Ub4_Proteasome]	[Mdm2_Ub4_Proteasome]	[Mdm2_P_Ub4_Proteasome]	[GSK3b]	[GSK3b_p53]	[GSK3b_p53_P]	[Abeta]	[AggAbeta_Proteasome]	[AggAbeta]	[AbetaPlaque]	[Tau]	[Tau_P1]	[Tau_P2]	[MT_Tau]	[AggTau]	[AggTau_Proteasome]	[Proteasome_Tau]	[PP1]	[NFT]	[ATP]	[ADP]	[AMP]	[Source]	[Sink]
0	5	5	95	10	10	0	200	0	0	0	0	10	0	100	100	0	0	500	4000	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	100	0	0	0	50	0	10000	1000	1000	1	0
1	4.97711	5.03717	95.0242	9.99751	10	9.99827e-11	200	2.97088e-14	2.94431e-10	0	-5.21493e-22	10	9.9999e-09	60.6424	97.8509	39.3576	2.14905	500	3958.49	200	200	200	0.00358021	1.35235e-05	3.40769e-08	5.35651e-11	1.09606e-11	1.71585e-05	2.95906e-08	3.40232e-11	2.93637e-14	7.56447e-16	8.66288e-19	7.45172e-22	5.14046e-25	8.25232e-16	2.36669e-18	3.36982e-29	499.995	0.00501356	7.5937e-18	1.25222e-07	-2.60486e-19	-2.08402e-16	5.20972e-20	0.00919979	0.000393246	1.23428e-05	99.9905	-4.87289e-11	-8.18211e-14	4.5438e-07	50	1.63642e-14	10000	1000	1000	1	0
2	4.95406	5.07423	95.0311	9.99505	10	3.99861e-10	200	2.13706e-13	2.09811e-09	0	-8.35441e-21	10	1.99996e-08	39.6765	93.015	60.3235	6.98496	500	3932.67	200	200	200	0.0239864	0.000615892	1.05885e-05	9.62355e-08	4.19526e-08	0.000115936	1.36532e-06	1.07358e-08	6.36403e-11	3.64316e-14	2.83666e-16	1.66294e-18	7.84479e-21	6.657e-12	1.07363e-14	1.07394e-24	499.99	0.0100541	1.11407e-16	5.01773e-07	-4.16887e-18	-1.66777e-15	8.33774e-19	0.0170264	0.0012615	7.40187e-05	99.9818	-1.90422e-10	-6.42011e-13	1.71544e-06	50	1.28402e-13	10000	1000	1000	1	0
3	4.93081	5.11119	95.012	9.9926	10	8.99532e-10	200	6.53766e-13	6.35603e-09	0	-4.23474e-20	10	2.99991e-08	28.2056	87.0712	71.7944	12.9288	500	3915.2	200	200	200	0.0665373	0.00489332	0.000242968	5.51761e-06	3.8558e-06	0.000329073	1.1208e-05	2.55793e-07	4.44691e-09	3.14705e-13	7.05618e-15	1.19616e-16	1.64746e-18	9.69014e-10	1.17706e-12	3.53162e-22	499.985	0.0151215	5.20096e-16	1.13097e-06	-2.11104e-17	-5.63053e-15	4.22208e-18	0.0238656	0.00232957	0.000190799	99.9739	-4.20792e-10	-2.1338e-12	3.66384e-06	50	4.2676e-13	10000	1000	1000	1	0
4	4.90735	5.14805	94.9639	9.99019	10	1.59889e-09	200	1.41495e-12	1.3618e-08	0	-1.34007e-19	10	3.99984e-08	21.6808	80.8426	78.3192	19.1574	500	3902.35	200	200	200	0.127063	0.0187542	0.00189455	7.72563e-05	7.72183e-05	0.000652758	4.5332e-05	2.12201e-06	7.69649e-08	1.35056e-12	6.14939e-14	2.12948e-15	6.08263e-17	2.7373e-08	2.8387e-11	1.8116e-20	499.98	0.0202157	1.5237e-15	2.01414e-06	-6.67364e-17	-1.33507e-14	1.33473e-17	0.0299473	0.00346538	0.000351442	99.9665	-7.36496e-10	-4.99217e-12	6.21009e-06	50	9.98435e-13	10000	1000	1000	1	0
5	4.88368	5.18481	94.8865	9.98779	10	2.49783e-09	200	2.54003e-12	2.41939e-08	0	-3.27574e-19	10	4.99975e-08	17.7658	74.74	82.2342	25.26	500	3892.18	200	200	200	0.196337	0.0477582	0.00810487	0.000499233	0.000672077	0.00106167	0.00012428	9.88852e-06	6.24325e-07	3.96084e-12	3.02904e-13	1.7752e-14	8.76115e-16	3.15763e-07	3.00635e-10	3.39342e-19	499.975	0.0253363	3.46459e-15	3.15257e-06	-1.62972e-16	-2.60838e-14	3.25944e-17	0.0354182	0.0046043	0.000541918	99.9598	-1.13399e-09	-9.6351e-12	9.2832e-06	50	1.92702e-12	10000	1000	1000	1	0
6	4.85982	5.22148	94.781	9.98542	10	3.59626e-09	200	4.05829e-12	3.82473e-08	0	-6.80104e-19	10	5.99964e-08	15.2525	68.9627	84.7475	31.0373	500	3883.67	200	200	200	0.264562	0.0934107	0.0235833	0.00197658	0.00345752	0.00152103	0.000266231	3.20159e-05	3.14987e-06	9.1479e-12	1.04294e-12	9.19614e-14	7.009e-15	2.07175e-06	1.90053e-09	3.38521e-18	499.97	0.0304834	6.71989e-15	4.54757e-06	-3.38024e-16	-4.50869e-14	6.76049e-17	0.0403782	0.00571442	0.000750118	99.9536	-1.6093e-09	-1.64618e-11	1.28245e-05	50	3.29235e-12	10000	1000	1000	1	0
7	4.83578	5.25806	94.6494	9.98307	10	4.89406e-09	200	5.99079e-12	5.58533e-08	0	-1.26154e-18	10	6.99951e-08	13.5111	63.6033	86.4889	36.3967	500	3876.25	200	200	200	0.324432	0.151982	0.0524397	0.0055804	0.0123941	0.00199551	0.000480855	8.06553e-05	1.14859e-05	1.79453e-11	2.81054e-12	3.44056e-13	3.75575e-14	9.22916e-06	8.44216e-09	2.19714e-17	499.964	0.0356566	1.16908e-14	6.20042e-06	-6.26388e-16	-7.16183e-14	1.25278e-16	0.0448992	0.00678025	0.000966889	99.9479	-2.15815e-09	-2.58507e-11	1.6784e-05	50	5.17013e-12	10000	1000	1000	1	0
8	4.81158	5.29456	94.4939	9.98074	10	6.39113e-09	200	8.35362e-12	7.7033e-08	0	-2.1548e-18	10	7.99936e-08	12.2107	58.6986	87.7893	41.3014	500	3869.63	200	200	200	0.372242	0.216243	0.0957047	0.0123127	0.0341802	0.00245494	0.000766558	0.000169167	3.30973e-05	3.12818e-11	6.34112e-12	1.01659e-12	1.50626e-13	3.10434e-05	2.90327e-08	1.04484e-16	499.959	0.0408561	1.87959e-14	8.11242e-06	-1.06885e-15	-1.06938e-13	2.13771e-16	0.0490361	0.00779477	0.00118578	99.9426	-2.77608e-09	-3.81584e-11	2.11184e-05	50	7.63168e-12	10000	1000	1000	1	0
9	4.78726	5.33097	94.3166	9.97844	10	8.08738e-09	200	1.11598e-11	1.01775e-07	0	-3.45585e-18	10	8.99919e-08	11.1757	54.2535	88.8243	45.7465	500	3863.61	200	200	200	0.407466	0.278458	0.150397	0.0225547	0.0773699	0.00287718	0.00111134	0.000308645	7.98234e-05	4.98932e-11	1.25111e-11	2.51286e-12	4.85507e-13	8.44836e-05	8.22734e-08	3.92875e-16	499.954	0.0460814	2.84675e-14	1.02848e-05	-1.71252e-15	-1.52307e-13	3.42503e-16	0.0528316	0.00875554	0.00140248	99.9377	-3.45865e-09	-5.37192e-11	2.57891e-05	50	1.07438e-11	10000	1000	1000	1	0
