Time	[receptors]	[R-Smad_cyt]	[R-Smad-P_cyt]	[Smad4_cyt]	[R-Smad-P-Smad4_cyt]	[R-Smad-P-Smad4_nuc]	[R-Smad_nuc]	[R-Smad-P_nuc]	[Smad4_nuc]	[Pi]
0	10000	162000	0	120000	0	0	18000	0	30000	0
1	9900.55	152284	1487.93	125053	729.431	9967.29	15446.3	84.8723	14250.7	53.4383
2	9802.21	141948	1448.29	120808	685.948	21184.9	14453	280.147	7320.72	383.442
3	9704.94	132543	1451.39	113644	646.565	31263	13570.6	525.186	4446.25	1114.93
4	9608.76	124074	1473.9	105702	610.638	40285	12782	774.725	3402.87	2273.75
5	9513.64	116472	1505.55	97902.3	577.672	48373.4	12072.1	999.727	3146.63	3819.5
6	9419.56	109643	1541.49	90604.6	547.323	55645.5	11430	1192.44	3202.64	5688.72
7	9326.53	103500	1579.33	83917.3	519.328	62197.2	10848.1	1356.53	3366.19	7823.04
8	9234.53	97964.5	1617.91	77847.1	493.486	68105	10321	1498.1	3554.39	10177.1
9	9143.54	92975.2	1656.62	72361.8	469.644	73432.4	9844.05	1622.11	3736.2	12717
10	9053.55	88478.3	1695.11	67416.8	447.67	78234	9413.01	1731.92	3901.59	15416.9
11	8964.57	84427.5	1733.13	62965.7	427.449	82558.2	9023.91	1829.8	4048.59	18255.9
12	8876.56	80781.2	1770.5	58964.1	408.869	86449	8673.11	1917.33	4178.1	21216.9
13	8789.53	77502.4	1807.01	55370.4	391.823	89945.9	8357.22	1995.7	4291.89	24285.3
14	8703.46	74557.2	1842.46	52146.8	376.206	93085.1	8073.13	2065.89	4391.84	27448.5
15	8618.34	71914.9	1876.62	49258.5	361.916	95899.9	7817.99	2128.72	4479.68	30695.6
16	8534.16	69547.6	1909.29	46674	348.855	98420.2	7589.19	2184.93	4556.94	34016.9
17	8450.91	67429.8	1940.24	44364.6	336.928	100674	7384.33	2235.15	4624.92	37403.8
18	8368.58	65538.5	1969.24	42304.2	326.044	102685	7201.21	2279.97	4684.76	40848.8
19	8287.16	63852.6	1996.09	40469	316.117	104477	7037.86	2319.9	4737.44	44345.1
20	8206.64	62353.1	2020.6	38837.8	307.066	106071	6892.45	2355.42	4783.8	47886.9
21	8127.01	61022.6	2042.61	37390.9	298.815	107486	6763.33	2386.95	4824.57	51468.8
22	8048.26	59845.4	2061.97	36110.9	291.292	108737	6649	2414.87	4860.38	55086.1
23	7970.37	58807.4	2078.59	34981.8	284.43	109842	6548.1	2439.52	4891.79	58734.5
24	7893.36	57895.5	2092.38	33989.2	278.168	110813	6459.39	2461.23	4919.28	62410.2
25	7817.19	57098.1	2103.32	33120.2	272.449	111664	6381.75	2480.27	4943.27	66109.8
26	7741.86	56404.8	2111.39	32363.1	267.221	112406	6314.17	2496.89	4964.13	69830.3
27	7667.36	55805.8	2116.63	31707.3	262.436	113048	6255.71	2511.33	4982.2	73569
28	7593.69	55292.6	2119.1	31143.3	258.051	113601	6205.57	2523.78	4997.76	77323.2
29	7520.83	54857.4	2118.89	30662.6	254.025	114072	6162.96	2534.44	5011.06	81090.9
30	7448.78	54493.1	2116.1	30257.5	250.323	114470	6127.23	2543.47	5022.34	84870
31	7377.53	54193.2	2110.86	29921	246.913	114800	6097.73	2551.01	5031.78	88658.7
32	7307.06	53952	2103.31	29646.9	243.764	115070	6073.93	2557.22	5039.58	92455.3
33	7237.37	53764.3	2093.62	29429.6	240.851	115284	6055.3	2562.2	5045.87	96258.4
34	7168.45	53625.4	2081.94	29264	238.15	115447	6041.4	2566.07	5050.81	100067
35	7100.29	53530.8	2068.44	29145.5	235.638	115564	6031.8	2568.92	5054.52	103879
36	7032.88	53476.9	2053.29	29070	233.298	115640	6026.13	2570.85	5057.12	107693
37	6966.22	53459.9	2036.65	29033.8	231.112	115676	6024.05	2571.93	5058.69	111510
38	6900.29	53476.8	2018.68	29033.6	229.064	115678	6025.24	2572.24	5059.33	115327
39	6835.1	53524.6	1999.53	29066.3	227.14	115647	6029.43	2571.84	5059.13	119145
40	6770.62	53600.7	1979.36	29129.1	225.329	115587	6036.36	2570.79	5058.15	122961
41	6706.86	53702.7	1958.3	29219.5	223.62	115500	6045.8	2569.15	5056.45	126776
42	6643.8	53828.5	1936.49	29335.4	222.002	115388	6057.55	2566.97	5054.1	130588
43	6581.44	53976.1	1914.05	29474.7	220.466	115254	6071.4	2564.28	5051.14	134398
44	6519.77	54143.7	1891.08	29635.5	219.005	115098	6087.18	2561.13	5047.63	138205
45	6458.78	54329.7	1867.69	29816.1	217.612	114923	6104.74	2557.55	5043.61	142007
46	6398.46	54532.5	1843.98	30014.9	216.279	114730	6123.93	2553.59	5039.12	145806
47	6338.81	54750.9	1820.04	30230.7	215.002	114520	6144.63	2549.26	5034.18	149599
48	6279.82	54983.6	1795.93	30462	213.775	114295	6166.7	2544.59	5028.84	153387
49	6221.48	55229.5	1771.73	30707.7	212.594	114057	6190.05	2539.62	5023.13	157170
50	6163.78	55487.5	1747.5	30966.8	211.454	113805	6214.56	2534.36	5017.06	160946
51	6106.72	55756.7	1723.3	31238.3	210.351	113541	6240.16	2528.84	5010.67	164717
52	6050.3	56036.2	1699.17	31521.3	209.283	113265	6266.76	2523.07	5003.97	168481
53	5994.49	56325.4	1675.15	31814.9	208.245	112980	6294.27	2517.07	4996.99	172238
54	5939.3	56623.3	1651.29	32118.4	207.236	112685	6322.64	2510.86	4989.75	175988
55	5884.73	56929.5	1627.62	32431.1	206.253	112380	6351.79	2504.45	4982.26	179730
56	5830.75	57243.2	1604.16	32752.4	205.293	112068	6381.67	2497.86	4974.53	183465
57	5777.37	57564	1580.94	33081.6	204.354	111747	6412.23	2491.09	4966.59	187192
58	5724.59	57891.2	1557.98	33418.4	203.435	111420	6443.41	2484.17	4958.44	190912
59	5672.38	58224.5	1535.29	33762	202.534	111085	6475.17	2477.1	4950.09	194623
60	5620.75	58563.4	1512.9	34112.1	201.649	110745	6507.47	2469.89	4941.57	198325
61	5569.7	58907.5	1490.81	34468.3	200.779	110398	6540.26	2462.55	4932.87	202019
62	5519.2	59256.5	1469.04	34830.1	199.923	110046	6573.52	2455.08	4924.02	205705
63	5469.27	59609.9	1447.59	35197.2	199.079	109689	6607.21	2447.51	4915.01	209381
64	5419.88	59967.6	1426.46	35569.3	198.247	109327	6641.29	2439.82	4905.85	213049
65	5371.05	60329.1	1405.66	35946	197.425	108960	6675.75	2432.04	4896.55	216707
66	5322.75	60694.2	1385.2	36327	196.613	108589	6710.55	2424.17	4887.13	220356
67	5274.98	61062.8	1365.07	36712.1	195.809	108214	6745.67	2416.2	4877.58	223996
68	5227.75	61434.4	1345.28	37101.1	195.014	107836	6781.1	2408.16	4867.91	227627
69	5181.03	61809	1325.82	37493.6	194.227	107454	6816.8	2400.04	4858.14	231247
70	5134.83	62186.4	1306.7	37889.4	193.446	107069	6852.75	2391.84	4848.25	234858
71	5089.14	62566.2	1287.91	38288.4	192.672	106681	6888.95	2383.58	4838.26	238460
