Time	[ADP]	[ATP]	[H+{"mitochondrial matrix"}]	[H+{cytoplasm}]	[NAD(+)]	[NADH]	[acetyl-CoA]	[alpha-ketoglutarate]	[citrate]	[oxaloacetate]	[oxygen]	[phosphate]	[pyruvate]	[water]	Values[DeltaPsi]
41	0.889996	3.27	1	1	0.929516	0.140484	0.065191	0.268667	0.407916	0.00528672	1	2.44	0.139687	1	151.303
42	0.89065	3.26935	1	1	0.929777	0.140223	0.0652354	0.268309	0.407521	0.0052831	1	2.44	0.13968	1	151.275
43	0.891318	3.26868	1	1	0.93004	0.13996	0.0652842	0.267946	0.407139	0.00527929	1	2.44	0.139673	1	151.247
44	0.891999	3.268	1	1	0.930304	0.139696	0.0653369	0.267579	0.406771	0.0052753	1	2.44	0.139666	1	151.218
45	0.89269	3.26731	1	1	0.930568	0.139432	0.065393	0.267208	0.406417	0.00527115	1	2.44	0.139659	1	151.189
46	0.893391	3.26661	1	1	0.930833	0.139167	0.0654522	0.266836	0.406076	0.00526686	1	2.44	0.139653	1	151.16
47	0.894101	3.2659	1	1	0.931096	0.138904	0.065514	0.266461	0.405747	0.00526246	1	2.44	0.139646	1	151.131
48	0.894818	3.26518	1	1	0.931359	0.138641	0.0655782	0.266085	0.405431	0.00525796	1	2.44	0.13964	1	151.102
49	0.895541	3.26446	1	1	0.93162	0.13838	0.0656445	0.265709	0.405127	0.00525338	1	2.44	0.139634	1	151.073
50	0.896269	3.26373	1	1	0.93188	0.13812	0.0657127	0.265332	0.404835	0.00524873	1	2.44	0.139628	1	151.045
51	0.897001	3.263	1	1	0.932138	0.137862	0.0657823	0.264956	0.404555	0.00524402	1	2.44	0.139622	1	151.016
52	0.897736	3.26226	1	1	0.932393	0.137607	0.0658534	0.26458	0.404286	0.00523926	1	2.44	0.139616	1	150.987
53	0.898473	3.26153	1	1	0.932647	0.137353	0.0659255	0.264206	0.404028	0.00523447	1	2.44	0.139611	1	150.958
54	0.89921	3.26079	1	1	0.932897	0.137103	0.0659986	0.263834	0.403781	0.00522966	1	2.44	0.139606	1	150.93
55	0.899947	3.26005	1	1	0.933144	0.136856	0.0660725	0.263464	0.403545	0.00522483	1	2.44	0.139601	1	150.902
56	0.900684	3.25932	1	1	0.933388	0.136612	0.066147	0.263097	0.403318	0.00522	1	2.44	0.139596	1	150.874
57	0.901418	3.25858	1	1	0.933629	0.136371	0.066222	0.262732	0.403102	0.00521516	1	2.44	0.139591	1	150.846
58	0.902149	3.25785	1	1	0.933866	0.136134	0.0662973	0.262371	0.402894	0.00521034	1	2.44	0.139587	1	150.819
59	0.902877	3.25712	1	1	0.9341	0.1359	0.0663728	0.262013	0.402696	0.00520553	1	2.44	0.139583	1	150.792
60	0.903601	3.2564	1	1	0.93433	0.13567	0.0664484	0.261659	0.402507	0.00520074	1	2.44	0.139579	1	150.765
61	0.90432	3.25568	1	1	0.934556	0.135444	0.0665239	0.261309	0.402327	0.00519597	1	2.44	0.139575	1	150.739
62	0.905033	3.25497	1	1	0.934778	0.135222	0.0665994	0.260963	0.402154	0.00519124	1	2.44	0.139572	1	150.713
63	0.90574	3.25426	1	1	0.934996	0.135004	0.0666746	0.260622	0.40199	0.00518654	1	2.44	0.139569	1	150.687
64	0.906441	3.25356	1	1	0.935209	0.134791	0.0667496	0.260285	0.401834	0.00518188	1	2.44	0.139566	1	150.662
65	0.907134	3.25287	1	1	0.935419	0.134581	0.0668241	0.259954	0.401685	0.00517727	1	2.44	0.139563	1	150.637
66	0.90782	3.25218	1	1	0.935625	0.134375	0.0668982	0.259627	0.401543	0.0051727	1	2.44	0.13956	1	150.613
67	0.908497	3.2515	1	1	0.935826	0.134174	0.0669718	0.259305	0.401409	0.00516819	1	2.44	0.139558	1	150.589
68	0.909166	3.25083	1	1	0.936023	0.133977	0.0670448	0.258989	0.401281	0.00516373	1	2.44	0.139555	1	150.565
69	0.909826	3.25017	1	1	0.936215	0.133785	0.0671172	0.258678	0.401159	0.00515933	1	2.44	0.139553	1	150.542
70	0.910477	3.24952	1	1	0.936404	0.133596	0.0671888	0.258373	0.401044	0.00515498	1	2.44	0.139551	1	150.519
71	0.911118	3.24888	1	1	0.936588	0.133412	0.0672597	0.258073	0.400935	0.0051507	1	2.44	0.13955	1	150.497
72	0.91175	3.24825	1	1	0.936767	0.133233	0.0673298	0.257779	0.400832	0.00514648	1	2.44	0.139548	1	150.475
73	0.912371	3.24763	1	1	0.936943	0.133057	0.0673991	0.257491	0.400734	0.00514233	1	2.44	0.139547	1	150.454
74	0.912982	3.24702	1	1	0.937114	0.132886	0.0674675	0.257208	0.400642	0.00513824	1	2.44	0.139545	1	150.433
