Time	[PPase]	[Smad2_n]	[pSmad2_n]	[GFP-Smad2_n]	[pGFP-Smad2_n]	[pSmad2/pSmad2_n]	[pSmad2/Smad4_n]	[Smad4_n]	[pGFP-Smad2/pSmad2_n]	[pGFP-Smad2/Smad4_n]	[pGFP-Smad2/pGFP_Smad2_n]	[pSmad2/pSmad2_c]	[pSmad2/Smad4_c]	[Smad4_c]	[Smad2_c]	[pSmad2_c]	[GFP-Smad2_c]	[pGFP-Smad2_c]	[pGFP-Smad2/pSmad2_c]	[pGFP-Smad2/Smad4_c]	[pGFP-Smad2/pGFP-Smad2_c]	[TGFb_c]	[R_act]	[R]	[R_inact]	[SB-431542]
85	1	28.4695	0.0230784	28.4695	0.0230784	0.000163956	0.170793	50.7292	0.000163956	0.170793	0.000163956	0.000290544	0.186028	50.2813	60.2339	0.103468	60.2339	0.103468	0.000290544	0.186028	0.000290544	0.066	0.340624	0.659376	0	0
86	1	28.4681	0.0238415	28.4681	0.0238415	0.000172233	0.176525	50.7277	0.000172233	0.176525	0.000172233	0.000301402	0.189873	50.2692	60.2262	0.104972	60.2262	0.104972	0.000301402	0.189873	0.000301402	0.066	0.343847	0.656153	0	0
87	1	28.4667	0.0246197	28.4667	0.0246197	0.000180812	0.182366	50.7261	0.000180812	0.182366	0.000180812	0.000312502	0.193736	50.257	60.2185	0.106477	60.2185	0.106477	0.000312502	0.193736	0.000312502	0.066	0.347054	0.652946	0	0
88	1	28.4653	0.025413	28.4653	0.025413	0.000189701	0.188316	50.7246	0.000189701	0.188316	0.000189701	0.000323846	0.197617	50.2447	60.2107	0.107983	60.2107	0.107983	0.000323846	0.197617	0.000323846	0.066	0.350245	0.649755	0	0
89	1	28.4638	0.0262216	28.4638	0.0262216	0.000198905	0.194376	50.723	0.000198905	0.194376	0.000198905	0.000335436	0.201514	50.2323	60.2029	0.10949	60.2029	0.10949	0.000335436	0.201514	0.000335436	0.066	0.353421	0.646579	0	0
90	1	28.4623	0.0270454	28.4623	0.0270454	0.000208432	0.200545	50.7214	0.000208432	0.200545	0.000208432	0.000347271	0.205428	50.2197	60.195	0.110998	60.195	0.110998	0.000347271	0.205428	0.000347271	0.066	0.356581	0.643419	0	0
91	1	28.4608	0.0278846	28.4608	0.0278846	0.000218289	0.206823	50.7198	0.000218289	0.206823	0.000218289	0.000359354	0.209358	50.207	60.1871	0.112507	60.1871	0.112507	0.000359354	0.209358	0.000359354	0.066	0.359726	0.640274	0	0
92	1	28.4593	0.0287391	28.4593	0.0287391	0.000228483	0.213212	50.7182	0.000228483	0.213212	0.000228483	0.000371685	0.213303	50.1942	60.179	0.114017	60.179	0.114017	0.000371685	0.213303	0.000371685	0.066	0.362855	0.637145	0	0
93	1	28.4578	0.029609	28.4578	0.029609	0.000239021	0.219711	50.7165	0.000239021	0.219711	0.000239021	0.000384266	0.217263	50.1813	60.1709	0.115527	60.1709	0.115527	0.000384266	0.217263	0.000384266	0.066	0.365969	0.634031	0	0
94	1	28.4562	0.0304944	28.4562	0.0304944	0.000249911	0.226321	50.7148	0.000249911	0.226321	0.000249911	0.000397097	0.221237	50.1683	60.1628	0.117039	60.1628	0.117039	0.000397097	0.221237	0.000397097	0.066	0.369068	0.630932	0	0
95	1	28.4546	0.0313953	28.4546	0.0313953	0.00026116	0.233041	50.7131	0.00026116	0.233041	0.00026116	0.00041018	0.225226	50.1551	60.1546	0.11855	60.1546	0.11855	0.00041018	0.225226	0.00041018	0.066	0.372152	0.627848	0	0
96	1	28.453	0.0323117	28.453	0.0323117	0.000272775	0.239871	50.7114	0.000272775	0.239871	0.000272775	0.000423515	0.229228	50.1419	60.1463	0.120062	60.1463	0.120062	0.000423515	0.229228	0.000423515	0.066	0.37522	0.62478	0	0
97	1	28.4513	0.0332437	28.4513	0.0332437	0.000284764	0.246812	50.7097	0.000284764	0.246812	0.000284764	0.000437103	0.233243	50.1285	60.138	0.121575	60.138	0.121575	0.000437103	0.233243	0.000437103	0.066	0.378274	0.621726	0	0
98	1	28.4497	0.0341913	28.4497	0.0341913	0.000297134	0.253864	50.7079	0.000297134	0.253864	0.000297134	0.000450945	0.23727	50.115	60.1296	0.123088	60.1296	0.123088	0.000450945	0.23727	0.000450945	0.066	0.381313	0.618687	0	0
99	1	28.448	0.0351545	28.448	0.0351545	0.000309893	0.261027	50.7061	0.000309893	0.261027	0.000309893	0.000465042	0.24131	50.1014	60.1211	0.124602	60.1211	0.124602	0.000465042	0.24131	0.000465042	0.066	0.384337	0.615663	0	0
100	1	28.4463	0.0361333	28.4463	0.0361333	0.000323049	0.268301	50.7043	0.000323049	0.268301	0.000323049	0.000479394	0.245361	50.0877	60.1126	0.126116	60.1126	0.126116	0.000479394	0.245361	0.000479394	0.066	0.387346	0.612654	0	0
