Time	[PPase]	[Smad2_n]	[pSmad2_n]	[GFP-Smad2_n]	[pGFP-Smad2_n]	[pSmad2/pSmad2_n]	[pSmad2/Smad4_n]	[Smad4_n]	[pGFP-Smad2/pSmad2_n]	[pGFP-Smad2/Smad4_n]	[pGFP-Smad2/pGFP_Smad2_n]	[pSmad2/pSmad2_c]	[pSmad2/Smad4_c]	[Smad4_c]	[Smad2_c]	[pSmad2_c]	[GFP-Smad2_c]	[pGFP-Smad2_c]	[pGFP-Smad2/pSmad2_c]	[pGFP-Smad2/Smad4_c]	[pGFP-Smad2/pGFP-Smad2_c]	[TGFb_c]	[R_act]	[R]	[R_inact]	[SB-431542]
16	1	28.5145	0.000256389	28.5145	0.000256389	5.72477e-08	0.000764492	50.7806	5.72477e-08	0.000764492	5.72477e-08	5.88389e-07	0.00474994	50.771	60.5751	0.00974054	60.5751	0.00974054	5.88389e-07	0.00474994	5.88389e-07	0.066	0.0753988	0.924601	0	0
17	1	28.5144	0.00029953	28.5144	0.00029953	7.89041e-08	0.000949728	50.7805	7.89041e-08	0.000949728	7.89041e-08	7.60626e-07	0.00554747	50.7693	60.5732	0.0107402	60.5732	0.0107402	7.60626e-07	0.00554747	7.60626e-07	0.066	0.0799178	0.920082	0	0
18	1	28.5143	0.000346785	28.5143	0.000346785	1.06575e-07	0.00116397	50.7804	1.06575e-07	0.00116397	1.06575e-07	9.67085e-07	0.00641392	50.7674	60.5713	0.0117662	60.5713	0.0117662	9.67085e-07	0.00641392	9.67085e-07	0.066	0.0844148	0.915585	0	0
19	1	28.5142	0.000398317	28.5142	0.000398317	1.41385e-07	0.00140946	50.7803	1.41385e-07	0.00140946	1.41385e-07	1.21158e-06	0.00734953	50.7654	60.5692	0.0128168	60.5692	0.0128168	1.21158e-06	0.00734953	1.21158e-06	0.066	0.0888897	0.91111	0	0
20	1	28.5141	0.000454292	28.5141	0.000454292	1.84568e-07	0.00168841	50.7802	1.84568e-07	0.00168841	1.84568e-07	1.498e-06	0.00835437	50.7632	60.567	0.0138903	60.567	0.0138903	1.498e-06	0.00835437	1.498e-06	0.066	0.0933428	0.906657	0	0
21	1	28.514	0.000514886	28.514	0.000514886	2.37477e-07	0.00200302	50.78	2.37477e-07	0.00200302	2.37477e-07	1.83032e-06	0.00942835	50.7608	60.5647	0.0149851	60.5647	0.0149851	1.83032e-06	0.00942835	1.83032e-06	0.066	0.0977742	0.902226	0	0
22	1	28.5139	0.000580279	28.5139	0.000580279	3.01577e-07	0.00235545	50.7799	3.01577e-07	0.00235545	3.01577e-07	2.21256e-06	0.0105713	50.7583	60.5623	0.0160999	60.5623	0.0160999	2.21256e-06	0.0105713	2.21256e-06	0.066	0.102184	0.897816	0	0
23	1	28.5137	0.000650657	28.5137	0.000650657	3.78449e-07	0.00274787	50.7797	3.78449e-07	0.00274787	3.78449e-07	2.6488e-06	0.0117828	50.7556	60.5598	0.0172333	60.5598	0.0172333	2.6488e-06	0.0117828	2.6488e-06	0.066	0.106572	0.893428	0	0
24	1	28.5136	0.000726214	28.5136	0.000726214	4.69792e-07	0.00318238	50.7795	4.69792e-07	0.00318238	4.69792e-07	3.14315e-06	0.0130624	50.7527	60.5573	0.0183842	60.5573	0.0183842	3.14315e-06	0.0130624	3.14315e-06	0.066	0.110939	0.889061	0	0
25	1	28.5134	0.000807147	28.5134	0.000807147	5.77417e-07	0.00366108	50.7793	5.77417e-07	0.00366108	5.77417e-07	3.69972e-06	0.0144097	50.7497	60.5546	0.0195516	60.5546	0.0195516	3.69972e-06	0.0144097	3.69972e-06	0.066	0.115284	0.884716	0	0
