Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
45	5	0.348407	0.114991	0.115083	4.94601	0.0856858	2.56554	0.942123	1.1046	1.43449	4.2029	0.427945	0.9	0	1	3.61267	1.96211	3.47693	0.000364109	0	0.0166757	0.000540648	0.0120697	14.3008	0.01	0.124286	0.214313	0.01	0.214011	5	0.523074	0.387334	1.60481	0	3.9477	9.53579	0.116887	0	0.367557	0	0.0539935	19.0946	0.00139958	0.0124433	0.00588345	0.999876	4.97219	1154.27	0.503397	0.0523049
46	5	0.348404	0.115015	0.115107	4.946	0.0856643	2.56541	0.942017	1.10461	1.43449	4.20283	0.427947	0.9	0	1	3.61267	1.96211	3.47693	0.000364109	0	0.0166757	0.000540649	0.0120697	14.3079	0.01	0.124279	0.214384	0.01	0.214082	5	0.523074	0.387335	1.60479	0	3.9477	9.53441	0.116881	0	0.367557	0	0.0539958	19.0945	0.00139958	0.0124433	0.00588345	0.999871	4.97232	1154.25	0.5034	0.0523049
47	5	0.348401	0.115036	0.115128	4.946	0.0856443	2.56527	0.941919	1.1046	1.43449	4.20276	0.427946	0.9	0	1	3.61266	1.9621	3.47693	0.000364109	0	0.0166757	0.00054065	0.0120697	14.3141	0.01	0.124272	0.214448	0.01	0.214147	5	0.523074	0.387335	1.60476	0	3.9477	9.53303	0.116874	0	0.367557	0	0.0539978	19.0943	0.00139958	0.0124433	0.00588345	0.999865	4.97244	1154.23	0.503406	0.0523049
48	5	0.348397	0.115056	0.115148	4.946	0.0856257	2.56513	0.941827	1.10459	1.4345	4.20267	0.427941	0.9	0	1	3.61266	1.96209	3.47693	0.000364109	0	0.0166757	0.00054065	0.0120697	14.3198	0.01	0.124264	0.214507	0.01	0.214206	5	0.523074	0.387336	1.60473	0	3.9477	9.53165	0.116868	0	0.367557	0	0.0539996	19.094	0.00139958	0.0124433	0.00588345	0.999858	4.97255	1154.21	0.503413	0.0523048
49	5	0.348393	0.115075	0.115167	4.946	0.0856082	2.56499	0.94174	1.10457	1.43451	4.20258	0.427933	0.9	0	1	3.61266	1.96207	3.47693	0.000364108	0	0.0166757	0.000540651	0.0120697	14.3248	0.01	0.124257	0.214561	0.01	0.21426	5	0.523074	0.387336	1.6047	0	3.9477	9.53027	0.116861	0	0.367557	0	0.0540012	19.0937	0.00139958	0.0124433	0.00588345	0.99985	4.97265	1154.18	0.503422	0.0523046
50	5	0.348388	0.115092	0.115184	4.946	0.0855917	2.56485	0.941659	1.10454	1.43452	4.20248	0.427922	0.9	0	1	3.61266	1.96205	3.47693	0.000364108	0	0.0166758	0.000540651	0.0120697	14.3293	0.01	0.12425	0.214611	0.01	0.214309	5	0.523073	0.387337	1.60467	0	3.9477	9.52887	0.116855	0	0.367557	0	0.0540026	19.0932	0.00139958	0.0124433	0.00588344	0.999841	4.97275	1154.16	0.503432	0.0523043
51	5	0.348384	0.115108	0.1152	4.946	0.0855761	2.5647	0.941582	1.1045	1.43452	4.20238	0.427909	0.9	0	1	3.61266	1.96203	3.47693	0.000364108	0	0.0166758	0.000540651	0.0120697	14.3334	0.01	0.124243	0.214656	0.01	0.214355	5	0.523073	0.387337	1.60463	0	3.9477	9.52747	0.116848	0	0.367557	0	0.0540038	19.0927	0.00139958	0.0124433	0.00588344	0.999832	4.97284	1154.13	0.503444	0.052304
52	5	0.348379	0.115122	0.115214	4.946	0.0855612	2.56456	0.941508	1.10446	1.43453	4.20227	0.427893	0.9	0	1	3.61266	1.96201	3.47693	0.000364107	0	0.0166758	0.000540652	0.0120697	14.3371	0.01	0.124236	0.214699	0.01	0.214397	5	0.523072	0.387337	1.60459	0	3.9477	9.52606	0.116842	0	0.367557	0	0.054005	19.0922	0.00139958	0.0124433	0.00588343	0.999822	4.97293	1154.1	0.503457	0.0523036
53	5	0.348374	0.115136	0.115228	4.94599	0.085547	2.56441	0.941438	1.10441	1.43455	4.20216	0.427875	0.9	0	1	3.61266	1.96198	3.47693	0.000364106	0	0.0166758	0.000540652	0.0120697	14.3404	0.01	0.124229	0.214738	0.01	0.214436	5	0.523072	0.387338	1.60456	0	3.9477	9.52464	0.116835	0	0.367557	0	0.054006	19.0916	0.00139958	0.0124433	0.00588342	0.999812	4.97302	1154.07	0.503471	0.0523032
54	5	0.348368	0.11515	0.115242	4.94599	0.0855333	2.56426	0.94137	1.10436	1.43456	4.20205	0.427855	0.9	0	1	3.61266	1.96196	3.47693	0.000364105	0	0.0166758	0.000540652	0.0120696	14.3435	0.01	0.124222	0.214775	0.01	0.214473	5	0.523071	0.387338	1.60452	0	3.9477	9.52321	0.116828	0	0.367557	0	0.0540069	19.0909	0.00139959	0.0124433	0.00588341	0.999801	4.9731	1154.04	0.503487	0.0523027
55	5	0.348363	0.115162	0.115254	4.94599	0.08552	2.56411	0.941305	1.1043	1.43457	4.20193	0.427833	0.9	0	1	3.61266	1.96193	3.47693	0.000364105	0	0.0166758	0.000540652	0.0120696	14.3462	0.01	0.124214	0.214809	0.01	0.214508	5	0.52307	0.387338	1.60448	0	3.9477	9.52176	0.116821	0	0.367557	0	0.0540077	19.0902	0.00139959	0.0124432	0.0058834	0.99979	4.97318	1154.01	0.503503	0.0523022
56	5	0.348357	0.115174	0.115266	4.94599	0.0855072	2.56396	0.941241	1.10424	1.43458	4.20181	0.42781	0.9	0	1	3.61266	1.9619	3.47693	0.000364104	0	0.0166758	0.000540653	0.0120696	14.3487	0.01	0.124207	0.214842	0.01	0.21454	5	0.523069	0.387338	1.60444	0	3.9477	9.5203	0.116814	0	0.367557	0	0.0540084	19.0895	0.00139959	0.0124432	0.00588339	0.999778	4.97325	1153.98	0.50352	0.0523016
57	5	0.348351	0.115186	0.115278	4.94599	0.0854947	2.5638	0.941179	1.10418	1.4346	4.20168	0.427785	0.9	0	1	3.61266	1.96187	3.47693	0.000364103	0	0.0166758	0.000540653	0.0120696	14.351	0.01	0.1242	0.214872	0.01	0.214571	5	0.523068	0.387338	1.6044	0	3.9477	9.51883	0.116807	0	0.367557	0	0.054009	19.0887	0.00139959	0.0124432	0.00588338	0.999766	4.97333	1153.95	0.503537	0.052301
58	5	0.348345	0.115197	0.115289	4.94599	0.0854825	2.56365	0.941119	1.10411	1.43461	4.20156	0.427759	0.9	0	1	3.61266	1.96183	3.47693	0.000364102	0	0.0166758	0.000540653	0.0120696	14.3531	0.01	0.124193	0.214902	0.01	0.2146	5	0.523068	0.387339	1.60436	0	3.9477	9.51734	0.1168	0	0.367557	0	0.0540096	19.0879	0.00139959	0.0124432	0.00588337	0.999754	4.9734	1153.91	0.503556	0.0523003
59	5	0.348339	0.115208	0.1153	4.94599	0.0854705	2.56349	0.94106	1.10404	1.43463	4.20143	0.427732	0.9	0	1	3.61266	1.9618	3.47693	0.000364101	0	0.0166758	0.000540653	0.0120696	14.3551	0.01	0.124185	0.21493	0.01	0.214629	5	0.523067	0.387339	1.60432	0	3.9477	9.51583	0.116793	0	0.367557	0	0.0540101	19.087	0.00139959	0.0124432	0.00588336	0.999741	4.97347	1153.88	0.503575	0.0522996
60	5	0.348333	0.115218	0.11531	4.94599	0.0854586	2.56333	0.941001	1.10396	1.43464	4.2013	0.427703	0.9	0	1	3.61266	1.96176	3.47693	0.0003641	0	0.0166758	0.000540653	0.0120695	14.3569	0.01	0.124178	0.214957	0.01	0.214656	5	0.523066	0.387339	1.60428	0	3.9477	9.51431	0.116785	0	0.367557	0	0.0540106	19.0861	0.00139959	0.0124432	0.00588335	0.999728	4.97354	1153.85	0.503595	0.0522989
61	5	0.348326	0.115228	0.11532	4.94599	0.085447	2.56317	0.940943	1.10388	1.43466	4.20116	0.427673	0.9	0	1	3.61266	1.96173	3.47694	0.000364098	0	0.0166758	0.000540654	0.0120695	14.3586	0.01	0.12417	0.214983	0.01	0.214682	5	0.523065	0.387339	1.60423	0	3.9477	9.51276	0.116778	0	0.367557	0	0.054011	19.0852	0.00139959	0.0124432	0.00588333	0.999715	4.97361	1153.81	0.503615	0.0522982
62	5	0.34832	0.115238	0.11533	4.94599	0.0854354	2.563	0.940886	1.1038	1.43467	4.20102	0.427643	0.9	0	1	3.61266	1.96169	3.47694	0.000364097	0	0.0166758	0.000540654	0.0120695	14.3602	0.01	0.124163	0.215009	0.01	0.214707	5	0.523064	0.387339	1.60419	0	3.9477	9.5112	0.11677	0	0.367557	0	0.0540114	19.0843	0.00139959	0.0124432	0.00588332	0.999701	4.97368	1153.77	0.503636	0.0522974
63	5	0.348313	0.115248	0.11534	4.94599	0.0854239	2.56283	0.940829	1.10372	1.43469	4.20089	0.427611	0.9	0	1	3.61266	1.96165	3.47694	0.000364096	0	0.0166758	0.000540654	0.0120695	14.3617	0.01	0.124155	0.215033	0.01	0.214732	5	0.523063	0.387339	1.60415	0	3.9477	9.50962	0.116763	0	0.367557	0	0.0540117	19.0833	0.00139959	0.0124432	0.00588331	0.999687	4.97375	1153.74	0.503657	0.0522966
64	5	0.348306	0.115258	0.11535	4.94599	0.0854124	2.56266	0.940773	1.10364	1.43471	4.20074	0.427579	0.9	0	1	3.61266	1.96161	3.47694	0.000364095	0	0.0166758	0.000540654	0.0120695	14.3631	0.01	0.124148	0.215058	0.01	0.214756	5	0.523062	0.387339	1.6041	0	3.9477	9.50802	0.116755	0	0.367557	0	0.054012	19.0823	0.00139959	0.0124432	0.00588329	0.999673	4.97381	1153.7	0.503679	0.0522958
65	5	0.348299	0.115267	0.115359	4.94599	0.085401	2.56249	0.940716	1.10355	1.43472	4.2006	0.427545	0.9	0	1	3.61266	1.96157	3.47694	0.000364094	0	0.0166758	0.000540654	0.0120694	14.3645	0.01	0.12414	0.215081	0.01	0.21478	5	0.52306	0.387339	1.60405	0	3.94771	9.50639	0.116747	0	0.367557	0	0.0540123	19.0813	0.00139959	0.0124432	0.00588328	0.999659	4.97388	1153.66	0.503702	0.0522949
66	5	0.348292	0.115277	0.115369	4.94599	0.0853896	2.56232	0.94066	1.10346	1.43474	4.20045	0.427511	0.9	0	1	3.61266	1.96153	3.47694	0.000364092	0	0.0166758	0.000540654	0.0120694	14.3658	0.01	0.124132	0.215105	0.01	0.214803	5	0.523059	0.38734	1.60401	0	3.94771	9.50475	0.116739	0	0.367557	0	0.0540126	19.0802	0.00139959	0.0124432	0.00588326	0.999644	4.97395	1153.63	0.503725	0.0522941
67	5	0.348285	0.115286	0.115378	4.94599	0.0853781	2.56214	0.940603	1.10337	1.43476	4.2003	0.427476	0.9	0	1	3.61266	1.96149	3.47694	0.000364091	0	0.0166758	0.000540654	0.0120694	14.367	0.01	0.124124	0.215128	0.01	0.214827	5	0.523058	0.38734	1.60396	0	3.94771	9.50308	0.116731	0	0.367557	0	0.0540128	19.0791	0.00139959	0.0124432	0.00588325	0.999629	4.97402	1153.59	0.503748	0.0522932
68	5	0.348278	0.115295	0.115387	4.94599	0.0853667	2.56196	0.940547	1.10327	1.43478	4.20015	0.42744	0.9	0	1	3.61266	1.96145	3.47694	0.00036409	0	0.0166758	0.000540654	0.0120694	14.3682	0.01	0.124116	0.215151	0.01	0.214849	5	0.523057	0.38734	1.60391	0	3.94771	9.50139	0.116723	0	0.367557	0	0.054013	19.078	0.00139959	0.0124432	0.00588323	0.999614	4.97409	1153.55	0.503772	0.0522923
69	5	0.34827	0.115305	0.115397	4.94599	0.0853552	2.56178	0.940489	1.10318	1.4348	4.2	0.427403	0.9	0	1	3.61266	1.96141	3.47694	0.000364088	0	0.0166758	0.000540655	0.0120693	14.3694	0.01	0.124108	0.215174	0.01	0.214872	5	0.523056	0.38734	1.60386	0	3.94771	9.49968	0.116715	0	0.367557	0	0.0540132	19.0769	0.00139959	0.0124432	0.00588322	0.999598	4.97416	1153.51	0.503797	0.0522913
70	5	0.348263	0.115314	0.115406	4.94599	0.0853435	2.5616	0.940432	1.10308	1.43482	4.19984	0.427365	0.9	0	1	3.61266	1.96136	3.47695	0.000364087	0	0.0166758	0.000540655	0.0120693	14.3705	0.01	0.124099	0.215196	0.01	0.214895	5	0.523054	0.38734	1.60381	0	3.94771	9.49795	0.116706	0	0.367557	0	0.0540134	19.0758	0.00139959	0.0124432	0.0058832	0.999583	4.97422	1153.47	0.503821	0.0522904
71	5	0.348255	0.115324	0.115416	4.94599	0.0853319	2.56141	0.940374	1.10298	1.43484	4.19968	0.427327	0.9	0	1	3.61266	1.96132	3.47695	0.000364085	0	0.0166758	0.000540655	0.0120693	14.3716	0.01	0.124091	0.215219	0.01	0.214918	5	0.523053	0.38734	1.60376	0	3.94771	9.49619	0.116698	0	0.367557	0	0.0540135	19.0746	0.00139959	0.0124432	0.00588318	0.999567	4.97429	1153.42	0.503847	0.0522894
72	5	0.348247	0.115333	0.115425	4.94599	0.0853201	2.56122	0.940316	1.10288	1.43486	4.19952	0.427288	0.9	0	1	3.61266	1.96127	3.47695	0.000364084	0	0.0166758	0.000540655	0.0120693	14.3727	0.01	0.124083	0.215242	0.01	0.21494	5	0.523052	0.38734	1.60371	0	3.94771	9.4944	0.116689	0	0.367557	0	0.0540137	19.0734	0.00139959	0.0124432	0.00588317	0.99955	4.97436	1153.38	0.503873	0.0522884
73	5	0.348239	0.115342	0.115434	4.94599	0.0853083	2.56103	0.940257	1.10277	1.43488	4.19936	0.427249	0.9	0	1	3.61266	1.96122	3.47695	0.000364082	0	0.0166758	0.000540655	0.0120692	14.3737	0.01	0.124074	0.215264	0.01	0.214963	5	0.52305	0.38734	1.60366	0	3.94771	9.49259	0.11668	0	0.367557	0	0.0540139	19.0722	0.00139959	0.0124432	0.00588315	0.999534	4.97443	1153.34	0.503899	0.0522874
74	5	0.348231	0.115352	0.115444	4.94599	0.0852963	2.56083	0.940198	1.10267	1.4349	4.19919	0.427208	0.9	0	1	3.61266	1.96118	3.47695	0.000364081	0	0.0166758	0.000540655	0.0120692	14.3748	0.01	0.124065	0.215287	0.01	0.214986	5	0.523049	0.38734	1.60361	0	3.94771	9.49076	0.116671	0	0.367557	0	0.054014	19.071	0.00139959	0.0124432	0.00588313	0.999517	4.97451	1153.3	0.503925	0.0522864
75	5	0.348223	0.115362	0.115454	4.94599	0.0852842	2.56064	0.940138	1.10256	1.43492	4.19902	0.427167	0.9	0	1	3.61266	1.96113	3.47695	0.000364079	0	0.0166758	0.000540655	0.0120692	14.3758	0.01	0.124056	0.21531	0.01	0.215009	5	0.523048	0.38734	1.60355	0	3.94771	9.4889	0.116662	0	0.367557	0	0.0540141	19.0697	0.00139959	0.0124432	0.00588312	0.9995	4.97458	1153.25	0.503952	0.0522853
76	5	0.348215	0.115371	0.115463	4.94599	0.085272	2.56043	0.940078	1.10245	1.43494	4.19885	0.427126	0.9	0	1	3.61266	1.96108	3.47695	0.000364078	0	0.0166758	0.000540655	0.0120692	14.3768	0.01	0.124047	0.215333	0.01	0.215032	5	0.523046	0.38734	1.6035	0	3.94772	9.48701	0.116653	0	0.367557	0	0.0540142	19.0685	0.00139959	0.0124432	0.0058831	0.999483	4.97465	1153.21	0.50398	0.0522842
77	5	0.348207	0.115381	0.115473	4.94599	0.0852596	2.56023	0.940017	1.10234	1.43496	4.19868	0.427083	0.9	0	1	3.61266	1.96103	3.47696	0.000364076	0	0.0166758	0.000540655	0.0120691	14.3779	0.01	0.124038	0.215356	0.01	0.215055	5	0.523045	0.38734	1.60344	0	3.94772	9.4851	0.116644	0	0.367557	0	0.0540144	19.0672	0.00139959	0.0124432	0.00588308	0.999465	4.97472	1153.16	0.504008	0.0522831
78	5	0.348198	0.115391	0.115483	4.94599	0.0852472	2.56002	0.939955	1.10223	1.43498	4.1985	0.42704	0.9	0	1	3.61266	1.96098	3.47696	0.000364074	0	0.0166758	0.000540655	0.0120691	14.3789	0.01	0.124029	0.21538	0.01	0.215078	5	0.523043	0.387341	1.60339	0	3.94772	9.48316	0.116634	0	0.367557	0	0.0540145	19.0659	0.00139959	0.0124432	0.00588306	0.999447	4.9748	1153.12	0.504036	0.052282
79	5	0.348189	0.115401	0.115493	4.94599	0.0852345	2.55982	0.939892	1.10212	1.43501	4.19832	0.426996	0.9	0	1	3.61266	1.96093	3.47696	0.000364073	0	0.0166758	0.000540656	0.0120691	14.3799	0.01	0.12402	0.215403	0.01	0.215102	5	0.523042	0.387341	1.60333	0	3.94772	9.48119	0.116625	0	0.367557	0	0.0540146	19.0645	0.00139959	0.0124432	0.00588304	0.999429	4.97487	1153.07	0.504065	0.0522809
80	5	0.348181	0.115411	0.115503	4.94599	0.0852217	2.5596	0.939829	1.102	1.43503	4.19814	0.426952	0.9	0	1	3.61266	1.96088	3.47696	0.000364071	0	0.0166758	0.000540656	0.012069	14.3809	0.01	0.12401	0.215427	0.01	0.215126	5	0.52304	0.387341	1.60327	0	3.94772	9.4792	0.116615	0	0.367557	0	0.0540147	19.0632	0.00139959	0.0124432	0.00588302	0.999411	4.97495	1153.02	0.504094	0.0522798
81	5	0.348172	0.115421	0.115513	4.94599	0.0852088	2.55939	0.939765	1.10188	1.43505	4.19796	0.426906	0.9	0	1	3.61266	1.96082	3.47696	0.000364069	0	0.0166758	0.000540656	0.012069	14.382	0.01	0.124001	0.215451	0.01	0.21515	5	0.523039	0.387341	1.60322	0	3.94772	9.47718	0.116605	0	0.367557	0	0.0540148	19.0618	0.00139959	0.0124432	0.005883	0.999392	4.97503	1152.97	0.504124	0.0522786
82	5	0.348163	0.115432	0.115524	4.94599	0.0851957	2.55917	0.9397	1.10176	1.43508	4.19777	0.42686	0.9	0	1	3.61266	1.96077	3.47696	0.000364067	0	0.0166758	0.000540656	0.012069	14.383	0.01	0.123991	0.215475	0.01	0.215174	5	0.523037	0.387341	1.60316	0	3.94772	9.47512	0.116595	0	0.367557	0	0.0540149	19.0604	0.00139959	0.0124432	0.00588298	0.999373	4.9751	1152.92	0.504154	0.0522774
83	5	0.348153	0.115442	0.115534	4.94598	0.0851824	2.55895	0.939634	1.10164	1.4351	4.19758	0.426814	0.9	0	1	3.61266	1.96072	3.47696	0.000364066	0	0.0166758	0.000540656	0.0120689	14.384	0.01	0.123981	0.2155	0.01	0.215199	5	0.523036	0.387341	1.6031	0	3.94772	9.47304	0.116585	0	0.367557	0	0.054015	19.059	0.00139959	0.0124432	0.00588296	0.999354	4.97518	1152.87	0.504185	0.0522762
84	5	0.348144	0.115453	0.115545	4.94598	0.0851689	2.55872	0.939568	1.10152	1.43512	4.19739	0.426767	0.9	0	1	3.61266	1.96066	3.47697	0.000364064	0	0.0166758	0.000540656	0.0120689	14.3851	0.01	0.123971	0.215525	0.01	0.215223	5	0.523034	0.387341	1.60304	0	3.94773	9.47093	0.116575	0	0.367557	0	0.0540151	19.0576	0.00139959	0.0124432	0.00588294	0.999335	4.97526	1152.82	0.504216	0.052275
85	5	0.348135	0.115463	0.115555	4.94598	0.0851553	2.55849	0.9395	1.10139	1.43515	4.19719	0.426718	0.9	0	1	3.61266	1.9606	3.47697	0.000364062	0	0.0166758	0.000540656	0.0120689	14.3861	0.01	0.123961	0.21555	0.01	0.215249	5	0.523032	0.387341	1.60297	0	3.94773	9.46878	0.116564	0	0.367557	0	0.0540152	19.0561	0.00139959	0.0124432	0.00588292	0.999315	4.97534	1152.77	0.504248	0.0522738
86	5	0.348125	0.115474	0.115566	4.94598	0.0851415	2.55826	0.939431	1.10126	1.43517	4.197	0.42667	0.9	0	1	3.61266	1.96055	3.47697	0.00036406	0	0.0166758	0.000540656	0.0120688	14.3872	0.01	0.123951	0.215575	0.01	0.215274	5	0.523031	0.387341	1.60291	0	3.94773	9.46661	0.116554	0	0.367557	0	0.0540153	19.0546	0.00139959	0.0124432	0.0058829	0.999295	4.97543	1152.72	0.50428	0.0522725
87	5	0.348115	0.115485	0.115577	4.94598	0.0851274	2.55803	0.939362	1.10113	1.4352	4.19679	0.42662	0.9	0	1	3.61266	1.96049	3.47697	0.000364058	0	0.0166758	0.000540656	0.0120688	14.3882	0.01	0.12394	0.215601	0.01	0.2153	5	0.523029	0.387341	1.60285	0	3.94773	9.46441	0.116543	0	0.367557	0	0.0540154	19.0531	0.00139959	0.0124432	0.00588288	0.999274	4.97551	1152.67	0.504313	0.0522712
88	5	0.348105	0.115497	0.115589	4.94598	0.0851132	2.55779	0.939292	1.101	1.43522	4.19659	0.42657	0.9	0	1	3.61266	1.96043	3.47697	0.000364056	0	0.0166758	0.000540657	0.0120688	14.3893	0.01	0.12393	0.215627	0.01	0.215326	5	0.523027	0.387341	1.60278	0	3.94773	9.46217	0.116532	0	0.367557	0	0.0540155	19.0516	0.00139959	0.0124432	0.00588286	0.999254	4.9756	1152.62	0.504346	0.0522699
89	5	0.348095	0.115508	0.1156	4.94598	0.0850989	2.55754	0.93922	1.10087	1.43525	4.19638	0.426519	0.9	0	1	3.61266	1.96037	3.47697	0.000364054	0	0.0166758	0.000540657	0.0120687	14.3904	0.01	0.123919	0.215654	0.01	0.215353	5	0.523026	0.387341	1.60272	0	3.94773	9.4599	0.116521	0	0.367557	0	0.0540156	19.05	0.00139959	0.0124432	0.00588284	0.999233	4.97568	1152.56	0.504379	0.0522686
90	5	0.348085	0.115519	0.115611	4.94598	0.0850843	2.5573	0.939148	1.10073	1.43528	4.19617	0.426467	0.9	0	1	3.61266	1.96031	3.47698	0.000364052	0	0.0166758	0.000540657	0.0120687	14.3915	0.01	0.123908	0.215681	0.01	0.215379	5	0.523024	0.387341	1.60265	0	3.94773	9.4576	0.11651	0	0.367557	0	0.0540157	19.0484	0.00139959	0.0124432	0.00588281	0.999211	4.97577	1152.51	0.504413	0.0522673
91	5	0.348075	0.115531	0.115623	4.94598	0.0850695	2.55705	0.939075	1.1006	1.4353	4.19596	0.426415	0.9	0	1	3.61266	1.96025	3.47698	0.00036405	0	0.0166758	0.000540657	0.0120687	14.3926	0.01	0.123897	0.215708	0.01	0.215407	5	0.523022	0.387342	1.60258	0	3.94773	9.45527	0.116498	0	0.367557	0	0.0540158	19.0468	0.00139959	0.0124432	0.00588279	0.99919	4.97586	1152.45	0.504448	0.0522659
92	5	0.348064	0.115543	0.115635	4.94598	0.0850545	2.5568	0.939	1.10046	1.43533	4.19574	0.426361	0.9	0	1	3.61266	1.96019	3.47698	0.000364048	0	0.0166758	0.000540657	0.0120686	14.3937	0.01	0.123886	0.215736	0.01	0.215434	5	0.52302	0.387342	1.60251	0	3.94774	9.4529	0.116487	0	0.367557	0	0.0540159	19.0452	0.00139959	0.0124432	0.00588277	0.999168	4.97595	1152.39	0.504483	0.0522645
93	5	0.348054	0.115555	0.115647	4.94598	0.0850392	2.55654	0.938925	1.10032	1.43536	4.19552	0.426307	0.9	0	1	3.61266	1.96012	3.47698	0.000364046	0	0.0166758	0.000540657	0.0120686	14.3949	0.01	0.123874	0.215764	0.01	0.215462	5	0.523018	0.387342	1.60245	0	3.94774	9.45049	0.116475	0	0.367557	0	0.054016	19.0436	0.00139959	0.0124432	0.00588274	0.999145	4.97604	1152.34	0.504519	0.0522631
94	5	0.348043	0.115567	0.115659	4.94598	0.0850238	2.55628	0.938848	1.10017	1.43539	4.1953	0.426252	0.9	0	1	3.61266	1.96006	3.47698	0.000364044	0	0.0166758	0.000540657	0.0120686	14.396	0.01	0.123863	0.215792	0.01	0.215491	5	0.523016	0.387342	1.60237	0	3.94774	9.44806	0.116463	0	0.367557	0	0.0540161	19.0419	0.00139959	0.0124432	0.00588272	0.999123	4.97613	1152.28	0.504555	0.0522617
95	5	0.348032	0.115579	0.115671	4.94598	0.0850082	2.55602	0.938771	1.10003	1.43541	4.19507	0.426197	0.9	0	1	3.61266	1.95999	3.47699	0.000364042	0	0.0166758	0.000540657	0.0120685	14.3972	0.01	0.123851	0.215821	0.01	0.215519	5	0.523015	0.387342	1.6023	0	3.94774	9.44559	0.116451	0	0.367557	0	0.0540162	19.0402	0.00139959	0.0124432	0.0058827	0.9991	4.97622	1152.22	0.504592	0.0522603
96	5	0.348021	0.115592	0.115684	4.94598	0.0849923	2.55575	0.938692	1.09988	1.43544	4.19484	0.42614	0.9	0	1	3.61266	1.95993	3.47699	0.00036404	0	0.0166758	0.000540657	0.0120685	14.3984	0.01	0.123839	0.21585	0.01	0.215549	5	0.523013	0.387342	1.60223	0	3.94774	9.44308	0.116439	0	0.367557	0	0.0540163	19.0385	0.00139959	0.0124432	0.00588267	0.999077	4.97632	1152.16	0.504629	0.0522588
97	5	0.348009	0.115604	0.115696	4.94598	0.0849762	2.55548	0.938612	1.09973	1.43547	4.19461	0.426083	0.9	0	1	3.61266	1.95986	3.47699	0.000364038	0	0.0166758	0.000540658	0.0120685	14.3996	0.01	0.123827	0.21588	0.01	0.215578	5	0.523011	0.387342	1.60216	0	3.94774	9.44053	0.116427	0	0.367557	0	0.0540164	19.0367	0.00139959	0.0124432	0.00588265	0.999053	4.97641	1152.1	0.504667	0.0522573
98	5	0.347998	0.115617	0.115709	4.94598	0.0849598	2.5552	0.938531	1.09958	1.4355	4.19437	0.426024	0.9	0	1	3.61266	1.95979	3.47699	0.000364035	0	0.0166758	0.000540658	0.0120684	14.4008	0.01	0.123815	0.21591	0.01	0.215608	5	0.523009	0.387342	1.60208	0	3.94774	9.43795	0.116414	0	0.367557	0	0.0540165	19.035	0.00139959	0.0124432	0.00588262	0.999029	4.97651	1152.04	0.504705	0.0522558
99	5	0.347986	0.11563	0.115722	4.94598	0.0849433	2.55492	0.938449	1.09942	1.43553	4.19413	0.425965	0.9	0	1	3.61266	1.95972	3.47699	0.000364033	0	0.0166758	0.000540658	0.0120684	14.402	0.01	0.123802	0.21594	0.01	0.215639	5	0.523007	0.387342	1.60201	0	3.94775	9.43533	0.116401	0	0.367557	0	0.0540166	19.0332	0.00139959	0.0124432	0.0058826	0.999005	4.97661	1151.97	0.504744	0.0522543
100	5	0.347974	0.115644	0.115736	4.94598	0.0849265	2.55464	0.938366	1.09927	1.43556	4.19389	0.425906	0.9	0	1	3.61266	1.95965	3.477	0.000364031	0	0.0166759	0.000540658	0.0120683	14.4033	0.01	0.123789	0.215971	0.01	0.21567	5	0.523005	0.387342	1.60193	0	3.94775	9.43268	0.116388	0	0.367557	0	0.0540167	19.0313	0.00139959	0.0124432	0.00588257	0.99898	4.97671	1151.91	0.504784	0.0522527
