Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
10	5	0.332569	0.102862	0.102958	4.94517	0.0983015	2.53721	1.00174	1.03227	1.46627	3.87201	0.399245	0.9	0	1	3.61235	1.88673	3.47794	0.000362991	0	0.0166333	0.000538819	0.0120501	10.2337	0.01	0.118097	0.17473	0.01	0.174428	5	0.522064	0.387654	1.48778	0	3.94645	9.45859	0.115576	0	0.367565	0	0.0548331	19.2047	0.00139591	0.0124355	0.00587091	0.967771	4.89995	1067.88	0.546997	0.0535537
11	5	0.335858	0.104353	0.104449	4.94548	0.0963925	2.54438	0.993043	1.04339	1.46008	3.93959	0.403685	0.9	0	1	3.61281	1.90185	3.47777	0.000363173	0	0.0166584	0.000539794	0.0120533	10.7009	0.01	0.119527	0.179602	0.01	0.1793	5	0.522228	0.387193	1.51204	0	3.94676	9.49092	0.11591	0	0.367554	0	0.0545155	19.1402	0.00139805	0.0124464	0.00587294	0.974453	4.91056	1085.55	0.538069	0.0532395
12	5	0.338434	0.105651	0.105746	4.94571	0.0948235	2.54989	0.985809	1.05265	1.45517	3.99313	0.407377	0.9	0	1	3.61293	1.91368	3.47764	0.000363321	0	0.0166673	0.000540157	0.0120559	11.1154	0.01	0.120636	0.183852	0.01	0.183551	5	0.522362	0.387073	1.5312	0	3.947	9.51473	0.116166	0	0.367551	0	0.054286	19.0955	0.00139882	0.0124492	0.00587461	0.979666	4.91937	1099.55	0.53115	0.0530017
13	5	0.340465	0.106783	0.106878	4.94588	0.0935213	2.55415	0.979749	1.06041	1.45126	4.03565	0.410464	0.9	0	1	3.61294	1.92301	3.47753	0.000363443	0	0.0166706	0.000540308	0.012058	11.4833	0.01	0.121499	0.187565	0.01	0.187264	5	0.522473	0.387063	1.54636	0	3.94718	9.53219	0.116364	0	0.367551	0	0.0541214	19.0652	0.00139911	0.0124495	0.00587598	0.983761	4.92673	1110.66	0.525729	0.0528213
14	5	0.342071	0.107773	0.107868	4.946	0.0924316	2.55744	0.974637	1.06692	1.44812	4.06948	0.413057	0.9	0	1	3.61291	1.93043	3.47744	0.000363544	0	0.0166721	0.000540382	0.0120598	11.8097	0.01	0.122171	0.190814	0.01	0.190513	5	0.522564	0.387086	1.55838	0	3.94732	9.54487	0.116517	0	0.367551	0	0.0540049	19.0454	0.00139923	0.012449	0.00587712	0.986996	4.93293	1119.49	0.521443	0.0526842
15	5	0.343347	0.10864	0.108734	4.94608	0.0915132	2.55998	0.970299	1.07243	1.4456	4.09645	0.415245	0.9	0	1	3.61288	1.93637	3.47736	0.000363629	0	0.0166728	0.000540427	0.0120613	12.0993	0.01	0.122694	0.19366	0.01	0.193359	5	0.522641	0.387115	1.56794	0	3.94742	9.55395	0.116634	0	0.367552	0	0.053924	19.0333	0.0013993	0.0124483	0.00587807	0.989563	4.93819	1126.53	0.518031	0.0525801
16	5	0.344362	0.109401	0.109494	4.94613	0.0907345	2.56193	0.9666	1.0771	1.44356	4.11797	0.417097	0.9	0	1	3.61286	1.94114	3.47729	0.0003637	0	0.0166732	0.000540459	0.0120625	12.3562	0.01	0.1231	0.196156	0.01	0.195855	5	0.522705	0.387143	1.57553	0	3.9475	9.56028	0.116725	0	0.367552	0	0.0538697	19.0268	0.00139934	0.0124477	0.00587887	0.991606	4.94267	1132.14	0.515298	0.0525013
17	5	0.345172	0.110069	0.110162	4.94616	0.0900705	2.56343	0.96343	1.08107	1.44191	4.13515	0.41867	0.9	0	1	3.61283	1.94499	3.47724	0.000363761	0	0.0166736	0.000540484	0.0120636	12.5841	0.01	0.123415	0.198348	0.01	0.198047	5	0.52276	0.387169	1.58158	0	3.94756	9.56454	0.116794	0	0.367553	0	0.0538352	19.0244	0.00139937	0.0124471	0.00587954	0.993238	4.9465	1136.63	0.513099	0.0524418
18	5	0.345819	0.110656	0.11075	4.94618	0.0895018	2.56458	0.960703	1.08445	1.44056	4.1489	0.42001	0.9	0	1	3.61281	1.94812	3.47719	0.000363812	0	0.0166739	0.000540506	0.0120645	12.7863	0.01	0.123659	0.200274	0.01	0.199973	5	0.522806	0.387191	1.58639	0	3.9476	9.56724	0.116847	0	0.367553	0	0.0538151	19.0247	0.0013994	0.0124466	0.00588011	0.994545	4.9498	1140.21	0.511322	0.0523973
19	5	0.346337	0.111174	0.111267	4.94619	0.0890126	2.56545	0.958349	1.08735	1.43947	4.15989	0.421155	0.9	0	1	3.61279	1.95065	3.47716	0.000363855	0	0.0166741	0.000540524	0.0120653	12.9656	0.01	0.123847	0.201969	0.01	0.201667	5	0.522845	0.38721	1.59023	0	3.94764	9.56874	0.116887	0	0.367554	0	0.0538057	19.0271	0.00139942	0.0124462	0.0058806	0.995593	4.95264	1143.07	0.50988	0.0523642
