Time	[CS]	[CD]	[CDCS]	[UVR8M]	[UCS]	[UVR8D]	[RUP]	[UR]	[UVR8_M]	[COP1]	[HY5]	[FHY3]	[DWD]	[CDW]
41	16.7063	0.169545	0.0570293	3.73777	1.53736	2.65059	48.5498	27.8863	0	4.2	3.01611	5	8.22657	11.7734
42	16.7066	0.169544	0.0570316	3.73775	1.5374	2.65058	48.5499	27.8863	0	4.2	3.01619	5	8.22658	11.7734
43	16.7069	0.169544	0.0570336	3.73772	1.53743	2.65058	48.5502	27.8863	0	4.2	3.01625	5	8.22658	11.7734
44	16.7071	0.169544	0.0570353	3.7377	1.53745	2.65057	48.5505	27.8862	0	4.2	3.0163	5	8.22658	11.7734
45	16.7073	0.169544	0.0570366	3.73767	1.53747	2.65057	48.5508	27.8862	0	4.2	3.01634	5	8.22658	11.7734
46	16.7075	0.169544	0.0570378	3.73765	1.53748	2.65057	48.5511	27.8862	0	4.2	3.01636	5	8.22658	11.7734
47	16.7076	0.169544	0.0570386	3.73763	1.53749	2.65057	48.5513	27.8862	0	4.2	3.01638	5	8.22658	11.7734
48	16.7077	0.169544	0.0570393	3.73761	1.5375	2.65057	48.5516	27.8862	0	4.2	3.01639	5	8.22658	11.7734
49	16.7078	0.169544	0.0570399	3.7376	1.5375	2.65057	48.5518	27.8863	0	4.2	3.0164	5	8.22658	11.7734
50	16.7079	0.169544	0.0570403	3.73759	1.5375	2.65058	48.552	27.8863	0	4.2	3.0164	5	8.22658	11.7734
51	16.7079	0.169544	0.0570406	3.73758	1.5375	2.65058	48.5521	27.8863	0	4.2	3.01641	5	8.22658	11.7734
52	16.708	0.169544	0.0570408	3.73757	1.5375	2.65058	48.5522	27.8863	0	4.2	3.01641	5	8.22658	11.7734
53	16.708	0.169544	0.057041	3.73756	1.5375	2.65058	48.5523	27.8863	0	4.2	3.01641	5	8.22659	11.7734
54	16.708	0.169544	0.0570411	3.73756	1.5375	2.65058	48.5524	27.8863	0	4.2	3.01641	5	8.22659	11.7734
55	16.708	0.169544	0.0570411	3.73756	1.5375	2.65058	48.5525	27.8863	0	4.2	3.01641	5	8.22659	11.7734
56	16.708	0.169544	0.0570412	3.73755	1.5375	2.65058	48.5525	27.8863	0	4.2	3.0164	5	8.22659	11.7734
57	16.708	0.169544	0.0570412	3.73755	1.5375	2.65058	48.5525	27.8863	0	4.2	3.0164	5	8.22659	11.7734
58	16.708	0.169544	0.0570412	3.73755	1.5375	2.65058	48.5525	27.8863	0	4.2	3.0164	5	8.22659	11.7734
59	16.708	0.169544	0.0570412	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
60	16.708	0.169544	0.0570412	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
61	16.708	0.169544	0.0570412	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
62	16.708	0.169544	0.0570412	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
63	16.708	0.169544	0.0570412	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
64	16.708	0.169544	0.0570412	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
65	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
66	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
67	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
68	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
69	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
70	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.0164	5	8.22659	11.7734
71	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
72	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
73	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
74	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
75	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
76	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
77	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
78	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
79	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
80	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
81	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
82	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
83	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
84	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
