Time	[Ca_ex]	[Ca_s]	[Ca_c]	[Ca_B]	[s5]	[IP3]	[s7]	[s8]	[s9]	[s10]	[s11]	[TimeT]	[s13]	[PDK1]	[PP2A]	[AKT]	[PI3P]	[PTEN]	[PIP2]	[p-PI3K]	[s3]	[PI3K]	[Time]	[PDK2]	[PDK1_cyto]	[p-AKT:PI3P]	[pp-AKT:PI3P]	[AKT:PI3P]	[s35]	[s37]	[pre_time]	[Time]	[AP-1]	[pp-JNKK]	[pp-JNK]	[eNOS-CaM-Ca4]	[CaM-Ca4]	[CaM-Ca2]	[KLF2]	[eNOS-CaM-Ca2]	[eNOS-Cav-1]	[Calmodulin]	[Hsp90]	[Hsp90-eNOS-CaM-Ca4]	[Hsp90-p-eNOS-CaM-Ca4]	[Hsp90-eNOS-CaM-Ca2]	[Hsp90-p-eNOS-CaM-Ca2]	[L-Arg]	[NO]	[Hsp90-p-eNOS]	[Hsp90-eNOS]	[Shc]	[p-Src]	[p-FAK]	[Src]	[FAK]	[JNKK]	[MEKK1]	[p-Shc]	[JNK]	[p-JNKK]	[p-MEKK1]	[Ras:GTP]	[Ras:GDP]	[p-JNK]	[KLF2]	[eNOS{Cell}]	[aAP-1]	[eNOS{nucleus}]	[p-FAK:Shc]	[Grb2:Sos]	[p-FAK:p-Shc]	[p-FAK:p-Shc:Grb2:Sos]	[p-Shc:Grb2:Sos]	[eNOS{nucleus}]	[sa49_degraded]	[s117]	[s118]	[Shear Stress]
10	1.5e+06	2.83041e+06	113.749	4383.71	0	3.35919	-18.9899	15.6308	5533.33	23541.6	-30000	5	-5	0.967916	150	144.279	1.5562	0.1	6942.72	53.401	-10	46.599	10	3	999.032	1.48593	1.72304	52.5106	0.00089992	9999.95	-10	10	50	0.00591606	1.1728e-08	0.0389788	2.66594	337.651	10.0046	2.0491	35.8706	7646.26	199988	0.94687	0.00827134	10.2772	0.101883	499799	201.047	0.625581	0.080913	761.374	19.0787	0.735018	70.9213	16.478	299.706	98.4954	174.533	299.997	0.288366	1.50458	0.779322	119.221	0.00300813	10.0046	3.214	1.57337e-12	-0.000900207	2.01807	1.28096	53.3568	7.41316	1.30588	-0.000900207	0.0339506	0.00199815	0.000675879	0
11	1.5e+06	2.83043e+06	114.204	4400.58	0	3.70565	-22.8693	19.1636	6098.41	25943	-33000	5.5	-5.5	1.11286	150	138.612	1.77439	0.1	6936.84	57.9244	-11	42.0756	11	3	998.887	1.49846	1.72307	58.166	0.000989912	9999.95	-11	11	50	0.00591045	1.28729e-08	0.0391831	2.68662	338.917	10.0051	2.0515	35.8115	7644.92	199988	0.954664	0.00832437	10.3258	0.102127	499778	221.651	0.625478	0.0808758	759.793	19.2201	0.7359	70.7799	15.8519	299.706	98.4902	175.489	299.997	0.288474	1.50984	0.799345	119.201	0.00300886	10.0051	3.214	1.9007e-12	-0.00099025	2.02194	1.26851	53.9662	7.42507	1.30642	-0.00099025	0.0373376	0.0021956	0.000742633	0
12	1.5e+06	2.83043e+06	114.75	4420.84	0	4.04691	-27.0872	23.0403	6665.41	28352.1	-36000	6	-6	1.26794	150	132.533	2.00626	0.1	6930.53	61.4801	-12	38.5199	12	3	998.732	1.51479	1.72311	64.2276	0.0010799	9999.94	-12	12	50	0.00590556	1.40131e-08	0.0394235	2.71159	340.439	10.0055	2.05408	35.7421	7643.3	199988	0.96392	0.00838852	10.3825	0.102424	499758	242.406	0.625642	0.0808736	758.432	19.3651	0.73667	70.6349	15.2944	299.705	98.4843	176.293	299.997	0.288605	1.51568	0.819033	119.181	0.00300957	10.0055	3.214	2.25836e-12	-0.0010803	2.02343	1.25758	54.5109	7.43552	1.30689	-0.0010803	0.0407186	0.0023933	0.000809389	0
13	1.5e+06	2.83042e+06	115.396	4444.79	0	4.38304	-31.6388	27.2557	7234.66	30770.5	-39000	6.5	-6.5	1.43278	150	126.151	2.25143	0.1	6923.9	64.0115	-13	35.9885	13	3	998.567	1.53564	1.72316	70.5888	0.0011699	9999.94	-13	13	50	0.00590142	1.5149e-08	0.0397065	2.74129	342.241	10.006	2.05702	35.6603	7641.39	199988	0.974889	0.00846524	10.4492	0.102782	499737	263.341	0.626069	0.080905	757.255	19.5137	0.737341	70.4863	14.7948	299.705	98.4779	176.97	299.997	0.28876	1.52206	0.838401	119.162	0.00301027	10.006	3.214	2.64622e-12	-0.00117035	2.0229	1.24791	55.0012	7.44476	1.30733	-0.00117035	0.0440925	0.00259128	0.000876174	0
14	1.5e+06	2.83039e+06	116.149	4472.68	0	4.71411	-36.5188	31.8047	7806.57	33199.7	-42000	7	-7	1.60709	150	119.575	2.50959	0.1	6917.07	65.5066	-14	34.4934	14	3	998.393	1.56177	1.72322	77.1393	0.00125989	9999.93	-14	14	50	0.00589809	1.62806e-08	0.0400378	2.77609	344.341	10.0064	2.0605	35.564	7639.16	199988	0.987798	0.00855584	10.5276	0.10321	499716	284.49	0.626768	0.0809699	756.232	19.6654	0.737926	70.3346	14.3445	299.705	98.471	177.542	299.997	0.288943	1.52899	0.857467	119.143	0.00301096	10.0064	3.214	3.06415e-12	-0.00126041	2.02067	1.23928	55.445	7.45299	1.30774	-0.00126041	0.047458	0.0027896	0.000943017	0
15	1.5e+06	2.83034e+06	117.012	4504.68	0	5.04021	-41.7225	36.6823	8381.51	35641.3	-45000	7.5	-7.5	1.79059	150	112.912	2.78038	0.1	6910.13	65.993	-15	34.007	15	3	998.209	1.59395	1.72331	83.7698	0.00134988	9999.93	-15	15	50	0.00589561	1.74082e-08	0.0404224	2.81633	346.754	10.0069	2.06467	35.4512	7636.59	199987	1.00286	0.00866151	10.6191	0.103714	499694	305.891	0.627751	0.0810695	755.339	19.8202	0.738437	70.1798	13.9366	299.705	98.4636	178.028	299.997	0.289154	1.53643	0.876249	119.124	0.00301165	10.0069	3.214	3.51202e-12	-0.00135047	2.01697	1.23152	55.8486	7.46035	1.30813	-0.00135047	0.0508136	0.00298831	0.00100995	0
16	1.5e+06	2.83027e+06	117.992	4540.95	0	5.3614	-47.2449	41.8835	8959.9	38097	-48000	8	-8	1.983	150	106.266	3.06335	0.1	6903.2	65.5318	-16	34.4682	16	3	998.017	1.63298	1.72343	90.3763	0.00143987	9999.92	-16	16	50	0.00589402	1.85318e-08	0.0408647	2.86233	349.491	10.0074	2.06968	35.3203	7633.68	199987	1.02027	0.00878336	10.7249	0.1043	499672	327.585	0.629036	0.0812055	754.555	19.9779	0.738883	70.0221	13.5658	299.705	98.4556	178.441	299.997	0.289395	1.54439	0.894761	119.105	0.00301233	10.0074	3.214	3.98973e-12	-0.00144053	2.01202	1.22452	56.2173	7.46697	1.3085	-0.00144053	0.0541577	0.00318749	0.00107699	0
17	1.5e+06	2.83018e+06	119.091	4581.62	0	5.67777	-53.0812	47.4035	9542.16	40568.6	-51000	8.5	-8.5	2.18395	150	99.7329	3.35782	0.1	6896.38	64.2104	-17	35.7896	17	3	997.816	1.67963	1.72358	96.8629	0.00152986	9999.92	-17	17	50	0.00589336	1.96517e-08	0.0413684	2.91438	352.563	10.0078	2.07562	35.17	7630.41	199987	1.04021	0.00892243	10.8463	0.104974	499650	349.617	0.630644	0.0813803	753.862	20.1383	0.739273	69.8617	13.2275	299.704	98.4472	178.795	299.997	0.289668	1.55284	0.91302	119.087	0.003013	10.0078	3.214	4.49716e-12	-0.0015306	2.00599	1.21817	56.5553	7.47296	1.30886	-0.0015306	0.0574885	0.00338723	0.00114419	0
18	1.5e+06	2.83005e+06	120.313	4626.8	0	5.98937	-59.2268	53.2374	10128.7	43057.8	-54000	9	-9	2.39294	150	93.3961	3.66286	0.1	6889.73	62.1356	-18	37.8644	18	3	997.607	1.73466	1.72377	103.145	0.00161986	9999.91	-18	18	50	0.00589367	2.07682e-08	0.0419367	2.9728	355.977	10.0083	2.08255	34.9989	7626.76	199987	1.06288	0.00907973	10.9841	0.10574	499628	372.035	0.632596	0.0815964	753.248	20.3012	0.739614	69.6988	12.9179	299.704	98.4382	179.1	299.997	0.289975	1.56176	0.93104	119.069	0.00301367	10.0083	3.214	5.03419e-12	-0.00162067	1.99901	1.21239	56.8661	7.4784	1.30921	-0.00162067	0.0608042	0.00358763	0.00121158	0
19	1.5e+06	2.8299e+06	121.66	4676.58	0	6.29629	-65.6769	59.3807	10719.9	45566.4	-57000	9.5	-9.5	2.60924	150	87.3274	3.97713	0.1	6883.35	59.4267	-19	40.5733	19	3	997.391	1.79874	1.724	109.149	0.00170985	9999.91	-19	19	50	0.00589499	2.18813e-08	0.0425725	3.03787	359.74	10.0087	2.09054	34.8059	7622.75	199987	1.08844	0.00925626	11.1393	0.106602	499605	394.891	0.634914	0.0818566	752.701	20.4666	0.739913	69.5334	12.6338	299.704	98.4288	179.364	299.997	0.290317	1.57116	0.948833	119.051	0.00301434	10.0087	3.214	5.60073e-12	-0.00171075	1.9912	1.2071	57.1528	7.48335	1.30955	-0.00171075	0.0641026	0.0037888	0.00127919	0
