Time	[Ca_ex]	[Ca_s]	[Ca_c]	[Ca_B]	[s5]	[IP3]	[s7]	[s8]	[s9]	[s10]	[s11]	[TimeT]	[s13]	[PDK1]	[PP2A]	[AKT]	[PI3P]	[PTEN]	[PIP2]	[p-PI3K]	[s3]	[PI3K]	[Time]	[PDK2]	[PDK1_cyto]	[p-AKT:PI3P]	[pp-AKT:PI3P]	[AKT:PI3P]	[s35]	[s37]	[pre_time]	[Time]	[AP-1]	[pp-JNKK]	[pp-JNK]	[eNOS-CaM-Ca4]	[CaM-Ca4]	[CaM-Ca2]	[KLF2]	[eNOS-CaM-Ca2]	[eNOS-Cav-1]	[Calmodulin]	[Hsp90]	[Hsp90-eNOS-CaM-Ca4]	[Hsp90-p-eNOS-CaM-Ca4]	[Hsp90-eNOS-CaM-Ca2]	[Hsp90-p-eNOS-CaM-Ca2]	[L-Arg]	[NO]	[Hsp90-p-eNOS]	[Hsp90-eNOS]	[Shc]	[p-Src]	[p-FAK]	[Src]	[FAK]	[JNKK]	[MEKK1]	[p-Shc]	[JNK]	[p-JNKK]	[p-MEKK1]	[Ras:GTP]	[Ras:GDP]	[p-JNK]	[KLF2]	[eNOS{Cell}]	[aAP-1]	[eNOS{nucleus}]	[p-FAK:Shc]	[Grb2:Sos]	[p-FAK:p-Shc]	[p-FAK:p-Shc:Grb2:Sos]	[p-Shc:Grb2:Sos]	[eNOS{nucleus}]	[sa49_degraded]	[s117]	[s118]	[Shear Stress]
30	1.5e+06	2.82571e+06	145.243	5541.09	0	9.38258	-155.468	146.086	17652.3	74940.3	-90000	15	-15	4.98364	150	46.0326	7.24893	0.1	6838.78	19.2234	-30	80.7766	30	3	995.016	3.193	1.73166	149.042	0.00269976	9999.86	-30	30	50	0.00598657	3.39765e-08	0.0544356	4.28637	425.156	10.0138	2.24175	31.0613	7552.4	199983	1.61195	0.012744	14.1174	0.122976	499307	693.048	0.68859	0.0881644	749.172	22.4202	0.741488	67.5798	10.6293	299.697	98.2976	180.886	299.997	0.296692	1.70238	1.13246	118.868	0.00302225	10.0138	3.214	1.3757e-11	-0.00270186	1.87344	1.16985	59.2393	7.51742	1.31273	-0.00270186	0.0986037	0.00608138	0.0020502	0
31	1.5e+06	2.82504e+06	148.207	5648.86	0	9.63848	-165.235	155.597	18332.3	77815.2	-93000	15.5	-15.5	5.14006	150	44.4158	7.4454	0.1	6836.97	16.5055	-31	83.4945	31	3	994.86	3.37793	1.73303	150.472	0.00278975	9999.85	-31	31	50	0.00600278	3.50693e-08	0.0559615	4.45774	433.306	10.0143	2.25926	30.5674	7543.59	199983	1.68634	0.0132273	14.5068	0.125097	499274	726.317	0.696159	0.089071	748.981	22.608	0.741536	67.392	10.5164	299.696	98.2834	180.964	299.997	0.297532	1.7166	1.14825	118.852	0.00302308	10.0143	3.214	1.46719e-11	-0.00279199	1.86117	1.16771	59.3626	7.51931	1.31298	-0.00279199	0.101516	0.00629927	0.002124	0
32	1.5e+06	2.82432e+06	151.31	5761.42	0	9.89052	-175.252	165.361	19022.4	80730.6	-96000	16	-16	5.27893	150	43.0461	7.61638	0.1	6835.43	14.0682	-32	85.9318	32	3	994.721	3.5698	1.73453	151.649	0.00287974	9999.85	-32	32	50	0.00602044	3.61622e-08	0.0575566	4.64046	441.816	10.0147	2.27688	30.0488	7534.39	199982	1.76595	0.0137427	14.9149	0.127319	499239	760.979	0.704154	0.0900309	748.802	22.7973	0.741575	67.2027	10.4114	299.696	98.2688	181.037	299.997	0.298418	1.73116	1.16392	118.836	0.00302393	10.0147	3.214	1.56156e-11	-0.00288212	1.84877	1.16572	59.4782	7.52107	1.31321	-0.00288212	0.10438	0.00651897	0.00219862	0
33	1.5e+06	2.82354e+06	154.549	5878.73	0	10.1388	-185.515	175.376	19723.1	83687.8	-99000	16.5	-16.5	5.40004	150	41.8946	7.76239	0.1	6834.13	11.9049	-33	88.0951	33	3	994.6	3.76772	1.73618	152.601	0.00296974	9999.84	-33	33	50	0.00603958	3.72555e-08	0.0592179	4.83496	450.682	10.0152	2.29447	29.5062	7524.79	199982	1.85095	0.014291	15.341	0.129638	499203	797.13	0.712562	0.0910427	748.636	22.9879	0.741604	67.0121	10.3139	299.695	98.2539	181.106	299.997	0.299352	1.74607	1.17946	118.821	0.00302481	10.0152	3.214	1.65881e-11	-0.00297225	1.83628	1.16385	59.5865	7.5227	1.31345	-0.00297225	0.107194	0.00674048	0.00227411	0
34	1.5e+06	2.82271e+06	157.925	6000.71	0	10.3833	-196.021	185.638	20434.8	86688.1	-102000	17	-17	5.50372	150	40.9338	7.88459	0.1	6833.05	10.0037	-34	89.9963	34	3	994.496	3.97078	1.73798	153.356	0.00305973	9999.84	-34	34	50	0.00606023	3.83495e-08	0.0609421	5.04164	459.898	10.0156	2.31187	28.9403	7514.81	199981	1.94146	0.0148731	15.7844	0.132052	499165	834.865	0.721366	0.0921042	748.479	23.1799	0.741626	66.8201	10.2233	299.694	98.2387	181.172	299.997	0.300332	1.76131	1.19489	118.805	0.00302573	10.0156	3.214	1.75893e-11	-0.00306239	1.82372	1.1621	59.6881	7.52422	1.31368	-0.00306239	0.109956	0.00696381	0.00235052	0
35	1.5e+06	2.82181e+06	161.437	6127.31	0	10.6242	-206.766	196.142	21158.3	89732.5	-105000	17.5	-17.5	5.59075	150	40.1386	7.98463	0.1	6832.15	8.34853	-35	91.6515	35	3	994.409	4.17811	1.73993	153.942	0.00314972	9999.83	-35	35	50	0.00608243	3.94445e-08	0.0627251	5.26091	469.459	10.0161	2.32893	28.3524	7504.46	199981	2.03759	0.01549	16.244	0.134558	499126	874.284	0.730547	0.0932132	748.333	23.3731	0.74164	66.6269	10.1392	299.693	98.2231	181.234	299.997	0.301361	1.77687	1.21021	118.79	0.00302668	10.0161	3.214	1.86193e-11	-0.00315253	1.8111	1.16047	59.7834	7.52563	1.3139	-0.00315253	0.112663	0.00718893	0.00242787	0
36	1.5e+06	2.82085e+06	165.082	6258.44	0	10.8614	-217.746	206.885	21893.8	92822.2	-108000	18	-18	5.66227	150	39.4858	8.06456	0.1	6831.42	6.92053	-36	93.0795	36	3	994.338	4.38892	1.74204	154.382	0.00323971	9999.83	-36	36	50	0.0061062	4.0541e-08	0.0645622	5.49317	479.359	10.0166	2.34549	27.7434	7493.73	199980	2.13945	0.0161423	16.7187	0.137151	499085	915.487	0.740084	0.0943671	748.195	23.5676	0.741647	66.4324	10.0612	299.691	98.2072	181.294	299.997	0.302437	1.79276	1.22542	118.775	0.00302767	10.0166	3.214	1.96781e-11	-0.00324268	1.79845	1.15894	59.8728	7.52695	1.31411	-0.00324268	0.115314	0.00741582	0.00250622	0
37	1.5e+06	2.81982e+06	168.859	6393.99	0	11.095	-228.958	217.863	22642.2	95958	-111000	18.5	-18.5	5.71965	150	38.9547	8.12658	0.1	6830.83	5.69922	-37	94.3008	37	3	994.28	4.60243	1.74431	154.698	0.0033297	9999.83	-37	37	50	0.00613157	4.16391e-08	0.0664484	5.7388	489.588	10.017	2.36139	27.1149	7482.63	199979	2.24708	0.0168309	17.2073	0.139829	499041	958.576	0.749953	0.0955631	748.065	23.7633	0.741647	66.2367	9.98888	299.69	98.191	181.351	299.997	0.303562	1.80895	1.24053	118.759	0.0030287	10.017	3.214	2.07658e-11	-0.00333283	1.78577	1.15751	59.9565	7.52817	1.31433	-0.00333283	0.117906	0.00764441	0.00258559	0
38	1.5e+06	2.81874e+06	172.765	6533.86	0	11.3252	-240.399	229.074	23403.9	99141	-114000	19	-19	5.76441	150	38.5268	8.17298	0.1	6830.35	4.66343	-38	95.3366	38	3	994.236	4.81799	1.74673	154.907	0.0034197	9999.82	-38	38	50	0.00615858	4.27393e-08	0.068378	5.99816	500.139	10.0175	2.37649	26.4684	7471.19	199979	2.36052	0.0175562	17.7085	0.142586	498996	1003.65	0.76013	0.0967981	747.943	23.9602	0.741642	66.0398	9.92191	299.689	98.1745	181.406	299.997	0.304735	1.82546	1.25553	118.744	0.00302978	10.0175	3.214	2.18823e-11	-0.00342299	1.77308	1.15617	60.0351	7.5293	1.31453	-0.00342299	0.120438	0.00787466	0.00266603	0
39	1.5e+06	2.81758e+06	176.799	6677.93	0	11.5519	-252.064	240.513	24179.6	102372	-117000	19.5	-19.5	5.79813	150	38.1858	8.20598	0.1	6829.98	3.79213	-39	96.2079	39	3	994.202	5.035	1.74932	155.029	0.00350969	9999.82	-39	39	50	0.00618725	4.3842e-08	0.0703447	6.27159	511.001	10.0179	2.39062	25.8056	7459.4	199978	2.47977	0.0183189	18.2206	0.145418	498949	1050.82	0.770588	0.0980688	747.828	24.1582	0.741632	65.8418	9.85998	299.688	98.1577	181.459	299.997	0.305957	1.84227	1.27043	118.73	0.0030309	10.0179	3.214	2.30277e-11	-0.00351315	1.76039	1.15491	60.1086	7.53035	1.31474	-0.00351315	0.122908	0.00810646	0.00274756	0
40	1.5e+06	2.81636e+06	180.958	6826.07	0	11.7751	-263.952	252.176	24970.2	105651	-120000	20	-20	5.82234	150	37.9176	8.22767	0.1	6829.69	3.06498	-40	96.935	40	3	994.178	5.25294	1.75207	155.076	0.00359968	9999.81	-40	40	50	0.00621761	4.49473e-08	0.0723418	6.55939	522.165	10.0184	2.40366	25.1284	7447.29	199977	2.60478	0.0191192	18.742	0.14832	498900	1100.17	0.781297	0.0993717	747.72	24.3572	0.741616	65.6428	9.80278	299.687	98.1406	181.51	299.997	0.307229	1.85937	1.28524	118.715	0.00303208	10.0184	3.214	2.42021e-11	-0.00360331	1.74772	1.15374	60.1776	7.53133	1.31493	-0.00360331	0.125315	0.00833974	0.00283022	0
41	1.5e+06	2.81507e+06	185.237	6978.11	0	11.9951	-276.057	264.062	25776.2	108980	-123000	20.5	-20.5	5.83849	150	37.7098	8.23997	0.1	6829.47	2.46281	-41	97.5372	41	3	994.162	5.47138	1.75497	155.063	0.00368967	9999.81	-41	41	50	0.0062497	4.60558e-08	0.0743623	6.86185	533.618	10.0189	2.41545	24.4389	7434.85	199977	2.73547	0.0199576	19.271	0.151286	498848	1151.82	0.792229	0.100703	747.618	24.5573	0.741596	65.4427	9.75005	299.685	98.1232	181.559	299.997	0.308549	1.87677	1.29996	118.7	0.0030333	10.0189	3.214	2.54056e-11	-0.00369348	1.73507	1.15264	60.2421	7.53223	1.31513	-0.00369348	0.127657	0.00857439	0.00291402	0
42	1.5e+06	2.81371e+06	189.634	7133.9	0	12.2117	-288.377	276.165	26598.6	112359	-126000	21	-21	5.84793	150	37.5519	8.24457	0.1	6829.31	1.96786	-42	98.0321	42	3	994.152	5.68995	1.75805	154.999	0.00377966	9999.8	-42	42	50	0.00628354	4.71678e-08	0.0763986	7.1792	545.347	10.0193	2.42589	23.7393	7422.12	199976	2.87171	0.0208341	19.8055	0.154311	498794	1205.85	0.803353	0.102059	747.521	24.7585	0.741572	65.2415	9.70152	299.684	98.1056	181.607	299.997	0.309919	1.89445	1.31459	118.685	0.00303458	10.0193	3.214	2.66381e-11	-0.00378365	1.72246	1.15162	60.3024	7.53307	1.31532	-0.00378365	0.129934	0.00881028	0.00299899	0
43	1.5e+06	2.81227e+06	194.145	7293.27	0	12.425	-300.909	288.484	27438.2	115787	-129000	21.5	-21.5	5.85183	150	37.4348	8.24296	0.1	6829.19	1.56404	-43	98.436	43	3	994.148	5.90836	1.76128	154.895	0.00386966	9999.8	-43	43	50	0.00631916	4.82836e-08	0.0784431	7.51165	557.339	10.0198	2.43485	23.0318	7409.1	199975	3.01334	0.0217488	20.3437	0.15739	498738	1262.37	0.814636	0.103436	747.43	24.9606	0.741543	65.0394	9.65698	299.682	98.0876	181.653	299.997	0.311339	1.91241	1.32914	118.671	0.00303592	10.0198	3.214	2.78999e-11	-0.00387383	1.70988	1.15066	60.3588	7.53384	1.3155	-0.00387383	0.132144	0.00904728	0.00308515	0
44	1.5e+06	2.81077e+06	198.764	7456.02	0	12.6352	-313.65	301.014	28296	119267	-132000	22	-22	5.85126	150	37.351	8.23637	0.1	6829.11	1.23692	-44	98.7631	44	3	994.149	6.12634	1.76467	154.757	0.00395965	9999.79	-44	44	50	0.00635659	4.94037e-08	0.0804879	7.85934	569.579	10.0203	2.44223	22.3189	7395.81	199975	3.16015	0.0227015	20.8835	0.160516	498679	1321.46	0.826047	0.10483	747.344	25.1636	0.741511	64.8364	9.61619	299.681	98.0694	181.698	299.997	0.312808	1.93064	1.34359	118.656	0.00303733	10.0203	3.214	2.9191e-11	-0.00396401	1.69736	1.14977	60.4114	7.53455	1.31568	-0.00396401	0.134286	0.00928524	0.00317251	0
45	1.5e+06	2.80919e+06	203.488	7621.95	0	12.8422	-326.595	313.753	29172.8	122797	-135000	22.5	-22.5	5.84709	150	37.2941	8.22586	0.1	6829.07	0.973798	-45	99.0262	45	3	994.153	6.34372	1.76823	154.593	0.00404964	9999.79	-45	45	50	0.00639586	5.05284e-08	0.0825251	8.2224	582.053	10.0207	2.44795	21.603	7382.27	199974	3.31188	0.023692	21.4228	0.163684	498617	1383.22	0.837553	0.106237	747.263	25.3676	0.741475	64.6324	9.57896	299.679	98.0508	181.742	299.997	0.314328	1.94915	1.35797	118.642	0.00303879	10.0207	3.214	3.05115e-11	-0.00405419	1.68489	1.14894	60.4605	7.53521	1.31586	-0.00405419	0.136362	0.00952402	0.00326109	0
46	1.5e+06	2.80754e+06	208.31	7790.87	0	13.046	-339.744	326.698	30069.8	126378	-138000	23	-23	5.84007	150	37.2589	8.21231	0.1	6829.05	0.763619	-46	99.2364	46	3	994.16	6.56032	1.77194	154.408	0.00413963	9999.78	-46	46	50	0.00643701	5.16581e-08	0.0845466	8.60087	594.743	10.0212	2.45195	20.8866	7368.5	199973	3.46824	0.0247199	21.9596	0.166887	498552	1447.72	0.849123	0.107653	747.186	25.5725	0.741436	64.4275	9.54511	299.678	98.0321	181.784	299.997	0.315897	1.96793	1.37227	118.628	0.00304033	10.0212	3.214	3.18615e-11	-0.00414438	1.67248	1.14816	60.5062	7.53581	1.31603	-0.00414438	0.138369	0.00976345	0.00335089	0
47	1.5e+06	2.80581e+06	213.227	7962.55	0	13.2468	-353.091	339.844	30987.9	130011	-141000	23.5	-23.5	5.83082	150	37.2409	8.1964	0.1	6829.04	0.596867	-47	99.4031	47	3	994.169	6.77602	1.77582	154.206	0.00422962	9999.78	-47	47	50	0.00648005	5.27933e-08	0.0865449	8.99478	607.634	10.0216	2.45417	20.1722	7354.51	199973	3.6289	0.0257847	22.4918	0.170121	498485	1515.04	0.860725	0.109073	747.114	25.7782	0.741394	64.2218	9.51445	299.676	98.013	181.826	299.997	0.317516	1.98696	1.38649	118.614	0.00304193	10.0216	3.214	3.32411e-11	-0.00423457	1.66014	1.14744	60.5487	7.53636	1.3162	-0.00423457	0.140309	0.0100034	0.00344192	0
48	1.5e+06	2.80401e+06	218.232	8136.78	0	13.4446	-366.635	353.19	31928.3	133694	-144000	24	-24	5.81986	150	37.2366	8.17872	0.1	6829.06	0.46545	-48	99.5345	48	3	994.18	6.99074	1.77985	153.992	0.00431962	9999.77	-48	48	50	0.00652503	5.39343e-08	0.0885125	9.40408	620.709	10.0221	2.45457	19.4622	7340.33	199972	3.79351	0.0268858	23.0174	0.17338	498415	1585.25	0.872328	0.110495	747.045	25.9848	0.74135	64.0152	9.48682	299.674	97.9937	181.867	299.997	0.319184	2.00625	1.40064	118.599	0.00304361	10.0221	3.214	3.46506e-11	-0.00432477	1.64787	1.14677	60.5881	7.53686	1.31637	-0.00432477	0.142182	0.0102436	0.00353418	0
49	1.5e+06	2.80213e+06	223.319	8313.34	0	13.6394	-380.372	366.733	32892.2	137429	-147000	24.5	-24.5	5.80758	150	37.2431	8.1597	0.1	6829.08	0.362561	-49	99.6374	49	3	994.192	7.20439	1.78405	153.767	0.00440961	9999.77	-49	49	50	0.00657197	5.50816e-08	0.0904423	9.82871	633.951	10.0226	2.45315	18.7591	7325.98	199971	3.96167	0.0280225	23.5345	0.176657	498342	1658.42	0.883903	0.111914	746.981	26.1921	0.741302	63.8079	9.46207	299.673	97.9742	181.906	299.997	0.320903	2.0258	1.41471	118.585	0.00304537	10.0226	3.214	3.60899e-11	-0.00441497	1.63568	1.14615	60.6246	7.53732	1.31653	-0.00441497	0.143988	0.0104839	0.00362767	0
50	1.5e+06	2.80017e+06	228.484	8492	0	13.8313	-394.3	380.468	33880.6	141215	-150000	25	-25	5.79432	150	37.258	8.1397	0.1	6829.12	0.282527	-50	99.7175	50	3	994.206	7.41694	1.7884	153.536	0.0044996	9999.76	-50	50	50	0.0066209	5.62355e-08	0.0923278	10.2685	647.342	10.023	2.44991	18.065	7311.46	199970	4.13299	0.0291939	24.0412	0.179948	498265	1734.6	0.895421	0.113327	746.92	26.4002	0.741252	63.5998	9.44006	299.671	97.9544	181.945	299.997	0.322672	2.0456	1.42871	118.571	0.00304721	10.023	3.214	3.75594e-11	-0.00450517	1.62357	1.14557	60.6584	7.53773	1.31669	-0.00450517	0.145728	0.0107243	0.00372239	0
51	1.5e+06	2.79814e+06	233.72	8672.55	0	14.0203	-408.415	394.394	34894.8	145051	-153000	25.5	-25.5	5.78033	150	37.2795	8.11899	0.1	6829.16	0.220669	-51	99.7793	51	3	994.22	7.62832	1.7929	153.298	0.00458959	9999.76	-51	51	50	0.00667185	5.73966e-08	0.094163	10.7234	660.868	10.0235	2.44485	17.3822	7296.81	199970	4.30703	0.0303992	24.5359	0.183249	498186	1813.84	0.906857	0.114731	746.862	26.6091	0.7412	63.3909	9.42065	299.669	97.9344	181.983	299.997	0.32449	2.06564	1.44264	118.557	0.00304914	10.0235	3.214	3.90592e-11	-0.00459538	1.61155	1.14505	60.6895	7.5381	1.31685	-0.00459538	0.147403	0.0109644	0.00381832	0
52	1.5e+06	2.79602e+06	239.022	8854.78	0	14.2065	-422.714	408.508	35936	148938	-156000	26	-26	5.76581	150	37.306	8.09778	0.1	6829.21	0.17316	-52	99.8268	52	3	994.234	7.83853	1.79756	153.057	0.00467958	9999.75	-52	52	50	0.00672486	5.85652e-08	0.0959425	11.1932	674.51	10.0239	2.43803	16.7125	7282.04	199969	4.48337	0.0316375	25.017	0.186554	498104	1896.18	0.918186	0.116121	746.808	26.8187	0.741146	63.1813	9.40373	299.667	97.9141	182.02	299.997	0.326359	2.08592	1.45651	118.543	0.00305115	10.0239	3.214	4.05894e-11	-0.0046856	1.59961	1.14456	60.7181	7.53844	1.31701	-0.0046856	0.149013	0.0112041	0.00391546	0
53	1.5e+06	2.79382e+06	244.385	9038.48	0	14.3898	-437.196	422.806	37005.3	152874	-159000	26.5	-26.5	5.75091	150	37.3365	8.07624	0.1	6829.26	0.136897	-53	99.8631	53	3	994.249	8.04754	1.80238	152.813	0.00476958	9999.75	-53	53	50	0.00677994	5.97418e-08	0.097662	11.6776	688.255	10.0244	2.42948	16.0577	7267.17	199968	4.6616	0.0329079	25.4833	0.189859	498018	1981.67	0.929386	0.117497	746.757	27.029	0.74109	62.971	9.38915	299.665	97.8936	182.056	299.997	0.328277	2.10644	1.47031	118.53	0.00305325	10.0244	3.214	4.21503e-11	-0.00477582	1.58776	1.14411	60.7443	7.53873	1.31716	-0.00477582	0.150562	0.0114432	0.0040138	0
54	1.5e+06	2.79155e+06	249.802	9223.46	0	14.5704	-451.857	437.287	38103.9	156860	-162000	27	-27	5.73576	150	37.3698	8.05448	0.1	6829.32	0.109389	-54	99.8906	54	3	994.264	8.25534	1.80735	152.567	0.00485957	9999.74	-54	54	50	0.00683715	6.09269e-08	0.0993175	12.1765	702.086	10.0249	2.41928	15.4193	7252.22	199968	4.84129	0.0342094	25.9335	0.193161	497930	2070.32	0.940438	0.118854	746.709	27.24	0.741032	62.76	9.37683	299.663	97.8728	182.091	299.997	0.330244	2.12719	1.48404	118.516	0.00305545	10.0249	3.214	4.3742e-11	-0.00486604	1.57601	1.1437	60.7681	7.53899	1.31731	-0.00486604	0.152049	0.0116817	0.00411332	0
55	1.5e+06	2.78919e+06	255.271	9409.54	0	14.7483	-466.695	451.946	39233.1	160896	-165000	27.5	-27.5	5.72044	150	37.4054	8.0326	0.1	6829.37	0.0886479	-55	99.9114	55	3	994.28	8.46191	1.81247	152.319	0.00494956	9999.74	-55	55	50	0.00689649	6.21209e-08	0.100906	12.6896	715.991	10.0253	2.40749	14.7987	7237.19	199967	5.02206	0.0355411	26.3667	0.196456	497838	2162.15	0.951324	0.120192	746.664	27.4516	0.740972	62.5484	9.36666	299.661	97.8518	182.126	299.997	0.332261	2.14818	1.49772	118.502	0.00305775	10.0253	3.214	4.53648e-11	-0.00495626	1.56435	1.14333	60.7898	7.53922	1.31745	-0.00495626	0.153477	0.0119192	0.004214	0
56	1.5e+06	2.78676e+06	260.785	9596.55	0	14.9235	-481.706	466.782	40393.9	164980	-168000	28	-28	5.70502	150	37.4427	8.01066	0.1	6829.43	0.0731033	-56	99.9269	56	3	994.295	8.66727	1.81774	152.071	0.00503955	9999.74	-56	56	50	0.00695802	6.33243e-08	0.102425	13.2166	729.957	10.0258	2.39419	14.1969	7222.11	199967	5.20351	0.0369022	26.7821	0.199742	497743	2257.19	0.962029	0.121507	746.622	27.6638	0.74091	62.3362	9.35852	299.659	97.8306	182.16	299.997	0.334328	2.16939	1.51133	118.489	0.00306015	10.0258	3.214	4.70189e-11	-0.00504649	1.55279	1.14299	60.8094	7.53941	1.31759	-0.00504649	0.154846	0.0121557	0.00431583	0
57	1.5e+06	2.78424e+06	266.341	9784.35	0	15.0961	-496.889	481.793	41587.4	169112	-171000	28.5	-28.5	5.68956	150	37.4812	7.98872	0.1	6829.49	0.0615222	-57	99.9385	57	3	994.31	8.87141	1.82316	151.823	0.00512954	9999.73	-57	57	50	0.00702175	6.45376e-08	0.103873	13.7575	743.972	10.0263	2.37949	13.6148	7206.98	199966	5.38531	0.0382919	27.1792	0.203017	497645	2355.43	0.972542	0.122799	746.582	27.8767	0.740847	62.1233	9.35234	299.657	97.8092	182.193	299.997	0.336444	2.19083	1.52488	118.475	0.00306265	10.0263	3.214	4.87045e-11	-0.00513673	1.54132	1.14269	60.8269	7.53958	1.31773	-0.00513673	0.15616	0.012391	0.00441878	0
58	1.5e+06	2.78164e+06	271.935	9972.8	0	15.2661	-512.24	496.974	42814.7	173292	-174000	29	-29	5.67408	150	37.5206	7.9668	0.1	6829.55	0.0529447	-58	99.9471	58	3	994.326	9.07433	1.82873	151.575	0.00521954	9999.73	-58	58	50	0.00708772	6.57613e-08	0.10525	14.3119	758.026	10.0267	2.36346	13.0529	7191.82	199965	5.56713	0.0397095	27.5576	0.206278	497543	2456.88	0.982853	0.124065	746.545	28.0901	0.740783	61.9099	9.34803	299.654	97.7875	182.226	299.997	0.338609	2.21249	1.53837	118.462	0.00306527	10.0267	3.214	5.0422e-11	-0.00522697	1.52996	1.14242	60.8425	7.53971	1.31787	-0.00522697	0.15742	0.012625	0.00452284	0
59	1.5e+06	2.77895e+06	277.565	10161.8	0	15.4335	-527.757	512.324	44076.9	177519	-177000	29.5	-29.5	5.65861	150	37.5607	7.94494	0.1	6829.62	0.046629	-59	99.9534	59	3	994.341	9.27604	1.83445	151.328	0.00530953	9999.72	-59	59	50	0.00715596	6.69959e-08	0.106555	14.8798	772.111	10.0272	2.34622	12.5117	7176.64	199965	5.7487	0.0411543	27.9172	0.209525	497438	2561.53	0.992955	0.125306	746.51	28.3041	0.740717	61.6959	9.3455	299.652	97.7656	182.258	299.997	0.340823	2.23436	1.55181	118.448	0.00306799	10.0272	3.214	5.21716e-11	-0.00531721	1.5187	1.14218	60.8563	7.53982	1.31801	-0.00531721	0.158628	0.0128576	0.00462798	0
60	1.5e+06	2.77619e+06	283.227	10351.2	0	15.5984	-543.438	527.84	45374.7	181792	-180000	30	-30	5.64318	150	37.6012	7.92315	0.1	6829.68	0.0420054	-60	99.958	60	3	994.357	9.47653	1.84031	151.081	0.00539952	9999.72	-60	60	50	0.0072265	6.82418e-08	0.107788	15.4609	786.22	10.0276	2.32786	11.9913	7161.44	199964	5.92975	0.0426259	28.2579	0.212756	497331	2669.38	1.00284	0.12652	746.478	28.5186	0.74065	61.4814	9.34467	299.65	97.7435	182.289	299.997	0.343086	2.25645	1.56519	118.435	0.00307084	10.0276	3.214	5.39535e-11	-0.00540746	1.50754	1.14196	60.8682	7.53989	1.31814	-0.00540746	0.159786	0.0130885	0.00473419	0
61	1.5e+06	2.77334e+06	288.92	10541	0	15.7609	-559.281	543.52	46709.2	186110	-183000	30.5	-30.5	5.6278	150	37.6421	7.90145	0.1	6829.74	0.0386398	-61	99.9614	61	3	994.372	9.67583	1.84633	150.835	0.00548951	9999.71	-61	61	50	0.00729938	6.94997e-08	0.108951	16.0551	800.345	10.0281	2.30848	11.4918	7146.23	199964	6.11008	0.0441239	28.5798	0.21597	497220	2780.41	1.01251	0.127706	746.448	28.7337	0.740582	61.2663	9.34547	299.647	97.7212	182.32	299.997	0.345398	2.27876	1.57851	118.421	0.0030738	10.0281	3.214	5.57681e-11	-0.00549771	1.49649	1.14178	60.8785	7.53995	1.31827	-0.00549771	0.160895	0.0133179	0.00484142	0
62	1.5e+06	2.77041e+06	294.642	10731.1	0	15.9208	-575.282	559.361	48081.2	190474	-186000	31	-31	5.61247	150	37.6832	7.87984	0.1	6829.8	0.0362039	-62	99.9638	62	3	994.388	9.87393	1.85248	150.589	0.0055795	9999.71	-62	62	50	0.00737463	7.07699e-08	0.110045	16.6624	814.484	10.0286	2.28818	11.0128	7131.02	199963	6.28951	0.045648	28.8831	0.219168	497105	2894.6	1.02196	0.128866	746.42	28.9493	0.740512	61.0507	9.34784	299.645	97.6987	182.35	299.997	0.347758	2.30127	1.59179	118.408	0.00307689	10.0286	3.214	5.76156e-11	-0.00558796	1.48554	1.14163	60.8871	7.53998	1.3184	-0.00558796	0.161958	0.0135454	0.00494968	0
63	1.5e+06	2.76739e+06	300.392	10921.5	0	16.0784	-591.439	575.361	49491.3	194883	-189000	31.5	-31.5	5.59721	150	37.7245	7.85833	0.1	6829.87	0.0344507	-63	99.9655	63	3	994.403	10.0708	1.85878	150.345	0.0056695	9999.7	-63	63	50	0.00745228	7.20532e-08	0.111071	17.2828	828.631	10.029	2.26706	10.5542	7115.8	199963	6.4679	0.0471981	29.1684	0.22235	496988	3011.95	1.0312	0.129998	746.394	29.1653	0.740442	60.8347	9.35169	299.642	97.676	182.38	299.997	0.350166	2.32398	1.60501	118.395	0.00308011	10.029	3.214	5.94965e-11	-0.00567822	1.4747	1.1415	60.8942	7.53998	1.31852	-0.00567822	0.162977	0.0137711	0.00505892	0
64	1.5e+06	2.76429e+06	306.169	11112.1	0	16.2336	-607.751	591.517	50940.2	199335	-192000	32	-32	5.58202	150	37.7659	7.83693	0.1	6829.93	0.033196	-64	99.9668	64	3	994.418	10.2666	1.86523	150.101	0.00575949	9999.7	-64	64	50	0.00753236	7.335e-08	0.112032	17.9162	842.786	10.0295	2.2452	10.1154	7100.59	199962	6.64513	0.0487743	29.4359	0.225516	496868	3132.42	1.04022	0.131103	746.37	29.3818	0.74037	60.6182	9.35698	299.64	97.6531	182.409	299.997	0.352623	2.34691	1.61817	118.382	0.00308346	10.0295	3.214	6.1411e-11	-0.00576848	1.46396	1.14139	60.8997	7.53996	1.31865	-0.00576848	0.163954	0.0139948	0.00516914	0
