Time	[EmptySet]	[A]	[C]	[DA]	[DAp]	[DR]	[DRp]	[MA]	[MR]	[R]
0	0	0	0	1	0	1	0	0	0	0
1	0	1116.76	54.013	0.0428879	0.957112	0.0822458	0.917754	47.7768	27.1368	0.0849015
2	0	1703.04	260.019	0.0285238	0.971476	0.0554655	0.944535	48.696	53.3281	0.154588
3	0	1692.04	570.406	0.0287003	0.9713	0.0557992	0.944201	48.7193	69.5398	0.271241
4	0	1424.73	944.06	0.0338992	0.966101	0.0655758	0.934424	48.507	79.1511	0.470074
5	0	1042.64	1353.87	0.0457448	0.954255	0.0874887	0.912511	48.0137	84.3638	0.851191
6	0	599.483	1780.26	0.0768988	0.923101	0.142826	0.857174	46.7573	86.0944	1.84206
7	0	64.7348	2186.17	0.416759	0.583241	0.593366	0.406634	36.5722	80.867	18.6851
8	0	0.0995179	1116.18	0.997984	0.00201574	0.998999	0.00100132	5.10612	50.2292	1282.57
9	0	0.073894	571	0.998522	0.00147809	0.999261	0.000738973	5.06727	30.5054	1713.91
10	0	0.0749154	370.13	0.998506	0.00149383	0.999252	0.000748027	5.06679	18.5392	1690.3
11	0	0.0836805	296.367	0.998334	0.00166631	0.999165	0.000834971	5.07401	11.2836	1515.32
12	0	0.0974187	269.537	0.998062	0.00193825	0.999028	0.000971646	5.08583	6.88731	1304.56
13	0	0.115786	260.102	0.997698	0.00230214	0.998846	0.00115445	5.10179	4.22719	1100.97
14	0	0.139242	257.2	0.997233	0.00276673	0.998612	0.00138788	5.12221	2.622	919.061
15	0	0.168717	256.851	0.99665	0.00335003	0.998319	0.00168107	5.14789	1.65882	762.197
16	0	0.205556	257.621	0.995922	0.00407812	0.997953	0.00204727	5.17994	1.08766	629.39
17	0	0.251582	259.027	0.995014	0.0049863	0.997496	0.00250442	5.21993	0.757514	518.105
18	0	0.309254	260.944	0.993878	0.00612183	0.996923	0.00307663	5.2699	0.577613	425.41
19	0	0.38193	263.404	0.992451	0.00754893	0.996203	0.00379672	5.33267	0.49403	348.451
20	0	0.474352	266.522	0.990643	0.00935749	0.995289	0.00471086	5.41214	0.475616	284.625
21	0	0.593546	270.489	0.98832	0.0116795	0.994113	0.00588714	5.51401	0.50572	231.631
22	0	0.750726	275.601	0.985277	0.0147233	0.992566	0.0074336	5.64723	0.577686	187.434
23	0	0.965906	282.341	0.981144	0.0188563	0.990458	0.00954196	5.82734	0.693288	150.19
24	0	1.28193	291.604	0.975147	0.024853	0.987381	0.0126193	6.0865	0.864987	118.039
25	0	1.82609	305.467	0.965037	0.0349626	0.982139	0.017861	6.51455	1.12933	88.4705
26	0	3.43468	331.796	0.93688	0.0631199	0.96712	0.03288	7.61497	1.6405	54.3736
27	0	320.424	399.407	0.136201	0.863799	0.239514	0.760486	39.7819	11.4329	0.715943
28	0	1207.29	536.612	0.0397795	0.960221	0.0765144	0.923486	48.124	41.8506	0.308865
29	0	1369.94	800.069	0.0352117	0.964788	0.0680281	0.931972	48.418	61.9901	0.405047
30	0	1183.07	1142.69	0.0405416	0.959458	0.0779246	0.922075	48.2138	74.1056	0.639339
31	0	838.241	1531	0.056263	0.943737	0.106535	0.893465	47.5694	80.7064	1.15331
32	0	405.492	1939.35	0.10952	0.89048	0.197459	0.802541	45.4959	82.5925	2.89504
33	0	0.408327	1837.3	0.990524	0.00947573	0.995632	0.00436751	7.7968	66.6101	480.284
34	0	0.0837387	843.368	0.998317	0.00168348	0.99916	0.000839502	5.07932	40.4618	1516.09
35	0	0.0737486	470.437	0.998527	0.00147285	0.999263	0.000736943	5.06642	24.5792	1716.96
36	0	0.0784451	333.181	0.998437	0.00156319	0.999217	0.000783016	5.06967	14.9456	1615.12
37	0	0.089373	282.9	0.998221	0.00177898	0.999108	0.000891602	5.07891	9.10578	1420.13
38	0	0.105063	264.763	0.99791	0.00208973	0.998952	0.00104773	5.09247	5.56906	1211.18
39	0	0.125554	258.582	0.997504	0.00249567	0.998748	0.00125167	5.1103	3.43106	1016.95
40	0	0.151512	256.94	0.99699	0.00300963	0.99849	0.00150995	5.13291	2.14346	846.348
41	0	0.184039	257.129	0.996347	0.00365299	0.998167	0.00183341	5.16123	1.374	700.503
42	0	0.224675	258.19	0.995544	0.00445559	0.997763	0.00223722	5.19656	0.921674	577.627
43	0	0.275498	259.818	0.994542	0.00545752	0.997258	0.00274179	5.24067	0.665282	474.957
44	0	0.339319	261.962	0.993287	0.00671274	0.996625	0.00337466	5.2959	0.53225	389.577
45	0	0.420032	264.693	0.991705	0.0082954	0.995826	0.00417381	5.36548	0.479853	318.738
46	0	0.523238	268.158	0.989689	0.0103113	0.994806	0.00519366	5.454	0.483998	259.974
47	0	0.657481	272.586	0.98708	0.0129201	0.993483	0.00651683	5.56836	0.532756	211.11
48	0	0.837006	278.342	0.983615	0.0163853	0.99172	0.00828022	5.71978	0.623173	170.212
49	0	1.08905	286.047	0.978796	0.0212036	0.989256	0.0107439	5.92914	0.761098	135.464
50	0	1.47928	296.953	0.971448	0.0285518	0.985471	0.014529	6.24462	0.966571	104.859
51	0	2.25744	314.48	0.95723	0.0427705	0.978039	0.0219605	6.83456	1.30251	74.9047
52	0	8.25311	359.179	0.865555	0.134445	0.926108	0.0738924	9.86571	2.25803	27.4204
53	0	822.224	441.191	0.0573969	0.942603	0.108556	0.891444	46.9418	25.9778	0.347374
54	0	1342.53	640.639	0.0359091	0.964091	0.0693285	0.930672	48.3558	51.9544	0.335282
55	0	1315.24	944.084	0.0366201	0.96338	0.0706531	0.929347	48.3706	68.1582	0.488336
56	0	1043.88	1310.35	0.0456957	0.954304	0.0873987	0.912601	48.0023	77.6055	0.813187
57	0	656.804	1710.64	0.0706807	0.929319	0.132036	0.867964	46.989	82.18	1.61377
58	0	176.314	2116	0.218524	0.781476	0.359232	0.640768	41.8302	80.832	7.0756
59	0	0.11782	1282.83	0.997594	0.00240597	0.99881	0.00119005	5.16114	53.4402	1095.19
60	0	0.0760782	632.604	0.998477	0.00152333	0.999239	0.000761198	5.06977	32.4555	1665.54
61	0	0.0748289	392.82	0.998507	0.00149262	0.999253	0.000747291	5.06686	19.7223	1692.29
62	0	0.0826519	304.699	0.998354	0.0016461	0.999175	0.000824775	5.07317	12.0009	1533.93
63	0	0.0957403	272.565	0.998095	0.00190505	0.999045	0.000954955	5.08439	7.32185	1327.07
64	0	0.113503	261.162	0.997743	0.00225695	0.998868	0.00113174	5.09981	4.48997	1122.68
65	0	0.136302	257.518	0.997291	0.00270854	0.998641	0.00135863	5.11966	2.78034	938.429
66	0	0.165005	256.878	0.996723	0.0032766	0.998356	0.00164415	5.14466	1.75355	778.872
67	0	0.200899	257.518	0.996014	0.00398614	0.997999	0.00200099	5.17589	1.14348	643.49
68	0	0.245745	258.847	0.995129	0.00487122	0.997554	0.00244647	5.21486	0.789306	529.91
69	0	0.301915	260.7	0.994023	0.00597749	0.996996	0.00300385	5.26355	0.59431	435.24
70	0	0.372644	263.091	0.992633	0.00736683	0.996295	0.00370477	5.32466	0.500903	356.612
71	0	0.462476	266.123	0.990875	0.0091255	0.995407	0.0045935	5.40195	0.475651	291.399
72	0	0.578106	269.979	0.988621	0.0113794	0.994265	0.00573493	5.50085	0.50042	237.266
73	0	0.730104	274.939	0.985675	0.0143252	0.992769	0.00723101	5.62983	0.567477	192.151
74	0	0.937048	281.456	0.981696	0.0183043	0.99074	0.0092598	5.80335	0.677565	154.197
