Time	[D]	[CDK5]	[D_CDK5]	[D75]	[CK1]	[D_CK1]	[D137]	[PKA]	[D_PKA]	[D34]	[D34_CDK5]	[D34_CK1]	[PP2B]	[D34_PP2B]	[D34:75]	[D34:137]	[D75_CK1]	[D75_PKA]	[PP2A]	[D75_PP2A]	[PP2AP]	[D75_PP2AP]	[D75:137]	[D137_CDK5]	[D137_PKA]	[D137_PP2C]	[PP2C]	[D34:75_CK1]	[D34:137_CDK5]	[D34:75:137]	[D75:137_PKA]	[D34:75_PP2B]	[D34:137_PP2B]	[D34:75:137_PP2B]	[D34:75_PP2A]	[D75:137_PP2A]	[D34:75:137_PP2A]	[D34:75_PP2AP]	[D75:137_PP2AP]	[D34:75:137_PP2AP]	[D34:137_PP2C]	[D75:137_PP2C]	[PDE]	[PP2Binactive]	[D34:75:137_PP2C]	[CK1P]	[CK1P_PP2B]	[PDE_PKA]	[PDEP]	[PP2A_PKA]	[Ca]	[PP2BinactiveCa2]	[R2C2]	[cAMP]	[cAMP_R2C2]	[cAMP2_R2C2]	[cAMP3_R2C2]	[cAMP4_R2C2]	[cAMP4_R2C]	[cAMP4_R2]	[cAMP_PDE]	[AMP]	[cAMP_PDEP]	[Empty]
0	4.98e-06	2e-07	0	0	1.66e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-07	0	0	0	0	0	0	0	1.33e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-06	3.32e-07	0	0	0	0	0	0	0	0	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
1	4.26762e-06	7.5082e-08	1.20074e-07	3.13349e-07	4.52504e-08	5.85922e-08	1.81795e-07	0	0	0	0	0	1.54528e-10	0	0	0	4.01073e-09	0	1.93167e-07	6.59432e-09	0	0	1.16569e-08	4.84372e-09	0	1.05956e-08	1.21773e-07	0	0	0	0	0	0	0	0	2.38942e-10	0	0	0	0	0	6.31421e-10	2e-06	3.26561e-07	0	5.81386e-08	8.07132e-12	0	0	0	5.97411e-09	5.27654e-09	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
2	3.93695e-06	7.78511e-08	1.14705e-07	5.56821e-07	3.00742e-08	3.58822e-08	2.59853e-07	0	0	0	0	0	7.25275e-10	0	0	0	4.91462e-09	0	1.87735e-07	1.15581e-08	0	0	3.43212e-08	7.44415e-09	0	1.49392e-08	1.16152e-07	0	0	0	0	0	0	0	0	7.06668e-10	0	0	0	0	0	1.90906e-09	2e-06	3.20753e-07	0	9.5063e-08	6.59929e-11	0	0	0	7.00854e-09	1.04558e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
3	3.71135e-06	8.02387e-08	1.11352e-07	7.50418e-07	2.00029e-08	2.24555e-08	2.81659e-07	0	0	0	0	0	1.55326e-09	0	0	0	4.45137e-09	0	1.83592e-07	1.5301e-08	0	0	5.44231e-08	8.40899e-09	0	1.60326e-08	1.13932e-07	0	0	0	0	0	0	0	0	1.10691e-09	0	0	0	0	0	3.03583e-09	2e-06	3.15852e-07	0	1.1891e-07	1.80169e-10	0	0	0	7.74849e-09	1.4415e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
4	3.5523e-06	8.22836e-08	1.09236e-07	9.08789e-07	1.36139e-08	1.45805e-08	2.75616e-07	0	0	0	0	0	2.50681e-09	0	0	0	3.67952e-09	0	1.80386e-07	1.82446e-08	0	0	6.81862e-08	8.48074e-09	0	1.56886e-08	1.13484e-07	0	0	0	0	0	0	0	0	1.36899e-09	0	0	0	0	0	3.82759e-09	2e-06	3.11584e-07	0	1.33796e-07	3.30053e-10	0	0	0	8.32517e-09	1.75796e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
5	3.43677e-06	8.40228e-08	1.07879e-07	1.04016e-06	9.75811e-09	1.00596e-08	2.57081e-07	0	0	0	0	0	3.51206e-09	0	0	0	3.01444e-09	0	1.77879e-07	2.06163e-08	0	0	7.57953e-08	8.09841e-09	0	1.47252e-08	1.13977e-07	0	0	0	0	0	0	0	0	1.50441e-09	0	0	0	0	0	4.29742e-09	2e-06	3.07776e-07	0	1.42672e-07	4.95467e-10	0	0	0	8.79999e-09	2.02168e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
6	3.35046e-06	8.5493e-08	1.06986e-07	1.14966e-06	7.59024e-09	7.57704e-09	2.34336e-07	0	0	0	0	0	4.53109e-09	0	0	0	2.58049e-09	0	1.75902e-07	2.25504e-08	0	0	7.87254e-08	7.52067e-09	0	1.35472e-08	1.14937e-07	0	0	0	0	0	0	0	0	1.54745e-09	0	0	0	0	0	4.5162e-09	2e-06	3.04321e-07	0	1.47589e-07	6.63202e-10	0	0	0	9.20518e-09	2.24844e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
7	3.28423e-06	8.67292e-08	1.06374e-07	1.24084e-06	6.52074e-09	6.33541e-09	2.11733e-07	0	0	0	0	0	5.54446e-09	0	0	0	2.37984e-09	0	1.74333e-07	2.41347e-08	0	0	7.8615e-08	6.89672e-09	0	1.23644e-08	1.16072e-07	0	0	0	0	0	0	0	0	1.53274e-09	0	0	0	0	0	4.56344e-09	2e-06	3.01153e-07	0	1.49938e-07	8.26025e-10	0	0	0	9.5593e-09	2.44769e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
8	3.23211e-06	8.77642e-08	1.05927e-07	1.31646e-06	6.1517e-09	5.8472e-09	1.91417e-07	0	0	0	0	0	6.54186e-09	0	0	0	2.37089e-09	0	1.7308e-07	2.54316e-08	0	0	7.68451e-08	6.30876e-09	0	1.12848e-08	1.17206e-07	0	0	0	0	0	0	0	0	1.48806e-09	0	0	0	0	0	4.50907e-09	2e-06	2.98224e-07	0	1.5065e-07	9.80535e-10	0	0	0	9.87395e-09	2.62541e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
9	3.19007e-06	8.8628e-08	1.05574e-07	1.37882e-06	6.21987e-09	5.8121e-09	1.74301e-07	0	0	0	0	0	7.51752e-09	0	0	0	2.50318e-09	0	1.72077e-07	2.64897e-08	0	0	7.44322e-08	5.79821e-09	0	1.036e-08	1.18232e-07	0	0	0	0	0	0	0	0	1.43312e-09	0	0	0	0	0	4.40755e-09	2e-06	2.95501e-07	0	1.50339e-07	1.12551e-09	0	0	0	1.01569e-08	2.78562e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
