Time	[d]	[ad]	[e]	[r]	[rs]	[x]	[ip3]	[kg]	[gstar]	[ro]	[ip3con]	[dcon]	[atp]	[y]	[delta]	[ca]
25	0.185218	0.41	1.89414	0.2377	0.841768	0.352281	0.013	8.82353	0.00135417	2.85209e-21	0.549834	0	7.13023e-20	500	0.0119647	0.0159835
26	0.152826	0.41	2.00288	0.241657	0.847181	0.395132	0.013	8.82353	0.00135417	1.00594e-21	0.549834	0	2.51484e-20	500	0.0119647	0.0159835
27	0.134297	0.41	2.08482	0.253147	0.858627	0.442672	0.013	8.82353	0.00135417	-2.20322e-21	0.549834	0	-5.50805e-20	500	0.0119647	0.0159835
28	0.123831	0.41	2.13771	0.270707	0.875349	0.49658	0.013	8.82353	0.00135417	-2.72101e-20	0.549834	0	-6.80254e-19	500	0.0119647	0.0159835
29	0.118191	0.41	2.15936	0.293614	0.89692	0.559358	0.013	8.82353	0.00135417	-5.15941e-20	0.549834	0	-1.28985e-18	500	0.0119647	0.0159835
30	0.115719	0.41	2.14742	0.321741	0.923018	0.634975	0.013	8.82353	0.00135417	2.38113e-19	0.549834	0	5.95283e-18	500	0.0119647	0.0159835
31	0.115683	0.41	2.099	0.355493	0.95332	0.730335	0.013	8.82353	0.00135417	-1.64614e-19	0.549834	0	-4.11535e-18	500	0.0119647	0.0159835
32	0.117911	0.41	2.00992	0.395839	0.987487	0.858913	0.013	8.82353	0.00135417	5.27684e-20	0.549834	0	1.31921e-18	500	0.0119647	0.0159835
33	0.122697	0.41	1.8727	0.444548	1.0252	1.05136	0.013	8.82353	0.00135417	-2.01599e-19	0.549834	0	-5.03998e-18	500	0.0119647	0.0159835
34	0.130987	0.41	1.67128	0.504814	1.06629	1.39456	0.013	8.82353	0.00135417	7.22345e-20	0.549834	0	1.80586e-18	500	0.0119647	0.0159835
35	0.145275	0.41	1.36239	0.582594	1.11104	2.24222	0.013	8.82353	0.00135417	3.18663e-19	0.549834	0	7.96658e-18	500	0.0119647	0.0159835
36	0.173896	0.41	0.789783	0.686538	1.16133	6.61619	0.013	8.82353	0.00135417	5.67567e-19	0.549834	0	1.41892e-17	500	0.0119647	0.0159835
37	0.245207	0.41	0.0592885	0.796285	1.22255	27.7891	0.013	8.82353	0.00135417	-1.67196e-20	0.549834	0	-4.1799e-19	500	0.0119647	0.0159835
38	0.338105	0.41	0.0504504	0.861472	1.26457	16.9323	0.013	8.82353	0.00135417	1.06487e-14	0.549834	8.65974e-15	2.66219e-13	500	0.0119647	0.0159835
39	0.426294	0.41	0.0822142	0.894177	1.27683	9.19148	0.0130005	8.82353	0.00135422	4.87183e-07	0.549858	3.96218e-07	1.21796e-05	500	0.0119647	0.0159835
40	0.53602	0.694006	0.134778	0.90506	1.26886	4.73946	0.943973	8.82353	0.0983305	0.950275	1	0.999257	477.761	478.186	0.0119647	0.299989
41	0.660458	0.694006	0.215815	0.894872	1.24281	2.30758	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
42	0.749767	0.694006	0.330276	0.857567	1.20777	1.07359	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
43	0.791528	0.694006	0.476292	0.787773	1.16863	0.50652	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
44	0.780903	0.694006	0.645956	0.691803	1.12679	0.275343	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
45	0.724641	0.694006	0.829473	0.586671	1.08313	0.196383	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
46	0.638896	0.694006	1.01839	0.488214	1.03933	0.181678	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
47	0.542739	0.694006	1.20629	0.40546	0.997414	0.19374	0.943973	8.82353	0.0983305	0.950275	1	0.999806	477.761	478.187	0.0119647	0.299989
48	0.444989	0.41	1.38817	0.341605	0.959229	0.217672	0.0138362	8.82353	0.00139321	0.00034541	0.590791	1.66643e-05	0.00863824	499.999	0.0119647	0.0159835
49	0.320443	0.41	1.5596	0.296582	0.931599	0.247448	0.013	8.82353	0.00135417	1.16282e-15	0.549834	2.77556e-16	2.90706e-14	500	0.0119647	0.0159835
50	0.237994	0.41	1.71622	0.268656	0.915183	0.28024	0.013	8.82353	0.00135417	3.95947e-19	0.549834	0	9.89868e-18	500	0.0119647	0.0159835
51	0.186295	0.41	1.85467	0.254687	0.906701	0.315409	0.013	8.82353	0.00135417	-2.25824e-17	0.549834	0	-5.64561e-16	500	0.0119647	0.0159835
52	0.154935	0.41	1.97229	0.251536	0.904219	0.353302	0.013	8.82353	0.00135417	-6.16193e-16	0.549834	0	-1.54048e-14	500	0.0119647	0.0159835
53	0.136161	0.41	2.06681	0.256697	0.906789	0.394708	0.013	8.82353	0.00135417	-3.19467e-15	0.549834	0	-7.98667e-14	500	0.0119647	0.0159835
54	0.124948	0.41	2.13615	0.268415	0.914053	0.440739	0.013	8.82353	0.00135417	-1.87886e-14	0.549834	0	-4.69715e-13	500	0.0119647	0.0159835
55	0.118348	0.41	2.17831	0.285609	0.925902	0.492913	0.013	8.82353	0.00135417	-1.00287e-15	0.549834	0	-2.50717e-14	500	0.0119647	0.0159835
56	0.114766	0.41	2.19133	0.307751	0.94226	0.553421	0.013	8.82353	0.00135417	-2.40724e-18	0.549834	0	-6.01809e-17	500	0.0119647	0.0159835
57	0.113413	0.41	2.17312	0.334766	0.962977	0.625656	0.013	8.82353	0.00135417	-4.87274e-20	0.549834	0	-1.21819e-18	500	0.0119647	0.0159835
58	0.113978	0.41	2.12123	0.366978	0.98781	0.715331	0.013	8.82353	0.00135417	5.12909e-19	0.549834	0	1.28227e-17	500	0.0119647	0.0159835
59	0.11647	0.41	2.03232	0.40513	1.01643	0.833063	0.013	8.82353	0.00135417	-4.69237e-19	0.549834	0	-1.17309e-17	500	0.0119647	0.0159835
60	0.121204	0.41	1.90085	0.450519	1.0485	1.00134	0.013	8.82353	0.00135417	-8.71171e-20	0.549834	0	-2.17793e-18	500	0.0119647	0.0159835
61	0.128951	0.41	1.71582	0.505355	1.0837	1.27716	0.013	8.82353	0.00135417	2.14589e-20	0.549834	0	5.36473e-19	500	0.0119647	0.0159835
62	0.1415	0.41	1.45092	0.57352	1.12198	1.85056	0.013	8.82353	0.00135417	-1.28986e-21	0.549834	0	-3.22465e-20	500	0.0119647	0.0159835
63	0.163762	0.41	1.02803	0.66115	1.16403	3.74686	0.013	8.82353	0.00135417	9.95471e-25	0.549834	0	2.48868e-23	500	0.0119647	0.0159835
64	0.213253	0.41	0.276468	0.765797	1.21343	16.8527	0.013	8.82353	0.00135417	7.67976e-27	0.549834	0	1.91994e-25	500	0.0119647	0.0159835
65	0.30139	0.41	0.0527117	0.843989	1.26092	18.1695	0.013	8.82353	0.00135417	-7.26505e-29	0.549834	0	-1.81626e-27	500	0.0119647	0.0159835
66	0.390902	0.41	0.0768453	0.885124	1.27986	10.0605	0.013	8.82353	0.00135417	4.09567e-10	0.549834	3.34077e-10	1.02392e-08	500	0.0119647	0.0159835
67	0.474166	0.681944	0.125379	0.901794	1.27713	5.22715	0.918826	8.82353	0.0962991	0.928278	1	0.00567013	323.569	460.35	0.0119647	0.287928
68	0.605181	0.694006	0.201348	0.897248	1.25619	2.56118	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
69	0.704469	0.694006	0.31032	0.866582	1.22292	1.19328	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
