Time	[b_Met]	[b_Ser]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[Folate]	[H2O2]	[CO2]	[Formaldehyde]	[c_THF]	[m_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathione]	[Homocysteine]	[c_Serine]	[S-adenosylhomocysteine]	[S-adenosylmethionine]	[c_Methionine]	[c_formate]	[m_Serine]	[m_Glycine]	[m_Formate]	[Sarcosine]	[Dimethylglycine]
61	52.5	262.5	10	50	50	20	20.1	0.01	0	500	4.61804	21.1817	4.52409	0.510311	0.280408	3.42824	0.0389125	1.65256	1.54139	15.8243	317.924	62.0661	188.308	0.459391	12.3563	0.942536	3156.94	189.206	9.62935	966.808	58.1149	5939.41	31.7508	1.06549	606.532	17.8269	86.5719	74.0652	13.1509	1674.4	1881.84	55.9814	8.94125	0.66345
62	52.5	262.5	10	50	50	20	20.1	0.01	0	500	5.82866	21.3473	3.04556	0.565817	0.304509	3.61211	0.0433351	1.64744	1.538	15.6672	387.676	64.4761	188.777	0.461037	12.3889	0.940317	3306.8	195.167	9.53567	1132.74	58.3281	5992.57	44.6535	1.23318	652.118	28.2039	129.261	66.4587	11.8066	2193.21	2269.16	52.0409	10.7011	0.675281
63	52.5	262.5	10	50	50	20	20.1	0.01	0	500	6.32756	21.4478	2.45153	0.586409	0.313207	3.67631	0.0449854	1.64025	1.53364	15.5783	435.483	66.3837	189.47	0.463889	12.4353	0.939568	3422.03	198.365	9.576	1220.46	58.694	6070.77	52.6634	1.31447	684.052	36.8771	161.22	58.4616	11.3973	2609.44	2509.47	50.8132	11.2445	0.65461
64	7.5	37.5	10	50	50	20	20.1	0.01	0	500	5.55637	21.3485	3.60929	0.508267	0.279461	3.40786	0.0387548	1.64659	1.53751	15.6674	146.883	56.5313	173.479	0.466004	12.4549	0.942749	3190.33	172.706	9.5	899.296	58.9597	6103.64	42.577	1.53024	366.096	30.2368	92.2308	24.8555	11.9144	2109.47	2259.16	52.2772	10.3812	0.885199
65	7.5	37.5	10	50	50	20	20.1	0.01	0	500	3.4976	21.1152	6.26	0.399694	0.229241	2.98324	0.0302213	1.64702	1.53848	15.8993	117.811	54.0701	173.26	0.465378	12.4374	0.948229	3028.76	165.991	10.1117	678.324	58.8763	6072.94	25.634	1.17278	312.245	13.487	43.7082	28.1557	14.6183	1445.44	1735.15	59.9639	8.13376	0.80595
66	97.5	487.5	10	50	50	20	20.1	0.01	0	500	1.86773	21.1047	8.60404	0.287316	0.172624	2.44675	0.0215359	1.59781	1.51054	15.9869	105.655	52.2964	172.709	0.463129	12.3979	0.956104	2913.59	158.572	10.5244	567.352	58.5864	6005.79	12.5874	0.95372	271.058	8.41063	24.2341	28.0181	21.0728	977.561	1412.71	78.2135	6.16143	0.699955
67	97.5	487.5	10	50	50	20	20.1	0.01	0	500	5.33631	21.3803	3.67633	0.535858	0.291634	3.51892	0.0409416	1.63781	1.53247	15.6494	758.602	73.7936	205.774	0.462699	12.4164	0.941441	3475.89	207.22	9.96074	1177.53	58.5416	6038.99	33.2398	1.08972	694.715	21.0151	114.355	113.702	12.3143	1736.53	2043.86	53.51	9.81636	0.630173
68	97.5	487.5	10	50	50	20	20.1	0.01	0	500	7.02075	21.7193	1.70505	0.600066	0.318878	3.70918	0.0460823	1.61441	1.51814	15.3481	1234.61	81.0638	207.082	0.467654	12.5029	0.939191	3895.59	214.503	10.1917	1452.69	59.1806	6191.67	56.8131	1.36768	771.007	47.53	233.446	79.1397	10.8791	2654.87	2754.07	49.1712	12.4965	0.565104
69	97.5	487.5	10	50	50	20	20.1	0.01	0	500	7.53006	21.9397	1.1413	0.614963	0.324993	3.7414	0.0472824	1.59322	1.5053	15.1618	1682.33	87.3046	208.699	0.474801	12.6062	0.93882	4240.33	215.031	10.461	1576.3	60.0966	6391.84	70.6152	1.48321	822.657	74.4279	341.018	54.7953	10.515	3402.22	3153.63	47.9776	12.2627	0.453954
70	7.5	37.5	10	50	50	20	20.1	0.01	0	500	7.62148	22.1618	1.50025	0.523084	0.285906	3.42935	0.0399296	1.56981	1.49105	14.9774	533.97	67.6175	176.661	0.480543	12.6627	0.942494	3879.49	163.399	8.86507	1522.2	60.8228	6509.14	62.566	1.95031	426.099	82.4601	225.053	15.7601	10.3423	2971.99	3267.39	47.3111	11.0687	0.71878
71	7.5	37.5	10	50	50	20	20.1	0.01	0	500	6.5171	21.8607	2.61404	0.520246	0.284673	3.42424	0.0397035	1.59738	1.50794	15.234	186.896	63.5104	176.833	0.481991	12.6722	0.942565	3620.87	162.657	9.22057	1110.36	61.0038	6529.34	50.2387	1.76096	377.71	51.0358	135.461	21.8911	10.9941	2374.66	2779.44	49.3281	10.4474	0.859876
72	7.5	37.5	10	50	50	20	20.1	0.01	0	500	4.93125	21.3167	4.39419	0.478174	0.265937	3.29408	0.036375	1.64436	1.53636	15.7025	134.015	60.2325	176.783	0.481866	12.6663	0.944164	3411.58	162.66	10.0087	791.885	60.9858	6516.02	35.9691	1.43774	332.345	23.1277	72.086	26.9891	12.4816	1750.08	2047.54	53.8725	9.77145	0.88877
73	7.5	37.5	10	50	50	20	20.1	0.01	0	500	2.88041	21.1904	7.13493	0.35765	0.208632	2.79142	0.0269544	1.62551	1.5261	15.858	114.06	57.6944	176.494	0.480546	12.6449	0.950912	3248.69	157.777	10.6252	624.873	60.8149	6469.46	20.1518	1.08956	289.094	11.0982	35.0178	28.476	16.0677	1192.44	1582.66	63.9598	7.36096	0.768707
74	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.66007	21.262	8.93454	0.270396	0.163636	2.35112	0.0202409	1.56848	1.49307	15.8765	104.632	55.8088	175.949	0.477987	12.6072	0.957639	3128.34	152.452	11.0283	537.261	60.4855	6390.56	10.1495	0.930419	254.079	7.89062	22.0225	27.9641	22.8442	832.182	1320.01	83.1935	5.87582	0.684038
75	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.32064	21.5177	9.46811	0.244159	0.149459	2.19939	0.0182394	1.51374	1.45996	15.7085	99.3888	54.3339	175.207	0.474504	12.5579	0.960164	3035.11	150.994	11.3854	487.297	60.0391	6292.3	6.62083	0.888035	229.758	7.12497	18.7944	27.5711	27.5219	638.26	1165.62	96.5952	5.41145	0.654292
76	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.27003	21.8633	9.56488	0.239187	0.146711	2.16133	0.017861	1.47186	1.4336	15.4312	96.0013	53.0643	174.354	0.470568	12.502	0.960815	2955.44	151.731	11.6957	455.74	59.5353	6186.97	5.60379	0.883247	214.957	6.97222	18.1793	27.5184	28.1856	535.426	1071.28	98.3154	5.27208	0.644609
77	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.30637	22.1889	9.53747	0.239656	0.146928	2.15168	0.0178965	1.44171	1.41407	15.1553	93.6486	51.9119	173.431	0.466431	12.4418	0.960981	2883.5	153.009	11.9163	435.214	59.0063	6079.76	5.31513	0.888446	206.025	6.97731	18.2228	27.5861	26.9625	477.721	1012.2	94.5211	5.22907	0.641379
78	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.36101	22.4476	9.48345	0.241163	0.147716	2.14865	0.0180112	1.4205	1.40008	14.9318	91.9454	50.8441	172.453	0.462186	12.3777	0.961034	2817.16	154.253	12.0416	421.956	58.4636	5972.38	5.23856	0.895085	200.451	7.01669	18.4005	27.6675	25.5329	443.385	974.76	90.1638	5.21705	0.640365
79	52.5	262.5	10	50	50	20	20.1	0.01	0	500	1.40908	22.6332	9.43412	0.242577	0.14846	2.14765	0.0181187	1.40599	1.39041	14.7704	90.6459	49.8453	171.423	0.457861	12.31	0.961051	2755.45	155.291	12.0891	413.415	57.9109	5865.4	5.22535	0.900693	196.91	7.05579	18.5715	27.7328	24.4391	422.278	950.861	86.8403	5.21544	0.640162
80	52.5	262.5	10	50	50	20	20.1	0.01	0	500	4.16143	21.4136	5.10134	0.48995	0.271262	3.33872	0.0372992	1.62014	1.52235	15.6439	278.477	59.7778	187.243	0.455194	12.2844	0.943657	3016.65	185.245	9.79723	836.492	57.5765	5827.91	24.2355	1.04296	543.358	15.49	76.1322	76.47	13.7103	1109.73	1515.64	57.4211	8.26465	0.662622
81	52.5	262.5	10	50	50	20	20.1	0.01	0	500	5.71929	21.3722	3.16287	0.564993	0.304146	3.60542	0.0432691	1.64381	1.53588	15.6481	354.09	62.5232	187.558	0.456068	12.3096	0.940397	3190.5	195.207	9.55427	1058.76	57.6925	5866.69	41.562	1.24617	611.451	26.8424	124.018	68.5606	11.8764	1783.36	2064.7	52.217	10.6196	0.690896
82	52.5	262.5	10	50	50	20	20.1	0.01	0	500	6.28828	21.4393	2.48406	0.587828	0.313803	3.68093	0.0450993	1.64092	1.53404	15.5858	408.691	64.6306	188.229	0.458679	12.3558	0.939514	3319.65	199.294	9.55324	1175.43	58.0281	5939.19	51.1622	1.3307	657.42	36.2222	158.756	59.4404	11.4273	2307.53	2384.36	50.9038	11.2698	0.666625
83	7.5	37.5	10	50	50	20	20.1	0.01	0	500	5.56286	21.3736	3.60016	0.509115	0.279832	3.40922	0.038822	1.64381	1.53587	15.6467	140.627	55.0218	172.254	0.460704	12.3751	0.942732	3098.07	173.578	9.5247	862.289	58.2822	5969.18	41.4122	1.56173	346.894	30.2581	92.0895	25.2078	11.8979	1891.74	2162.91	52.214	10.4619	0.901132
84	52.5	262.5	10	50	50	20	20.1	0.01	0	500	3.58957	21.2264	6.14747	0.404199	0.23139	2.9968	0.0305724	1.63632	1.53211	15.8051	114.511	52.7038	172.001	0.459973	12.3552	0.948046	2944.97	166.884	10.1445	655.577	58.1853	5936.71	25.1314	1.20213	296.687	13.7826	44.6624	28.4384	14.3704	1302.22	1669.99	59.1917	8.24962	0.819315
85	52.5	262.5	10	50	50	20	20.1	0.01	0	500	4.6181	21.1817	4.52396	0.510326	0.280414	3.42829	0.0389137	1.65256	1.54139	15.8243	317.839	62.0523	188.27	0.459231	12.3538	0.942535	3156.3	189.117	9.62766	966.743	58.0945	5935.48	31.7513	1.06551	606.513	17.8276	86.5754	74.0644	13.1508	1674.23	1881.71	55.9812	8.94143	0.663462
86	52.5	262.5	10	50	50	20	20.1	0.01	0	500	5.82867	21.3473	3.04549	0.565828	0.304514	3.61215	0.043336	1.64744	1.538	15.6673	387.567	64.4619	188.74	0.460882	12.3865	0.940317	3306.14	195.079	9.53405	1132.68	58.3083	5988.73	44.6538	1.2332	652.103	28.2047	129.265	66.4575	11.8067	2193.06	2269.04	52.041	10.7012	0.675287
87	52.5	262.5	10	50	50	20	20.1	0.01	0	500	6.32755	21.4477	2.45148	0.58642	0.313212	3.67635	0.0449863	1.64026	1.53364	15.5784	435.358	66.3693	189.435	0.463739	12.4331	0.939567	3421.34	198.282	9.57447	1220.41	58.6749	6067.01	52.6636	1.31449	684.039	36.8781	161.225	58.4603	11.3973	2609.3	2509.36	50.8134	11.2445	0.654614
88	7.5	37.5	10	50	50	20	20.1	0.01	0	500	5.55634	21.3484	3.60922	0.508286	0.279469	3.40793	0.0387562	1.6466	1.53752	15.6675	146.841	56.5178	173.447	0.465859	12.4527	0.942748	3189.65	172.635	9.49847	899.196	58.9411	6099.94	42.5769	1.53028	366.082	30.2379	92.2351	24.8553	11.9145	2109.32	2258.98	52.2776	10.3813	0.885213
89	7.5	37.5	10	50	50	20	20.1	0.01	0	500	3.49775	21.1152	6.25973	0.399716	0.229251	2.98333	0.030223	1.64702	1.53849	15.8993	117.78	54.0568	173.227	0.465234	12.4353	0.948227	3028.08	165.926	10.1101	678.242	58.8579	6069.3	25.6344	1.17283	312.227	13.4879	43.7119	28.1557	14.618	1445.28	1734.99	59.9632	8.13404	0.805975
90	97.5	487.5	10	50	50	20	20.1	0.01	0	500	1.8679	21.1049	8.60376	0.287334	0.172634	2.44683	0.0215373	1.5978	1.51053	15.9867	105.628	52.2833	172.676	0.462986	12.3957	0.956103	2912.92	158.511	10.5227	567.282	58.5681	6002.2	12.588	0.953758	271.039	8.41107	24.2362	28.0183	21.0712	977.411	1412.57	78.2089	6.16163	0.699972
91	97.5	487.5	10	50	50	20	20.1	0.01	0	500	5.33639	21.3803	3.67623	0.535863	0.291636	3.51894	0.0409419	1.63781	1.53247	15.6494	758.471	73.7787	205.741	0.462559	12.4143	0.941441	3475.19	207.147	9.95929	1177.52	58.5236	6035.49	33.2401	1.08974	694.701	21.0156	114.358	113.701	12.3142	1736.41	2043.8	53.5096	9.81651	0.630179
92	97.5	487.5	10	50	50	20	20.1	0.01	0	500	7.02079	21.7193	1.70501	0.600064	0.318878	3.70917	0.0460822	1.61441	1.51814	15.3481	1234.4	81.0484	207.052	0.46752	12.501	0.939191	3894.88	214.43	10.1903	1452.7	59.1636	6188.24	56.8133	1.36769	770.999	47.5311	233.45	79.138	10.8791	2654.78	2754.06	49.1711	12.4966	0.565103
93	97.5	487.5	10	50	50	20	20.1	0.01	0	500	7.5301	21.9398	1.14128	0.61496	0.324992	3.74139	0.047282	1.59321	1.50529	15.1617	1682.05	87.289	208.672	0.474675	12.6045	0.93882	4239.62	214.964	10.4597	1576.33	60.0805	6388.48	70.6154	1.48322	822.654	74.4291	341.021	54.7946	10.5149	3402.17	3153.66	47.9775	12.2627	0.453952
94	7.5	37.5	10	50	50	20	20.1	0.01	0	500	7.62148	22.1618	1.50024	0.523087	0.285907	3.42936	0.0399298	1.56981	1.49104	14.9774	533.738	67.604	176.637	0.480422	12.6612	0.942494	3878.8	163.35	8.86382	1522.18	60.8073	6505.82	62.5661	1.95032	426.098	82.4612	225.055	15.7599	10.3423	2971.97	3267.41	47.311	11.0687	0.718777
95	7.5	37.5	10	50	50	20	20.1	0.01	0	500	6.51699	21.8605	2.61405	0.520264	0.284681	3.42431	0.039705	1.59739	1.50795	15.2341	186.842	63.4975	176.81	0.481872	12.6707	0.942564	3620.2	162.614	9.2196	1110.24	60.9886	6526.06	50.2387	1.76097	377.705	51.0363	135.465	21.8909	10.9943	2374.61	2779.27	49.3287	10.4473	0.859879
96	7.5	37.5	10	50	50	20	20.1	0.01	0	500	4.93123	21.3166	4.39411	0.478191	0.265945	3.29415	0.0363764	1.64438	1.53637	15.7027	133.986	60.2201	176.76	0.481748	12.6648	0.944163	3410.92	162.617	10.0077	791.797	60.9707	6512.78	35.9691	1.43777	332.333	23.1285	72.0894	26.989	12.4817	1749.96	2047.35	53.873	9.77158	0.888785
97	7.5	37.5	10	50	50	20	20.1	0.01	0	500	2.88056	21.1904	7.13468	0.357668	0.208641	2.7915	0.0269558	1.62551	1.5261	15.8579	114.037	57.6824	176.471	0.48043	12.6434	0.950911	3248.05	157.736	10.6241	624.806	60.7999	6466.26	20.1522	1.0896	289.078	11.0988	35.0204	28.4761	16.0672	1192.3	1582.51	63.9585	7.36119	0.768728
98	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.66021	21.2622	8.93432	0.270409	0.163643	2.35118	0.0202419	1.56846	1.49306	15.8762	104.612	55.7971	175.925	0.47787	12.6057	0.957638	3127.71	152.412	11.0271	537.206	60.4706	6387.41	10.1499	0.930449	254.064	7.89093	22.024	27.9642	22.8425	832.064	1319.89	83.1885	5.87595	0.684049
99	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.32075	21.5181	9.46795	0.244168	0.149464	2.19942	0.0182401	1.51372	1.45994	15.7082	99.3701	54.3224	175.182	0.474387	12.5563	0.960163	3034.5	150.954	11.3841	487.248	60.0241	6289.19	6.62101	0.888056	229.745	7.12516	18.7953	27.5712	27.5193	638.168	1165.52	96.5873	5.4115	0.654297
100	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.27013	21.8637	9.56476	0.239194	0.146714	2.16134	0.0178615	1.47183	1.43358	15.4309	95.9829	53.0529	174.328	0.47045	12.5004	0.960815	2954.84	151.688	11.6943	455.694	59.5202	6183.91	5.60388	0.883263	214.946	6.97236	18.18	27.5184	28.1829	535.353	1071.19	98.3071	5.27209	0.644611
