Time	[b_Met]	[b_Ser]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[Folate]	[H2O2]	[CO2]	[Formaldehyde]	[c_THF]	[m_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathione]	[Homocysteine]	[c_Serine]	[S-adenosylhomocysteine]	[S-adenosylmethionine]	[c_Methionine]	[c_formate]	[m_Serine]	[m_Glycine]	[m_Formate]	[Sarcosine]	[Dimethylglycine]
12	52.5	262.5	10	50	50	20	20.1	0.01	0	500	3.57331	21.2216	6.17292	0.402505	0.230578	2.99025	0.0304403	1.63659	1.53228	15.8095	115.366	51.9086	172.404	0.461694	12.3812	0.948135	2888.61	172.41	10.1013	661.251	58.405	5978.66	25.1045	1.19711	298.304	13.7009	44.3454	28.4137	14.4024	1316.52	1682.16	59.2837	8.22369	0.816987
13	52.5	262.5	10	50	50	20	20.1	0.01	0	500	4.61284	21.1821	4.53402	0.509329	0.279973	3.42499	0.0388347	1.65244	1.54132	15.8241	319.75	61.3198	188.65	0.460825	12.3778	0.942576	3106.91	194.261	9.60397	971.149	58.2979	5974.02	31.7131	1.06337	607.942	17.7804	86.3251	74.0802	13.1583	1686.41	1890.72	56.0025	8.92811	0.662623
14	52.5	262.5	10	50	50	20	20.1	0.01	0	500	5.82786	21.3508	3.04998	0.565109	0.304207	3.60956	0.0432785	1.64705	1.53777	15.6644	389.876	63.812	189.082	0.462336	12.408	0.940347	3262.85	199.633	9.51907	1136.53	58.494	6024.28	44.6371	1.23155	653.173	28.1515	129	66.5038	11.8053	2203.8	2276.78	52.0345	10.6939	0.674833
15	52.5	262.5	10	50	50	20	20.1	0.01	0	500	6.32771	21.4519	2.45453	0.585806	0.312953	3.67407	0.044937	1.63981	1.53337	15.575	437.841	65.7933	189.74	0.465068	12.4522	0.939594	3383.35	202.235	9.56278	1223.84	58.8445	6099.98	52.6515	1.31311	684.905	36.819	160.939	58.5119	11.3948	2619.09	2516.34	50.8033	11.24	0.654371
16	7.5	37.5	10	50	50	20	20.1	0.01	0	500	5.55438	21.3525	3.61518	0.507537	0.279136	3.40506	0.0386969	1.64614	1.53725	15.6641	147.616	56.0342	173.723	0.467092	12.4704	0.942783	3155.91	175.942	9.486	903.023	59.0986	6131.02	42.5778	1.52775	366.897	30.1637	91.9889	24.8591	11.9133	2118.47	2266.69	52.2708	10.3734	0.884385
17	7.5	37.5	10	50	50	20	20.1	0.01	0	500	3.4877	21.1137	6.27555	0.39868	0.228753	2.97918	0.0301423	1.64702	1.53849	15.9008	118.289	53.6359	173.491	0.466405	12.4523	0.948284	2998.17	168.881	10.0911	681.35	59.0074	6098.66	25.6076	1.16997	313.126	13.4383	43.5195	28.1432	14.6379	1453.5	1741.64	60.0191	8.11792	0.804612
18	97.5	487.5	10	50	50	20	20.1	0.01	0	500	1.85836	21.0931	8.61839	0.28649	0.172191	2.44309	0.0214726	1.59859	1.51102	15.9972	106.032	51.9166	172.934	0.464106	12.4124	0.956162	2886.43	161.156	10.5025	569.857	58.7112	6029.99	12.5566	0.951891	271.903	8.38889	24.1349	27.9998	21.1571	984.069	1418.08	78.4622	6.15151	0.69914
19	97.5	487.5	10	50	50	20	20.1	0.01	0	500	5.33487	21.3802	3.67905	0.53558	0.291513	3.51807	0.0409194	1.63781	1.53247	15.6495	760.358	73.4233	205.988	0.463609	12.4296	0.941452	3452.29	209.748	9.95274	1179.1	58.6576	6061.35	33.2293	1.08896	695.35	20.9981	114.266	113.716	12.3162	1741.81	2047.4	53.5157	9.81191	0.629907
20	97.5	487.5	10	50	50	20	20.1	0.01	0	500	7.02066	21.7203	1.70591	0.599917	0.318816	3.70863	0.0460704	1.61431	1.51807	15.3473	1237.42	80.7271	207.268	0.468477	12.5142	0.939197	3874.96	216.642	10.1892	1453.72	59.2857	6212.54	56.8095	1.36713	771.405	47.5035	233.318	79.1775	10.8786	2659.25	2756.58	49.1691	12.4951	0.565064
21	97.5	487.5	10	50	50	20	20.1	0.01	0	500	7.53014	21.9405	1.14169	0.614876	0.324957	3.74106	0.0472753	1.59313	1.50524	15.1611	1685.85	86.9974	208.858	0.475549	12.6158	0.938824	4222.15	216.763	10.4599	1576.98	60.1922	6411.56	70.6128	1.48283	822.931	74.3996	340.892	54.8119	10.5145	3405.9	3155.42	47.9757	12.2628	0.453986
22	7.5	37.5	10	50	50	20	20.1	0.01	0	500	7.62149	22.1624	1.50085	0.522966	0.285854	3.42892	0.0399202	1.56974	1.491	14.9768	536.796	67.3669	176.8	0.481242	12.6715	0.9425	3863.03	164.668	8.8676	1523.34	60.9121	6528.26	62.568	1.94959	426.317	82.4205	224.941	15.7634	10.342	2975.02	3269.12	47.3097	11.0685	0.718764
23	7.5	37.5	10	50	50	20	20.1	0.01	0	500	6.51784	21.8633	2.61511	0.519908	0.284524	3.42293	0.0396767	1.59709	1.50777	15.2318	187.508	63.2915	176.966	0.482663	12.6805	0.942581	3606.11	163.828	9.21686	1112.54	61.0897	6547.78	50.241	1.76008	377.967	50.9963	135.339	21.8954	10.9923	2377.68	2783.27	49.3209	10.4468	0.859719
24	7.5	37.5	10	50	50	20	20.1	0.01	0	500	4.92924	21.3186	4.39844	0.477761	0.265749	3.29246	0.0363424	1.64414	1.53623	15.701	134.316	60.0426	176.91	0.482513	12.6743	0.944184	3398.47	163.81	10.0022	793.548	61.0684	6533.71	35.9639	1.43645	332.68	23.0927	71.969	26.9897	12.4821	1753.53	2051.2	53.8723	9.76641	0.888285
25	7.5	37.5	10	50	50	20	20.1	0.01	0	500	2.87498	21.1881	7.14321	0.357153	0.208385	2.78936	0.026916	1.62563	1.52618	15.8601	114.276	57.5296	176.619	0.481172	12.6528	0.950942	3237.08	158.855	10.6174	626.177	60.8948	6486.46	20.1344	1.08833	289.481	11.0798	34.9405	28.4688	16.0849	1195.66	1585.49	64.0096	7.35361	0.768114
26	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.65609	21.2552	8.94047	0.270067	0.163462	2.3497	0.0202157	1.56896	1.49337	15.8825	104.807	55.6658	176.074	0.478597	12.6152	0.957662	3118.04	153.442	11.0206	538.315	60.5635	6406.94	10.1369	0.929671	254.433	7.88232	21.9845	27.956	22.8929	834.758	1322.3	83.3384	5.87223	0.68374
27	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.31799	21.5093	9.47173	0.24397	0.149357	2.19873	0.018225	1.51438	1.46037	15.7159	99.5432	54.2101	175.333	0.475103	12.566	0.960175	3026.02	151.928	11.3781	488.198	60.1156	6308.09	6.61583	0.887563	230.04	7.12056	18.7738	27.5652	27.5856	640.176	1167.58	96.7865	5.41016	0.65418
28	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.26792	21.8549	9.56746	0.239063	0.146644	2.16106	0.0178515	1.47251	1.43402	15.4385	96.1436	52.9577	174.482	0.471157	12.5103	0.96082	2947.44	152.626	11.6888	456.54	59.6106	6202.2	5.602	0.882913	215.177	6.96942	18.1659	27.5144	28.2455	536.859	1073	98.4961	5.27174	0.644575
