Time	[S1]	[DNA_000]	[DNA_100]	[DNA_010]	[DNA_001]	[DNA_110]	[DNA_101]	[DNA_011]	[DNA_111]	[DNA_1B10]	[DNA_01B1]	[DNA_1B11]	[DNA_11B1]	[DNA_1B1B1]
0	1e-10	1e-10	0	0	0	0	0	0	0	0	0	0	0	0
1	9.76207e-11	9.78459e-11	9.55179e-15	1.91035e-12	9.55179e-15	1.86476e-16	9.32421e-19	1.86476e-16	5.61217e-21	1.11886e-13	1.11886e-13	8.42649e-19	8.42649e-19	5.03073e-16
2	9.76193e-11	9.78454e-11	9.55161e-15	1.91032e-12	9.55161e-15	1.86473e-16	9.32392e-19	1.86473e-16	6.6172e-21	1.11884e-13	1.11884e-13	1.6473e-18	1.6473e-18	9.86066e-16
3	9.7618e-11	9.7845e-11	9.55144e-15	1.91028e-12	9.55144e-15	1.86468e-16	9.32366e-19	1.86468e-16	7.54358e-21	1.11881e-13	1.11881e-13	2.38902e-18	2.38902e-18	1.43128e-15
4	9.76168e-11	9.78447e-11	9.55129e-15	1.91025e-12	9.55129e-15	1.86463e-16	9.32342e-19	1.86463e-16	8.39718e-21	1.11878e-13	1.11878e-13	3.07245e-18	3.07245e-18	1.84151e-15
5	9.76157e-11	9.78443e-11	9.55115e-15	1.91023e-12	9.55115e-15	1.86459e-16	9.3232e-19	1.86459e-16	9.18406e-21	1.11876e-13	1.11876e-13	3.70247e-18	3.70247e-18	2.21968e-15
6	9.76147e-11	9.7844e-11	9.55102e-15	1.9102e-12	9.55102e-15	1.86456e-16	9.32299e-19	1.86456e-16	9.90509e-21	1.11873e-13	1.11873e-13	4.27977e-18	4.27977e-18	2.5662e-15
7	9.76138e-11	9.78437e-11	9.5509e-15	1.91018e-12	9.5509e-15	1.86452e-16	9.3228e-19	1.86452e-16	1.05728e-20	1.11871e-13	1.11871e-13	4.8144e-18	4.8144e-18	2.88711e-15
8	9.76129e-11	9.78434e-11	9.55079e-15	1.91015e-12	9.55079e-15	1.86449e-16	9.32263e-19	1.86449e-16	1.11834e-20	1.11869e-13	1.11869e-13	5.30321e-18	5.30321e-18	3.18052e-15
9	9.76122e-11	9.78432e-11	9.55069e-15	1.91013e-12	9.55069e-15	1.86446e-16	9.32247e-19	1.86446e-16	1.17432e-20	1.11868e-13	1.11868e-13	5.75141e-18	5.75141e-18	3.44956e-15
10	9.76114e-11	9.7843e-11	9.55059e-15	1.91012e-12	9.55059e-15	1.86443e-16	9.32232e-19	1.86443e-16	1.22572e-20	1.11866e-13	1.11866e-13	6.16301e-18	6.16301e-18	3.69662e-15
11	9.76108e-11	9.78428e-11	9.55051e-15	1.9101e-12	9.55051e-15	1.86441e-16	9.32219e-19	1.86441e-16	1.27289e-20	1.11865e-13	1.11865e-13	6.54068e-18	6.54068e-18	3.92332e-15
12	9.76102e-11	9.78426e-11	9.55043e-15	1.91008e-12	9.55043e-15	1.86439e-16	9.32207e-19	1.86439e-16	1.31608e-20	1.11863e-13	1.11863e-13	6.88646e-18	6.88646e-18	4.13087e-15
13	9.76096e-11	9.78424e-11	9.55036e-15	1.91007e-12	9.55036e-15	1.86437e-16	9.32195e-19	1.86437e-16	1.35591e-20	1.11862e-13	1.11862e-13	7.20537e-18	7.20537e-18	4.32229e-15
14	9.76091e-11	9.78422e-11	9.55029e-15	1.91006e-12	9.55029e-15	1.86435e-16	9.32185e-19	1.86435e-16	1.39268e-20	1.11861e-13	1.11861e-13	7.49979e-18	7.49979e-18	4.49902e-15
15	9.76086e-11	9.78421e-11	9.55023e-15	1.91005e-12	9.55023e-15	1.86433e-16	9.32175e-19	1.86433e-16	1.42631e-20	1.1186e-13	1.1186e-13	7.76904e-18	7.76904e-18	4.66064e-15
16	9.76082e-11	9.78419e-11	9.55018e-15	1.91003e-12	9.55018e-15	1.86431e-16	9.32167e-19	1.86431e-16	1.45736e-20	1.11859e-13	1.11859e-13	8.01764e-18	8.01764e-18	4.80986e-15
17	9.76078e-11	9.78418e-11	9.55013e-15	1.91002e-12	9.55013e-15	1.8643e-16	9.32158e-19	1.8643e-16	1.48612e-20	1.11858e-13	1.11858e-13	8.24786e-18	8.24786e-18	4.94805e-15
18	9.76074e-11	9.78417e-11	9.55008e-15	1.91001e-12	9.55008e-15	1.86429e-16	9.32151e-19	1.86429e-16	1.51242e-20	1.11857e-13	1.11857e-13	8.45847e-18	8.45847e-18	5.07447e-15
19	9.76071e-11	9.78416e-11	9.55003e-15	1.91001e-12	9.55003e-15	1.86427e-16	9.32144e-19	1.86427e-16	1.5367e-20	1.11856e-13	1.11856e-13	8.65282e-18	8.65282e-18	5.19113e-15
20	9.76068e-11	9.78415e-11	9.54999e-15	1.91e-12	9.54999e-15	1.86426e-16	9.32138e-19	1.86426e-16	1.55917e-20	1.11856e-13	1.11856e-13	8.83274e-18	8.83274e-18	5.29912e-15
21	9.76065e-11	9.78414e-11	9.54996e-15	1.90999e-12	9.54996e-15	1.86425e-16	9.32132e-19	1.86425e-16	1.57962e-20	1.11855e-13	1.11855e-13	8.99653e-18	8.99653e-18	5.39744e-15
22	9.76062e-11	9.78413e-11	9.54992e-15	1.90998e-12	9.54992e-15	1.86424e-16	9.32127e-19	1.86424e-16	1.59843e-20	1.11854e-13	1.11854e-13	9.14707e-18	9.14707e-18	5.4878e-15
23	9.7606e-11	9.78413e-11	9.54989e-15	1.90998e-12	9.54989e-15	1.86423e-16	9.32122e-19	1.86423e-16	1.61577e-20	1.11854e-13	1.11854e-13	9.28596e-18	9.28596e-18	5.57117e-15
24	9.76058e-11	9.78412e-11	9.54986e-15	1.90997e-12	9.54986e-15	1.86422e-16	9.32117e-19	1.86422e-16	1.63184e-20	1.11853e-13	1.11853e-13	9.41461e-18	9.41461e-18	5.64839e-15
25	9.76056e-11	9.78411e-11	9.54984e-15	1.90997e-12	9.54984e-15	1.86422e-16	9.32113e-19	1.86422e-16	1.64665e-20	1.11853e-13	1.11853e-13	9.53317e-18	9.53317e-18	5.71956e-15
26	9.76054e-11	9.78411e-11	9.54981e-15	1.90996e-12	9.54981e-15	1.86421e-16	9.32109e-19	1.86421e-16	1.66012e-20	1.11853e-13	1.11853e-13	9.64103e-18	9.64103e-18	5.7843e-15
27	9.76052e-11	9.7841e-11	9.54979e-15	1.90996e-12	9.54979e-15	1.8642e-16	9.32105e-19	1.8642e-16	1.67254e-20	1.11852e-13	1.11852e-13	9.7405e-18	9.7405e-18	5.84401e-15
28	9.7605e-11	9.7841e-11	9.54977e-15	1.90995e-12	9.54977e-15	1.8642e-16	9.32102e-19	1.8642e-16	1.68405e-20	1.11852e-13	1.11852e-13	9.8326e-18	9.8326e-18	5.89929e-15
29	9.76049e-11	9.78409e-11	9.54975e-15	1.90995e-12	9.54975e-15	1.86419e-16	9.32099e-19	1.86419e-16	1.69476e-20	1.11852e-13	1.11852e-13	9.91834e-18	9.91834e-18	5.95075e-15
30	9.76047e-11	9.78409e-11	9.54973e-15	1.90995e-12	9.54973e-15	1.86419e-16	9.32096e-19	1.86419e-16	1.70448e-20	1.11851e-13	1.11851e-13	9.99621e-18	9.99621e-18	5.9975e-15
31	9.76046e-11	9.78408e-11	9.54972e-15	1.90994e-12	9.54972e-15	1.86418e-16	9.32094e-19	1.86418e-16	1.71342e-20	1.11851e-13	1.11851e-13	1.00678e-17	1.00678e-17	6.04044e-15
32	9.76045e-11	9.78408e-11	9.5497e-15	1.90994e-12	9.5497e-15	1.86418e-16	9.32092e-19	1.86418e-16	1.72168e-20	1.11851e-13	1.11851e-13	1.01339e-17	1.01339e-17	6.08015e-15
33	9.76044e-11	9.78408e-11	9.54969e-15	1.90994e-12	9.54969e-15	1.86417e-16	9.32089e-19	1.86417e-16	1.72936e-20	1.1185e-13	1.1185e-13	1.01954e-17	1.01954e-17	6.11705e-15
34	9.76043e-11	9.78407e-11	9.54968e-15	1.90993e-12	9.54968e-15	1.86417e-16	9.32087e-19	1.86417e-16	1.73646e-20	1.1185e-13	1.1185e-13	1.02522e-17	1.02522e-17	6.15117e-15
35	9.76042e-11	9.78407e-11	9.54966e-15	1.90993e-12	9.54966e-15	1.86417e-16	9.32085e-19	1.86417e-16	1.74291e-20	1.1185e-13	1.1185e-13	1.03039e-17	1.03039e-17	6.18217e-15
36	9.76041e-11	9.78407e-11	9.54965e-15	1.90993e-12	9.54965e-15	1.86416e-16	9.32084e-19	1.86416e-16	1.74886e-20	1.1185e-13	1.1185e-13	1.03515e-17	1.03515e-17	6.21079e-15
37	9.76041e-11	9.78406e-11	9.54964e-15	1.90993e-12	9.54964e-15	1.86416e-16	9.32082e-19	1.86416e-16	1.75438e-20	1.1185e-13	1.1185e-13	1.03957e-17	1.03957e-17	6.23731e-15
38	9.7604e-11	9.78406e-11	9.54963e-15	1.90993e-12	9.54963e-15	1.86416e-16	9.32081e-19	1.86416e-16	1.75952e-20	1.1185e-13	1.1185e-13	1.04369e-17	1.04369e-17	6.26201e-15
39	9.76039e-11	9.78406e-11	9.54963e-15	1.90992e-12	9.54963e-15	1.86416e-16	9.32079e-19	1.86416e-16	1.76411e-20	1.11849e-13	1.11849e-13	1.04737e-17	1.04737e-17	6.28408e-15
40	9.76039e-11	9.78406e-11	9.54962e-15	1.90992e-12	9.54962e-15	1.86415e-16	9.32078e-19	1.86415e-16	1.76829e-20	1.11849e-13	1.11849e-13	1.05071e-17	1.05071e-17	6.30416e-15
41	9.76038e-11	9.78406e-11	9.54961e-15	1.90992e-12	9.54961e-15	1.86415e-16	9.32077e-19	1.86415e-16	1.77213e-20	1.11849e-13	1.11849e-13	1.05379e-17	1.05379e-17	6.32262e-15
