Time	[cLc]	[cLm]	[cLn]	[cP7c]	[cP7m]	[cP7n]	[cP9c]	[cP9m]	[cP9n]	[cPn]	[cTc]	[cTm]	[cTn]	[cXc]	[cXm]	[cXn]	[cYc]	[cYm]	[cYn]
0	6.7846	0.8539	6.8104	20.0554	4.28	2.091	6.0091	1.1006	3.7528	0	0.1724	0.3717	8.0398	13.0372	8.487	31.8995	7.075	0.1937	1.07
1	7.1505	0.815314	7.20918	23.3935	4.67295	2.44159	6.43881	1.27207	4.01864	0.340186	0.13924	0.280976	6.85463	13.935	8.48042	34.1563	6.03198	0.161438	0.912104
2	7.22837	0.740583	7.32002	26.9484	4.97378	2.81587	6.94357	1.40051	4.33293	0.520094	0.115245	0.213637	5.7814	14.5519	8.24055	35.7474	5.12211	0.13851	0.774357
3	6.99534	0.639636	7.11512	30.568	5.16765	3.19793	7.48529	1.46873	4.67214	0.629759	0.0950221	0.164214	4.83545	14.7415	7.74604	36.3114	4.34733	0.126345	0.65703
4	6.47913	0.528176	6.61722	34.0846	5.23993	3.57007	8.01861	1.46563	5.008	0.700839	0.078183	0.128449	4.01744	14.3908	7.04301	35.5567	3.71363	0.129314	0.560969
5	5.75718	0.422195	5.90092	37.3129	5.17801	3.91268	8.4966	1.39027	5.311	0.748467	0.0643571	0.103439	3.32163	13.4744	6.22871	33.4012	3.23955	0.157238	0.488872
6	4.93433	0.332564	5.07159	40.0549	4.97535	4.20477	8.87831	1.25389	5.55505	0.781026	0.0532713	0.087935	2.73916	12.0709	5.39899	30.0201	2.97024	0.229235	0.447374
7	4.11175	0.263193	4.23378	42.1156	4.6371	4.42552	9.13586	1.07776	5.72201	0.803571	0.0448571	0.0829759	2.26124	10.3367	4.61672	25.7893	2.99713	0.376844	0.450007
8	3.36331	0.212528	3.46587	43.328	4.18505	4.55701	9.25844	0.887241	5.80439	0.819313	0.0394371	0.0933475	1.8829	8.46767	3.91216	21.1886	3.47318	0.638234	0.519566
9	2.72708	0.17607	2.8099	43.5839	3.65789	4.58746	9.25162	0.7047	5.80508	0.830368	0.0380492	0.130269	1.60824	6.659	3.29464	16.7041	4.59164	1.03136	0.685189
10	2.20898	0.148419	2.27449	42.858	3.10395	4.51386	9.13281	0.544732	5.73462	0.838163	0.0427794	0.213544	1.45782	5.06771	2.76261	12.7332	6.49474	1.51553	0.968965
11	1.79347	0.124957	1.84532	41.2122	2.56843	4.34254	8.92502	0.413268	5.60736	0.843673	0.0565452	0.367538	1.47439	3.78199	2.31002	9.50705	9.14274	1.98073	1.36617
12	1.45694	0.103306	1.49861	38.778	2.08243	4.08731	8.65161	0.309661	5.43801	0.847577	0.0817652	0.606798	1.71722	2.81338	1.93062	7.06656	12.2202	2.27403	1.83066
13	1.17931	0.0835105	1.21326	35.7256	1.66022	3.76624	8.33297	0.229898	5.23953	0.850345	0.118154	0.916284	2.23711	2.11995	1.62459	5.31438	15.1524	2.28369	2.27631
14	0.948803	0.0667229	0.976449	32.237	1.30415	3.39869	7.98555	0.169242	5.0224	0.85231	0.161423	1.24573	3.03876	1.64889	1.41634	4.11793	17.3818	2.06983	2.61761
15	0.76089	0.0543548	0.782865	28.4905	1.01117	3.00365	7.622	0.123579	4.79471	0.853706	0.205022	1.53449	4.06035	1.38102	1.38425	3.41983	18.6908	1.77882	2.81975
16	0.617696	0.0488804	0.633839	24.6545	0.777406	2.59905	7.252	0.0897848	4.56264	0.854699	0.243004	1.73917	5.19053	1.34972	1.63492	3.29296	19.148	1.49393	2.89222
17	0.531355	0.0552855	0.540308	20.8876	0.601542	2.20168	6.88303	0.0657564	4.33096	0.855404	0.271289	1.84003	6.3015	1.59245	2.17443	3.83488	18.9208	1.24139	2.86017
18	0.528727	0.0813128	0.527655	17.3419	0.4884	1.82759	6.52119	0.0505222	4.10353	0.855906	0.287753	1.83662	7.27546	2.08937	2.88461	5.00962	18.1831	1.0256	2.75003
19	0.649652	0.134251	0.635042	14.1701	0.452767	1.49276	6.17208	0.0446788	3.88388	0.856263	0.292014	1.74235	8.02078	2.77821	3.64026	6.66949	17.0885	0.844311	2.58525
20	0.93198	0.215445	0.901717	11.5314	0.520475	1.21376	5.84223	0.0513371	3.67603	0.856517	0.285102	1.57931	8.48052	3.59531	4.36548	8.65699	15.7655	0.693479	2.38546
