Time	[LHY mRNA]	[LHY protein in cytoplasm]	[LHY protein in nucleus]	[TOC1 mRNA]	[TOC1 protein  in cytoplasm]	[TOC1 protein in nucleus]	[X mRNA]	[X protein in cytoplasm]	[X protein in nucleus]	[Y mRNA]	[Y protein in the cytoplasm]	[Y protein in nucleus]	[light sensitive protein P]	[PPR7/9 mRNA]	[PPR7/9 protein in cytoplasm]	[PPR7/9 protein in nucleus]
0	0.4625	0.0132	0.0699	0.4303	10.2965	0.5402	0.0957	1.5413	0.4585	0.0303	0.0041	0.0122	0.8476	14.6921	0.7027	0.8648
1	1.3795	0.0397623	0.211091	0.50869	7.93614	0.354426	0.0717309	1.49387	0.447541	0.123745	0.017543	0.0302487	0.150387	16.3695	1.11068	0.88788
2	1.20309	0.0353702	0.240938	0.621158	6.4831	0.255548	0.0512778	1.41293	0.426179	0.03937	0.0105481	0.0415107	0.0214366	17.0328	1.61098	1.01366
3	0.864794	0.0255514	0.185235	0.709018	5.75223	0.211809	0.0386129	1.31145	0.397533	0.026651	0.00699235	0.0385644	0.00292347	17.4655	2.11586	1.22813
4	0.546227	0.0161732	0.118489	0.798897	5.53857	0.1979	0.0325225	1.20301	0.365743	0.0320628	0.00637744	0.0338261	0.000396064	17.8095	2.62587	1.51443
5	0.308965	0.0091609	0.0671018	0.904149	5.73758	0.204603	0.031101	1.0972	0.333991	0.0444838	0.0070691	0.0312992	5.36091e-05	18.0882	3.14387	1.85991
6	0.161375	0.00478915	0.0350239	1.03256	6.30546	0.229772	0.033318	1.00065	0.304465	0.0607804	0.00859573	0.0318238	7.25539e-06	18.3002	3.66767	2.25457
7	0.0803586	0.00238586	0.0174201	1.19203	7.25199	0.276143	0.0389479	0.918545	0.2788	0.076928	0.0105651	0.0352407	9.81919e-07	18.427	4.18913	2.68922
8	0.0391217	0.00116152	0.00846038	1.3818	8.6208	0.351119	0.0482706	0.855686	0.258438	0.0891164	0.0124849	0.0406702	1.3289e-07	18.4204	4.69062	3.15364
9	0.0189687	0.000562899	0.00408177	1.58783	10.4425	0.465628	0.0614428	0.816739	0.244781	0.0956466	0.0139777	0.0468326	1.79857e-08	18.1808	5.13691	3.63377
10	0.00930872	0.000275918	0.00198413	1.79059	12.7053	0.631881	0.0776506	0.805241	0.239003	0.0954713	0.0148026	0.0524722	2.43481e-09	17.5324	5.46146	4.10694
11	0.00471426	0.000139425	0.000987454	1.97157	15.3572	0.859906	0.0948535	0.821836	0.241568	0.0857094	0.0146247	0.0563729	3.29936e-10	16.2384	5.55236	4.53475
12	0.00253991	7.48204e-05	0.000515561	2.1114	18.306	1.1519	0.110642	0.863358	0.251857	0.0642001	0.0130277	0.057095	0.0069282	14.132	5.25789	4.85587
13	0.00148142	4.34014e-05	0.000288639	2.18179	21.3737	1.48391	0.123183	0.923614	0.268265	0.0283995	0.00922687	0.0525581	0.339858	11.3275	4.43919	4.98678
14	0.00106136	3.07105e-05	0.000187998	2.14385	24.2795	1.8464	0.132456	0.995799	0.288767	0.0147755	0.00642832	0.0439897	0.519903	8.30224	3.05477	4.83883
15	0.00107535	3.05394e-05	0.000164464	1.99263	26.652	2.17908	0.13875	1.07421	0.311582	0.00827803	0.00461544	0.0350892	0.629638	5.76949	1.25042	4.35182
16	0.00175627	4.88341e-05	0.000226142	1.75184	28.1562	2.42595	0.142648	1.15435	0.335272	0.00532681	0.0034036	0.0273097	0.700757	4.34041	0.0610468	3.57617
17	0.00408664	0.000112668	0.000482344	1.46051	28.5752	2.54372	0.14473	1.23306	0.358789	0.00413153	0.00258392	0.0210309	0.748411	4.3843	0.0520054	2.86702
18	0.0103114	0.000284035	0.00120056	1.16278	27.8487	2.51086	0.145369	1.30811	0.381401	0.00392768	0.00203595	0.016197	0.780988	5.71431	0.0646349	2.29971
19	0.0256322	0.000707122	0.00301016	0.89617	26.0718	2.33074	0.144672	1.37776	0.402559	0.0045645	0.00170291	0.012624	0.803544	7.62552	0.0953588	1.85049
20	0.0600246	0.00166154	0.00721153	0.68291	23.4537	2.02851	0.142436	1.44023	0.421746	0.00637123	0.00158196	0.0101524	0.819294	9.53738	0.146143	1.50022
21	0.126402	0.00351878	0.0158062	0.530195	20.2624	1.64471	0.138026	1.49311	0.438313	0.0102711	0.00173605	0.00873899	0.830355	11.2085	0.22273	1.23445
22	0.229194	0.00642894	0.0303478	0.438577	16.793	1.23018	0.13012	1.5325	0.45125	0.01752	0.00229947	0.00853649	0.838154	12.5999	0.334102	1.04325
23	0.351679	0.00994589	0.0497676	0.408205	13.369	0.844029	0.116591	1.5518	0.458846	0.0263552	0.00327188	0.00979952	0.843667	13.7437	0.490622	0.920855
24	0.494456	0.0135604	0.0699776	0.429143	10.327	0.543424	0.0959824	1.54151	0.458492	0.0439784	0.00419058	0.0121866	0.828416	14.7145	0.700863	0.864732
25	1.37994	0.0397937	0.212425	0.509928	7.96132	0.356146	0.0720115	1.49451	0.447694	0.121605	0.0174853	0.0305606	0.146368	16.3667	1.11088	0.887806
26	1.20012	0.0352843	0.240607	0.622267	6.507	0.256882	0.0515268	1.41396	0.426453	0.0388905	0.0104601	0.0415137	0.020836	17.0265	1.6098	1.01349
27	0.862786	0.0254908	0.184737	0.709621	5.77281	0.212861	0.0388262	1.31278	0.397902	0.0266154	0.00696543	0.0384792	0.00284096	17.4595	2.11342	1.22757
28	0.545281	0.0161443	0.118216	0.798963	5.55449	0.198695	0.0326934	1.20454	0.366182	0.0321044	0.00637097	0.033752	0.000384874	17.8043	2.62251	1.51331
29	0.308635	0.00915069	0.0669979	0.90379	5.74835	0.205158	0.0312283	1.09885	0.334474	0.0445287	0.00706852	0.0312509	5.20946e-05	18.0837	3.13986	1.85818
30	0.161307	0.00478695	0.0349961	1.03201	6.31154	0.230113	0.0334036	1.00234	0.304965	0.0608081	0.00859632	0.0317958	7.05042e-06	18.2963	3.66318	2.25221
31	0.0803733	0.00238622	0.0174179	1.19149	7.25446	0.276309	0.038997	0.920197	0.279294	0.0769364	0.010565	0.0352247	9.54179e-07	18.4236	4.18427	2.68627
32	0.039151	0.00116236	0.00846439	1.38133	8.62081	0.351145	0.0482907	0.857246	0.258909	0.0891136	0.0124839	0.0406598	1.29136e-07	18.4175	4.68547	3.15014
33	0.0189932	0.000563612	0.00408599	1.58743	10.4409	0.465536	0.0614424	0.818171	0.245217	0.0956419	0.0139764	0.0468244	1.74778e-08	18.1787	5.13158	3.62977
34	0.00932588	0.000276419	0.00198726	1.79026	12.7026	0.631678	0.0776378	0.806529	0.239398	0.095473	0.0148018	0.0524655	2.36606e-09	17.5317	5.45618	4.10253
35	0.00472563	0.000139757	0.00098957	1.9713	15.3537	0.859592	0.0948357	0.822981	0.24192	0.0857257	0.0146253	0.0563687	3.20567e-10	16.2402	5.54754	4.53007
36	0.00254751	7.50422e-05	0.000516965	2.1112	18.302	1.15149	0.110625	0.864373	0.252169	0.0642304	0.0130303	0.0570954	0.0069282	14.1377	5.25423	4.85114
37	0.00148663	4.35531e-05	0.000289588	2.18169	21.3695	1.48341	0.123169	0.924517	0.268541	0.0284199	0.00922969	0.0525633	0.339858	11.3375	4.43753	4.98238
38	0.00106544	3.08282e-05	0.000188699	2.14386	24.2753	1.84587	0.132445	0.996608	0.289014	0.014788	0.00643062	0.0439972	0.519903	8.31525	3.05571	4.83523
39	0.00107922	3.06501e-05	0.000165079	1.99276	26.6483	2.17857	0.138742	1.07494	0.311805	0.0082847	0.0046171	0.035097	0.629638	5.78323	1.25387	4.34946
40	0.00176101	4.89677e-05	0.000226821	1.75207	28.1534	2.42552	0.142642	1.15501	0.335475	0.00533035	0.00340477	0.0273166	0.700757	4.35301	0.0612612	3.57487
41	0.00409553	0.000112914	0.000483453	1.46078	28.5734	2.54341	0.144727	1.23367	0.358974	0.0041335	0.00258476	0.0210367	0.748411	4.39517	0.0521449	2.86601
